# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_rio
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_playerspawn	11997.691406 6576.705566 56.433968	0.054 1.693 0.039
ttt_playerspawn	12099.857422 6481.909180 58.268497	-0.064 -0.679 0.057
ttt_playerspawn	12005.849609 6481.328613 54.644920	0.090 0.107 0.089
ttt_playerspawn	12161.878906 6241.100586 -75.402054	-1.024 -0.311 2.595
ttt_playerspawn	12164.226563 6307.605469 -76.095543	0.651 1.516 -1.166
ttt_playerspawn	11914.446289 6246.502441 -72.394913	0.948 -8.399 -3.286
ttt_playerspawn	11927.196289 6312.492676 -72.905479	-0.119 -2.570 -7.387
ttt_playerspawn	11792.685547 6318.436523 -74.693405	-0.544 -9.003 -0.465
ttt_playerspawn	11773.373047 6252.915527 -80.055252	1.811 2.129 3.800
ttt_playerspawn	11631.693359 6320.823730 -75.537361	-0.446 -2.386 -5.094
ttt_playerspawn	11585.767578 6258.164551 -73.605736	0.264 -0.077 2.901
ttt_playerspawn	11508.356445 6715.812988 -67.122787	0.024 -0.131 0.095
ttt_playerspawn	11536.177734 6579.081055 -67.384766	0.066 4.338 0.064
ttt_playerspawn	11627.406250 6629.456543 -70.855888	0.119 -4.586 0.031
ttt_playerspawn	11645.950195 6743.026367 -69.196602	-0.075 -1.843 0.073
ttt_playerspawn	12000.511719 6404.414063 -70.864662	-0.074 -2.342 0.071
ttt_playerspawn	11911.745117 6404.569824 -70.606956	-0.056 -2.273 0.042
ttt_playerspawn	12065.486328 8607.361328 -190.466904	0.036 0.567 0.024
ttt_playerspawn	12244.686523 8606.805664 -191.711990	-0.053 -0.105 -0.015
ttt_playerspawn	12333.544922 8495.548828 -189.836151	-0.042 2.291 0.039
ttt_playerspawn	12334.990234 8347.470703 -193.615448	-0.046 0.832 -0.005
ttt_playerspawn	12570.659180 8402.603516 -199.477875	-0.077 -0.000 0.075
ttt_playerspawn	12406.927734 8412.131836 -199.474442	-0.074 -0.000 0.071
ttt_playerspawn	12544.789063 8543.795898 -187.664948	-0.076 -2.669 0.074
ttt_playerspawn	12556.936523 8639.976563 -189.781937	-0.084 0.378 0.083
ttt_playerspawn	12448.183594 8586.404297 -188.141525	-0.058 -2.757 0.046
ttt_playerspawn	12093.193359 8710.781250 -192.487503	0.063 -2.992 0.058
ttt_playerspawn	12276.850586 8701.858398 -189.199768	-0.073 -1.262 0.070
ttt_playerspawn	12499.160156 8961.362305 -199.455048	-0.059 -0.000 0.049
ttt_playerspawn	12392.888672 8949.570313 -199.471191	0.071 0.000 0.068
ttt_playerspawn	12482.908203 8496.070313 -53.482937	-0.061 4.444 0.052
ttt_playerspawn	12453.188477 8607.272461 -53.580952	-0.076 -3.083 0.074
ttt_playerspawn	12439.364258 8756.490234 -51.195198	0.060 -0.099 0.053
ttt_playerspawn	12200.578125 8759.222656 -52.654755	-0.067 -0.772 0.062
ttt_playerspawn	12091.013672 8753.616211 -53.630260	-0.067 6.645 0.062
ttt_playerspawn	12086.030273 7929.076172 -189.525757	-0.047 -5.198 -0.046
ttt_playerspawn	11690.000000 8022.890137 -201.718063	-0.055 0.632 0.048
ttt_playerspawn	11236.458984 8465.352539 -326.770660	-0.013 -0.512 0.012
ttt_playerspawn	11262.901367 8320.175781 -326.633453	-0.014 -5.920 0.013
ttt_playerspawn	11252.980469 8169.142578 -189.503784	-0.044 -3.001 0.041
item_box_buckshot_ttt	12577.875000 8330.678711 -63.524410	-0.308 -0.006 0.243
item_box_buckshot_ttt	12559.195313 8335.562500 -63.614155	-0.959 -0.010 0.853
item_box_buckshot_ttt	12579.654297 8353.880859 -63.631958	0.784 0.007 -0.554
item_box_buckshot_ttt	12553.794922 8353.012695 -63.618137	-0.249 0.002 0.278
item_box_buckshot_ttt	12526.617188 8333.780273 -63.531075	-0.364 -0.006 0.287
item_box_buckshot_ttt	12519.754883 8347.843750 -63.652847	0.693 0.003 -0.552
item_ammo_357_ttt	10487.500000 8832.012695 -119.667534	0.450 0.024 0.055
item_ammo_357_ttt	10486.821289 8795.328125 -119.653694	0.453 0.061 0.050
item_ammo_357_ttt	10383.555664 8837.001953 -119.653694	0.453 0.062 0.050
item_ammo_357_ttt	10399.974609 8835.145508 -119.608513	0.462 0.049 0.032
item_ammo_357_ttt	12096.785156 6670.821289 48.421707	0.468 0.054 0.019
item_ammo_357_ttt	12072.311523 6664.223145 48.328274	0.450 0.066 0.057
item_ammo_357_ttt	11997.995117 7993.432617 -207.628494	0.459 0.048 0.039
item_ammo_357_ttt	12022.051758 7984.229492 -207.676010	0.449 0.071 0.057
item_ammo_357_ttt	11985.977539 8034.665527 -207.669510	0.451 0.070 0.055
item_ammo_357_ttt	12007.841797 8037.195801 -207.637863	0.457 0.060 0.042
item_ammo_357_ttt	11792.367188 8474.063477 -199.678207	0.449 0.026 0.058
item_ammo_357_ttt	11767.304688 8476.390625 -199.663300	0.452 0.032 0.053
item_ammo_357_ttt	11132.467773 8124.279297 -199.637848	0.457 0.045 0.043
item_ammo_357_ttt	11134.445313 8090.843262 -199.685104	0.448 0.076 0.061
item_ammo_357_ttt	11343.488281 8488.814453 -199.618546	0.461 0.058 0.035
item_ammo_357_ttt	11316.380859 8494.388672 -199.633041	0.458 0.047 0.041
weapon_ttt_g3sg1	12032.417969 6668.328613 49.293667	-0.771 0.202 -87.688
weapon_ttt_g3sg1	11985.495117 7970.818848 -206.978058	-0.515 -3.281 87.615
weapon_ttt_g3sg1	11985.473633 8064.110352 -206.707199	-0.723 3.849 -88.056
ttt_random_weapon	12480.380859 8337.166016 -62.789360	1.755 4.181 -92.872
ttt_random_weapon	12409.965820 8348.395508 -62.794189	1.810 4.189 -92.747
ttt_random_weapon	12169.075195 8854.060547 -38.392525	1.746 12.458 -94.062
ttt_random_weapon	12083.547852 8856.967773 -37.460709	-4.189 13.081 84.658
ttt_random_weapon	12069.802734 8852.107422 4.846303	1.797 5.534 -93.305
ttt_random_weapon	12167.471680 8865.540039 4.847570	1.827 5.499 -93.241
ttt_random_weapon	12290.654297 8673.898438 -62.794830	1.817 4.190 -92.730
ttt_random_weapon	12284.536133 8699.255859 -62.792927	1.796 4.186 -92.779
ttt_random_weapon	12566.364258 9056.596680 -62.764164	1.470 4.139 -93.524
ttt_random_weapon	12576.616211 8925.456055 -62.761837	1.444 4.135 -93.584
ttt_random_weapon	12583.246094 8923.047852 -174.818359	1.628 6.036 -93.110
ttt_random_weapon	12582.903320 8991.107422 -174.815994	1.702 5.264 -93.233
ttt_random_weapon	12575.196289 9064.817383 -174.828781	1.740 5.331 -93.101
ttt_random_weapon	12492.930664 9069.395508 -174.805481	1.647 5.278 -93.328
ttt_random_weapon	12494.788086 9047.272461 -174.786926	1.518 5.339 -93.504
