# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: 828_dust
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	-799.031372 -1415.430908 89.537476	-0.085 -0.503 0.085
ttt_playerspawn	-676.376343 -1418.469971 89.594208	0.074 -7.819 0.074
ttt_playerspawn	-533.348267 -1430.746094 88.534950	-0.061 -5.268 0.061
ttt_playerspawn	-303.194275 -1437.314575 86.834053	0.041 -4.493 0.041
ttt_playerspawn	-1656.073242 -1487.341064 86.904678	-0.050 -2.742 0.050
ttt_playerspawn	-1541.516724 -1583.802979 94.059097	-0.055 19.515 0.055
ttt_playerspawn	-1395.277710 -1490.464111 89.933876	-0.063 -1.827 0.063
ttt_playerspawn	-650.846558 -493.526428 120.671051	-0.088 -0.586 0.088
ttt_playerspawn	-778.823120 -432.685730 121.036591	-0.068 0.764 0.066
ttt_playerspawn	-949.938538 -344.696014 122.597084	-0.080 -1.441 0.080
ttt_playerspawn	-812.984619 -583.765076 121.413155	-0.062 -0.374 0.074
ttt_playerspawn	-1085.161499 -274.311157 124.728531	-0.061 -0.446 0.061
ttt_playerspawn	-1399.592163 -115.832863 121.170479	-0.086 -2.594 0.086
ttt_playerspawn	-1352.993286 950.410645 -19.942738	-0.188 -3.260 -0.029
ttt_playerspawn	-1169.972290 952.128418 -18.278345	0.060 -2.739 0.152
ttt_playerspawn	-1375.058838 817.580505 -19.340727	-0.051 -0.287 0.052
ttt_playerspawn	-1223.212891 840.672729 -21.896097	-0.065 0.118 0.079
ttt_playerspawn	-886.193298 912.116577 -21.243959	-0.048 0.612 0.048
ttt_playerspawn	-738.573608 920.678040 -15.146244	-0.068 2.739 0.068
ttt_playerspawn	-680.685059 1234.744629 -20.566433	-0.015 1.286 0.015
ttt_playerspawn	-905.855225 1267.045044 -24.665308	-0.015 -3.041 0.015
ttt_playerspawn	379.475311 765.591858 -50.303738	-0.218 0.022 0.232
ttt_playerspawn	200.492325 952.078613 -47.160545	-1.915 -1.241 1.922
ttt_playerspawn	65.634201 1087.536011 -49.426590	1.041 -6.589 -1.035
ttt_playerspawn	534.245361 566.521851 -55.420879	0.496 0.893 8.662
ttt_playerspawn	409.837158 415.060516 -51.240753	-1.364 -1.256 8.460
ttt_playerspawn	278.784973 235.772766 -54.718876	-0.049 -4.517 -3.522
ttt_playerspawn	426.055328 102.797813 -60.541264	0.005 -36.352 -0.002
ttt_playerspawn	654.153625 -105.425072 -51.860527	-1.634 -3.095 9.485
ttt_playerspawn	762.496582 -243.797058 -49.707893	-1.783 -5.942 1.790
ttt_playerspawn	875.001099 -379.899292 -53.686504	-0.742 -7.667 0.745
ttt_playerspawn	899.301147 -764.739502 -15.967628	-0.011 0.282 -0.011
ttt_playerspawn	908.996948 -1436.237549 38.035145	-0.039 0.796 -0.038
ttt_playerspawn	505.033905 -1730.279297 31.992620	-0.055 -0.205 0.055
ttt_playerspawn	151.834778 -1687.423950 29.560385	-0.055 0.211 0.055
ttt_playerspawn	-880.739319 -1251.505859 -59.909622	-0.052 -2.210 0.052
ttt_playerspawn	-900.875244 -875.757324 -63.634636	-0.049 -1.188 0.049
ttt_playerspawn	-896.070496 -379.052063 -61.498569	-0.077 -4.675 0.077
ttt_random_weapon	-1756.849731 817.059753 -30.771585	1.554 4.164 -93.332
ttt_random_weapon	-1986.803589 828.315430 -30.784487	1.700 4.185 -92.998
ttt_random_weapon	-1974.971802 961.770325 -30.792574	1.792 4.195 -92.789
ttt_random_weapon	-1557.486084 810.996399 -30.779499	1.644 4.177 -93.127
ttt_random_weapon	-1308.799072 309.190155 69.882263	3.671 9.908 -105.649
ttt_random_weapon	-1580.417358 445.179352 85.298111	6.821 4.171 -93.234
ttt_random_weapon	-1648.263916 441.635498 91.643898	6.882 4.170 -93.142
ttt_random_weapon	-1758.719727 408.225861 102.015190	6.801 4.169 -93.260
ttt_random_weapon	-1907.557373 365.472137 115.936783	6.881 4.172 -92.978
ttt_random_weapon	-1879.810547 343.344421 113.328445	6.907 4.167 -92.918
ttt_random_weapon	-1974.062744 222.031921 122.176437	6.859 4.171 -93.025
ttt_random_weapon	-1771.180908 -171.083313 193.248062	1.332 3.993 -93.841
ttt_random_weapon	-1758.537720 -89.404572 193.248047	1.332 3.978 -93.841
ttt_random_weapon	-1604.188599 34.629974 177.228683	1.551 5.900 -93.339
ttt_random_weapon	-1410.650391 -300.226166 113.219482	1.655 4.182 -93.100
ttt_random_weapon	-1185.239990 -90.018318 113.238403	1.441 4.145 -93.591
ttt_random_weapon	-1244.074219 -291.304565 113.221954	1.628 4.178 -93.164
ttt_random_weapon	-929.548645 -223.863113 113.238403	1.441 4.145 -93.591
ttt_random_weapon	-528.428833 -299.419464 161.234222	1.489 5.892 -93.482
ttt_random_weapon	-598.494446 -329.910339 193.226288	1.579 5.903 -93.276
ttt_random_weapon	-1120.034424 -542.033386 113.229019	1.547 4.163 -93.347
ttt_random_weapon	-1172.520386 -913.289673 113.218948	1.661 4.179 -93.086
ttt_random_weapon	-1374.578003 -1167.332275 113.198578	1.891 4.208 -92.560
ttt_random_weapon	-1760.206787 -1317.108765 81.208244	1.782 4.199 -92.810
ttt_random_weapon	-1557.373169 -1296.224243 129.229156	1.546 5.896 -93.351
ttt_random_weapon	-1501.823853 -1301.486572 209.248032	1.332 3.968 -93.841
ttt_random_weapon	-1068.478760 -1652.024902 81.196007	1.574 5.346 -93.302
ttt_random_weapon	-17.606503 -1304.444458 193.228256	1.556 5.896 -93.328
ttt_random_weapon	-24.597229 -1342.639648 193.227615	1.563 5.896 -93.311
ttt_random_weapon	-29.518831 -1382.102173 193.229980	1.537 5.895 -93.372
ttt_random_weapon	-92.969025 -1906.247437 65.224693	1.597 5.897 -93.235
ttt_random_weapon	-161.589706 -1904.986694 65.236053	1.468 5.882 -93.530
ttt_random_weapon	669.983521 -1992.186035 29.745291	1.992 6.851 -96.862
ttt_random_weapon	1006.015625 -1678.751831 17.230417	1.532 4.160 -93.383
ttt_random_weapon	1001.035278 -1623.458618 81.232986	1.503 5.890 -93.450
ttt_random_weapon	793.624634 -1411.584839 81.248039	1.332 3.946 -93.841
ttt_random_weapon	922.930176 -1216.628052 145.224777	1.596 5.865 -93.237
ttt_random_weapon	929.329407 -1191.520752 145.230225	1.534 5.901 -93.379
ttt_random_weapon	989.373596 -1251.975952 145.236359	1.464 5.888 -93.538
ttt_random_weapon	986.937988 -1210.833130 145.229095	1.547 5.902 -93.349
ttt_random_weapon	855.448059 572.656067 -36.112545	-6.387 3.710 -94.727
ttt_random_weapon	836.583252 591.245544 -36.448147	-7.694 -16.986 95.782
ttt_random_weapon	-42.815926 560.174927 -30.780582	1.492 5.343 -93.563
ttt_random_weapon	-180.400970 1264.699829 17.248068	1.332 4.025 -93.840
ttt_random_weapon	-136.764008 1231.635132 17.248032	1.332 4.005 -93.841
ttt_random_weapon	-109.705544 1287.888062 17.248032	1.332 3.962 -93.841
ttt_random_weapon	-342.740143 1781.488892 -34.832069	-7.477 -16.660 95.129
