# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_747_css
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	126.471367 -1907.671997 22.618029	-0.012 -1.672 0.012
ttt_playerspawn	319.470062 -1875.911499 23.427418	-0.013 -1.221 -0.013
ttt_playerspawn	122.594719 -1747.601318 22.903065	-0.009 2.995 0.009
ttt_playerspawn	322.499603 -1388.104370 22.365744	0.078 1.039 0.078
ttt_playerspawn	253.621216 -1482.335815 -105.926018	-0.062 -0.778 0.062
ttt_playerspawn	133.510849 -673.901245 22.632883	-0.011 -0.896 0.011
ttt_playerspawn	316.848480 -678.195007 21.603157	-0.005 0.718 0.005
ttt_playerspawn	268.181641 -622.260193 211.841400	-0.010 -2.290 0.010
ttt_playerspawn	1460.605713 177.279678 -246.488846	-0.085 4.932 0.085
ttt_playerspawn	-545.320862 996.320251 -249.460144	-0.075 -4.853 0.075
ttt_playerspawn	-654.397705 1203.702271 -248.987991	-0.062 -2.221 0.062
ttt_playerspawn	-811.796814 1213.997314 -244.625351	-0.082 -2.473 0.083
ttt_playerspawn	-545.125793 827.484985 -248.876205	-0.085 -1.040 0.085
ttt_playerspawn	-756.016479 -177.283005 -247.938171	-0.071 -0.501 0.071
ttt_playerspawn	-761.028870 -3.766984 -247.674454	-0.078 -0.957 0.078
ttt_playerspawn	514.746643 1493.879517 7.874097	-0.056 -0.487 0.056
ttt_playerspawn	534.029907 1377.869873 11.001533	-0.049 -0.085 0.048
ttt_playerspawn	503.410858 1218.901733 8.974421	-0.033 -0.900 0.032
ttt_playerspawn	385.234528 1218.882446 12.333070	-0.067 -0.503 0.067
ttt_playerspawn	215.121277 1213.152710 11.324434	-0.064 -0.420 0.064
ttt_playerspawn	75.227982 1226.084473 10.655107	-0.045 -0.639 0.045
ttt_playerspawn	62.063465 1346.878662 10.881417	-0.075 -0.834 0.075
ttt_playerspawn	67.992241 1487.217407 9.585296	-0.035 4.373 0.035
ttt_playerspawn	71.255295 1585.755249 12.288762	-0.078 -1.661 0.078
ttt_playerspawn	193.198700 1594.252075 10.099634	-0.061 -1.681 0.062
ttt_playerspawn	333.281464 1585.309692 9.947792	-0.036 -0.104 0.040
ttt_playerspawn	475.245758 1587.659912 8.633026	-0.058 -1.811 0.058
ttt_playerspawn	280.996582 1423.876343 9.744555	-0.052 -0.486 0.052
ttt_playerspawn	654.853027 1215.981812 8.984992	-0.060 -4.118 0.060
ttt_playerspawn	715.100159 1320.732666 8.202972	-0.066 -0.635 0.066
ttt_playerspawn	711.354248 1454.975464 9.472386	-0.072 -0.363 0.071
ttt_playerspawn	712.134888 1575.988525 11.425450	-0.067 -1.833 0.067
weapon_ttt_ak47	314.743317 -1618.732666 47.837608	3.714 7.324 -87.104
item_box_buckshot_ttt	315.810303 -292.918152 208.375046	0.677 -0.002 -0.465
item_box_buckshot_ttt	316.101715 -304.800629 208.458374	-0.446 -0.005 0.365
item_box_buckshot_ttt	332.550507 -304.884918 208.375443	0.671 -0.001 -0.458
item_box_buckshot_ttt	287.440063 -1879.213745 -111.630127	0.776 0.008 -0.536
item_box_buckshot_ttt	277.653015 -1880.857544 -111.638817	0.776 0.006 -0.572
item_box_buckshot_ttt	267.762482 -1878.698608 -111.607880	-0.385 -0.001 0.360
item_box_buckshot_ttt	271.171234 -1868.011719 -111.613800	-0.108 0.001 0.137
item_box_buckshot_ttt	283.785645 -1867.200928 -111.535011	-0.473 -0.821 0.259
item_box_buckshot_ttt	294.754852 -1866.768799 -111.625961	0.753 -0.022 -0.521
item_box_buckshot_ttt	292.990662 -1854.586182 -111.625465	0.346 0.003 -0.228
item_box_buckshot_ttt	280.988434 -1856.919800 -111.560822	1.766 -0.074 -0.423
item_box_buckshot_ttt	269.350616 -1857.389038 -111.620407	0.144 0.004 -0.066
item_ammo_357_ttt	1273.606812 47.728931 -255.680573	0.448 0.074 0.060
item_ammo_357_ttt	1291.461304 46.675999 -255.633102	0.457 0.043 0.041
item_ammo_357_ttt	1205.041016 277.104675 384.362579	0.467 0.060 0.039
item_ammo_357_ttt	1224.477539 278.674133 384.348785	0.465 0.064 0.044
item_ammo_revolver_ttt	309.491119 -1894.964600 -111.602783	0.463 0.054 0.029
item_ammo_revolver_ttt	310.036072 -1879.173706 -111.605011	0.463 0.051 0.030
item_ammo_revolver_ttt	313.334351 -1857.311523 -111.682922	0.447 0.013 0.061
item_ammo_revolver_ttt	322.990295 -1868.078003 -111.665474	0.450 0.030 0.054
item_ammo_revolver_ttt	323.655090 -1857.316040 -111.550903	0.660 0.103 -0.373
item_ammo_revolver_ttt	332.857208 -1857.338623 -111.601410	0.593 0.203 -0.003
item_ammo_revolver_ttt	332.768311 -1870.423584 -111.639877	0.821 -0.490 -0.136
item_ammo_revolver_ttt	313.366821 -1867.622314 -111.586952	0.958 -0.094 -0.100
item_ammo_revolver_ttt	301.278442 -1895.640259 -111.650002	0.453 0.061 0.048
item_ammo_revolver_ttt	302.670898 -1879.246460 -111.570435	0.723 -0.097 -0.051
item_ammo_revolver_ttt	305.889008 -1867.944580 -111.659454	0.452 0.063 0.052
item_ammo_revolver_ttt	306.370728 -1857.241211 -111.548508	1.144 0.122 -0.738
item_ammo_smg1_ttt	316.391357 -233.382843 208.499557	-0.837 0.012 -0.628
item_ammo_smg1_ttt	299.596954 -233.921036 208.518631	-0.231 0.015 -0.202
item_ammo_smg1_ttt	341.438995 -467.936493 208.517273	-0.235 0.013 -0.206
item_ammo_smg1_ttt	327.263794 -468.383820 208.432556	0.840 -0.001 0.551
item_ammo_smg1_ttt	345.344360 -563.854187 208.497910	-0.816 0.012 -0.607
item_ammo_smg1_ttt	325.118378 -562.381714 208.535736	-0.146 0.017 -0.127
item_ammo_smg1_ttt	344.802307 -646.266296 208.415726	0.338 -0.005 0.215
item_ammo_smg1_ttt	322.993469 -648.384766 208.499664	-0.823 0.011 -0.611
item_ammo_smg1_ttt	56.338100 -1797.544189 16.474539	0.567 -0.053 0.265
item_ammo_smg1_ttt	73.922279 -1797.380737 16.417969	0.373 -0.005 0.239
item_ammo_smg1_ttt	369.484680 -1624.028076 16.494740	-0.853 -0.012 -0.635
item_ammo_smg1_ttt	398.971558 -1627.579468 16.415754	0.333 -0.005 0.212
item_ammo_pistol_ttt	1405.744629 43.764393 -255.612991	-0.098 -0.020 -0.030
item_ammo_pistol_ttt	1392.584717 45.703350 -255.609665	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	350.596466 -378.309662 208.390305	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	335.360840 -379.113586 208.370728	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	167.025696 -644.291260 208.366806	-0.116 -0.019 -0.035
item_ammo_pistol_ttt	178.408081 -643.184021 208.364792	-0.117 -0.019 -0.036
item_ammo_pistol_ttt	143.174850 -654.562988 208.333252	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	150.525681 -653.793640 208.393539	-0.092 -0.020 -0.028
weapon_ttt_g3sg1	1218.994507 290.176178 385.280151	-0.577 0.037 -87.597
ttt_random_weapon	407.725708 1485.734985 13.185114	1.003 80.862 -93.925
ttt_random_weapon	404.005890 1413.999268 13.747775	-2.035 -80.191 85.368
ttt_random_weapon	401.390717 1336.580444 13.191975	1.323 -93.010 -94.019
ttt_random_weapon	364.953735 1328.369263 13.740460	-2.186 -82.531 86.290
ttt_random_weapon	364.528534 1405.106445 13.708280	-1.575 -88.284 84.321
ttt_random_weapon	366.991577 1481.758911 13.222582	1.068 -96.646 -93.814
ttt_random_weapon	187.427063 1331.232178 13.192922	1.955 85.036 -92.414
ttt_random_weapon	184.257797 1403.830322 13.728987	-1.816 100.896 84.868
ttt_random_weapon	187.515671 1480.951904 13.747603	-2.040 100.576 85.402
ttt_random_weapon	-72.799278 1319.920166 1.242768	1.392 4.749 -93.704
ttt_random_weapon	-75.525169 1351.020752 1.242268	1.397 4.751 -93.691
ttt_random_weapon	-74.182762 1384.920898 1.243077	1.388 4.748 -93.712
ttt_random_weapon	-72.232445 1414.526001 1.243077	1.388 4.748 -93.712
ttt_random_weapon	-824.107239 1093.868896 -254.751968	1.332 3.999 -93.841
ttt_random_weapon	-880.190308 1097.527588 -254.751923	1.332 4.028 -93.840
ttt_random_weapon	-923.709595 1098.793335 -254.751938	1.332 3.971 -93.841
ttt_random_weapon	-821.576904 1325.002075 -207.636276	6.292 6.419 -92.790
ttt_random_weapon	-770.014771 1334.206909 -211.931152	6.270 6.416 -92.842
ttt_random_weapon	-718.363586 1323.751831 -216.232422	6.236 6.412 -92.920
ttt_random_weapon	-660.943359 1331.257813 -221.021286	6.279 6.417 -92.821
ttt_random_weapon	-614.146729 1330.271484 -222.793411	1.801 4.199 -92.767
ttt_random_weapon	-520.475525 1293.002197 -222.788025	1.740 4.194 -92.906
ttt_random_weapon	-514.741638 1253.377563 -222.790512	1.768 4.056 -92.842
ttt_random_weapon	-987.764404 1182.937500 -254.751938	1.332 4.020 -93.841
ttt_random_weapon	-982.441345 1205.748779 -254.751968	1.332 4.005 -93.841
ttt_random_weapon	-987.242065 1154.487793 -254.751968	1.332 3.985 -93.841
ttt_random_weapon	-986.260315 1138.876343 -254.751938	1.332 4.028 -93.841
ttt_random_weapon	-1003.062927 227.169022 -254.751968	1.332 3.958 -93.841
ttt_random_weapon	-926.210693 226.423798 -254.751968	1.332 3.970 -93.841
ttt_random_weapon	-898.695129 220.108704 -254.751968	1.332 3.970 -93.841
ttt_random_weapon	-980.937195 27.536333 -254.751968	1.332 3.978 -93.841
ttt_random_weapon	-986.106384 63.463299 -254.751968	1.332 3.984 -93.841
ttt_random_weapon	-1008.221741 -82.921761 -254.782913	1.682 7.558 -93.038
ttt_random_weapon	-1000.203430 -1045.127563 -254.751938	1.332 4.006 -93.841
ttt_random_weapon	-957.660828 -1110.556030 -254.751968	1.332 3.992 -93.841
ttt_random_weapon	-929.260498 -1091.395508 -254.751968	1.332 4.013 -93.841
ttt_random_weapon	1645.927856 29.531330 -254.751968	1.332 4.005 -93.841
ttt_random_weapon	1573.855469 33.079998 -254.751968	1.332 3.977 -93.841
ttt_random_weapon	1585.960083 75.643661 -254.751968	1.332 3.997 -93.841
ttt_random_weapon	1641.303223 215.261673 -254.751938	1.332 4.012 -93.841
ttt_random_weapon	-624.235840 722.929016 385.216949	1.683 10.159 -93.036
ttt_random_weapon	336.662537 -110.780525 193.248047	1.332 4.783 -93.841
ttt_random_weapon	149.098663 -104.141098 193.248047	1.332 3.971 -93.841
ttt_random_weapon	384.623413 -375.172211 17.195538	1.594 5.279 -93.299
ttt_random_weapon	382.686615 -484.954193 17.174002	1.700 5.266 -93.085
ttt_random_weapon	196.899429 -597.083862 17.176630	1.665 5.346 -93.102
ttt_random_weapon	243.936661 -597.921509 17.163700	1.726 5.344 -92.968
ttt_random_weapon	56.997845 -793.461975 17.156870	1.755 5.342 -92.899
ttt_random_weapon	386.209167 -666.680237 17.180988	1.665 5.279 -93.150
ttt_random_weapon	203.941849 -873.522278 17.170847	1.690 5.345 -93.043
ttt_random_weapon	219.600113 -897.960571 17.170849	1.690 5.345 -93.043
ttt_random_weapon	64.903374 -1098.137207 17.164783	1.718 5.344 -92.981
ttt_random_weapon	66.158813 -903.358643 17.163513	1.724 5.344 -92.967
ttt_random_weapon	69.907959 -1002.937439 17.191006	1.597 5.346 -93.251
ttt_random_weapon	377.385162 -1067.738159 17.176456	1.664 5.346 -93.101
ttt_random_weapon	322.752045 -1178.306396 47.248028	1.332 3.997 -93.841
ttt_random_weapon	189.374603 -1186.597534 64.307869	1.497 7.782 -94.565
ttt_random_weapon	219.736435 -1184.563843 59.528259	-7.191 54.116 89.301
ttt_random_weapon	142.137543 -1595.946899 -110.751961	1.332 4.010 -93.841
ttt_random_weapon	139.722473 -1622.574463 -110.751961	1.332 3.962 -93.841
ttt_random_weapon	146.851624 -1653.386841 -110.751961	1.332 4.002 -93.841
ttt_random_weapon	146.415573 -926.316589 -46.751965	1.332 4.005 -93.841
ttt_random_weapon	130.874603 -266.655762 -110.751961	1.332 3.958 -93.841
ttt_random_weapon	179.790176 -264.151123 -110.751938	1.332 4.027 -93.840
ttt_random_weapon	163.810776 -293.158051 -52.991337	-4.797 -3.701 5.306
ttt_random_weapon	168.603683 -391.562744 -110.751961	1.332 4.019 -93.841
