# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_meridian
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-514.559265 1089.287720 252.556854	-2.250 11.928 -88.192
ttt_playerspawn	-1848.143677 722.753784 40.526482	-0.030 -0.000 0.030
ttt_playerspawn	-1899.662964 844.466064 40.503555	-0.039 -0.000 0.039
ttt_playerspawn	-1853.760864 1041.030640 40.561520	-0.015 -0.000 0.015
ttt_playerspawn	-1644.205566 1038.641968 40.510563	-0.036 -0.000 0.036
ttt_playerspawn	-1648.327759 723.368530 40.491177	0.044 0.000 0.044
ttt_playerspawn	-1760.843018 767.065002 208.327698	-0.035 1.201 -0.035
ttt_playerspawn	-1621.233643 780.632874 207.284851	-0.037 -0.092 0.037
ttt_playerspawn	-962.085266 698.084778 208.128891	-0.014 -1.432 0.014
ttt_playerspawn	-1098.338745 696.705811 211.961426	-0.025 -0.277 0.025
ttt_playerspawn	-1098.749512 967.693115 207.862549	-0.013 1.247 0.013
ttt_playerspawn	-925.766296 941.744141 208.915939	-0.030 0.277 0.030
ttt_playerspawn	1092.246094 996.113281 -127.869713	-0.039 -25.593 0.039
ttt_playerspawn	1115.314331 758.212646 -137.214966	-0.045 0.416 0.045
ttt_playerspawn	976.907410 766.453186 -138.800888	-0.049 0.092 0.049
ttt_playerspawn	1423.395386 921.207214 -102.400452	-0.025 -0.647 0.025
ttt_playerspawn	1335.675903 811.259216 -105.495552	-0.040 -0.000 0.040
ttt_playerspawn	-786.254700 820.719604 40.532787	0.081 0.000 0.081
ttt_playerspawn	-1198.351563 1071.048218 40.576889	-0.029 0.000 0.027
ttt_playerspawn	-1344.481445 1073.523682 40.557224	-0.052 -0.000 0.052
ttt_playerspawn	-1376.012207 760.325928 40.562073	-0.046 0.000 0.046
ttt_playerspawn	-1037.191284 959.931274 40.524185	-0.092 -0.000 0.092
ttt_playerspawn	-1050.505981 815.703735 40.543911	-0.068 -0.000 0.068
ttt_playerspawn	-2432.775635 936.409119 -215.666519	-0.049 1.294 0.049
ttt_playerspawn	-2427.983154 785.820374 -211.370743	-0.030 -0.265 0.030
ttt_playerspawn	-1996.643433 1016.493042 -239.476913	-0.031 -0.000 0.031
ttt_playerspawn	-1990.331787 1118.389282 -239.485474	-0.034 -0.000 0.034
ttt_playerspawn	-1821.971802 675.119873 -82.107201	10.754 -164.242 -8.078
ttt_playerspawn	-1758.336304 869.873413 -92.186264	-0.050 0.046 0.050
ttt_playerspawn	-2006.812012 831.136230 -94.738686	0.040 -0.277 0.040
ttt_playerspawn	-1120.608887 594.388550 -99.515579	-0.046 -0.000 0.046
ttt_playerspawn	-762.919250 605.180420 -99.502441	-0.041 -0.000 0.041
ttt_playerspawn	-1370.580933 1118.635498 -99.489441	-0.036 -0.000 0.036
ttt_playerspawn	-1012.703735 1118.235474 -99.479279	-0.032 -0.000 0.032
ttt_playerspawn	-1175.419800 1113.497437 -99.495003	-0.038 -0.000 0.038
ttt_playerspawn	-873.456543 1119.480591 -99.524643	-0.050 -0.000 0.050
ttt_playerspawn	317.577576 718.514832 44.044437	-0.034 0.370 -0.034
ttt_playerspawn	-240.175125 609.818665 210.486511	-0.047 -0.832 0.047
ttt_playerspawn	-143.874756 636.378113 210.156418	-0.037 -0.092 0.037
ttt_playerspawn	-168.056030 1118.092896 205.122559	-0.021 0.832 0.021
item_box_buckshot_ttt	-1748.066284 533.996216 201.420410	-0.724 -0.006 0.643
item_box_buckshot_ttt	-1775.606567 613.096436 201.380432	-0.066 0.002 0.141
item_box_buckshot_ttt	-1706.639160 964.989807 252.114960	0.362 -0.340 -2.448
item_box_buckshot_ttt	-1708.147339 1010.849976 250.228882	0.404 -0.343 -2.459
item_box_buckshot_ttt	-1572.113647 958.844666 252.372650	0.377 -0.076 -2.601
item_box_buckshot_ttt	-1570.505005 1009.715759 250.289352	0.330 -0.339 -2.438
item_box_buckshot_ttt	-1243.200439 878.534851 -99.655830	0.618 0.003 -0.491
item_box_buckshot_ttt	-1257.171753 821.377502 -99.598000	-0.870 -0.012 0.773
item_ammo_357_ttt	-740.922180 649.263977 201.393890	0.463 0.057 0.030
item_ammo_357_ttt	-743.152100 717.440613 201.340622	0.453 0.066 0.051
item_ammo_357_ttt	-736.864868 934.663818 201.404602	0.465 0.056 0.026
item_ammo_357_ttt	-744.901001 1012.533997 201.403595	0.465 0.056 0.026
item_ammo_357_ttt	334.981323 1071.375366 38.351860	0.455 0.062 0.047
item_ammo_357_ttt	356.515259 1044.945801 38.307632	0.446 0.081 0.064
item_ammo_357_ttt	367.815674 1016.627319 38.428551	0.477 0.479 0.515
item_ammo_357_ttt	378.243286 989.050415 38.346371	0.454 0.064 0.049
item_ammo_357_ttt	-181.027405 982.071655 201.362137	0.457 0.060 0.043
item_ammo_357_ttt	-187.828354 923.703613 201.391541	0.463 0.057 0.031
item_ammo_357_ttt	-183.818985 749.238525 201.330444	0.451 0.070 0.055
item_ammo_357_ttt	-190.476532 800.776978 201.332550	0.451 0.066 0.054
item_ammo_357_ttt	-1334.383057 1040.480103 201.390335	0.462 0.057 0.031
item_ammo_357_ttt	-1428.939819 1041.525024 201.402588	0.465 0.056 0.027
item_ammo_357_ttt	-1334.931152 957.688782 201.375885	0.460 0.058 0.037
item_ammo_357_ttt	-1419.529053 973.285645 201.323959	0.450 0.070 0.058
item_ammo_revolver_ttt	-1065.096924 897.679138 -99.676125	0.449 0.068 0.059
item_ammo_revolver_ttt	-1070.940796 876.200500 -99.676125	0.449 0.068 0.059
item_ammo_revolver_ttt	-1073.870483 823.142517 -99.680611	0.448 0.072 0.061
item_ammo_revolver_ttt	-1077.340088 805.315247 -99.625610	0.459 0.057 0.038
item_ammo_revolver_ttt	-1482.513794 1087.565430 40.342567	0.453 0.064 0.050
item_ammo_revolver_ttt	-1458.505005 1128.340210 40.319473	0.449 0.075 0.059
item_ammo_revolver_ttt	-993.131592 1137.977417 50.398319	0.463 0.054 0.029
item_ammo_revolver_ttt	-1006.701721 1101.275757 50.334534	0.451 0.064 0.054
item_ammo_revolver_ttt	-964.553467 1126.927246 50.323879	0.449 0.068 0.059
item_ammo_revolver_ttt	-966.286743 1107.760376 50.384010	0.461 0.055 0.035
item_ammo_revolver_ttt	-942.357544 1149.142700 50.365288	0.457 0.058 0.042
item_ammo_revolver_ttt	-928.071533 1125.249878 50.351795	0.454 0.059 0.048
item_ammo_revolver_ttt	-913.674316 1111.792358 50.399399	0.464 0.054 0.028
item_ammo_revolver_ttt	-936.099915 1103.159912 50.363686	0.456 0.058 0.043
item_ammo_smg1_ttt	-520.775391 1069.063110 251.877625	-2.409 -0.102 0.159
item_ammo_smg1_ttt	-538.553284 1119.716064 250.954193	-0.058 0.140 -9.979
item_ammo_smg1_ttt	-272.873199 1136.556641 201.401749	-0.170 0.005 0.102
item_ammo_smg1_ttt	-240.876999 1149.214355 201.478622	-0.507 0.001 0.217
item_ammo_smg1_ttt	-873.278992 566.169434 201.399292	0.152 -0.005 0.090
item_ammo_smg1_ttt	-974.753845 577.018005 201.426514	0.593 -0.003 0.386
item_ammo_smg1_ttt	-1033.409180 582.145813 201.498184	-0.817 0.012 -0.607
item_ammo_smg1_ttt	-1132.620117 583.661072 201.496216	-0.859 -0.012 -0.638
item_ammo_smg1_ttt	-1233.183228 1008.139832 201.401749	-0.169 0.005 0.102
item_ammo_smg1_ttt	-1233.406860 1049.063477 217.627197	-0.121 0.025 -0.017
item_ammo_smg1_ttt	-852.258179 1008.380920 201.509094	0.386 -0.011 -0.315
item_ammo_smg1_ttt	-808.026550 995.089233 201.415756	-0.337 0.005 0.215
item_ammo_smg1_ttt	-1926.487183 1114.124756 40.426510	0.598 -0.003 0.389
item_ammo_smg1_ttt	-1846.464355 1148.409302 40.420155	0.422 -0.004 0.272
item_ammo_smg1_ttt	-1970.185913 950.293335 40.502037	-0.728 0.011 -0.545
item_ammo_smg1_ttt	-1959.309814 1021.246399 40.518082	-0.235 0.013 -0.205
item_ammo_smg1_ttt	-1973.502441 783.532837 40.499710	-0.839 0.011 -0.626
item_ammo_smg1_ttt	-1948.958130 693.486816 40.417973	0.378 -0.005 0.242
item_ammo_smg1_ttt	-1873.642334 614.862061 40.424423	0.526 -0.004 0.341
item_ammo_smg1_ttt	-1892.647705 650.673889 40.399288	0.153 -0.005 0.090
item_ammo_smg1_ttt	1051.360474 1093.978027 -143.567398	0.836 -0.001 0.549
item_ammo_smg1_ttt	1018.027405 1102.735229 -143.577698	0.471 -0.004 0.304
item_ammo_smg1_ttt	1154.347900 1088.616089 -143.588776	0.268 -0.005 0.168
