# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_xrio-
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-154.230865 2910.845215 -174.058563	-8.427 -4.004 -77.417
weapon_ttt_ak47	-1044.658569 2876.556885 34.587177	5.976 11.445 -77.160
weapon_ttt_ak47	209.012756 1764.645752 -207.523071	43.039 -7.525 -10.203
weapon_ttt_ak47	62.747757 1749.243286 -78.978600	-0.164 11.079 -89.522
ttt_playerspawn	251.216263 43.066673 26.845360	2.177 0.155 -1.384
ttt_playerspawn	257.825439 -54.940193 26.874138	2.108 -0.446 1.474
ttt_playerspawn	91.157478 40.329327 21.132547	0.020 -0.374 0.146
ttt_playerspawn	76.344109 -68.470383 22.372622	-0.040 -0.295 0.113
ttt_playerspawn	-76.237816 34.923752 24.880909	-0.069 -0.470 0.208
ttt_playerspawn	-125.529709 -54.685043 22.900682	-0.128 1.362 0.014
ttt_playerspawn	-267.050629 36.673058 27.068266	2.005 0.234 -0.145
ttt_playerspawn	-326.908661 -32.257423 27.232847	1.955 -0.081 0.046
ttt_playerspawn	-485.449738 45.460491 21.273621	-0.168 0.444 -0.010
ttt_playerspawn	-826.946960 286.857361 23.773434	0.175 0.838 0.015
ttt_playerspawn	-917.362793 344.108521 22.705818	-0.019 0.001 0.150
ttt_playerspawn	-995.487488 1608.651123 -235.075958	0.081 0.647 0.081
ttt_playerspawn	-829.607239 1599.636353 -239.257874	0.247 -0.186 -0.076
ttt_playerspawn	-1046.806030 1858.423828 -235.429153	-0.040 0.277 0.119
ttt_playerspawn	-759.231873 1873.303345 -237.973694	-0.020 0.623 0.153
ttt_playerspawn	-1047.372559 2047.653687 -235.243256	-0.048 1.429 0.170
ttt_playerspawn	-776.665894 2025.783569 -238.649734	0.005 0.016 0.064
ttt_playerspawn	-884.055298 2357.283203 -230.284912	0.000 1.884 4.530
ttt_playerspawn	-688.609558 2125.537842 -232.681839	0.247 -0.407 -0.085
ttt_playerspawn	921.392151 2518.576416 -213.156342	0.082 -0.554 -0.082
ttt_playerspawn	779.485229 2511.666016 -212.389343	0.064 0.277 -0.064
ttt_playerspawn	630.651062 2503.112061 -215.448395	0.072 -0.000 -0.072
ttt_playerspawn	656.888550 2491.389160 -77.999542	0.057 -0.647 -0.057
ttt_playerspawn	841.702820 2509.811279 -76.697205	0.071 -1.201 -0.071
ttt_playerspawn	924.109619 2204.992188 -77.520813	0.063 0.046 -0.063
ttt_playerspawn	921.281616 2186.138428 61.369930	0.035 -0.185 -0.035
ttt_playerspawn	897.270996 2421.751709 60.578526	0.030 -2.402 -0.030
ttt_playerspawn	661.223145 2525.930908 60.488949	0.052 -1.478 -0.052
ttt_playerspawn	111.696213 1708.171875 -211.024231	0.046 -0.370 -0.046
ttt_playerspawn	166.175140 1884.765747 -71.298080	0.063 -1.386 -0.063
ttt_playerspawn	153.582413 1791.594604 -74.034576	-0.007 1.709 -0.021
ttt_playerspawn	574.621826 1978.194580 -210.094864	-1.472 0.175 -0.761
ttt_playerspawn	414.672150 2057.887695 -218.329819	-0.211 1.661 0.030
item_box_buckshot_ttt	416.372070 16.010921 18.450962	0.393 -0.075 0.105
item_box_buckshot_ttt	383.028229 9.089566 18.390539	-0.977 0.004 0.868
item_box_buckshot_ttt	422.802612 -22.649704 18.411921	-0.016 -0.065 -0.014
item_box_buckshot_ttt	387.493164 -36.079025 18.421236	0.417 -0.105 0.021
item_box_buckshot_ttt	419.736328 -103.025314 18.421768	-0.747 -0.003 0.613
item_box_buckshot_ttt	380.221497 -91.253189 18.455244	-0.447 -0.006 0.398
item_box_buckshot_ttt	-453.081635 2000.839600 -100.538216	0.421 -0.008 0.307
item_box_buckshot_ttt	-430.817596 2013.217773 -100.512886	-0.636 -0.007 0.788
item_box_buckshot_ttt	-408.348969 2050.332275 -100.540901	0.252 -0.016 0.505
item_box_buckshot_ttt	-401.374359 2026.210815 -100.552177	0.029 -0.448 0.514
