# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cz_dust2_winter
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-2014.740967 3105.033936 32.894032	0.128 11.253 -87.572
weapon_ttt_ak47	-2075.683105 3077.313721 32.919083	0.017 13.000 -87.946
weapon_ttt_ak47	-997.477295 -396.376343 140.244873	-3.366 -10.441 95.458
weapon_ttt_ak47	1565.156982 183.379639 -63.146584	0.185 11.252 -87.123
weapon_ttt_ak47	285.773468 2724.082275 96.871880	0.159 11.252 -87.327
ttt_playerspawn	-1991.045044 2011.420288 8.477127	-0.073 -0.046 0.073
ttt_playerspawn	-1992.971436 2131.993896 6.209250	-0.049 -0.554 0.049
ttt_playerspawn	-1978.502075 2298.901367 8.371778	0.140 0.295 0.258
ttt_playerspawn	-1828.589966 2012.058716 5.833143	-0.046 3.233 0.046
ttt_playerspawn	-1826.150513 2108.001709 5.509515	-0.070 1.109 0.070
ttt_playerspawn	-1842.530396 2250.139648 9.198616	-0.032 1.756 0.032
ttt_playerspawn	-1637.070679 2018.854370 6.108733	0.056 0.924 0.057
ttt_playerspawn	-1619.282837 2119.563965 4.864522	-0.034 -0.462 0.034
ttt_playerspawn	-1609.993652 2275.366943 7.922109	-0.085 0.277 -0.085
ttt_playerspawn	-1966.804932 2551.731689 38.954231	-0.089 -0.046 0.089
ttt_playerspawn	-1840.801636 2518.204590 40.372192	-0.068 0.416 0.068
ttt_playerspawn	-1983.226685 2686.525391 40.608921	-0.061 1.109 0.061
ttt_playerspawn	-1967.567139 2841.464600 37.438213	-0.070 1.294 0.070
ttt_playerspawn	-406.743408 2257.900146 -120.557823	-0.069 -0.092 -0.069
ttt_playerspawn	-380.783234 2116.494629 -119.026947	-0.061 0.924 0.061
ttt_playerspawn	171.419662 2420.256348 -120.870514	-0.079 0.370 0.079
ttt_playerspawn	405.341888 2423.525635 -120.812073	0.055 -1.293 0.056
ttt_playerspawn	303.476440 2442.470215 -121.788826	0.084 0.370 0.084
ttt_playerspawn	193.065567 2273.069824 -118.278275	0.069 -1.016 0.069
ttt_playerspawn	366.788666 2293.108154 -123.138306	-0.182 2.076 -0.053
ttt_playerspawn	458.336426 2293.039795 -122.025696	0.009 1.114 0.176
ttt_playerspawn	184.794296 2145.459961 -122.620338	0.071 0.462 0.071
ttt_playerspawn	380.792267 2142.404053 -122.412781	-0.067 0.739 0.067
ttt_playerspawn	1487.359985 2935.919922 137.181320	-0.064 1.802 0.064
ttt_playerspawn	1323.061890 2908.467041 134.416428	-0.063 -0.185 0.063
ttt_playerspawn	1136.123169 507.204102 4.439904	-0.062 1.386 0.062
ttt_playerspawn	1148.576538 658.533813 4.287663	-0.089 0.647 0.089
ttt_playerspawn	1061.677246 513.240051 6.243493	-0.052 1.571 0.052
ttt_playerspawn	1054.021851 647.292786 4.529796	-0.089 0.462 0.089
ttt_playerspawn	-742.044800 -844.632263 134.869781	-0.057 0.338 0.057
ttt_playerspawn	-769.190063 -708.240540 134.196487	-0.071 0.370 0.071
ttt_playerspawn	-606.862854 -866.749512 135.058640	-0.066 0.601 0.066
ttt_playerspawn	-632.788147 -743.954651 138.739975	-0.079 0.460 0.079
ttt_playerspawn	-538.094360 -797.567200 134.027527	-0.059 0.139 0.059
item_box_buckshot_ttt	-1304.783081 1259.413696 96.378860	0.145 0.003 -0.033
item_box_buckshot_ttt	-1306.572998 1231.178955 96.424156	-0.744 -0.004 0.574
item_box_buckshot_ttt	-1324.190430 1261.112427 96.422379	-0.757 -0.012 0.587
item_box_buckshot_ttt	-1327.786865 1235.973999 96.379333	0.104 0.003 0.004
item_ammo_357_ttt	-2075.821045 2535.134766 32.353573	0.454 0.059 0.047
item_ammo_357_ttt	-2087.644287 2601.691162 32.374390	0.459 0.057 0.038
item_ammo_357_ttt	-1366.146240 2678.104736 128.418671	0.467 0.053 0.021
item_ammo_357_ttt	-1388.402710 2676.494385 128.307541	0.445 0.079 0.065
item_ammo_357_ttt	-2033.770874 569.938171 32.391491	0.462 0.055 0.032
item_ammo_357_ttt	-2031.471069 629.175293 32.326077	0.449 0.068 0.058
item_ammo_357_ttt	-2209.321533 -544.399963 128.338577	0.451 0.064 0.053
item_ammo_357_ttt	-2198.411377 -588.200439 128.365280	0.457 0.058 0.042
item_ammo_357_ttt	-1731.285034 -236.418930 256.323883	0.448 0.068 0.059
item_ammo_357_ttt	-1685.265381 -235.858643 256.336578	0.451 0.064 0.054
item_ammo_revolver_ttt	-1712.668823 1622.152588 0.398320	0.463 0.054 0.029
item_ammo_revolver_ttt	-1707.779297 1651.751099 0.328239	0.449 0.068 0.057
item_ammo_revolver_ttt	-1627.615479 1618.801147 0.338576	0.451 0.064 0.053
item_ammo_revolver_ttt	-1672.850342 1614.972412 0.413774	0.466 0.053 0.023
item_ammo_revolver_ttt	-1203.498901 1221.865479 48.346302	0.453 0.061 0.050
item_ammo_revolver_ttt	-1178.507324 1221.553223 48.385307	0.461 0.055 0.034
item_ammo_revolver_ttt	-1207.788086 1263.648682 48.317089	0.447 0.072 0.061
item_ammo_revolver_ttt	-1209.584229 1248.135498 48.323879	0.448 0.068 0.059
item_ammo_smg1_ttt	-2027.295898 3076.397461 32.503784	0.108 0.095 -0.180
item_ammo_smg1_ttt	-2008.226440 3073.796387 32.497959	-0.057 0.228 0.291
item_ammo_smg1_ttt	-2086.356689 3047.847900 32.399284	-0.152 0.005 0.090
item_ammo_smg1_ttt	-2061.962646 3061.843018 32.426506	-0.594 0.003 0.387
item_ammo_smg1_ttt	-1369.979614 1920.097900 0.424418	0.527 -0.004 0.342
item_ammo_smg1_ttt	-1396.248413 1911.798096 0.478953	0.207 0.000 0.023
item_ammo_smg1_ttt	-2094.133301 2491.678467 96.411224	0.267 -0.005 0.168
item_ammo_smg1_ttt	-2064.553467 2493.039795 96.396790	0.136 -0.005 0.079
item_ammo_smg1_ttt	-1469.784424 671.754150 67.532364	-0.164 0.017 -0.143
item_ammo_smg1_ttt	-1471.878784 625.291016 67.430595	0.745 -0.002 0.488
item_ammo_smg1_ttt	-1064.883179 -357.581909 139.051254	-4.590 -0.005 7.417
item_ammo_smg1_ttt	-1046.495117 -422.884003 132.449768	-4.652 -0.013 7.303
item_ammo_smg1_ttt	237.030640 432.759705 0.404167	0.192 -0.005 0.117
item_ammo_smg1_ttt	262.058228 430.484955 0.475426	0.562 -0.014 0.253
item_ammo_smg1_ttt	297.512909 431.305206 0.417941	-0.050 -0.032 -0.022
item_ammo_smg1_ttt	322.820099 427.995392 0.482988	-0.376 -0.001 -0.367
item_ammo_smg1_ttt	357.368256 427.115021 0.408905	0.238 -0.005 0.148
item_ammo_smg1_ttt	359.817596 400.403198 0.428565	0.675 -0.003 0.441
item_ammo_smg1_ttt	1577.972900 166.190048 -63.480839	-0.256 0.015 -0.220
item_ammo_smg1_ttt	1542.952271 167.778717 -63.586494	-0.302 0.005 0.191
item_ammo_smg1_ttt	282.997406 2702.139648 96.426514	-0.590 0.003 0.384
item_ammo_smg1_ttt	306.999817 2706.988525 96.498383	0.866 0.013 -0.649
item_ammo_pistol_ttt	-997.489929 -308.378937 150.701523	-4.851 0.258 7.144
item_ammo_pistol_ttt	-984.504028 -347.300476 146.969910	-4.831 0.270 7.118
item_ammo_pistol_ttt	-1025.187256 -330.865936 145.584351	-4.853 0.258 7.142
item_ammo_pistol_ttt	-495.702911 -271.849945 0.358609	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-467.160065 -256.952515 0.431893	-0.058 -0.020 -0.018
item_ammo_pistol_ttt	-493.368683 -4.847644 0.406942	-0.080 -0.020 -0.024
item_ammo_pistol_ttt	-498.028809 34.122646 0.380065	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	-745.473022 323.605835 0.383596	-0.101 -0.020 -0.030
item_ammo_pistol_ttt	-747.205994 368.073273 0.368804	-0.114 -0.020 -0.034
item_ammo_pistol_ttt	-734.936157 469.302185 0.423308	-0.066 -0.020 -0.020
item_ammo_pistol_ttt	-735.898132 404.926117 0.322963	-0.154 -0.018 -0.046
item_ammo_pistol_ttt	1770.546509 911.368225 64.358604	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	1751.657959 915.510132 64.317566	-0.158 -0.017 -0.048
item_ammo_pistol_ttt	1775.529053 833.960510 64.397285	0.277 -0.079 0.200
item_ammo_pistol_ttt	1775.499512 798.726807 64.372673	-0.110 -0.020 -0.033
ttt_random_weapon	340.672852 -798.658325 1.204108	1.829 4.713 -92.703
ttt_random_weapon	245.222244 -850.018799 1.209130	1.772 4.709 -92.833
ttt_random_weapon	640.994263 -344.004700 1.211967	1.740 4.705 -92.906
ttt_random_weapon	711.075256 -259.468201 1.229514	1.542 4.682 -93.360
ttt_random_weapon	1659.888794 384.326660 65.201355	1.860 4.715 -92.632
ttt_random_weapon	1720.335693 454.356659 65.215599	1.699 4.701 -93.000
ttt_random_weapon	1668.243652 535.604553 65.222191	1.625 4.692 -93.170
ttt_random_weapon	1720.393677 632.082886 65.234955	1.480 4.672 -93.501
ttt_random_weapon	1670.175293 661.841309 65.210289	1.759 4.707 -92.862
ttt_random_weapon	1484.202148 59.974434 -190.804672	1.928 4.718 -92.476
ttt_random_weapon	1548.501221 258.584167 -185.065002	-16.770 4.978 -97.460
ttt_random_weapon	1743.863159 1958.182251 53.221569	-12.238 7.402 -94.824
ttt_random_weapon	1726.997192 2089.907715 49.009605	-12.288 7.396 -94.936
ttt_random_weapon	1723.725464 2148.608398 48.199787	-12.377 7.385 -95.137
ttt_random_weapon	1726.320923 2221.830566 48.855377	-12.452 7.369 -95.302
ttt_random_weapon	1308.390259 2443.767090 36.737858	1.888 -15.926 98.739
ttt_random_weapon	1130.284302 3040.770264 129.215103	1.705 4.702 -92.987
ttt_random_weapon	1080.344849 3009.940186 192.696320	7.988 -3.610 -5.105
ttt_random_weapon	1059.479980 2551.944824 161.207321	1.793 4.710 -92.786
ttt_random_weapon	438.318390 1758.763184 1.210289	1.759 4.707 -92.862
ttt_random_weapon	452.460052 1715.976563 1.221397	1.634 4.694 -93.150
ttt_random_weapon	-241.309860 317.392334 1.219948	1.650 4.195 -93.112
ttt_random_weapon	-154.401260 308.368561 1.202060	1.852 4.715 -92.650
ttt_random_weapon	-52.565067 312.085266 1.222965	1.616 4.691 -93.190
ttt_random_weapon	-97.737122 2281.278320 -126.807121	1.955 4.720 -92.413
ttt_random_weapon	-91.490898 2246.906982 -126.783913	1.694 4.700 -93.012
ttt_random_weapon	101.904243 2507.065186 -126.769936	1.536 4.681 -93.374
