# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_asia
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-400.877472 642.150085 0.901803	0.118 13.136 -87.664
weapon_ttt_ak47	-2083.233398 99.814758 -285.360565	-3.696 -11.115 87.730
weapon_ttt_ak47	-2356.377930 89.012238 -283.755920	6.511 -0.832 -87.660
weapon_ttt_ak47	-761.938049 -1251.710815 2.221652	-0.238 14.469 -98.086
weapon_ttt_ak47	-916.887512 -1230.721802 0.875188	0.156 13.137 -87.373
ttt_playerspawn	-939.112976 273.842468 -57.065437	-0.066 -1.069 0.066
ttt_playerspawn	-812.922241 298.134155 -55.251087	-0.063 -0.647 0.063
ttt_playerspawn	-698.980713 297.786896 -58.098289	-0.063 1.103 0.063
ttt_playerspawn	-829.393433 127.406319 -56.899094	-0.068 0.231 0.068
ttt_playerspawn	-815.063904 2.031557 -58.530876	-0.080 0.277 0.080
ttt_playerspawn	-960.538086 20.723991 -58.800911	-0.055 0.277 0.055
ttt_playerspawn	-722.245117 23.580252 -57.003151	-0.080 -0.277 0.080
ttt_playerspawn	-148.000763 -1016.673828 0.565167	-0.012 -0.035 0.122
ttt_playerspawn	156.458633 -830.136597 0.565019	0.052 -0.539 -0.123
ttt_playerspawn	201.575150 -297.477722 21.829113	2.084 -0.682 2.308
ttt_playerspawn	1043.107544 -529.435913 0.536041	-0.062 -0.000 0.062
ttt_playerspawn	930.046753 -525.284363 0.536041	-0.062 -0.000 0.062
ttt_playerspawn	829.407104 -531.246399 0.548201	-0.051 -0.000 0.051
ttt_playerspawn	-1644.616455 149.880997 -58.886578	0.011 -1.563 0.011
ttt_playerspawn	-1615.543335 264.993835 -57.487347	-0.010 0.462 0.010
ttt_playerspawn	-1472.364502 387.571289 -54.918213	0.010 -0.832 0.010
ttt_playerspawn	-1432.948242 92.303841 -56.457523	-0.001 0.127 0.217
ttt_playerspawn	-2649.006592 -482.645477 -183.136475	-0.077 2.865 0.077
ttt_playerspawn	-2654.362305 -350.479492 -184.972473	-0.064 0.416 0.064
ttt_playerspawn	-2653.008545 -188.033035 -184.916061	-0.062 0.462 0.062
ttt_playerspawn	-2622.330078 -11.023583 -186.092407	-0.069 1.063 0.069
ttt_playerspawn	-2639.236572 516.146545 -183.932709	-0.068 1.201 0.068
ttt_playerspawn	-2618.062744 395.585846 -183.876190	-0.057 -0.231 0.057
ttt_playerspawn	-1783.548218 1289.955322 -188.729324	-0.030 -0.277 0.030
ttt_playerspawn	-1927.829590 1234.167114 -188.071564	-0.039 0.031 0.039
ttt_playerspawn	-1754.943359 1588.225586 -183.139999	-0.022 -0.832 0.023
ttt_playerspawn	-2091.498535 1679.159424 -183.089417	-0.036 1.294 -0.037
ttt_playerspawn	-1935.165771 1064.599731 -187.952377	-0.027 -0.554 0.027
ttt_playerspawn	-1673.234497 2255.085449 -63.472160	0.070 0.000 0.070
ttt_playerspawn	-1540.456055 2251.772217 -63.476646	0.075 0.000 0.075
ttt_playerspawn	-1702.393066 2048.441406 -63.483902	0.082 0.000 0.082
ttt_playerspawn	-1481.922974 2057.335449 -63.423412	-0.095 -0.021 -0.022
ttt_playerspawn	-325.009430 1909.498535 -27.352339	-0.073 0.462 0.073
ttt_playerspawn	-352.581299 1792.638062 -26.396015	-0.072 -1.404 0.072
item_box_buckshot_ttt	-1930.125854 1498.308716 -191.597687	1.024 0.013 0.843
item_box_buckshot_ttt	-2007.644043 1491.912231 -191.632050	-0.770 0.004 -0.567
item_box_buckshot_ttt	-1903.453125 1488.626709 -191.596039	1.009 0.007 0.830
item_box_buckshot_ttt	-1881.981323 1486.697876 -191.614090	0.912 0.002 0.793
item_box_buckshot_ttt	-1895.678955 1809.682739 -191.606094	1.065 0.009 0.920
item_box_buckshot_ttt	-1877.466187 1810.590332 -191.589462	0.923 0.014 0.791
item_box_buckshot_ttt	-1784.581909 1815.154907 -191.601440	-0.923 -0.010 0.817
item_box_buckshot_ttt	-1787.935425 1798.337769 -191.612244	-1.010 -0.011 0.895
item_box_buckshot_ttt	-1476.810303 2350.581787 -55.563564	-0.596 -0.007 0.531
item_box_buckshot_ttt	-1497.955688 2357.424316 -55.621811	0.279 0.003 -0.138
item_box_buckshot_ttt	-1764.356323 2341.198730 -55.536217	-0.384 -0.006 0.341
item_box_buckshot_ttt	-1761.654663 2387.312012 -55.624508	0.670 -0.001 -0.456
item_ammo_357_ttt	-468.197235 -217.527557 0.412922	0.466 0.054 0.023
item_ammo_357_ttt	-489.400787 -226.284683 0.314781	0.447 0.073 0.062
item_ammo_357_ttt	-1201.406494 -188.020630 0.360435	0.456 0.058 0.044
item_ammo_357_ttt	-1203.233032 -226.612305 0.331654	0.509 -0.036 0.015
item_ammo_357_ttt	-2073.858398 -844.132507 -191.625595	0.459 0.057 0.038
