# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_gold_dust
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_playerspawn	361.641144 -1698.979248 78.648293	-0.088 -4.603 0.088
ttt_playerspawn	455.485382 -1710.974243 74.425552	-0.031 -1.819 0.025
ttt_playerspawn	560.158569 -1723.158081 72.530510	-0.045 -10.381 0.044
ttt_playerspawn	654.328247 -1645.739380 74.016357	-0.079 8.388 0.079
ttt_playerspawn	527.876038 -1484.646606 68.930206	-0.012 21.625 0.011
ttt_playerspawn	531.159058 -1388.154663 80.673698	-0.009 -3.107 0.009
ttt_playerspawn	517.658081 -1231.299072 70.993881	-0.014 -4.425 0.014
ttt_playerspawn	257.340942 -1646.267700 74.255692	-0.123 0.307 -0.033
ttt_playerspawn	78.510963 -1593.504883 73.675423	0.049 0.212 -0.049
ttt_playerspawn	-84.885048 -1665.731934 78.631111	-0.039 -16.738 0.015
ttt_playerspawn	-276.576416 -1596.082764 79.337067	-0.072 11.144 0.072
ttt_playerspawn	-681.049194 -1297.628052 6.370552	-0.080 -21.117 0.080
ttt_playerspawn	-566.083374 -1653.553223 73.793350	-0.060 -0.587 0.060
ttt_playerspawn	-660.969238 -1743.120483 72.729858	-0.065 -4.441 0.065
ttt_playerspawn	-472.347595 -1750.904785 78.892509	-0.081 -3.297 0.081
ttt_playerspawn	-457.665131 -1351.783813 9.606148	-0.007 6.361 0.013
ttt_playerspawn	1730.201416 3501.727539 -127.459579	-0.072 -0.000 0.072
ttt_playerspawn	1734.939209 3336.182373 -127.463837	0.023 -0.092 0.225
ttt_playerspawn	1716.106567 3176.918701 -126.775070	-0.956 0.001 -1.231
ttt_playerspawn	1681.762207 3009.493652 -119.792908	-4.664 -1.083 -3.981
ttt_playerspawn	1522.592896 2957.766357 -127.034904	-0.677 -0.003 -0.757
ttt_playerspawn	1384.907837 3050.906982 -127.523117	-0.012 -0.000 0.012
ttt_playerspawn	1471.869385 3197.300781 -127.514168	-0.011 -0.000 0.011
ttt_playerspawn	1557.324219 3343.257568 -127.453148	0.052 0.036 0.188
ttt_playerspawn	1534.928589 3454.247803 -127.461411	-0.074 -0.000 0.074
ttt_playerspawn	1405.829102 3464.450928 -127.460487	-0.073 -0.000 0.073
ttt_playerspawn	1386.143433 3320.833252 -127.417160	0.023 0.099 0.077
ttt_playerspawn	1327.265381 3205.260254 -127.438019	0.004 -0.000 0.012
ttt_playerspawn	1231.820435 3281.853516 -127.512459	-0.011 -0.000 0.011
ttt_playerspawn	1249.872803 3406.007080 -127.453621	-0.065 0.000 0.065
ttt_playerspawn	1194.683472 3501.152344 -127.474678	-0.090 -0.000 0.090
ttt_playerspawn	1084.824707 3376.915771 -127.427681	-0.032 -0.000 0.035
item_ammo_357_ttt	437.971375 -83.297752 128.338638	0.452 0.065 0.052
item_ammo_357_ttt	418.547760 -79.378273 128.340622	0.453 0.066 0.051
item_ammo_357_ttt	396.285187 -81.499245 128.334595	0.451 0.066 0.053
item_ammo_357_ttt	392.281769 -60.222721 128.384064	0.461 0.057 0.034
item_ammo_357_ttt	393.026611 -42.636089 128.357986	0.417 0.035 0.009
item_ammo_357_ttt	393.526642 -19.293964 128.328308	0.450 0.069 0.056
item_ammo_357_ttt	383.269775 -886.348999 192.353668	0.455 0.062 0.046
item_ammo_357_ttt	356.097900 -882.233093 192.326202	0.450 0.070 0.057
item_ammo_357_ttt	331.694550 -828.859619 192.402664	0.465 0.053 0.027
item_ammo_357_ttt	334.777344 -867.229431 192.346405	0.454 0.064 0.049
item_ammo_357_ttt	-410.673340 2963.997559 0.335113	0.464 0.067 0.049
item_ammo_357_ttt	-431.068909 2965.512695 0.324504	0.463 0.070 0.053
item_ammo_357_ttt	-413.238953 2986.472168 0.322284	0.463 0.070 0.054
item_ammo_357_ttt	-428.152832 2981.465820 0.404837	0.471 0.053 0.024
item_ammo_357_ttt	-2274.699707 2899.103271 96.368469	0.458 0.059 0.040
item_ammo_357_ttt	-2251.778320 2899.674561 96.328308	0.450 0.069 0.056
weapon_ttt_g3sg1	389.141876 -852.551147 193.330338	-0.827 1.982 -87.937
weapon_ttt_g3sg1	379.955719 -821.141602 193.333069	-0.835 1.979 -87.920
weapon_ttt_g3sg1	-414.305634 2940.713379 1.230287	-0.288 0.046 -87.668
weapon_ttt_g3sg1	-2274.396484 2924.207520 97.352875	-0.898 1.904 -87.793
ttt_random_weapon	2534.394287 1243.728760 33.248028	1.332 4.005 -93.841
ttt_random_weapon	2521.919189 1168.620239 33.248028	1.332 3.984 -93.841
ttt_random_weapon	2469.858154 1230.177734 33.248047	1.332 4.027 -93.841
ttt_random_weapon	2470.506836 1209.924316 33.248032	1.332 3.965 -93.841
ttt_random_weapon	2459.873779 1179.649658 33.248028	1.332 3.977 -93.841
ttt_random_weapon	2461.446289 1163.428711 33.248028	1.332 3.901 -93.841
ttt_random_weapon	2108.530029 1209.506714 33.248028	1.332 4.012 -93.841
ttt_random_weapon	2028.638184 1208.277710 33.248028	1.332 3.977 -93.841
ttt_random_weapon	1708.011353 1444.337646 1.169741	1.696 5.346 -93.031
ttt_random_weapon	1385.992432 1434.249023 1.192748	1.589 5.347 -93.269
ttt_random_weapon	1269.086060 870.204773 1.168508	1.701 5.346 -93.019
ttt_random_weapon	1218.654419 855.138000 97.232460	1.509 5.897 -93.436
ttt_random_weapon	1066.082520 869.010193 129.232010	1.514 5.897 -93.425
ttt_random_weapon	1061.673828 842.118774 129.228333	1.555 5.864 -93.329
ttt_random_weapon	1065.103027 795.940063 129.226959	1.571 5.903 -93.294
ttt_random_weapon	861.598145 862.106750 1.162234	1.730 5.344 -92.954
ttt_random_weapon	712.105164 -1137.559448 65.202591	1.543 5.346 -93.371
ttt_random_weapon	710.870117 -1197.333374 65.164818	1.718 5.344 -92.981
ttt_random_weapon	722.898560 -1245.687866 65.191002	1.597 5.347 -93.251
ttt_random_weapon	728.282471 -1317.831787 65.210709	1.505 5.344 -93.455
ttt_random_weapon	727.971497 -1382.635254 65.187477	1.613 5.347 -93.215
ttt_random_weapon	727.846558 -1428.813965 65.170891	1.690 5.346 -93.043
ttt_random_weapon	686.925476 -868.153442 65.231277	1.410 5.340 -93.667
ttt_random_weapon	668.602844 -839.263062 65.160950	1.736 5.347 -92.941
ttt_random_weapon	665.869385 -906.666748 65.186546	1.618 5.347 -93.205
ttt_random_weapon	585.403625 -834.798767 65.164345	1.700 6.486 -93.098
ttt_random_weapon	593.315247 -918.197266 65.233841	1.398 5.339 -93.694
ttt_random_weapon	-63.219296 -1368.264282 1.173217	1.680 5.348 -93.067
ttt_random_weapon	-108.830910 -1362.294189 1.190195	1.601 5.347 -93.242
ttt_random_weapon	-173.965134 -1362.562988 1.172084	1.685 5.345 -93.055
ttt_random_weapon	-239.835205 -1363.455078 1.166115	1.713 5.344 -92.994
ttt_random_weapon	-730.963013 -1370.796021 1.195984	1.574 5.346 -93.302
ttt_random_weapon	-861.770020 -675.663086 1.215232	1.494 5.262 -93.506
ttt_random_weapon	-846.949036 -616.507507 1.177716	1.660 5.346 -93.113
ttt_random_weapon	-850.215759 -432.066650 1.226081	1.434 5.341 -93.613
ttt_random_weapon	-832.789856 -349.175385 1.194046	1.654 5.313 -93.327
ttt_random_weapon	-607.692932 -32.802925 1.161045	1.737 5.346 -92.941
ttt_random_weapon	-680.857483 -39.584816 1.159737	1.743 5.342 -92.928
ttt_random_weapon	-775.046143 -36.730946 1.169799	1.697 5.346 -93.032
ttt_random_weapon	474.481689 -1579.838379 128.725357	1.589 3.713 -93.252
ttt_random_weapon	444.590210 -1546.415161 128.717361	1.681 3.733 -93.043
ttt_random_weapon	423.537872 -1557.940430 128.715454	1.702 3.738 -92.993
ttt_random_weapon	-108.430939 -1487.123901 65.176514	1.664 5.346 -93.101
ttt_random_weapon	-278.273743 -1477.765381 65.188004	1.629 5.266 -93.229
ttt_random_weapon	941.167297 3092.757080 1.195035	1.601 5.280 -93.292
ttt_random_weapon	945.419006 3128.451660 1.163981	1.728 5.343 -92.970
ttt_random_weapon	967.951233 3247.014160 129.248032	1.332 4.705 -93.841
ttt_random_weapon	969.706177 3277.589355 129.248032	1.332 4.004 -93.841
ttt_random_weapon	883.346619 3276.545410 65.248055	1.332 4.801 -93.840
ttt_random_weapon	885.110718 3249.052246 65.248032	1.332 3.984 -93.841
ttt_random_weapon	903.448730 3266.355225 65.239288	1.241 5.832 -93.832
ttt_random_weapon	1714.482666 3814.372070 49.200363	1.574 5.279 -93.347
ttt_random_weapon	1762.438354 3816.655029 49.172424	1.688 5.344 -93.058
ttt_random_weapon	1741.089722 3753.940918 49.215134	1.487 5.343 -93.500
ttt_random_weapon	1739.162964 3664.468750 49.207367	1.524 5.344 -93.419
ttt_random_weapon	1736.117310 3640.442139 49.181049	1.648 5.346 -93.147
ttt_random_weapon	1680.817749 3704.165771 97.231453	1.520 5.914 -93.410
ttt_random_weapon	1639.843628 3755.477539 145.234604	1.484 5.908 -93.492
ttt_random_weapon	1639.000854 3726.061523 49.162701	1.734 5.344 -92.957
ttt_random_weapon	1639.523804 3705.522217 49.194641	1.584 5.346 -93.288
ttt_random_weapon	1124.194214 3154.482178 -62.753609	1.276 5.077 -94.253
ttt_random_weapon	1130.125610 3129.495850 -62.751965	1.332 4.020 -93.841
ttt_random_weapon	1106.681274 3142.146240 -62.751968	1.332 4.012 -93.841
ttt_random_weapon	1061.089478 3122.970215 1.248029	1.332 4.746 -93.841
ttt_random_weapon	1060.546875 3154.699707 1.248030	1.332 3.971 -93.841
ttt_random_weapon	1061.278687 3255.210938 -126.829926	1.699 5.345 -93.034
ttt_random_weapon	1060.008057 3279.284668 -126.768387	1.409 5.339 -93.670
ttt_random_weapon	1063.189697 3302.982910 -126.840263	1.777 5.263 -92.937
ttt_random_weapon	-2360.254883 2909.261719 209.226532	1.576 5.915 -93.283
ttt_random_weapon	-2345.443848 2852.589600 209.227173	1.568 5.916 -93.300
ttt_random_weapon	-2412.757568 2847.187256 161.228363	1.555 5.770 -93.331
ttt_random_weapon	-2408.875244 2878.113037 161.238922	1.435 5.893 -93.605
ttt_random_weapon	-2341.659424 2747.234863 129.228745	1.551 5.918 -93.340
ttt_random_weapon	-1258.115356 1996.771606 -190.819168	1.646 5.347 -93.145
ttt_random_weapon	-1190.392456 1931.432739 -190.835022	1.720 5.344 -92.981
ttt_random_weapon	-921.881836 1915.283081 -190.751968	1.332 4.774 -93.841
ttt_random_weapon	-920.717651 1950.263794 -190.751968	1.332 4.718 -93.841
ttt_random_weapon	-918.244202 2265.963623 -190.751968	1.332 3.950 -93.841
ttt_random_weapon	-933.692871 1787.273193 -190.751923	1.332 4.025 -93.840
ttt_random_weapon	-935.079773 1582.237915 -190.751953	1.332 4.009 -93.841
ttt_random_weapon	-977.207092 1311.761597 -190.751953	1.332 4.009 -93.841
ttt_random_weapon	637.856873 1319.628052 33.248058	1.332 4.025 -93.840
ttt_random_weapon	519.700439 1322.399170 33.248032	1.332 3.975 -93.841
ttt_random_weapon	-88.194252 1653.503784 33.248032	1.332 3.988 -93.841
ttt_random_weapon	-227.602539 1587.766846 33.248032	1.332 3.950 -93.841
ttt_random_weapon	-203.604385 1273.306763 33.248028	1.332 3.930 -93.841
ttt_random_weapon	-135.578873 1178.588623 33.248032	1.332 3.965 -93.841
ttt_random_weapon	-1146.730469 1483.787598 1.171260	1.714 5.277 -93.049
ttt_random_weapon	2519.599121 415.826996 1.159806	1.744 5.342 -92.928
ttt_random_weapon	2513.770508 462.409973 1.161107	1.738 5.346 -92.942
ttt_random_weapon	2356.013428 449.470215 1.168655	1.703 5.346 -93.020
ttt_random_weapon	2226.076172 470.021057 1.204024	1.537 5.345 -93.385
ttt_random_weapon	2088.894531 515.055115 1.230941	1.526 4.506 -93.397
ttt_random_weapon	1830.459473 493.555176 1.218335	1.471 5.343 -93.533
ttt_random_weapon	1694.727661 501.011261 1.191982	1.594 5.347 -93.261
ttt_random_weapon	1865.433350 862.066895 1.184658	1.626 5.348 -93.186
ttt_random_weapon	-15.010965 3715.478271 49.189579	1.608 5.346 -93.235
ttt_random_weapon	-29.056747 3665.509277 49.207375	1.524 5.344 -93.419
ttt_random_weapon	786.907776 3804.600342 49.332523	2.210 -1.180 -93.928
ttt_random_weapon	780.988464 3660.769531 49.190464	1.604 5.347 -93.244
ttt_random_weapon	779.483582 3717.841553 49.193024	1.592 5.347 -93.271
ttt_random_weapon	752.781921 3768.462646 49.200020	1.559 5.346 -93.343
ttt_random_weapon	504.809357 2118.712646 97.229736	1.539 5.896 -93.366
ttt_random_weapon	-1749.007446 2085.772949 129.233429	1.498 5.889 -93.462
weapon_zm_molotov	-2597.113281 2787.206055 32.165535	-2.356 -1.359 -1.289
weapon_zm_molotov	-2611.350098 2699.977295 32.160522	-2.540 -1.297 -1.390
weapon_zm_molotov	-2608.313721 2685.790771 32.157326	-2.661 -1.239 -1.453
weapon_zm_molotov	-2621.560303 2613.626953 32.176937	-1.938 -1.429 -1.060
weapon_zm_molotov	-2635.327148 2572.582031 32.171074	-2.153 -1.401 -1.178
weapon_zm_molotov	-2640.086182 2530.762695 32.188854	-1.501 -1.481 -0.821
weapon_zm_molotov	-2590.416504 2491.970215 32.155079	-2.739 -1.229 -1.501
