# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_saw
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	1863.423218 -2450.041016 162.536331	-0.061 -0.000 0.061
ttt_playerspawn	1741.236328 -2442.661621 162.537277	-0.060 -0.000 0.060
ttt_playerspawn	1559.659302 -2472.770752 162.572159	-0.027 -0.000 0.026
ttt_playerspawn	1391.818848 -2464.014160 162.536331	-0.061 -0.000 0.061
ttt_playerspawn	1400.968018 -2598.069336 162.520172	-0.076 -0.000 0.076
ttt_playerspawn	1597.808960 -2591.176025 162.566162	-0.032 -0.000 0.032
ttt_playerspawn	1745.951172 -2587.315918 162.546860	-0.051 -0.000 0.051
ttt_playerspawn	1851.670288 -2589.403076 162.517731	-0.079 -0.000 0.079
ttt_playerspawn	1424.890015 -2713.686523 162.552170	-0.046 -0.000 0.046
ttt_playerspawn	1545.338623 -2708.158447 162.559464	-0.039 -0.000 0.039
ttt_playerspawn	4708.992188 -4152.049316 306.528900	0.002 0.107 0.195
ttt_playerspawn	4590.578613 -4116.222656 306.520691	-0.032 -0.000 0.032
ttt_playerspawn	4468.281250 -4108.290039 306.564789	-0.000 0.879 -0.112
ttt_playerspawn	4470.000000 -4231.349609 306.530273	-0.145 0.074 -0.050
ttt_playerspawn	4581.788086 -4232.506836 306.545593	-0.022 -0.000 0.022
ttt_playerspawn	4704.853516 -4235.045898 306.525330	0.030 0.000 0.030
ttt_playerspawn	4631.630371 -4377.796387 306.521332	-0.257 0.018 -0.007
ttt_playerspawn	4554.187012 -4373.083984 306.504974	-0.038 -0.000 0.038
ttt_playerspawn	4465.178223 -4375.986328 306.542908	-0.179 0.032 0.002
ttt_playerspawn	5400.742188 -2789.387451 450.519501	-0.032 -0.000 0.032
ttt_playerspawn	5505.363770 -2797.633301 450.521881	-0.031 -0.000 0.031
ttt_playerspawn	5517.458496 -2623.634521 450.514496	-0.034 -0.000 0.034
ttt_playerspawn	5411.804688 -2625.605713 450.551758	-0.019 -0.000 0.019
ttt_playerspawn	5241.791992 -2678.071777 486.514496	-0.034 -0.000 0.034
ttt_playerspawn	5235.337402 -2535.547607 486.551758	-0.019 -0.000 0.019
ttt_playerspawn	5576.602051 -2502.486572 450.550201	0.055 0.003 0.099
ttt_playerspawn	6060.588379 -2720.175293 450.525330	-0.030 -0.000 0.030
ttt_playerspawn	5920.928223 -2729.217773 450.521881	-0.031 -0.000 0.031
ttt_playerspawn	5769.492676 -2733.938477 450.521881	-0.031 -0.000 0.031
ttt_playerspawn	6033.466309 -2547.562500 450.494385	-0.043 -0.000 0.043
ttt_playerspawn	5926.303711 -2539.694580 450.523041	-0.031 -0.000 0.031
ttt_playerspawn	5797.614258 -2546.052002 450.514496	-0.034 -0.000 0.034
ttt_playerspawn	5669.437012 -2590.510010 306.513489	-0.085 -0.000 0.085
ttt_playerspawn	5811.325195 -2585.098877 306.548950	-0.050 -0.000 0.050
ttt_playerspawn	5977.503906 -2593.775635 306.527802	-0.071 -0.000 0.071
ttt_playerspawn	5290.322266 -2813.729248 306.527802	-0.071 -0.000 0.071
ttt_playerspawn	5566.944824 -2832.385986 306.528900	-0.069 -0.000 0.069
ttt_playerspawn	5274.588379 -2601.544678 306.533051	-0.065 -0.000 0.065
ttt_playerspawn	4813.614258 -4120.396484 594.504944	-0.038 -0.000 0.038
ttt_playerspawn	4699.625977 -4119.262207 594.557251	0.064 0.226 -0.037
ttt_playerspawn	4676.939941 -4404.739746 594.497498	-0.041 -0.000 0.041
ttt_playerspawn	4839.237793 -4396.898438 594.510498	-0.036 -0.000 0.036
ttt_playerspawn	4885.978516 -4245.453125 594.524170	-0.030 -0.000 0.030
ttt_playerspawn	4884.241699 -4326.886719 594.503479	-0.039 -0.000 0.039
ttt_playerspawn	4508.834473 -4259.806152 594.494385	-0.043 -0.000 0.042
ttt_playerspawn	4594.176270 -4263.570313 594.575806	-0.010 -0.000 0.010
ttt_playerspawn	4449.123535 -4149.839844 594.549011	0.034 -0.100 0.085
ttt_playerspawn	5052.968750 -4083.109131 306.471191	-0.013 -0.000 0.013
ttt_playerspawn	4555.739746 -3968.498291 98.556084	-0.043 -0.000 0.043
ttt_playerspawn	4799.687988 -3997.627930 98.535042	-0.063 -0.000 0.063
ttt_playerspawn	4764.487305 -4287.381836 98.537910	-0.061 -0.000 0.061
ttt_playerspawn	4556.920410 -4298.842285 98.544960	-0.054 -0.000 0.054
weapon_ttt_ak47	4683.512207 -4179.740234 120.892509	0.095 12.086 -87.861
weapon_ttt_ak47	3102.876465 -1951.551880 335.101257	3.336 -3.431 -96.936
item_box_buckshot_ttt	3733.919678 -1566.541382 432.425079	-0.735 -0.000 0.569
item_box_buckshot_ttt	3734.080078 -1581.552124 432.382355	-0.393 0.000 0.403
weapon_ttt_smokegrenade	2715.965332 -1936.175781 367.234222	-1.223 -1.349 -1.830
weapon_ttt_smokegrenade	2721.312500 -1930.617554 367.305237	-0.499 -1.743 -0.758
item_ammo_357_ttt	5012.792969 -3543.597900 448.433472	1.590 -0.135 -0.726
item_ammo_357_ttt	4741.079102 -3330.613525 476.319885	0.488 0.365 -0.009
item_ammo_357_ttt	4753.791504 -3330.391846 476.438446	0.657 -0.255 -0.046
item_ammo_357_ttt	4741.064453 -2423.786133 339.715118	0.855 2.315 0.057
item_ammo_357_ttt	4730.511719 -2453.479736 339.689362	0.806 0.385 -0.009
item_ammo_revolver_ttt	2706.760010 -1931.491455 320.810974	0.454 1.140 0.028
item_ammo_revolver_ttt	2721.427490 -1933.518799 321.308380	0.442 -0.316 0.043
item_ammo_revolver_ttt	3421.720703 -3722.658203 207.213776	0.435 0.026 0.045
item_ammo_revolver_ttt	3431.490723 -3722.073730 207.211746	0.435 0.026 0.046
item_ammo_smg1_ttt	4694.234375 -4206.110840 120.386406	0.088 -0.005 0.047
item_ammo_smg1_ttt	4667.854004 -4208.439941 120.389053	0.099 -0.005 0.054
item_ammo_smg1_ttt	4706.776855 -3820.383301 140.537186	-0.794 0.008 -0.588
item_ammo_smg1_ttt	4718.730469 -3812.087158 140.466599	0.822 -0.003 0.537
item_ammo_smg1_ttt	3090.593506 -1946.528687 301.107513	-0.006 1.457 0.000
item_ammo_smg1_ttt	3090.447266 -1919.634033 301.133301	-0.009 -0.117 0.013
item_ammo_smg1_ttt	2711.997559 -1932.730469 295.684570	0.191 26.314 0.127
item_ammo_smg1_ttt	4351.666504 -1510.788330 288.457550	-0.203 0.770 0.106
item_ammo_smg1_ttt	4369.092773 -1510.552490 288.512207	0.049 0.003 -0.025
item_ammo_smg1_ttt	1733.735352 -2733.941895 160.459290	0.178 0.580 0.028
item_ammo_smg1_ttt	2069.979004 -1551.218262 339.824432	0.494 -1.030 -0.145
item_ammo_smg1_ttt	2070.225342 -1581.058105 339.852051	-0.815 -2.016 0.368
item_ammo_smg1_ttt	3117.243652 -1919.850586 300.207428	-0.009 0.102 -0.007
item_ammo_smg1_ttt	3116.956055 -1946.988770 300.267670	0.029 0.600 -0.019
item_ammo_smg1_ttt	2789.453613 -1119.121094 342.647949	-0.129 -90.386 0.183
item_ammo_pistol_ttt	4633.653320 -3835.642090 131.526489	0.066 0.021 -0.015
item_ammo_pistol_ttt	4641.075195 -3836.294434 131.459915	0.122 0.020 -0.028
item_ammo_pistol_ttt	2705.425781 -1933.793335 345.927338	0.004 -0.006 0.014
item_ammo_pistol_ttt	2714.075684 -1934.348755 345.994019	0.003 0.956 0.014
ttt_random_weapon	4309.164063 -1507.581421 335.995392	2.182 -44.306 -91.196
ttt_random_weapon	4440.610352 -884.281433 312.710785	1.082 -7.002 -95.536
ttt_random_weapon	4476.048340 -884.695496 312.660828	1.525 -8.416 -92.538
ttt_random_weapon	4521.380371 -884.741699 312.709381	1.347 -6.836 -93.712
ttt_random_weapon	4006.956055 -942.046814 321.164673	2.211 4.349 -92.672
ttt_random_weapon	3681.152588 -1105.480713 314.180878	-4.682 -0.215 -4.909
ttt_random_weapon	3646.107666 -1105.454590 313.921509	-5.412 -1.181 -2.806
ttt_random_weapon	3610.960693 -1105.500610 314.020569	-5.437 -0.986 -3.521
ttt_random_weapon	3251.656494 -1366.756836 353.310699	1.381 -6.646 -94.201
ttt_random_weapon	3199.868408 -1768.210815 337.224426	1.600 4.761 -93.228
ttt_random_weapon	3206.181885 -1957.430542 321.221863	1.954 10.016 -92.447
ttt_random_weapon	3177.571533 -1923.362305 321.211060	2.060 -5.150 -92.206
ttt_random_weapon	3020.003418 -1467.668823 289.222900	1.617 4.980 -93.189
ttt_random_weapon	2781.255127 -1556.687378 289.245636	1.251 -37.946 -94.441
ttt_random_weapon	2943.464111 -1279.109863 320.778809	7.607 0.632 -6.475
ttt_random_weapon	2938.681396 -1256.697144 353.212280	2.321 5.661 -91.816
ttt_random_weapon	2929.754639 -1234.647095 322.504852	-5.221 0.564 -6.707
ttt_random_weapon	2799.222412 -2659.530273 368.451569	1.882 5.409 -92.581
ttt_random_weapon	2861.243408 -2606.687500 357.204468	1.486 0.522 -8.088
ttt_random_weapon	2862.631592 -2583.733154 356.488556	7.447 -0.318 -7.180
ttt_random_weapon	2847.355469 -2530.088623 343.577667	1.739 3.974 -92.910
ttt_random_weapon	2853.197998 -2533.965332 383.390686	-4.526 0.841 -1.807
ttt_random_weapon	2762.614258 -2227.517334 321.244232	1.582 7.109 -93.698
ttt_random_weapon	2764.927979 -2242.840088 321.214691	1.950 5.616 -92.556
ttt_random_weapon	2837.757080 -2400.635742 337.844513	1.332 -5.686 -93.841
ttt_random_weapon	2866.027832 -2403.894531 341.076569	1.524 2.705 -93.401
ttt_random_weapon	2864.604492 -2400.008057 306.927277	1.317 7.293 -95.720
ttt_random_weapon	2841.799561 -2396.239014 313.001862	1.658 5.785 -93.094
ttt_random_weapon	2865.490234 -2408.939697 372.504486	-1.778 -14.164 -99.369
ttt_random_weapon	2835.707520 -2402.222656 370.969025	1.887 -13.523 -92.574
ttt_random_weapon	2868.424316 -2401.475098 394.725433	1.559 -18.560 -93.321
ttt_random_weapon	2834.500000 -2401.739990 393.591278	2.166 -6.645 -91.652
ttt_random_weapon	2917.699463 -2550.287842 289.221741	1.630 4.989 -93.159
ttt_random_weapon	2919.036377 -2523.249023 289.237274	1.454 4.970 -93.561
ttt_random_weapon	3116.799316 -2265.277588 329.582642	1.860 4.779 -92.631
ttt_random_weapon	3119.770996 -2192.117432 353.485077	1.793 4.774 -92.785
ttt_random_weapon	3123.944336 -2226.392334 353.473114	1.928 4.784 -92.476
ttt_random_weapon	3491.309570 -2331.074219 340.982971	2.749 1.050 -91.879
ttt_random_weapon	3486.765869 -2344.291504 341.810516	2.765 -3.186 -91.137
ttt_random_weapon	4332.640137 -2225.430420 330.658569	1.720 4.016 -92.952
ttt_random_weapon	4333.842773 -2244.406738 331.426392	1.703 7.330 -92.991
ttt_random_weapon	4334.860352 -2229.662842 303.683655	1.890 -37.506 -92.563
ttt_random_weapon	4331.560059 -2261.406738 334.296112	1.561 -3.500 -93.317
ttt_random_weapon	4336.437012 -2224.679932 382.355957	1.872 26.425 -94.200
ttt_random_weapon	4332.954102 -2226.276855 354.526001	-0.000 45.000 90.000
ttt_random_weapon	4337.719727 -2258.253662 356.789825	-1.515 -35.627 -94.248
ttt_random_weapon	4326.996094 -2250.516357 306.313385	2.141 -47.334 -91.995
ttt_random_weapon	4352.172363 -2133.966064 368.464874	1.658 -16.640 -93.387
ttt_random_weapon	3813.843018 -2947.563232 342.371063	1.784 -8.721 -92.806
ttt_random_weapon	3814.325684 -2879.293945 338.013336	1.649 4.213 -93.115
ttt_random_weapon	3815.926270 -2856.897705 338.896973	1.623 -1.715 -93.174
ttt_random_weapon	3810.236572 -2840.445068 341.898712	1.656 -0.423 -93.099
ttt_random_weapon	3808.261230 -2990.967041 342.304688	1.575 -23.745 -93.284
ttt_random_weapon	3811.666504 -2971.785645 342.298950	2.054 -7.258 -92.187
ttt_random_weapon	3837.362305 -3454.199463 369.902130	1.482 0.701 -93.498
ttt_random_weapon	3838.208496 -3485.075439 387.900391	-2.348 1.298 85.336
