# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_sonic_v4
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	871.580933 3500.230713 104.186836	-0.012 -0.243 0.011
ttt_playerspawn	997.301453 3479.558350 106.363792	-0.014 0.164 0.014
ttt_playerspawn	274.511841 182.447647 16.541906	0.215 -1.102 0.023
ttt_playerspawn	256.839508 348.229858 11.753268	0.298 0.119 -0.090
ttt_playerspawn	147.806076 335.281036 8.665588	0.053 -0.096 -0.115
ttt_playerspawn	139.012833 198.329788 9.319928	0.028 -2.981 -0.145
ttt_playerspawn	-312.537140 151.629669 15.124259	0.165 -0.386 -0.001
ttt_playerspawn	-142.034119 151.089722 6.150176	0.146 -2.741 0.036
ttt_playerspawn	-295.562225 326.944641 14.551378	-0.190 -1.959 -0.048
ttt_playerspawn	-154.978775 323.919006 12.289000	-0.002 -1.733 0.209
ttt_playerspawn	-378.625336 -141.150696 -64.763260	-2.542 -3.083 9.230
ttt_playerspawn	-387.776581 -275.181549 -76.635933	-1.874 -0.833 1.945
ttt_playerspawn	-182.789307 -151.715012 -54.301746	-0.942 1.221 -2.366
ttt_playerspawn	-181.551437 -305.337830 -67.921494	-0.323 -3.473 1.028
ttt_playerspawn	114.934174 -125.444244 -47.986919	0.126 -1.140 1.439
ttt_playerspawn	108.784882 -269.922211 -54.815662	6.032 1.012 3.770
ttt_playerspawn	348.630402 -113.836266 -58.103214	1.787 -1.695 6.207
ttt_playerspawn	345.231689 -225.379074 -65.921883	0.030 -2.524 5.396
ttt_playerspawn	-2.097529 287.565765 5.415894	-0.051 0.557 0.050
ttt_playerspawn	-9.196992 148.649246 8.204624	-0.063 -1.301 0.063
ttt_playerspawn	-27.933636 -180.063644 -55.149643	0.123 -1.395 -4.739
ttt_playerspawn	660.986023 -199.355698 -57.000729	4.102 -0.232 6.070
ttt_playerspawn	-1645.814819 866.062012 190.647125	-0.015 -0.502 0.015
ttt_playerspawn	-1814.778809 935.907349 189.579132	-0.012 -2.876 -0.012
ttt_playerspawn	-276.456757 3571.328369 -26.344067	0.035 -0.909 -0.037
ttt_playerspawn	-147.088882 3574.335205 -23.524446	0.079 -0.370 -0.080
ttt_playerspawn	-0.566488 3579.351318 -25.445387	-0.034 0.112 0.037
ttt_playerspawn	137.253021 3573.331787 -15.848853	-0.062 -0.087 0.063
ttt_playerspawn	282.174988 3572.807617 -22.032604	-0.081 0.306 0.081
ttt_playerspawn	318.694489 3431.513916 -26.241205	-0.070 -0.371 0.071
ttt_playerspawn	135.259811 3407.966064 -19.431435	0.071 -0.304 -0.071
ttt_playerspawn	16.240335 3408.260742 -16.307129	-0.058 -1.232 0.058
ttt_playerspawn	-136.095856 3425.198975 -27.907312	0.083 -0.703 0.083
ttt_playerspawn	-284.245453 3435.977539 -28.393805	0.063 0.024 0.066
ttt_playerspawn	-1600.089966 3041.183838 -7.184901	-0.079 1.094 0.080
ttt_playerspawn	-1371.770508 3034.786377 54.711910	-0.046 -0.766 0.048
ttt_playerspawn	-1383.942139 2814.446045 101.330711	-0.072 -0.173 0.072
ttt_playerspawn	-1574.912231 2799.016357 133.279236	0.090 -1.760 0.090
ttt_playerspawn	-220.438812 229.551193 7.700082	0.054 1.559 -0.247
ttt_playerspawn	213.411667 264.201447 7.035521	0.007 -0.896 -0.129
ttt_playerspawn	1033.656616 841.940430 164.442291	-0.012 3.580 0.012
ttt_playerspawn	1159.776855 874.180664 161.572281	-0.100 0.350 0.068
ttt_playerspawn	1073.869751 930.175110 158.812637	-0.010 -1.628 0.010
ttt_playerspawn	924.361328 3563.128418 104.462967	-0.146 -2.802 0.049
weapon_ttt_ak47	1144.615356 -294.984283 40.909912	0.066 12.895 -87.838
item_box_buckshot_ttt	444.444000 2125.833008 144.481613	-0.705 -0.011 0.907
item_box_buckshot_ttt	456.089050 2124.157959 144.467743	-1.031 -0.021 1.322
item_box_buckshot_ttt	446.310486 2108.542725 144.417847	0.933 -0.009 0.129
item_box_buckshot_ttt	457.938141 2106.319336 144.414139	0.814 -0.009 0.254
item_ammo_357_ttt	914.050720 986.367126 152.409225	1.184 -0.040 -0.875
item_ammo_357_ttt	926.389709 987.074524 152.397095	1.325 -0.058 -1.049
item_ammo_357_ttt	529.193970 2429.499756 144.421600	1.041 -0.029 -0.697
item_ammo_357_ttt	541.597290 2431.455078 144.433182	0.907 -0.023 -0.531
item_ammo_357_ttt	365.697418 591.473694 -127.575661	1.013 -0.028 -0.652
item_ammo_357_ttt	352.510162 591.554199 -127.577080	1.029 -0.029 -0.672
item_ammo_revolver_ttt	1503.830444 2041.679810 4.438419	0.847 -0.021 -0.457
item_ammo_revolver_ttt	1490.549072 2041.824707 4.423796	1.016 -0.027 -0.667
item_ammo_revolver_ttt	1483.263306 2198.073486 4.409266	1.184 -0.040 -0.875
item_ammo_revolver_ttt	1499.079224 2196.834717 4.403475	1.251 -0.047 -0.958
item_ammo_revolver_ttt	1157.136475 2311.139404 32.419968	1.063 -0.031 -0.715
item_ammo_revolver_ttt	1151.435913 2298.172363 32.418430	1.081 -0.033 -0.736
item_ammo_revolver_ttt	978.379211 2777.148193 264.438812	0.841 -0.021 -0.450
item_ammo_revolver_ttt	997.447815 2773.855225 264.452271	0.685 -0.018 -0.257
item_ammo_revolver_ttt	981.844604 2796.246094 264.428986	0.955 -0.025 -0.590
item_ammo_revolver_ttt	770.394836 1403.869019 -127.583191	1.100 -0.033 -0.759
item_ammo_revolver_ttt	770.702515 1387.889282 -127.590050	1.180 -0.041 -0.856
item_ammo_revolver_ttt	748.359741 1404.202393 -127.573647	0.989 -0.027 -0.623
item_ammo_revolver_ttt	746.037415 1390.343140 -127.581581	1.081 -0.033 -0.736
item_ammo_revolver_ttt	730.447449 1420.189087 -127.581573	1.081 -0.033 -0.736
item_ammo_revolver_ttt	731.912231 1396.834473 -127.582382	1.091 -0.033 -0.747
item_ammo_smg1_ttt	1159.879028 -306.448608 40.499760	-0.840 0.011 -0.624
item_ammo_smg1_ttt	1552.930542 1536.461670 152.406555	0.211 -0.005 0.130
item_ammo_smg1_ttt	1579.927124 1535.661255 152.483398	-0.791 0.003 -0.637
item_ammo_smg1_ttt	1403.348389 1840.991089 152.408905	0.236 -0.005 0.147
item_ammo_smg1_ttt	1381.916016 1840.015381 152.474808	0.565 -0.014 0.257
item_ammo_smg1_ttt	1362.801514 1840.502808 152.404175	0.186 -0.005 0.113
item_ammo_smg1_ttt	1346.245117 1843.161743 152.430603	0.735 -0.002 0.481
item_ammo_smg1_ttt	1532.794189 2132.712646 8.399289	0.150 -0.005 0.089
item_ammo_smg1_ttt	1514.628296 2134.916992 8.424424	0.522 -0.004 0.338
item_ammo_smg1_ttt	971.032532 3952.181885 144.530914	-0.395 -0.028 0.414
item_ammo_smg1_ttt	989.202026 3954.228027 144.482437	-0.142 -2.099 0.187
item_ammo_smg1_ttt	732.183838 3585.845459 96.517143	-0.963 -0.395 0.326
item_ammo_smg1_ttt	746.803955 3586.120605 96.508553	-0.392 0.011 -0.320
item_ammo_smg1_ttt	1319.752197 2435.949951 264.524902	-0.193 0.015 -0.166
item_ammo_smg1_ttt	1377.437012 2436.692627 264.520599	-0.213 0.014 -0.183
item_ammo_smg1_ttt	369.917419 1985.921143 216.516403	-0.270 0.014 -0.231
item_ammo_smg1_ttt	354.120819 1987.287598 216.508026	-0.336 0.011 -0.277
item_ammo_smg1_ttt	542.100769 1808.986938 -127.522072	0.077 -0.026 0.333
item_ammo_smg1_ttt	523.874451 1807.662231 -127.473213	-0.458 -0.033 0.477
item_ammo_smg1_ttt	551.542114 1778.921753 -127.454872	-0.093 -2.960 0.063
item_ammo_smg1_ttt	566.467041 1780.742310 -127.499802	-0.002 176.118 -0.054
item_ammo_smg1_ttt	141.235443 878.031677 -127.475349	-0.494 -0.028 0.509
item_ammo_smg1_ttt	141.566528 906.852600 -127.517059	0.002 -0.027 0.361
item_ammo_smg1_ttt	160.475418 875.478516 -127.451569	0.608 -1.472 0.372
item_ammo_smg1_ttt	157.962845 908.724854 -127.524681	0.100 -0.026 0.329
item_ammo_pistol_ttt	449.175079 2059.775635 144.443649	-0.303 0.035 -0.419
item_ammo_pistol_ttt	461.441040 2057.099609 144.429642	-0.380 0.036 -0.526
item_ammo_pistol_ttt	464.359528 2035.672974 144.420746	0.428 -0.036 -0.593
item_ammo_pistol_ttt	448.832977 2038.236572 144.444473	-0.298 0.035 -0.413
item_ammo_pistol_ttt	447.221497 1738.580444 144.421783	-0.423 0.036 -0.584
item_ammo_pistol_ttt	462.195679 1738.661377 144.455383	-0.238 0.034 -0.329
item_ammo_pistol_ttt	704.328857 1247.769897 8.426315	-0.398 0.036 -0.550
item_ammo_pistol_ttt	692.383423 1246.678101 8.426314	-0.398 0.036 -0.550
item_ammo_pistol_ttt	383.251434 1286.561279 8.429518	-0.381 0.036 -0.526
item_ammo_pistol_ttt	396.538940 1289.075073 8.441863	-0.313 0.035 -0.432
weapon_ttt_g3sg1	354.929199 618.322754 -126.996353	-0.017 19.931 87.726
ttt_random_weapon	1062.466064 234.357880 153.242279	1.397 4.138 -93.692
ttt_random_weapon	924.455688 744.716248 153.222427	1.451 5.341 -93.576
ttt_random_weapon	1500.141235 1451.228149 153.186554	1.618 5.347 -93.205
ttt_random_weapon	276.958160 1668.420288 203.758530	1.332 51.264 -93.841
ttt_random_weapon	321.970886 1592.604004 145.238831	1.436 4.059 -93.602
ttt_random_weapon	320.656647 2166.198486 217.241119	1.411 4.137 -93.660
ttt_random_weapon	387.424377 1239.929077 9.242297	1.397 4.135 -93.692
ttt_random_weapon	-377.028625 386.386383 1.202957	1.704 4.270 -93.458
ttt_random_weapon	-377.759979 352.255341 1.202552	1.705 4.248 -93.540
ttt_random_weapon	-262.206146 393.743378 1.186107	1.842 4.261 -93.315
ttt_random_weapon	296.360199 395.790741 1.200146	1.727 4.269 -93.434
ttt_random_weapon	147.135956 403.917877 1.226017	1.513 4.254 -93.695
ttt_random_weapon	299.705078 137.142609 1.201193	1.716 4.244 -93.532
ttt_random_weapon	299.046478 232.346603 1.207642	1.667 4.271 -93.498
ttt_random_weapon	-159.439758 514.894531 1.240444	1.418 4.140 -93.644
ttt_random_weapon	597.378540 -59.099159 -60.566746	0.558 -8.416 88.750
ttt_random_weapon	480.121307 -58.526291 -57.964695	-0.241 -10.278 89.298
ttt_random_weapon	624.023865 -285.157074 -73.589958	4.920 -4.727 86.740
ttt_random_weapon	-432.590698 395.158905 185.198395	1.628 5.264 -93.368
ttt_random_weapon	-505.606476 290.119232 185.207123	1.795 5.365 -92.781
ttt_random_weapon	-739.539246 294.818665 185.207123	1.795 5.365 -92.781
ttt_random_weapon	-1042.165039 1050.598511 185.201859	1.854 5.364 -92.645
ttt_random_weapon	-1129.202759 1055.971558 185.239868	1.424 5.363 -93.631
ttt_random_weapon	-1850.618530 861.284546 185.205841	1.809 5.367 -92.748
ttt_random_weapon	-1781.290771 831.605408 233.726654	-2.028 -10.096 85.084
ttt_random_weapon	-2069.941162 1443.570557 -126.828232	2.191 132.153 -91.872
ttt_random_weapon	359.588623 3665.256104 -30.760460	1.428 4.058 -93.620
ttt_random_weapon	404.925903 3612.772217 -30.761852	1.444 4.061 -93.584
ttt_random_weapon	417.941620 3416.110352 -30.758461	1.406 4.139 -93.672
ttt_random_weapon	354.698059 3352.341553 -30.754963	1.366 4.045 -93.763
ttt_random_weapon	-6.822804 3679.809570 -30.758587	1.407 4.134 -93.669
ttt_random_weapon	-120.627861 3681.828369 -30.755913	1.377 4.132 -93.738
ttt_random_weapon	-255.527328 3685.506104 -30.760231	1.426 4.143 -93.626
ttt_random_weapon	-442.691376 3573.037354 -30.760223	1.426 4.143 -93.626
ttt_random_weapon	-393.993347 3616.342041 -30.757809	1.398 4.138 -93.689
ttt_random_weapon	-1165.975708 3124.074219 33.208946	1.774 4.746 -92.828
ttt_random_weapon	-928.293579 3468.209473 -11.112577	4.169 11.671 -106.282
ttt_random_weapon	-1473.926392 2895.122070 -71.382988	-6.607 -2.668 -97.283
