# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_thematrix
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	227.385498 -539.159851 417.792206	-0.125 0.044 -0.005
ttt_playerspawn	224.537308 -691.335022 417.775635	0.173 -0.240 -0.000
ttt_playerspawn	233.617386 -806.924561 417.782227	-0.189 -0.062 -0.038
ttt_playerspawn	376.054138 -841.149170 417.764740	-0.232 0.098 -0.025
ttt_playerspawn	380.268738 -714.495239 417.772186	-0.222 0.122 -0.039
ttt_playerspawn	402.424103 -579.246887 417.787109	-0.176 0.039 -0.040
ttt_playerspawn	551.725464 -828.009033 417.770752	-0.202 0.146 -0.014
ttt_playerspawn	549.223511 -712.550110 417.769745	-0.208 0.083 -0.018
ttt_playerspawn	556.558655 -585.211609 417.751801	-0.075 -0.000 0.075
ttt_playerspawn	-35.106369 -1225.185791 -35.457317	0.055 0.000 0.055
ttt_playerspawn	140.961212 -1222.575439 -35.477451	-0.074 -0.000 0.074
ttt_playerspawn	448.273102 -1373.230469 54.528149	0.069 0.000 0.069
ttt_playerspawn	299.179871 -1122.594604 190.570877	-0.028 -0.000 0.028
ttt_playerspawn	448.099213 -1387.086670 280.521362	-0.075 -0.000 0.075
ttt_playerspawn	273.986298 -1320.855713 326.532379	-0.065 -0.000 0.065
ttt_playerspawn	-47.164993 -1187.054077 416.545197	-0.052 -0.000 0.052
ttt_playerspawn	107.876617 -1210.490112 416.546021	-0.052 -0.000 0.052
ttt_playerspawn	326.142029 -917.210144 -67.457581	-0.056 -0.000 0.056
ttt_playerspawn	407.018616 -892.716614 -67.470039	-0.068 -0.000 0.068
ttt_playerspawn	-5.364454 554.505371 1.527079	-0.070 -0.000 0.070
ttt_playerspawn	-8.077073 380.917633 1.557595	-0.040 -0.000 0.041
ttt_playerspawn	-10.358630 314.692017 1.535361	-0.062 -0.000 0.062
ttt_playerspawn	-125.943916 556.480469 1.546050	-0.052 -0.000 0.052
ttt_playerspawn	-125.301071 428.232819 1.549962	-0.048 -0.000 0.048
ttt_playerspawn	-143.241974 303.157593 1.589022	-0.192 0.016 -0.165
ttt_playerspawn	134.733612 568.986267 1.539142	-0.058 -0.000 0.058
ttt_playerspawn	135.514389 451.657532 1.541831	-0.056 -0.000 0.056
ttt_playerspawn	139.360138 358.908112 1.518964	-0.078 -0.000 0.078
ttt_playerspawn	-260.009521 549.416992 1.543557	-0.054 -0.000 0.054
ttt_playerspawn	-264.952332 346.998688 1.554283	-0.044 -0.000 0.044
ttt_playerspawn	-261.950745 111.213097 1.524848	-0.072 -0.000 0.072
ttt_playerspawn	255.614349 43.531471 1.545231	-0.052 -0.000 0.052
ttt_playerspawn	260.487762 254.718201 1.542700	-0.055 -0.000 0.055
ttt_playerspawn	264.391541 478.931030 1.535361	-0.062 -0.000 0.062
ttt_playerspawn	261.643097 638.650452 1.537281	-0.060 -0.000 0.060
ttt_playerspawn	-1082.276978 582.916931 2.527383	-0.007 -0.000 0.007
ttt_playerspawn	-804.564331 604.639343 2.566786	-0.053 -0.000 0.053
ttt_playerspawn	-1867.886597 316.935364 1.467247	-0.013 -0.000 0.013
ttt_playerspawn	-1634.817383 329.284973 1.485840	-0.011 -0.000 0.011
ttt_playerspawn	-1948.750732 -217.889709 1.504743	-0.009 -0.000 0.009
ttt_playerspawn	-1937.946533 -49.162777 1.510319	-0.009 -0.000 0.009
ttt_playerspawn	-1469.166992 564.890076 1.535631	-0.006 -0.000 0.006
ttt_playerspawn	-1903.387451 -534.188477 1.561644	-0.027 0.029 0.048
ttt_playerspawn	-939.738586 -677.563232 1.536012	-0.062 -0.000 0.062
ttt_playerspawn	-1162.133057 -676.019653 1.543277	-0.055 -0.000 0.055
ttt_playerspawn	-947.119202 -122.892006 -130.475525	-0.074 -0.000 0.074
ttt_playerspawn	-965.251160 27.245340 -130.485199	-0.083 -0.000 0.083
ttt_playerspawn	-820.908081 98.999001 -130.473282	-0.072 -0.000 0.072
ttt_playerspawn	-1180.783936 -343.092072 -130.476669	-0.075 -0.000 0.075
ttt_playerspawn	340.058197 -212.303375 417.574127	0.041 -0.000 -0.041
ttt_playerspawn	90.078735 -227.276352 417.514465	-0.034 -0.000 0.034
ttt_playerspawn	219.178162 -250.496567 417.532806	-0.027 -0.000 0.027
ttt_playerspawn	479.287323 -226.678818 416.475800	0.011 -0.450 -0.025
ttt_playerspawn	-219.322220 -229.551041 416.540619	-0.058 -0.000 0.058
ttt_playerspawn	-86.722816 -229.291595 416.544952	-0.054 -0.000 0.054
ttt_playerspawn	-221.030472 -513.234070 416.516052	-0.082 -0.000 0.082
ttt_playerspawn	-202.853912 534.934143 137.518570	-0.080 -0.000 0.080
ttt_playerspawn	-195.476273 320.706085 137.539764	-0.059 -0.000 0.059
ttt_playerspawn	-216.425232 92.024734 137.548950	-0.050 -0.000 0.050
weapon_ttt_ak47	-1180.395752 416.588348 -131.116638	0.203 -169.197 87.532
item_ammo_357_ttt	15.060244 -861.633423 414.616638	0.462 0.057 0.033
item_ammo_revolver_ttt	-179.238907 -669.719604 0.368400	0.457 0.044 0.041
item_ammo_revolver_ttt	-92.051552 -1337.558838 439.372070	0.283 -1.160 -0.376
item_ammo_smg1_ttt	721.486267 -637.543396 414.631500	0.229 -0.003 0.113
item_ammo_smg1_ttt	-298.818909 -173.959534 415.518555	0.250 -0.014 -0.211
item_ammo_smg1_ttt	-285.336304 -174.005966 415.484161	0.793 -0.003 -0.641
item_ammo_smg1_ttt	53.131031 -1076.373047 432.058258	0.171 -0.147 -0.082
item_ammo_smg1_ttt	68.438553 -1076.683350 432.014313	0.346 0.011 -0.172
item_ammo_smg1_ttt	602.999878 -1009.557434 414.738647	-0.315 92.455 0.122
item_ammo_pistol_ttt	722.431030 -758.838074 414.631226	-0.085 -0.019 -0.025
item_ammo_pistol_ttt	-103.016830 -3.031280 471.414215	-0.177 -0.007 -0.046
item_ammo_pistol_ttt	-91.694199 -4.676613 471.413605	-0.074 -0.020 -0.022
item_ammo_pistol_ttt	130.127533 -1006.787170 414.571564	0.504 90.619 -0.108
weapon_ttt_g3sg1	46.576500 -873.386780 415.403290	-0.580 175.727 87.943
ttt_random_weapon	-174.656357 -613.305298 416.193115	1.952 4.926 -92.420
