# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_wanda
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	1535.241333 1178.733521 -499.034302	-1.282 0.609 -1.862
ttt_playerspawn	1479.158325 1359.027100 -504.829041	-0.840 -2.266 -1.591
ttt_playerspawn	1987.126831 2204.990723 -504.260132	-0.311 -0.536 0.733
ttt_playerspawn	1645.422729 1910.567993 -504.623810	-1.448 -2.758 1.218
ttt_playerspawn	-352.621155 -719.011841 -375.409210	-0.049 0.647 -0.057
ttt_playerspawn	-274.468445 -702.616638 -376.255768	-0.175 0.351 0.018
ttt_playerspawn	-310.809998 -603.322876 -375.571442	-0.180 1.883 0.018
ttt_playerspawn	-363.562256 -492.292816 -372.296539	-0.094 0.317 0.013
ttt_playerspawn	-404.097717 -636.255249 -375.287231	-0.043 -0.353 -0.045
ttt_playerspawn	-455.608337 -523.228149 -372.682434	-0.046 -0.903 -0.052
ttt_playerspawn	-542.151062 -611.742920 -360.049072	-0.036 -0.045 0.036
ttt_playerspawn	-576.862488 -500.963806 -357.663422	0.053 0.004 -0.062
ttt_playerspawn	-871.508728 -515.778381 -353.148254	-0.079 -0.167 0.079
ttt_playerspawn	-764.550354 -482.063141 -353.165314	-0.250 1.346 0.025
ttt_playerspawn	-881.408936 -715.610046 -359.256317	-0.073 0.616 0.073
ttt_playerspawn	-797.105835 -703.028503 -360.455841	-0.051 4.317 0.049
ttt_playerspawn	-776.600220 87.041092 -356.643646	-0.041 -0.000 0.041
ttt_playerspawn	-1045.784424 227.989807 -231.000122	-0.041 -0.264 0.062
ttt_playerspawn	-595.315674 292.075684 -357.040680	-0.059 -0.249 0.059
ttt_playerspawn	-191.922806 425.588379 -358.550690	0.044 -0.061 0.252
ttt_playerspawn	-175.513412 237.748718 -357.637848	0.053 -0.371 0.054
ttt_playerspawn	55.381046 516.545105 -357.074188	-0.079 -1.366 0.079
ttt_playerspawn	780.873962 -942.847046 584.034729	-0.046 -1.827 0.046
ttt_playerspawn	5458.733398 -509.218658 -505.968567	-0.075 0.377 0.076
ttt_playerspawn	5300.297363 -526.298340 -500.750916	-0.067 -1.565 0.068
ttt_playerspawn	5155.464844 -540.800842 -501.597748	-0.080 -0.518 0.080
ttt_playerspawn	5288.776855 -389.494781 -505.086823	-0.059 -0.177 0.061
ttt_playerspawn	5067.976563 448.721222 -522.314758	0.057 -2.736 -0.057
ttt_playerspawn	5241.602051 382.830841 -519.662354	-0.199 0.953 -0.060
ttt_playerspawn	5402.220703 365.972534 -519.317993	-0.056 -1.301 0.057
ttt_playerspawn	5626.191895 346.149048 -512.922607	-0.145 -0.649 -0.046
ttt_playerspawn	5830.813965 351.092957 -514.241394	0.002 -6.133 0.002
ttt_playerspawn	6109.378906 341.802368 -518.587463	-0.080 0.240 0.078
ttt_playerspawn	6601.201660 330.167358 -518.465027	0.005 2.268 0.077
ttt_playerspawn	6498.020996 330.599579 -518.659058	-0.039 1.952 -0.047
ttt_playerspawn	6386.065918 341.717957 -517.139404	-0.005 1.676 -0.049
ttt_playerspawn	6278.800781 348.883545 -523.344482	0.121 0.675 -0.076
ttt_playerspawn	5533.287109 525.399841 -499.981659	-0.068 0.286 0.068
ttt_playerspawn	5355.853516 545.149170 -505.308044	-0.076 0.047 0.077
ttt_playerspawn	5107.450195 33.679375 -503.985260	0.036 1.300 -0.037
ttt_playerspawn	4920.832031 43.003109 -497.881165	-0.061 -0.572 0.061
ttt_playerspawn	4809.633301 -241.464294 -503.461609	-0.048 -0.371 0.048
ttt_playerspawn	4798.707031 -107.628387 -501.813293	-0.024 4.054 0.031
ttt_playerspawn	2266.229492 -1145.833496 12.175600	-0.063 0.358 0.063
ttt_playerspawn	2102.821045 -1109.204590 4.567633	-0.082 -0.231 0.083
item_box_buckshot_ttt	4393.102539 -1128.240234 -191.619873	-0.114 -0.047 0.041
item_box_buckshot_ttt	4393.220703 -1116.989258 -191.569260	-0.070 -0.050 0.026
item_box_buckshot_ttt	4393.097168 -1100.738647 -191.641434	-0.133 -0.045 0.048
item_box_buckshot_ttt	4404.799805 -1125.439087 -191.564392	-0.594 -0.006 0.531
item_box_buckshot_ttt	4418.646973 -1126.074219 -191.543198	-0.559 -0.026 1.113
item_box_buckshot_ttt	4422.329102 -1107.663940 -191.550293	1.173 0.588 0.130
item_ammo_357_ttt	695.416321 -196.085281 384.403870	1.245 -0.046 -0.933
item_ammo_357_ttt	713.173218 -202.547165 384.447174	0.744 -0.020 -0.324
item_ammo_357_ttt	384.511414 1008.852844 -143.599197	1.281 -0.048 -0.977
