# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_westwood
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_playerspawn	2517.517090 -220.284485 -111.126846	-0.012 -0.893 0.012
ttt_playerspawn	2560.286377 -84.120827 -114.733932	-0.013 -1.012 0.013
ttt_playerspawn	2424.230469 -62.830727 -107.959969	-0.014 -0.967 0.014
ttt_playerspawn	2381.618896 -198.636307 -115.595352	-0.499 1.667 0.085
ttt_playerspawn	2316.934326 -58.473255 -117.139473	-0.008 1.679 0.009
ttt_playerspawn	2283.037354 -201.949265 -112.914886	-0.012 -0.613 0.012
ttt_playerspawn	2148.435547 254.093246 -115.592461	-0.002 -0.758 0.007
ttt_playerspawn	2177.224854 104.267899 -110.224648	-0.008 -0.749 0.008
ttt_playerspawn	1945.925903 -166.010544 -117.282738	-0.012 -1.427 0.012
ttt_playerspawn	71.928566 1786.536255 -112.932442	5.648 -0.351 -0.073
ttt_playerspawn	73.682076 1673.789795 -109.148438	4.761 -1.599 0.000
ttt_playerspawn	73.440773 1576.983154 -115.801949	0.093 -4.026 0.196
ttt_playerspawn	234.644882 1800.134521 -110.328880	-0.008 1.055 0.007
ttt_playerspawn	213.659668 1675.645142 -116.975594	-0.015 3.597 0.015
ttt_playerspawn	191.424622 1541.622314 -113.462540	-0.009 -2.428 0.009
ttt_playerspawn	294.965302 1541.307983 -112.702248	-0.011 0.421 0.010
ttt_playerspawn	330.509094 1697.091553 -116.046051	-0.011 -4.341 0.011
ttt_playerspawn	333.435608 1791.869995 -110.853760	-0.012 0.372 0.012
ttt_playerspawn	659.853821 1811.811157 -111.933823	-0.009 -3.258 0.008
ttt_playerspawn	529.533264 1797.435547 -114.096039	-0.011 0.908 0.011
ttt_playerspawn	207.888290 1404.542847 -116.311470	0.093 0.544 -0.093
ttt_playerspawn	323.650146 1449.231934 -118.275597	-0.015 -0.298 0.015
ttt_playerspawn	502.959625 1468.251587 -118.753708	-0.013 2.015 0.012
ttt_playerspawn	2155.574463 -16.503494 -115.542908	-0.008 -0.241 0.009
ttt_playerspawn	2074.177246 155.453522 -118.077309	-0.012 1.153 0.012
ttt_playerspawn	2503.354736 -314.993408 -118.659431	-0.011 4.527 0.011
ttt_playerspawn	2364.285400 -325.602692 -116.056244	-0.015 0.018 0.015
ttt_playerspawn	2191.955811 -303.252167 -116.240044	-0.012 3.484 0.012
ttt_playerspawn	1847.726685 -644.348083 -99.383850	-0.046 -4.944 0.046
