# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_67thway_v14
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	320.404907 190.896164 72.551544	0.069 -0.000 -0.069
ttt_playerspawn	318.123199 61.489868 72.548195	-0.051 -0.000 0.051
ttt_playerspawn	320.919830 -64.827477 72.535065	-0.063 -0.000 0.063
ttt_playerspawn	319.354431 -193.521118 72.583176	-0.016 -0.000 0.017
ttt_playerspawn	559.979370 1727.471191 242.519501	0.032 0.000 0.032
ttt_playerspawn	560.740845 1598.554932 242.479095	-0.049 -0.000 0.049
ttt_playerspawn	-448.543304 255.780075 72.571785	0.040 -0.000 -0.040
ttt_playerspawn	-447.971954 384.106384 72.547409	-0.051 -0.000 0.051
ttt_playerspawn	-448.360870 -514.248535 72.574348	-0.024 -0.000 0.025
ttt_playerspawn	-448.252686 -640.654053 72.534073	-0.064 -0.000 0.064
ttt_playerspawn	-446.361084 1663.150635 72.564980	-0.034 -0.000 0.034
ttt_playerspawn	-448.678772 1792.769165 72.549736	-0.049 -0.000 0.049
ttt_playerspawn	831.655945 -863.143616 -447.462067	-0.061 -0.000 0.061
ttt_playerspawn	680.158752 -714.458191 -447.428772	-0.027 -0.000 0.029
ttt_playerspawn	675.407654 -622.508667 -447.474304	-0.073 -0.000 0.073
ttt_playerspawn	1417.123535 31.919651 129.469223	-0.013 -0.000 0.013
ttt_playerspawn	1239.252563 21.876703 129.510300	-0.009 -0.000 0.009
ttt_playerspawn	1044.863647 21.365543 129.490875	-0.011 -0.000 0.011
ttt_playerspawn	-1656.893677 1489.520386 88.507805	-0.037 -0.000 0.037
ttt_playerspawn	-795.281006 911.016602 -447.543152	-0.014 -0.000 0.014
ttt_playerspawn	-794.913147 829.653687 -447.514160	-0.011 -0.000 0.011
ttt_playerspawn	-310.965332 469.416901 -447.475342	-0.072 -0.000 0.072
ttt_playerspawn	-856.682190 328.907928 68.484093	-0.012 -0.000 0.012
ttt_playerspawn	-978.937805 319.216156 68.487541	-0.011 -0.000 0.011
ttt_playerspawn	1377.283203 1211.547241 112.530769	-0.028 -0.000 0.028
ttt_playerspawn	-691.643494 -231.909546 -447.478973	-0.077 -0.000 0.077
ttt_playerspawn	-694.376160 -337.291962 -447.453369	-0.052 -0.000 0.052
ttt_playerspawn	922.898193 209.801056 -175.465897	-0.064 -0.000 0.064
ttt_playerspawn	-614.885132 2496.240479 80.553391	-0.046 -0.000 0.045
ttt_playerspawn	-617.444214 2407.576172 80.518608	-0.080 -0.000 0.080
ttt_playerspawn	-2709.176514 6204.953125 64.511879	-0.036 -0.000 0.035
ttt_playerspawn	-2242.892822 6015.012695 64.499283	0.047 -0.036 0.172
ttt_playerspawn	-2243.206055 5943.417480 64.473450	-0.051 -0.000 0.051
ttt_playerspawn	-2740.055908 5798.562012 384.534149	-0.065 -0.000 0.063
ttt_playerspawn	-1083.145386 5917.144531 64.530754	-0.029 -0.000 0.027
ttt_playerspawn	-1079.247070 5753.549805 64.528633	-0.030 -0.000 0.028
ttt_playerspawn	-1601.836548 5693.502930 64.504158	-0.283 -0.137 -0.017
ttt_playerspawn	-1608.465942 5930.867188 64.557228	-0.184 -0.159 -0.048
ttt_playerspawn	-2506.515381 5804.267578 208.536942	-0.062 -0.000 0.061
ttt_playerspawn	-2348.192139 5805.903320 208.509491	-0.089 -0.000 0.088
ttt_playerspawn	-2864.705811 5673.488770 48.484127	0.021 -0.066 0.137
ttt_playerspawn	-618.332764 2325.108887 80.518608	-0.080 -0.000 0.080
ttt_playerspawn	-620.262939 2223.260742 80.535072	-0.063 -0.000 0.063
ttt_playerspawn	-554.890564 -151.313232 232.527542	-0.029 -0.000 0.029
ttt_playerspawn	-1497.372070 -379.853333 68.500313	-0.010 -0.000 0.010
ttt_playerspawn	-1008.192383 1085.332764 68.532127	0.089 -0.000 -0.089
ttt_playerspawn	-1277.091919 1080.984009 68.539322	-0.144 -0.227 -0.079
ttt_playerspawn	320.433075 -831.278564 72.557411	-0.042 -0.000 0.041
ttt_playerspawn	-607.707886 -1409.342041 68.542442	-0.056 -0.000 0.056
weapon_ttt_ak47	-1182.226685 1563.734497 124.915710	-0.032 -0.036 -87.977
weapon_ttt_ak47	-1238.407349 1563.391235 124.837021	0.253 1.934 -87.306
item_box_buckshot_ttt	601.262024 -735.721985 75.488701	0.000 0.000 -0.500
item_box_buckshot_ttt	619.000000 -735.000000 75.488701	0.000 0.000 -0.500
item_box_buckshot_ttt	766.000000 -472.000000 162.000000	0.000 0.000 0.000
item_box_buckshot_ttt	763.000000 -489.000000 162.000000	0.000 0.000 0.000
item_box_buckshot_ttt	-976.995972 -293.803009 -446.705994	0.000 50.500 0.000
item_box_buckshot_ttt	-990.054016 -279.183990 -446.705994	0.000 50.500 0.000
item_box_buckshot_ttt	-912.965027 95.111504 105.293999	0.000 180.000 0.000
item_box_buckshot_ttt	-917.203003 76.512398 105.293999	0.000 180.000 0.000
item_box_buckshot_ttt	-913.380005 120.977997 105.293999	0.000 180.000 0.000
item_box_buckshot_ttt	-805.132996 164.878006 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-789.703003 164.832993 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-771.000000 -1007.000000 -443.000000	0.000 180.000 0.000
item_box_buckshot_ttt	-771.000000 -987.000000 -443.000000	0.000 180.000 0.000
item_box_buckshot_ttt	-771.000000 -967.000000 -443.000000	0.000 180.000 0.000
item_box_buckshot_ttt	-850.150024 749.054993 -447.705994	0.000 354.500 0.000
item_box_buckshot_ttt	-849.000000 761.000000 -447.705994	0.000 354.500 0.000
weapon_ttt_smokegrenade	-1160.369995 1447.310059 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1174.469971 1447.119995 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1191.949951 1445.790039 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1208.069946 1446.000000 149.735001	0.000 0.000 0.000
item_ammo_357_ttt	-1034.560059 219.981003 233.276001	0.000 0.000 0.000
item_ammo_357_ttt	-1031.880005 207.647003 233.276001	0.000 0.000 0.000
item_ammo_357_ttt	-1119.180054 1306.640015 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	-1120.000000 1327.160034 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	-1099.130005 1309.079956 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	-1102.530029 1328.900024 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	1008.000000 1072.000000 241.276001	0.000 0.000 0.000
item_ammo_357_ttt	1024.000000 1072.000000 241.276001	0.000 0.000 0.000
item_ammo_357_ttt	-2890.659912 5948.129883 420.276001	0.000 0.000 0.000
item_ammo_357_ttt	1220.430054 308.882996 130.276001	0.000 0.000 0.000
item_ammo_357_ttt	1239.609985 307.816010 130.276001	0.000 0.000 0.000
item_ammo_357_ttt	1028.979980 309.919006 130.276001	0.000 0.000 0.000
item_ammo_357_ttt	1045.280029 303.721008 130.276001	0.000 0.000 0.000
item_ammo_357_ttt	552.934937 1079.231445 242.321793	0.449 0.070 0.058
item_ammo_357_ttt	564.459412 1079.856567 242.350098	0.454 0.064 0.047
item_ammo_357_ttt	1100.676636 607.390381 120.227730	-9.929 0.211 11.296
item_ammo_357_ttt	1098.027466 587.294373 119.028419	-10.539 -2.860 2.186
item_ammo_revolver_ttt	-1131.000000 -314.000000 -442.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-1140.000000 -314.000000 -442.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-1074.729980 1308.380005 93.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	-1076.849976 1327.619995 93.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	-1063.760010 1308.239990 93.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	-1057.770020 1328.040039 93.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	-1047.060059 1307.280029 93.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	-1046.089966 1328.430054 93.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	-806.086975 1019.840027 -447.723999	0.000 2.500 0.000
item_ammo_revolver_ttt	-799.093994 1020.150024 -447.723999	0.000 2.500 0.000
item_ammo_revolver_ttt	-792.099976 1020.450012 -447.723999	0.000 2.500 0.000
item_ammo_revolver_ttt	-785.106018 1020.760010 -447.723999	0.000 2.500 0.000
item_ammo_smg1_ttt	1001.000000 202.000000 -165.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	1018.000000 202.000000 -165.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-907.918030 1221.760010 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-943.802979 1223.449951 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-910.419006 1253.050049 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-940.971008 1249.969971 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-924.968994 1231.949951 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-924.758972 1254.640015 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	1040.000000 1344.000000 241.345001	0.000 271.500 0.000
item_ammo_smg1_ttt	1008.000000 1360.000000 241.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-2813.560059 6225.600098 65.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-2784.580078 6227.899902 65.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-1061.000000 -286.000000 145.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-1080.000000 -1110.000000 -443.000000	0.000 90.000 0.000
item_ammo_smg1_ttt	-693.000000 962.000000 -447.000000	0.000 242.000 0.000
item_ammo_smg1_ttt	-735.000000 956.000000 -447.000000	0.000 255.000 0.000
item_ammo_smg1_ttt	-1057.000000 -1110.000000 -443.000000	0.000 90.000 0.000
item_ammo_smg1_ttt	-601.683472 -200.211945 104.418205	0.185 1.840 0.090
