# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_airbus_b3
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	403.256165 126.814262 193.092850	-0.078 6.591 -90.117
weapon_ttt_ak47	479.869415 135.688858 192.898087	0.037 7.194 -87.857
weapon_ttt_ak47	664.423645 217.819412 1.122685	-0.200 9.766 -90.237
weapon_ttt_ak47	488.921753 219.241089 0.941639	0.095 12.115 -88.363
ttt_playerspawn	-1878.069458 307.233368 196.867386	-0.054 1.759 -0.002
ttt_playerspawn	-1805.390869 284.654999 221.693619	-0.141 4.313 -45.571
ttt_playerspawn	-1802.762451 213.600235 192.547791	-0.001 -179.068 0.167
ttt_playerspawn	-1902.412354 167.129974 199.865051	-0.005 0.462 0.005
ttt_playerspawn	-2044.011963 167.771042 198.338333	-0.012 0.185 0.012
ttt_playerspawn	-2133.270752 163.810272 195.183716	-0.012 -0.092 0.012
ttt_playerspawn	-2219.968018 169.841034 198.201416	-0.012 -1.109 0.012
ttt_playerspawn	-2263.630371 168.743393 192.486084	0.045 141.643 0.015
ttt_playerspawn	-2288.545654 337.582245 200.293839	-0.012 -4.733 0.012
ttt_playerspawn	-2211.977539 343.924866 197.158783	-0.008 -0.185 0.008
ttt_playerspawn	-2117.010010 356.282471 195.218857	0.010 -1.155 0.010
ttt_playerspawn	-2009.970825 354.747986 195.330322	-0.009 -0.554 0.009
ttt_playerspawn	-1935.354126 344.150513 199.679138	-0.012 6.375 0.012
ttt_playerspawn	-1536.694092 263.730011 200.699905	0.012 3.419 0.012
ttt_playerspawn	-1593.841309 197.705780 194.604050	-0.008 -1.200 0.008
ttt_playerspawn	-1662.345703 164.745682 197.404388	-0.009 -1.525 0.009
ttt_playerspawn	-1646.143677 260.715271 196.020706	-0.014 -0.739 0.014
ttt_playerspawn	-1057.546509 203.714188 192.482346	-0.012 -0.000 0.012
ttt_playerspawn	-1070.997925 332.275482 192.510330	0.009 0.000 0.009
ttt_playerspawn	-339.787720 252.736206 197.729843	-0.015 2.032 0.015
ttt_playerspawn	-463.456451 254.502853 198.435104	-0.016 -1.201 0.016
ttt_playerspawn	-615.953186 255.667313 195.637955	-0.011 -0.739 0.011
ttt_playerspawn	-750.274719 247.438660 197.420486	-0.011 0.000 -0.011
ttt_playerspawn	-42.398018 247.674850 194.848175	-0.010 -0.185 0.010
ttt_playerspawn	1271.684814 202.636002 194.411789	-0.009 1.623 0.009
ttt_playerspawn	1198.764526 203.317902 198.470612	-0.008 0.832 0.008
ttt_playerspawn	1120.336792 204.275406 194.860489	-0.012 0.984 0.012
ttt_playerspawn	1122.689819 307.531616 193.893631	-0.012 -1.201 0.012
ttt_playerspawn	1209.456543 310.535095 195.729004	-0.013 -0.601 0.013
ttt_playerspawn	1289.610352 313.973602 195.215652	-0.015 0.462 0.015
ttt_playerspawn	1050.597412 319.122772 194.888367	-0.074 1.692 -0.048
ttt_playerspawn	1042.852783 195.390518 193.579971	-0.015 -0.739 0.015
weapon_ttt_smokegrenade	-220.000000 167.000000 -186.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-2019.000000 282.000000 236.735001	0.000 191.500 0.000
weapon_ttt_smokegrenade	-2009.000000 276.000000 236.735001	0.000 191.500 0.000
weapon_ttt_smokegrenade	-2030.000000 274.000000 236.735001	0.000 109.000 0.000
weapon_ttt_smokegrenade	-2036.000000 279.000000 236.735001	0.000 41.000 0.000
weapon_ttt_smokegrenade	-2023.000000 275.000000 236.735001	0.000 12.000 0.000
item_box_buckshot_ttt	-208.000000 369.000000 -50.581100	0.000 180.000 0.000
item_box_buckshot_ttt	-199.000000 369.000000 -50.581100	0.000 180.000 0.000
item_box_buckshot_ttt	-191.000000 369.000000 -50.581100	0.000 180.000 0.000
item_box_buckshot_ttt	-2232.000000 281.000000 232.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-2230.000000 253.000000 232.294006	0.000 13.500 0.000
item_box_buckshot_ttt	-2231.000000 268.000000 232.294006	0.000 8.000 0.000
item_box_buckshot_ttt	-2245.000000 281.000000 232.294006	0.000 93.500 0.000
item_box_buckshot_ttt	-2244.000000 268.000000 232.294006	0.000 93.500 0.000
