# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_aircraft_ccf_r2_fix2
# Exported by: Donato Dias
setting:	replacespawns 0
weapon_ttt_ak47	-580.486816 1979.742432 0.888156	0.137 13.133 -87.507
weapon_ttt_smokegrenade	-139.274994 912.283020 196.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-144.912994 901.793030 196.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	632.000000 1998.000000 26.285999	0.000 0.000 0.000
weapon_ttt_smokegrenade	656.000000 1992.000000 25.813000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-408.036011 1066.859985 -187.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-395.556000 1064.469971 -187.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	692.697998 236.580994 -187.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	582.365601 977.241699 -157.968063	-2.739 -1.229 -1.498
weapon_ttt_smokegrenade	575.112000 976.306335 -157.966949	-2.698 -1.247 -1.475
weapon_ttt_smokegrenade	756.911987 -285.610901 48.153961	-2.782 -1.170 -1.519
weapon_ttt_smokegrenade	758.328796 -300.958435 48.168350	-2.252 -1.362 -1.231
item_box_buckshot_ttt	234.669830 -1946.336914 0.376972	0.474 0.018 -0.296
item_box_buckshot_ttt	228.434189 -1964.778564 0.418913	-0.721 -0.005 0.644
item_box_buckshot_ttt	64.274155 -1993.351929 0.398562	1.053 0.029 0.868
item_box_buckshot_ttt	51.119431 -1994.069092 0.374314	-0.673 0.005 -0.488
item_box_buckshot_ttt	-101.153473 -1985.717529 0.408977	-1.015 0.096 0.803
item_box_buckshot_ttt	-117.921814 -1979.626953 0.420628	-0.758 -0.002 0.614
item_box_buckshot_ttt	-248.477707 -1939.937012 0.382153	-0.356 0.001 0.370
item_box_buckshot_ttt	-263.630096 -1927.218018 0.424414	-0.686 -0.006 0.609
item_box_buckshot_ttt	311.420685 985.727295 -191.615326	-0.998 -0.010 0.894
item_box_buckshot_ttt	320.785797 984.845825 -191.556168	-0.573 -0.004 0.448
item_box_buckshot_ttt	331.961029 985.562866 -191.614288	-1.292 -0.016 1.131
item_box_buckshot_ttt	343.495575 986.491150 -191.620834	0.114 0.003 -0.005
item_box_buckshot_ttt	-261.079895 655.840698 -191.600388	-0.891 0.009 0.763
item_box_buckshot_ttt	-251.192657 656.464111 -191.625031	0.269 -0.005 -0.156
item_box_buckshot_ttt	-241.866928 654.913391 -191.585236	-0.760 0.002 0.654
item_box_buckshot_ttt	-232.127457 656.961243 -191.532425	-0.351 0.009 0.301
item_box_buckshot_ttt	457.594604 817.451538 0.379127	0.117 0.003 -0.008
item_box_buckshot_ttt	472.697571 817.539429 0.396912	-1.052 -0.011 0.893
item_box_buckshot_ttt	456.476959 804.389526 0.433257	-0.617 -0.006 0.548
item_box_buckshot_ttt	472.893402 804.288269 0.384153	-0.775 -0.006 0.712
item_box_buckshot_ttt	221.625656 307.749603 384.376556	0.489 0.018 -0.311
