# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_alspenthouse
# Exported by: Donato Dias
setting:	replacespawns 1
ttt_playerspawn	2023.596924 -613.381653 448.566162	-0.032 -0.000 0.032
ttt_playerspawn	2023.362793 -494.481903 448.546844	0.051 0.000 0.051
ttt_playerspawn	2016.145386 33.513844 448.528168	-0.069 -0.000 0.069
ttt_playerspawn	1999.491211 197.202759 448.576294	-0.124 -0.062 -0.049
ttt_playerspawn	1690.501831 419.970825 320.536957	-0.208 -0.153 -0.008
ttt_playerspawn	1080.197998 329.274567 448.549713	-0.049 -0.000 0.049
ttt_playerspawn	1180.547485 329.292511 448.552643	-0.046 -0.000 0.046
ttt_playerspawn	643.535339 323.350983 448.527832	-0.070 -0.000 0.071
ttt_playerspawn	744.012329 312.031952 448.542419	-0.056 -0.000 0.056
ttt_playerspawn	461.868073 235.170914 448.504974	-0.038 -0.000 0.038
ttt_playerspawn	1130.012817 -559.231812 4.497280	-0.010 -0.000 0.010
ttt_playerspawn	1069.819702 -445.890900 4.532653	-0.007 -0.000 0.007
ttt_playerspawn	1014.367615 -337.986084 4.492524	-0.011 -0.000 0.011
ttt_playerspawn	971.891907 -698.648438 4.475021	-0.012 -0.000 0.012
ttt_playerspawn	922.467957 -585.465637 4.478737	-0.012 -0.000 0.012
ttt_playerspawn	834.155029 -425.181976 4.465227	-0.013 -0.000 0.013
ttt_playerspawn	1552.095459 -260.238953 4.478736	-0.012 -0.000 0.012
ttt_playerspawn	1484.786011 -128.324509 4.525160	-0.007 -0.000 0.007
ttt_playerspawn	1441.023804 -45.606560 4.465227	-0.013 -0.000 0.013
ttt_playerspawn	1397.419800 -341.523254 4.533660	-0.007 -0.000 0.007
ttt_playerspawn	1343.579834 -222.285278 4.456840	-0.014 -0.000 0.014
ttt_playerspawn	1288.742432 -118.551788 4.525160	-0.007 -0.000 0.007
ttt_playerspawn	1611.228271 -867.482483 131.818665	-0.382 0.305 -9.678
