# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_amsterville_2015
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	416.375214 2341.690674 128.541534	-0.057 -0.000 0.057
ttt_playerspawn	562.227783 2333.622070 128.518555	-0.080 -0.000 0.080
ttt_playerspawn	714.482056 2333.824707 128.537903	-0.061 -0.000 0.061
ttt_playerspawn	870.481873 2334.027832 128.558640	-0.040 -0.000 0.040
ttt_playerspawn	1005.481995 2334.203613 128.535019	-0.063 -0.000 0.063
ttt_playerspawn	1005.572815 2546.375732 128.536957	-0.061 -0.000 0.062
ttt_playerspawn	874.263733 2544.510986 128.519775	-0.078 -0.000 0.078
ttt_playerspawn	719.776978 2543.043213 128.535019	-0.063 -0.000 0.064
ttt_playerspawn	554.037048 2541.455322 128.526703	-0.071 -0.000 0.072
ttt_playerspawn	414.542267 2540.113281 128.535019	-0.063 -0.000 0.064
ttt_playerspawn	1177.302246 2381.100830 128.571335	0.041 -0.000 -0.041
ttt_playerspawn	1176.475098 2506.259033 128.538834	-0.060 -0.000 0.060
ttt_playerspawn	1799.641479 2606.864746 112.556099	-0.042 -0.000 0.044
ttt_playerspawn	1917.156006 2460.327148 112.512238	-0.086 -0.000 0.086
ttt_playerspawn	1795.045410 2300.171387 112.518608	-0.080 -0.000 0.080
ttt_playerspawn	2650.275879 446.746857 -71.478989	-0.077 -0.000 0.077
ttt_playerspawn	2706.576172 302.234955 -71.421761	-0.105 0.005 0.122
ttt_playerspawn	2871.435547 229.425415 -69.272430	-1.146 0.196 0.180
ttt_playerspawn	3105.540283 420.835938 -71.472153	-0.071 -0.000 0.070
ttt_playerspawn	2883.669922 683.165405 -71.487549	-0.052 -0.032 -0.215
ttt_playerspawn	2734.649658 611.130188 -71.471077	-0.070 -0.000 0.069
ttt_playerspawn	3037.623535 605.930115 -71.429260	-0.033 -0.000 0.024
ttt_playerspawn	3047.985596 272.558533 -71.443596	0.097 -0.005 0.108
ttt_playerspawn	563.075684 864.636047 128.544113	-0.055 -0.000 0.054
ttt_playerspawn	559.840027 975.640076 128.548950	0.050 0.000 0.050
ttt_playerspawn	554.647827 1091.545410 128.565674	-0.049 0.000 -0.049
ttt_playerspawn	650.747864 1092.525635 128.530991	-0.067 -0.000 0.067
ttt_playerspawn	645.952576 973.077087 128.568893	-0.031 0.000 0.030
ttt_playerspawn	644.850769 858.216980 128.541534	-0.057 -0.000 0.057
ttt_playerspawn	726.547852 849.088684 128.519775	-0.078 -0.000 0.078
ttt_playerspawn	723.195190 984.292175 128.541534	-0.057 -0.000 0.057
ttt_playerspawn	721.916870 1093.683594 128.529953	-0.068 -0.000 0.068
ttt_playerspawn	-1417.450806 268.058655 0.532063	-0.066 -0.000 0.066
ttt_playerspawn	-1416.170898 183.391586 0.557407	-0.041 -0.000 0.042
ttt_playerspawn	-1412.892334 90.850853 0.552671	-0.046 -0.000 0.046
ttt_playerspawn	-1312.089966 285.980011 0.543301	-0.055 -0.000 0.055
ttt_playerspawn	-1309.580566 190.571152 0.514825	-0.083 -0.000 0.083
ttt_playerspawn	-1304.267822 109.499901 0.523357	-0.075 -0.000 0.075
ttt_playerspawn	-1179.100708 195.948547 0.524502	-0.074 -0.000 0.074
ttt_playerspawn	-1169.716797 105.212143 0.525633	-0.073 -0.000 0.073
ttt_playerspawn	-1055.279175 203.645737 0.533081	-0.065 -0.000 0.065
ttt_playerspawn	-1057.985229 97.294998 0.526745	-0.072 -0.000 0.072
ttt_playerspawn	2568.684814 1252.742188 -71.448776	-0.048 -0.000 0.047
ttt_playerspawn	2758.199951 1254.665161 -71.478989	-0.077 -0.000 0.077
ttt_playerspawn	2935.196289 1257.571167 -71.454193	-0.053 -0.000 0.053
ttt_playerspawn	2568.395508 1426.217041 -71.466919	-0.066 -0.000 0.065
ttt_playerspawn	2759.643066 1421.186523 -71.447327	-0.047 -0.000 0.046
ttt_playerspawn	2944.138672 1422.768311 -71.455009	-0.054 -0.000 0.053
ttt_playerspawn	2566.250732 1090.243896 -71.449516	-0.049 -0.000 0.048
ttt_playerspawn	2757.562744 1083.800049 -71.467934	-0.067 -0.000 0.066
ttt_playerspawn	2981.472412 2362.901611 -71.458435	-0.057 -0.000 0.057
ttt_playerspawn	2979.437500 2496.107910 -71.460213	-0.059 -0.000 0.059
ttt_playerspawn	2978.524658 2620.811768 -71.467934	-0.066 -0.000 0.066
ttt_playerspawn	2979.049316 2739.087402 -71.443893	0.043 0.000 0.043
ttt_playerspawn	3275.250488 2251.488770 -71.464928	-0.064 -0.000 0.063
ttt_playerspawn	3269.201904 2162.173340 -71.449516	-0.049 -0.000 0.048
weapon_ttt_ak47	1857.802979 2524.489502 152.106873	0.093 -13.247 87.743
item_box_buckshot_ttt	632.700012 359.231995 35.293900	0.000 0.000 0.000
item_box_buckshot_ttt	621.908997 352.177002 35.293900	0.000 0.000 0.000
item_box_buckshot_ttt	588.942017 354.115997 35.293900	0.000 0.000 0.000
item_box_buckshot_ttt	1.999990 3065.000000 131.000000	0.000 267.500 0.000
item_box_buckshot_ttt	-7.000000 3040.649902 139.000000	-79.000 0.000 0.000
item_box_buckshot_ttt	1887.530029 2371.929932 112.293999	0.000 0.000 0.000
item_box_buckshot_ttt	1893.800049 2387.610107 112.293999	0.000 0.000 0.000
item_box_buckshot_ttt	1720.819946 1973.020020 152.294006	0.000 0.000 0.000
item_box_buckshot_ttt	559.901001 1933.239990 139.294006	0.000 0.000 0.000
item_box_buckshot_ttt	521.645996 1764.949951 187.294006	0.000 0.000 0.000
item_box_buckshot_ttt	484.177002 1762.400024 187.294006	0.000 0.000 0.000
