# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_assault
# Exported by: Donato Dias
setting:	replacespawns 1
weapon_ttt_ak47	4935.368652 4259.480469 -865.225342	-2.268 12.054 -88.461
ttt_playerspawn	4956.817871 6336.883789 -871.468994	-0.232 0.018 0.046
ttt_playerspawn	5107.432129 6336.584961 -871.453796	-0.180 0.020 0.037
ttt_playerspawn	5252.735352 6334.655762 -871.439270	-0.126 -0.003 0.014
ttt_playerspawn	4927.445313 6471.606934 -871.481079	0.004 -0.092 0.261
ttt_playerspawn	5117.367188 6465.540527 -871.431091	0.037 -0.069 0.135
ttt_playerspawn	5264.740723 6463.503906 -871.473755	0.023 -0.039 0.257
ttt_playerspawn	5054.330566 6622.186523 -863.463989	-0.062 -0.000 0.062
ttt_playerspawn	5224.423340 6617.091797 -863.445251	-0.044 -0.000 0.044
ttt_playerspawn	4995.164063 6202.959961 -863.460266	-0.059 -0.000 0.059
ttt_playerspawn	5231.766113 6201.077148 -863.447388	-0.046 -0.000 0.046
ttt_playerspawn	5590.219238 5679.935547 -863.486511	-0.084 -0.000 0.084
ttt_playerspawn	5581.781250 5948.054199 -863.468994	-0.067 -0.000 0.067
ttt_playerspawn	5584.227539 5793.624023 -863.452637	-0.051 -0.000 0.051
ttt_playerspawn	5495.931152 5167.576172 -871.447388	0.027 0.027 0.178
ttt_playerspawn	5492.643555 5299.521973 -871.481873	0.026 -0.044 0.286
ttt_playerspawn	5692.604004 5297.930176 -871.455505	0.021 -0.033 0.197
ttt_playerspawn	5690.935059 5178.842285 -871.441650	-0.003 -0.103 0.129
ttt_playerspawn	5873.198242 5180.900879 -871.431763	0.019 -0.143 0.119
ttt_playerspawn	5868.571777 5299.588379 -871.472717	0.023 -0.044 0.253
ttt_playerspawn	6094.133789 5186.709473 -871.481384	-0.080 -0.000 0.080
ttt_playerspawn	6104.867676 5298.722656 -871.446411	0.012 -0.043 0.159
ttt_playerspawn	6245.153320 3951.106201 -735.468933	-0.067 -0.000 0.067
ttt_playerspawn	6241.729980 4152.551270 -735.427917	-0.027 -0.000 0.027
ttt_playerspawn	6101.643555 4147.085938 -735.460205	-0.059 -0.000 0.059
ttt_playerspawn	6101.013672 3948.791992 -735.440063	-0.039 -0.000 0.039
ttt_playerspawn	6095.928223 3782.583008 -607.473572	-0.089 -0.000 0.089
ttt_playerspawn	5922.334961 3786.945068 -607.465210	-0.079 -0.000 0.079
ttt_playerspawn	5427.648926 3788.687744 -607.446838	-0.056 -0.000 0.057
ttt_playerspawn	5606.400391 3791.098145 -607.440308	-0.048 -0.000 0.049
ttt_playerspawn	5094.243164 4166.524902 -607.462341	-0.075 -0.000 0.075
ttt_playerspawn	5080.053223 4036.100830 -607.479370	-0.096 -0.000 0.096
ttt_playerspawn	5086.426758 3838.908936 -607.460510	-0.073 -0.000 0.073
ttt_playerspawn	5123.003418 4165.162598 -831.510559	0.038 -0.000 -0.038
ttt_playerspawn	5244.987305 4169.007324 -831.462036	-0.061 -0.000 0.061
ttt_playerspawn	5266.124023 3948.399170 -831.434509	-0.034 -0.000 0.034
ttt_playerspawn	5836.111816 4743.399414 -735.467896	-0.066 -0.000 0.066
ttt_playerspawn	5345.257324 4856.656250 -831.480164	-0.078 -0.000 0.078
ttt_playerspawn	5351.325195 4731.102051 -831.443237	-0.042 -0.000 0.042
ttt_playerspawn	6518.879883 5640.357422 -863.465942	-0.064 -0.000 0.064
ttt_playerspawn	6535.354492 5982.112305 -863.456726	-0.055 -0.000 0.055
ttt_playerspawn	6809.358887 5978.481934 -871.468079	-0.280 -0.030 -0.063
ttt_playerspawn	6796.036133 5639.197266 -871.429565	-0.103 -0.037 -0.009
ttt_playerspawn	6538.094238 5302.235840 -871.440247	-0.037 0.080 0.164
ttt_playerspawn	6790.679199 5309.826660 -871.435059	0.032 -0.094 0.126
ttt_playerspawn	6521.546387 6338.123535 -871.469421	-0.235 -0.005 0.042
ttt_playerspawn	6812.180176 6346.501953 -871.445984	-0.175 -0.015 -0.029
weapon_ttt_smokegrenade	6365.220703 4220.318359 -735.845947	-1.623 -1.419 -1.648
weapon_ttt_smokegrenade	6353.958496 4220.535156 -735.850647	-1.720 -1.377 -1.752
weapon_ttt_smokegrenade	6206.290527 4132.345215 -574.207947	-0.430 -0.694 -0.979
weapon_ttt_smokegrenade	6206.061035 4139.900391 -574.223267	-0.520 -0.699 -1.931
weapon_ttt_smokegrenade	5850.094238 3805.241943 -565.548950	-0.781 -1.643 -0.596
weapon_ttt_smokegrenade	5850.914063 3791.179688 -565.498657	-0.444 -1.756 -0.338
weapon_ttt_smokegrenade	5385.458984 5054.439941 -831.845947	-1.620 -1.419 -1.650
weapon_ttt_smokegrenade	5397.081055 5054.993164 -831.837341	-1.436 -1.479 -1.462
item_box_buckshot_ttt	6374.484863 3922.419189 -735.626282	0.755 -0.022 -0.525
item_box_buckshot_ttt	6375.762695 3906.187744 -735.603333	-0.936 -0.003 0.830
item_box_buckshot_ttt	6372.737793 3887.170166 -735.562134	-0.587 -0.007 0.522
item_box_buckshot_ttt	6372.682129 3939.722900 -735.559570	-0.569 -0.007 0.505
item_box_buckshot_ttt	6337.635742 4118.249023 -735.586548	-0.917 -0.018 0.729
item_box_buckshot_ttt	6339.003906 4106.686035 -735.586304	-0.875 -0.008 0.745
item_box_buckshot_ttt	6339.813477 4089.270508 -735.568848	-0.642 -0.007 0.570
item_box_buckshot_ttt	6340.339844 4067.075928 -735.623047	0.477 0.018 -0.298
item_box_buckshot_ttt	6321.195313 4271.585449 -735.557495	-0.583 -0.004 0.458
item_box_buckshot_ttt	6322.623047 4256.420898 -735.624390	0.668 -0.001 -0.454
item_box_buckshot_ttt	6321.183105 4239.043945 -735.560669	-0.578 -0.007 0.513
item_box_buckshot_ttt	6322.056152 4223.557617 -735.623352	0.487 0.018 -0.309
item_box_buckshot_ttt	5477.322266 4039.131104 -831.580750	-0.737 -0.006 0.654
item_box_buckshot_ttt	5488.648438 4038.721436 -831.597595	-0.869 -0.012 0.771
item_box_buckshot_ttt	5499.619629 4038.564697 -831.621033	0.137 0.003 -0.026
item_box_buckshot_ttt	5479.764648 4056.485107 -831.655823	0.614 0.003 -0.488
item_box_buckshot_ttt	5489.053711 4056.210938 -831.661987	0.449 0.004 -0.353
item_box_buckshot_ttt	5502.292480 4054.683594 -831.617432	-0.426 0.000 0.432
item_box_buckshot_ttt	5410.912598 4156.725098 -831.620667	0.104 0.003 0.004
item_box_buckshot_ttt	5411.496582 4173.546875 -831.628601	0.767 -0.117 -0.535
item_box_buckshot_ttt	5400.221191 4156.627930 -831.617493	-0.435 0.000 0.440
item_box_buckshot_ttt	5399.569824 4174.514160 -831.528320	-0.305 -1.778 0.273
item_box_buckshot_ttt	5206.821777 4809.471680 -831.612183	-0.989 0.018 0.883
