# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_atlantis
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	2262.757813 1039.002563 -14.475487	-0.074 -0.000 0.074
ttt_playerspawn	2123.339355 1040.954590 -14.420723	-0.020 -0.000 0.020
ttt_playerspawn	1981.541870 1045.812378 -14.475487	-0.074 -0.000 0.074
ttt_playerspawn	2002.781128 1200.322754 -14.475487	-0.074 -0.000 0.074
ttt_playerspawn	2126.568115 1200.557983 -14.489104	-0.087 -0.000 0.087
ttt_playerspawn	2261.106934 1217.970703 -14.453381	-0.052 -0.000 0.052
ttt_playerspawn	2267.432861 1376.624756 -14.441331	-0.040 -0.000 0.040
ttt_playerspawn	2087.629639 1384.474487 -14.431064	-0.030 -0.000 0.030
ttt_playerspawn	1975.142578 1388.814697 -14.433487	-0.033 -0.000 0.033
ttt_playerspawn	3266.487061 1861.335205 1.769583	-1.145 -0.049 -1.358
ttt_playerspawn	3277.904785 1613.812866 10.627104	-0.021 -0.332 0.597
ttt_playerspawn	3274.470215 1430.493164 12.355283	0.149 0.114 0.148
ttt_playerspawn	3158.801270 2493.354004 -14.427548	-0.026 -0.000 0.027
ttt_playerspawn	3148.060547 2689.489990 -14.466674	0.027 -0.020 0.239
ttt_playerspawn	2891.724609 2786.721924 -14.443238	-0.042 -0.000 0.042
ttt_playerspawn	1725.100586 4767.396973 33.528934	-0.069 -0.000 0.069
ttt_playerspawn	1731.206177 4918.363770 33.531044	-0.067 -0.000 0.067
ttt_playerspawn	1726.314331 5061.866211 33.527855	-0.070 -0.000 0.070
ttt_playerspawn	1714.457520 5188.986816 33.548206	-0.051 -0.000 0.051
ttt_playerspawn	1471.883301 5182.357422 52.318886	0.000 0.000 0.000
ttt_playerspawn	1474.987549 5046.316895 41.770813	-0.081 2.957 0.081
ttt_playerspawn	1464.636230 4920.034180 43.825184	0.415 -2.043 -0.427
ttt_playerspawn	1456.505371 4777.407715 53.007126	-0.059 -3.185 0.059
ttt_playerspawn	746.361328 2587.223633 -126.475487	-0.074 -0.000 0.074
ttt_playerspawn	754.627808 2737.713379 -126.464928	-0.063 -0.000 0.063
ttt_playerspawn	753.651978 2890.603516 -126.462997	-0.062 -0.000 0.062
ttt_playerspawn	546.924622 2856.737793 -126.452583	-0.051 -0.000 0.051
