# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_backalley_b1
# Exported by: Razor  武士
setting:	replacespawns 0
ttt_playerspawn	-1106.382324 435.219238 -650.289490	-0.049 0.306 0.058
ttt_playerspawn	-1132.665894 489.726257 -648.909668	-0.081 0.512 -0.001
ttt_playerspawn	-348.212433 2453.056396 -452.284363	-0.059 -0.529 0.072
ttt_playerspawn	-444.380920 2451.942383 -456.491455	-0.059 -2.285 0.059
ttt_playerspawn	-517.126160 2450.687012 -459.481384	-0.034 -1.790 0.034
ttt_playerspawn	-600.736145 2454.193848 -458.370270	0.043 6.557 0.089
ttt_playerspawn	-601.099731 2348.376709 -457.283600	0.002 -0.917 0.162
ttt_playerspawn	-518.716370 2346.654541 -455.222290	-0.060 -0.302 0.060
ttt_playerspawn	-457.728119 2348.218506 -456.233582	0.081 6.547 -0.104
ttt_playerspawn	-345.999329 2372.185059 -458.732666	-0.272 1.894 -0.082
ttt_playerspawn	-697.004395 2457.282959 -461.332703	0.013 -0.902 0.094
ttt_playerspawn	-695.732605 2347.675049 -459.050537	-0.063 -1.625 0.062
ttt_playerspawn	-726.287903 2583.257080 -455.855499	-0.000 -90.272 0.000
ttt_playerspawn	-812.457520 2592.563232 -457.162140	-0.000 -89.952 0.000
ttt_playerspawn	-284.135254 1434.753052 -600.523560	0.073 -1.625 0.073
ttt_playerspawn	-153.824829 1426.200684 -596.949524	-0.074 0.644 0.074
ttt_playerspawn	-153.662994 1357.980835 -600.575867	0.046 -1.211 0.235
ttt_playerspawn	-292.825745 1354.638306 -603.030090	-0.190 3.186 -0.000
ttt_playerspawn	-340.011475 808.088562 -595.912476	-0.000 7.627 0.000
ttt_playerspawn	-346.220917 891.417480 -597.926758	1.800 1.080 -0.910
ttt_playerspawn	-93.235420 447.366333 -597.996033	-0.377 -3.976 -0.002
ttt_playerspawn	-160.341965 256.784729 -602.265381	-0.069 -0.964 0.069
ttt_playerspawn	-153.235245 310.293030 -603.491882	-0.051 -0.885 0.051
ttt_playerspawn	-296.182159 255.896149 -603.667908	-0.078 -0.005 0.045
ttt_playerspawn	-292.747742 324.347687 -603.578735	-0.088 -1.297 0.088
ttt_playerspawn	-363.196625 390.868439 -598.176147	-1.021 6.152 -0.213
ttt_playerspawn	-359.339142 1165.219604 -602.604492	-0.059 -2.449 0.059
ttt_playerspawn	-356.979858 1292.618530 -601.317932	-0.061 -0.367 0.061
ttt_playerspawn	-95.879929 1278.739258 -603.141479	-0.071 -0.355 0.071
ttt_playerspawn	-96.179779 1177.643677 -602.751892	-0.049 -1.292 0.049
ttt_playerspawn	12.171530 1282.558594 -602.427368	-0.059 -0.627 0.059
ttt_playerspawn	74.977943 523.487244 -188.589203	-0.066 -1.961 0.066
ttt_playerspawn	208.697281 530.249878 -186.515625	-0.058 -1.298 0.058
ttt_playerspawn	1489.407837 1013.582947 -458.698578	-0.060 0.019 0.061
ttt_playerspawn	1522.589600 2455.210938 -453.811188	-0.172 -7.843 -0.032
ttt_playerspawn	1045.689575 2116.002441 -202.336502	-0.011 0.355 -0.010
ttt_playerspawn	685.202026 2125.828613 -204.540161	0.015 -0.961 -0.015
ttt_playerspawn	1411.701782 2462.183350 -456.704681	0.006 2.227 0.251
ttt_playerspawn	1471.139648 2467.974854 -459.361206	-0.083 -0.954 -0.083
ttt_playerspawn	1398.036377 1974.309326 -458.196320	0.074 2.004 0.074
ttt_playerspawn	1546.054321 1957.780640 -458.880402	0.087 -0.633 -0.076
ttt_playerspawn	1112.428833 129.243423 -186.714264	0.049 4.315 0.049
ttt_playerspawn	963.989990 208.650391 -185.572220	-0.062 1.302 0.062
ttt_playerspawn	57.123425 950.747131 -160.181198	-0.067 -0.000 0.067
ttt_playerspawn	94.515694 1035.190552 -187.889587	0.075 1.955 0.075
ttt_playerspawn	16.621490 1040.874146 -186.559937	0.045 0.960 0.045
ttt_playerspawn	28.511074 1177.860352 -187.618042	0.066 2.327 0.066
ttt_playerspawn	117.963318 1181.570313 -185.878281	-0.081 -0.304 0.081
ttt_playerspawn	954.539734 2133.940674 -456.269897	-0.072 0.291 0.068
ttt_playerspawn	-28.284712 1956.352173 -456.872711	-0.158 -0.337 0.027
weapon_ttt_ak47	-751.929688 1568.466064 -455.629517	0.159 24.033 -87.363
weapon_ttt_ak47	-151.655594 2225.879395 -402.304504	7.517 -25.429 103.685
item_box_buckshot_ttt	973.706299 2049.374512 -457.802094	-0.794 -1.302 0.706
item_box_buckshot_ttt	962.821777 2052.998779 -458.847809	-0.775 -0.005 0.687
item_box_buckshot_ttt	610.756104 2072.142334 -463.613678	-0.090 0.001 0.122
item_box_buckshot_ttt	574.971436 2073.354980 -463.584045	-1.066 -0.011 0.879
item_box_buckshot_ttt	244.787918 1086.971680 -156.033539	0.342 -0.034 -0.225
item_box_buckshot_ttt	213.810272 1086.577148 -157.685837	-0.795 -1.012 0.681
item_box_buckshot_ttt	174.184036 1024.485718 -188.837433	-0.572 -0.318 0.511
item_box_buckshot_ttt	176.044861 1056.463501 -190.178467	1.041 0.082 0.803
item_box_buckshot_ttt	283.603638 1432.570190 -574.597107	0.716 -2.328 -0.572
item_box_buckshot_ttt	305.935242 1432.385376 -574.244263	-1.010 -0.538 0.792
weapon_ttt_smokegrenade	508.120270 2395.332275 -461.201965	-1.882 0.003 -1.918
weapon_ttt_smokegrenade	501.612793 2388.958740 -462.109680	-1.725 -3.007 -1.749
weapon_ttt_smokegrenade	514.401978 2386.562256 -461.355652	-2.306 -0.640 -2.097
weapon_ttt_smokegrenade	295.667755 2023.404175 -444.887787	-1.975 -1.854 -2.003
weapon_ttt_smokegrenade	406.997040 2022.623657 -445.223907	-1.415 -0.843 -1.441
weapon_ttt_smokegrenade	-855.170898 1827.187866 -398.522552	-2.068 -0.307 -2.097
weapon_ttt_smokegrenade	-807.426392 1830.954346 -446.035034	-1.334 -2.135 -1.356
weapon_ttt_smokegrenade	-823.476318 1721.279297 -430.779297	-1.800 -0.684 -1.833
weapon_ttt_smokegrenade	-840.168884 1721.306763 -414.949982	-1.396 -2.281 -1.419
weapon_ttt_smokegrenade	1032.477661 548.559143 -443.972351	-1.525 -7.868 -1.554
weapon_ttt_smokegrenade	1031.165161 525.623901 -444.280670	-1.548 -1.466 -1.578
weapon_ttt_smokegrenade	1143.885498 547.552124 -445.019958	-1.854 -0.652 -1.890
