# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bank_b13
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	5444.152832 5013.234863 4736.532227	-0.066 -0.000 0.067
ttt_playerspawn	5549.111816 5009.443359 4736.543945	-0.053 -0.000 0.056
ttt_playerspawn	5689.248047 5260.668945 4736.520508	-0.077 -0.000 0.077
ttt_playerspawn	5798.588379 5260.643066 4736.514648	-0.083 -0.000 0.083
ttt_playerspawn	5901.326660 5263.027832 4736.527832	-0.070 -0.000 0.070
ttt_playerspawn	6006.292969 5265.817871 4736.548340	-0.051 -0.000 0.051
ttt_playerspawn	6125.851074 5268.933105 4736.565430	0.048 -0.000 -0.048
ttt_playerspawn	5305.497070 5259.273438 4736.524414	-0.074 -0.000 0.074
ttt_playerspawn	5197.380859 5258.330078 4736.548340	-0.051 -0.000 0.051
ttt_playerspawn	5079.052734 5257.594727 4736.524414	-0.074 -0.000 0.074
ttt_playerspawn	4974.071289 5255.569336 4736.539551	-0.060 -0.000 0.058
ttt_playerspawn	4869.090820 5253.545898 4736.532227	-0.067 -0.000 0.066
ttt_playerspawn	4203.238281 5257.680176 4736.516113	-0.082 -0.000 0.082
ttt_playerspawn	4327.311523 5262.286621 4736.549316	-0.052 -0.000 0.048
ttt_playerspawn	4815.275391 5610.713867 4736.526855	-0.072 -0.000 0.071
ttt_playerspawn	4814.367188 5702.146484 4736.559570	-0.044 -0.000 0.033
ttt_playerspawn	4819.589355 5800.252441 4736.514648	-0.083 -0.000 0.083
ttt_playerspawn	4816.649902 5899.820313 4736.542969	-0.057 -0.000 0.054
ttt_playerspawn	4818.111816 5995.300781 4736.552734	0.066 -0.000 -0.065
ttt_playerspawn	5790.450195 6743.463867 4744.467285	-0.013 0.000 -0.013
ttt_playerspawn	5789.865723 6643.794434 4744.533691	-0.007 0.000 -0.007
ttt_playerspawn	5788.020020 6549.575195 4744.513184	-0.009 0.000 -0.009
ttt_playerspawn	5773.880859 7267.241211 4744.536621	-0.061 -0.000 0.061
ttt_playerspawn	5705.458984 7322.958008 4744.527832	-0.070 -0.000 0.070
ttt_playerspawn	5634.395996 7397.843262 4744.519531	-0.078 -0.000 0.078
ttt_playerspawn	5322.515137 7465.787109 4744.536621	-0.062 -0.000 0.061
ttt_playerspawn	6978.555664 6189.487305 4736.522949	-0.075 -0.000 0.075
ttt_playerspawn	6978.274902 6292.644043 4736.554688	0.062 -0.000 -0.062
ttt_playerspawn	6976.221680 6382.427246 4736.546387	0.075 -0.000 -0.075
ttt_playerspawn	6975.697754 6481.605469 4736.540039	-0.058 -0.000 0.058
ttt_playerspawn	6975.016602 6577.606445 4736.527832	-0.070 -0.000 0.070
ttt_playerspawn	6975.666504 7917.770508 4736.551758	-0.047 -0.000 0.047
ttt_playerspawn	6839.711914 7763.891602 4736.572754	0.036 0.000 -0.036
ttt_playerspawn	6739.725098 7759.562500 4736.511230	-0.087 -0.000 0.087
ttt_playerspawn	6974.498047 7569.636719 4736.537598	-0.061 -0.000 0.061
ttt_playerspawn	6977.951172 7472.195801 4736.546387	-0.052 -0.000 0.052
ttt_playerspawn	6952.746094 5281.975098 4736.544922	-0.054 -0.000 0.054
ttt_playerspawn	6976.435059 5420.542969 4736.521973	-0.076 -0.000 0.076
ttt_playerspawn	6977.255371 5521.750488 4736.541992	-0.056 -0.000 0.056
ttt_playerspawn	6808.132324 5261.209961 4736.526855	-0.072 -0.000 0.072
ttt_playerspawn	6709.088867 5259.381836 4736.524414	-0.074 -0.000 0.074
weapon_ttt_ak47	5688.974121 6635.036133 4758.389648	-3.325 90.022 -78.404
item_box_buckshot_ttt	6365.279785 6774.290039 4824.109863	0.000 282.000 0.000
item_box_buckshot_ttt	6354.000000 6782.000000 4824.109863	0.000 235.500 0.000
item_box_buckshot_ttt	6154.629883 6775.319824 4824.109863	0.000 235.500 0.000
item_box_buckshot_ttt	6104.069824 6774.089844 4824.109863	0.000 280.500 0.000
item_box_buckshot_ttt	6615.399902 6911.589844 4824.109863	0.000 10.500 0.000
item_box_buckshot_ttt	4695.910156 6474.000000 4793.859863	0.000 62.000 0.000
item_box_buckshot_ttt	5752.332031 6088.142578 5014.762695	-0.439 -0.006 0.359
item_box_buckshot_ttt	5739.965332 6088.342285 5014.736328	-0.655 -0.006 0.534
weapon_ttt_smokegrenade	5337.609863 7485.609863 4365.370117	0.000 0.000 0.000
weapon_ttt_smokegrenade	5114.279785 6047.080078 5017.040039	0.000 0.000 0.000
weapon_ttt_smokegrenade	5106.810059 6053.709961 5017.040039	0.000 0.000 0.000
weapon_ttt_smokegrenade	5107.479980 6046.270020 5017.040039	0.000 0.000 0.000
weapon_ttt_smokegrenade	5114.250000 6053.859863 5017.040039	0.000 0.000 0.000
item_ammo_357_ttt	5534.879883 6659.410156 5014.279785	0.000 108.023 0.000
item_ammo_357_ttt	6309.765137 6996.742188 5014.471680	1.764 0.122 -0.855
item_ammo_357_ttt	6309.957520 6985.465332 5014.368652	0.467 0.058 0.037
item_ammo_357_ttt	5287.900879 6647.252930 5014.336914	0.464 0.065 0.048
item_ammo_357_ttt	5287.314453 6636.879395 5014.305664	0.461 0.081 0.060
item_ammo_357_ttt	5627.342285 6948.064941 5014.436523	1.112 0.053 -0.916
item_ammo_357_ttt	5627.082031 6959.268066 5014.379395	0.468 0.058 0.033
item_ammo_revolver_ttt	5863.259766 6190.470215 4392.870117	0.000 180.000 0.000
item_ammo_revolver_ttt	5878.660156 6171.689941 4392.870117	0.000 6.000 0.000
item_ammo_revolver_ttt	5886.020020 6192.229980 4392.870117	0.000 253.037 0.000
item_ammo_revolver_ttt	5323.990234 7548.950195 4360.910156	0.000 253.037 0.000
item_ammo_revolver_ttt	5307.520020 7549.819824 4360.910156	0.000 180.000 0.000
item_ammo_revolver_ttt	5316.959961 7536.779785 4360.910156	0.000 6.000 0.000
item_ammo_revolver_ttt	4219.160156 6344.529785 4849.290039	0.000 6.000 0.000
item_ammo_revolver_ttt	4226.180176 6356.700195 4849.290039	0.000 253.037 0.000
item_ammo_revolver_ttt	4209.720215 6357.569824 4849.290039	0.000 180.000 0.000
item_ammo_revolver_ttt	5255.060059 7918.830078 4808.910156	0.000 6.000 0.000
item_ammo_revolver_ttt	5262.080078 7931.000000 4808.910156	0.000 253.037 0.000
item_ammo_revolver_ttt	5245.620117 7931.879883 4808.910156	0.000 180.000 0.000
item_ammo_revolver_ttt	6933.839844 7341.479980 4744.279785	0.000 6.000 0.000
item_ammo_revolver_ttt	6940.870117 7353.649902 4744.279785	0.000 253.037 0.000
item_ammo_revolver_ttt	6924.399902 7354.529785 4744.279785	0.000 180.000 0.000
item_ammo_revolver_ttt	6908.529785 5066.049805 4752.279785	0.000 6.000 0.000
item_ammo_revolver_ttt	6915.549805 5078.220215 4752.279785	0.000 253.037 0.000
item_ammo_revolver_ttt	6899.089844 5079.089844 4752.279785	0.000 180.000 0.000
item_ammo_revolver_ttt	6496.060059 7082.569824 4296.279785	0.000 6.000 0.000
item_ammo_revolver_ttt	6503.089844 7094.729980 4296.279785	0.000 253.037 0.000
item_ammo_revolver_ttt	6486.620117 7095.609863 4296.279785	0.000 180.000 0.000
item_ammo_revolver_ttt	6326.330078 6769.310059 4744.279785	0.000 312.000 0.000
item_ammo_revolver_ttt	6308.330078 6769.310059 4744.279785	0.000 266.000 0.000
item_ammo_revolver_ttt	5346.652832 5482.141113 4744.328125	0.452 0.069 0.058
item_ammo_revolver_ttt	5355.839355 5482.224121 4744.410645	0.467 0.053 0.024
item_ammo_revolver_ttt	6625.851563 6696.114258 5014.415527	0.998 0.064 -1.128
item_ammo_revolver_ttt	6625.934082 6707.072754 5014.431641	1.235 0.252 -1.077
item_ammo_smg1_ttt	5681.262207 6692.808105 4744.422363	0.473 -0.004 0.306
item_ammo_smg1_ttt	5595.022461 5492.115723 4744.503906	-0.329 0.012 -0.270
item_ammo_smg1_ttt	5578.623047 5491.977539 4744.417480	0.396 -0.005 0.254
item_ammo_smg1_ttt	6315.754395 7022.458984 4984.479492	-0.207 -0.000 0.021
item_ammo_smg1_ttt	6334.585449 7022.008301 4984.456055	0.662 0.026 -0.134
item_ammo_smg1_ttt	6544.937500 7024.074219 4984.530762	-0.510 0.025 -0.121
item_ammo_smg1_ttt	6559.695801 7024.050293 4984.512695	-0.803 0.061 -0.190
item_ammo_smg1_ttt	6432.860352 7024.055176 4984.500488	-0.825 -0.091 -0.127
item_ammo_smg1_ttt	6447.555176 7024.068848 4984.493164	-0.315 -0.171 -0.057
item_ammo_smg1_ttt	6445.954590 6700.048828 4984.479980	-1.184 0.029 -0.270
item_ammo_smg1_ttt	6429.179199 6700.052734 4984.495117	-0.637 -0.153 -0.112
item_ammo_smg1_ttt	6318.277832 6704.621094 4984.386230	0.088 -0.005 0.047
item_ammo_smg1_ttt	6332.010742 6705.521973 4984.388672	0.099 -0.005 0.054
item_ammo_smg1_ttt	5752.633789 5950.113281 5014.865234	-0.000 1.216 0.000
