# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bb_schooldayv3_r3
# Exported by: Kopa
setting:	replacespawns 1
ttt_random_weapon	1250.782471 157.048981 17.234226	1.480 5.725 -93.537
ttt_random_weapon	1266.614380 181.423279 17.160345	2.265 5.679 -91.922
ttt_random_weapon	1240.086792 190.423950 17.217245	1.661 5.719 -93.165
ttt_random_weapon	1238.782837 173.284180 17.219917	1.632 5.720 -93.224
ttt_random_weapon	1242.396118 146.623871 17.195704	1.890 5.712 -92.694
ttt_random_weapon	898.465332 306.485992 17.182329	2.032 5.705 -92.402
ttt_random_weapon	895.756287 329.396118 17.165518	2.211 5.690 -92.035
ttt_random_weapon	902.087097 291.757111 17.221155	1.637 5.622 -93.143
ttt_random_weapon	927.762146 286.027832 17.700373	-1.484 -7.824 84.113
ttt_random_weapon	941.869995 325.786041 17.203068	1.812 5.715 -92.855
ttt_random_weapon	955.257507 303.509338 17.224588	1.583 5.721 -93.326
ttt_random_weapon	973.956299 329.110046 17.170383	2.159 5.699 -92.141
ttt_random_weapon	969.019592 296.936981 17.200974	1.834 5.712 -92.809
ttt_random_weapon	1298.631714 404.265656 17.214315	1.692 5.719 -93.101
ttt_random_weapon	1299.343628 385.138428 17.107784	2.073 5.242 -91.182
ttt_random_weapon	1264.213989 402.194885 17.186201	1.991 5.709 -92.486
ttt_random_weapon	1296.839355 372.804657 17.160345	2.265 5.679 -91.922
ttt_random_weapon	1267.974243 381.947906 17.657747	-1.216 -8.564 83.254
ttt_random_weapon	982.118713 -466.566803 52.411694	1.572 6.156 -93.184
ttt_random_weapon	1001.340454 -471.034546 52.852917	-1.342 -1.490 83.547
ttt_random_weapon	975.984375 -554.066101 52.437481	1.626 3.391 -94.592
ttt_random_weapon	996.778687 -541.247986 52.931351	-1.924 11.168 85.114
ttt_random_weapon	1123.472168 -644.953308 52.410751	1.676 4.924 -93.053
ttt_random_weapon	1095.134277 -639.164490 52.398678	1.379 4.932 -93.341
ttt_random_weapon	1128.010742 -552.741089 52.407951	1.454 4.334 -94.543
ttt_random_weapon	1099.904785 -550.060059 53.322475	-0.332 -0.391 -107.527
ttt_random_weapon	856.684570 -555.654053 52.930920	-1.174 -3.546 -86.106
ttt_random_weapon	863.701721 -563.347412 53.725029	-4.392 0.704 -86.176
ttt_random_weapon	854.729797 -638.270081 52.384544	1.971 4.920 -92.376
ttt_random_weapon	868.497559 -646.424744 52.398071	1.819 4.928 -92.725
ttt_random_weapon	859.147217 -726.201050 52.396065	1.842 4.927 -92.673
ttt_random_weapon	869.246277 -735.340454 52.401817	1.777 4.928 -92.822
ttt_random_weapon	722.072998 -640.360474 52.394676	1.857 4.928 -92.638
ttt_random_weapon	750.984009 -646.095459 52.390823	1.901 -3.546 -92.538
ttt_random_weapon	725.765808 -715.944946 52.390862	1.400 9.928 -93.024
ttt_random_weapon	744.244446 -732.265442 53.780045	3.311 -2.864 -94.067
ttt_random_weapon	756.613281 -1319.228760 36.183559	1.469 5.502 -93.483
ttt_random_weapon	717.551575 -1314.766724 36.173149	1.626 5.458 -93.169
ttt_random_weapon	675.337585 -1315.150146 36.145512	1.937 4.784 -92.455
ttt_random_weapon	869.226318 -1157.980469 1.224743	1.596 4.987 -93.236
ttt_random_weapon	816.658081 -1154.428955 1.234111	1.490 4.975 -93.479
ttt_random_weapon	745.395508 -1157.331543 1.223659	1.608 4.988 -93.208
ttt_random_weapon	680.818970 -1161.234741 1.224025	1.604 4.987 -93.218
ttt_random_weapon	600.785950 -1162.289917 1.222911	1.617 4.988 -93.189
ttt_random_weapon	347.548401 -1418.916992 1.198671	1.890 4.927 -92.563
ttt_random_weapon	316.398346 -1425.428467 1.203646	1.834 4.930 -92.691
ttt_random_weapon	281.050140 -1425.459229 1.243012	1.389 4.900 -93.710
ttt_random_weapon	247.052185 -1420.808350 1.195580	1.925 4.924 -92.483
ttt_random_weapon	219.161346 -1407.785889 1.260536	1.932 6.783 -89.476
ttt_random_weapon	252.015091 -1381.385376 1.214759	1.709 4.925 -92.978
ttt_random_weapon	306.903992 -1384.790527 1.226911	1.571 4.917 -93.293
ttt_random_weapon	351.031555 -1372.950073 1.191444	1.971 4.920 -92.376
ttt_random_weapon	385.338593 -1348.369141 1.197149	1.907 4.928 -92.523
ttt_random_weapon	418.147339 -1331.070557 1.201579	1.857 4.928 -92.638
ttt_random_weapon	446.580719 -1357.463257 1.249871	1.122 4.939 -94.300
ttt_random_weapon	436.267609 -1352.527344 2.427447	-3.577 12.960 54.744
ttt_random_weapon	376.809723 -1387.374756 1.213210	1.726 4.926 -92.938
ttt_random_weapon	275.771149 -1391.377197 1.200868	1.865 4.929 -92.619
ttt_random_weapon	262.818481 -1348.150757 1.216716	1.687 4.924 -93.029
ttt_random_weapon	311.245300 -1353.325684 1.196528	1.914 3.664 -92.507
ttt_random_weapon	333.275024 -1344.126587 1.199767	1.878 5.131 -92.591
ttt_random_weapon	365.463806 -1401.803589 1.217651	1.676 4.924 -93.053
ttt_random_weapon	354.749420 -1432.020752 1.215259	1.703 4.926 -92.991
ttt_random_weapon	275.217346 -1433.803833 1.220708	1.642 4.922 -93.132
ttt_random_weapon	229.653748 -1413.255981 1.627842	-0.040 1.700 -74.219
ttt_random_weapon	202.288910 -1399.918701 1.220907	1.639 7.608 -93.137
ttt_random_weapon	166.415558 -606.558472 35.222652	1.800 4.775 -92.769
ttt_random_weapon	200.840958 -606.635864 35.232052	1.694 4.768 -93.012
ttt_random_weapon	169.606308 -495.936340 35.226822	1.753 4.772 -92.877
ttt_random_weapon	214.078186 -499.849152 34.732460	7.955 0.461 -5.596
ttt_random_weapon	363.899902 -503.945984 35.249825	1.386 6.596 -94.133
ttt_random_weapon	392.303497 -501.345367 35.968811	5.930 7.930 -95.995
ttt_random_weapon	175.589828 -397.647614 35.208832	1.956 4.786 -92.412
ttt_random_weapon	206.971466 -392.245667 35.218018	1.852 4.778 -92.649
ttt_random_weapon	170.735062 -280.361908 35.218716	1.844 4.778 -92.667
ttt_random_weapon	210.407898 -287.441803 35.235703	1.653 4.765 -93.106
ttt_random_weapon	368.493317 -293.219604 35.237366	1.634 4.763 -93.149
ttt_random_weapon	404.057068 -289.774841 35.211285	1.928 4.784 -92.476
ttt_random_weapon	364.020508 -391.419952 35.203609	2.016 4.791 -92.275
ttt_random_weapon	400.520905 -396.834442 35.215523	1.880 5.603 -92.585
ttt_random_weapon	574.075989 -286.273163 35.220730	1.822 4.776 -92.719
ttt_random_weapon	607.005615 -292.311249 35.230564	1.711 4.769 -92.973
ttt_random_weapon	566.423889 -390.627777 35.255302	2.038 8.475 -89.770
ttt_random_weapon	593.966064 -391.651245 35.869938	4.998 6.999 -94.031
ttt_random_weapon	1442.730225 -34.820442 1.218417	1.667 4.697 -93.073
ttt_random_weapon	1438.754883 -71.256340 1.229514	1.542 4.682 -93.360
ttt_random_weapon	1438.164917 -104.364876 1.230864	1.527 4.679 -93.395
ttt_random_weapon	1437.368530 -133.314041 1.208533	1.779 4.709 -92.817
ttt_random_weapon	1430.527100 -176.360062 1.234957	1.480 4.672 -93.501
ttt_random_weapon	1429.158203 -216.765442 1.223341	1.612 4.691 -93.200
ttt_random_weapon	1431.330200 -257.212128 1.226487	1.576 4.686 -93.282
ttt_random_weapon	1425.492920 -287.819550 1.228058	1.558 4.684 -93.322
ttt_random_weapon	750.679626 321.922516 17.206976	1.770 5.715 -92.940
ttt_random_weapon	635.200012 97.678032 17.157639	2.294 5.679 -91.864
ttt_random_weapon	644.805847 115.793633 17.164255	2.224 5.692 -92.008
ttt_random_weapon	645.537659 137.390762 17.165518	2.210 5.690 -92.035
ttt_random_weapon	644.681946 153.875412 17.198032	1.866 5.710 -92.745
ttt_random_weapon	339.479828 124.696732 54.105186	1.965 8.164 -91.701
ttt_random_weapon	344.045929 168.794388 54.200203	1.595 4.689 -93.238
ttt_random_weapon	345.772614 194.316437 54.179520	1.829 4.713 -92.703
ttt_random_weapon	342.364777 102.588615 54.198753	1.612 4.691 -93.200
ttt_random_weapon	237.261551 328.973267 54.194950	1.655 3.778 -93.102
ttt_random_weapon	232.790115 303.074554 54.185127	1.766 4.708 -92.848
ttt_random_weapon	329.438141 332.531281 54.186237	1.753 6.962 -92.876
ttt_random_weapon	332.738892 302.495819 54.192451	1.683 4.700 -93.037
ttt_random_weapon	341.818268 519.846497 54.168289	1.955 4.721 -92.413
ttt_random_weapon	339.986145 490.770721 54.192440	1.683 5.052 -93.037
ttt_random_weapon	336.136505 465.795715 54.170437	1.158 4.487 -93.354
ttt_random_weapon	939.161499 549.691406 337.202271	1.850 4.928 -92.656
ttt_random_weapon	1054.911499 559.195251 337.206879	1.798 4.929 -92.775
ttt_random_weapon	1110.686646 556.866577 337.205627	1.812 4.928 -92.742
ttt_random_weapon	1170.764160 528.808960 337.223083	1.615 4.920 -93.193
ttt_random_weapon	1225.686768 530.511047 337.213226	1.726 4.926 -92.938
ttt_random_weapon	1278.017944 530.822266 337.214752	1.709 4.925 -92.978
ttt_random_weapon	1318.041748 534.645752 337.235779	1.471 4.908 -93.523
ttt_random_weapon	1374.183716 537.184326 337.223816	1.606 4.920 -93.213
ttt_random_weapon	1403.264038 531.511902 337.211029	1.751 4.927 -92.882
ttt_random_weapon	1388.021729 482.198578 337.193970	1.943 4.925 -92.441
ttt_random_weapon	1414.929077 402.350647 337.233795	1.494 4.910 -93.471
ttt_random_weapon	1419.384521 306.657471 337.216705	1.687 4.924 -93.029
ttt_random_weapon	1421.787720 255.320007 337.209320	1.770 4.927 -92.837
ttt_random_weapon	1401.742920 192.102768 337.211029	1.751 4.927 -92.882
ttt_random_weapon	1412.408325 115.354523 337.216888	1.345 5.692 -93.422
ttt_random_weapon	1402.586792 117.607582 339.911835	-2.844 3.538 83.144
ttt_random_weapon	1309.479370 132.564529 337.203644	1.834 4.930 -92.691
ttt_random_weapon	1184.834229 120.354675 337.230957	1.526 4.913 -93.397
ttt_random_weapon	1072.520386 96.287102 337.221527	1.632 4.921 -93.153
ttt_random_weapon	1026.156372 95.508850 337.197144	1.907 4.928 -92.523
ttt_random_weapon	986.358521 114.820824 337.226593	1.575 4.917 -93.284
ttt_random_weapon	-422.612396 181.387009 177.206894	1.798 4.929 -92.775
ttt_random_weapon	-521.941040 158.740662 177.196365	1.916 4.929 -92.503
ttt_random_weapon	-642.425110 118.559143 177.213730	1.720 4.926 -92.952
ttt_random_weapon	-755.325867 107.270035 177.217178	1.681 4.924 -93.041
ttt_random_weapon	-840.410522 119.049515 177.223083	1.615 4.920 -93.193
ttt_random_weapon	-916.584167 117.669334 177.223831	1.606 4.920 -93.213
ttt_random_weapon	-985.703674 117.145546 177.202972	1.842 4.927 -92.674
ttt_random_weapon	-1076.358398 125.400284 177.220291	1.646 4.922 -93.121
ttt_random_weapon	-1189.205566 128.974747 177.228745	1.551 4.915 -93.340
ttt_random_weapon	-1309.137573 127.928741 177.231201	1.523 4.913 -93.404
ttt_random_weapon	-1746.260742 -916.972351 13.688964	-1.826 -8.573 86.941
ttt_random_weapon	-1745.765259 -846.408691 17.563326	-0.967 -14.317 86.974
ttt_random_weapon	-1754.322144 -775.882874 25.262655	1.484 -11.616 91.425
ttt_random_weapon	-1746.501343 -711.311096 28.483702	4.391 2.423 -98.118
ttt_random_weapon	-1757.260620 -667.144714 27.834059	4.485 5.017 -92.861
ttt_random_weapon	-1778.444092 -633.561707 29.204088	5.541 4.578 -92.833
ttt_random_weapon	-1767.545654 -581.224548 28.411999	5.407 2.884 -94.936
ttt_random_weapon	-1768.322388 -529.187317 27.380400	4.421 -0.087 -92.867
ttt_random_weapon	-1761.954590 -469.163116 27.685251	3.099 1.976 -92.222
ttt_random_weapon	-1759.141846 -409.070099 25.604258	4.237 7.111 -95.877
ttt_random_weapon	-919.578430 -1368.621094 16.339462	-2.781 10.115 -102.858
ttt_random_weapon	-885.763428 -1397.643188 21.201521	2.941 6.309 -102.183
ttt_random_weapon	-973.546448 -1412.801392 16.454676	-5.249 7.635 -100.105
ttt_random_weapon	-1024.243652 -1407.946899 10.052613	-3.515 6.778 -95.422
ttt_random_weapon	-1076.028687 -1415.579834 10.599156	4.946 6.013 -92.533
ttt_random_weapon	-1128.366577 -1413.913940 10.375987	-4.410 3.458 -93.686
ttt_random_weapon	-1189.237305 -1440.014160 4.905398	-0.218 -14.793 89.754
ttt_random_weapon	-1257.742188 -1440.302368 3.046046	1.138 1.568 -94.309
ttt_random_weapon	-1270.632202 -1438.459351 5.731022	-3.779 6.554 85.092
ttt_random_weapon	50.587402 -1367.661133 1.202060	1.852 4.715 -92.650
ttt_random_weapon	35.160114 -1350.564209 1.216083	1.694 4.700 -93.012
ttt_random_weapon	-30.366877 -1335.232422 1.208528	1.779 4.709 -92.817
ttt_random_weapon	-67.197784 -1346.303467 1.209712	1.766 4.708 -92.848
ttt_random_weapon	-107.598740 -1356.902954 1.206061	1.807 4.711 -92.753
ttt_random_weapon	-138.356216 -1368.762329 1.225483	1.588 4.688 -93.256
ttt_random_weapon	-149.550903 -1402.723145 1.202752	1.844 4.714 -92.668
ttt_random_weapon	77.100151 -1392.717773 1.218860	1.662 4.697 -93.084
ttt_random_weapon	-1553.119629 623.371521 0.406350	0.475 3.994 -93.511
ttt_random_weapon	-1553.457031 653.575623 0.076162	1.188 -1.596 -93.071
ttt_random_weapon	-1553.164307 663.656189 0.045044	1.688 -0.302 -93.642
ttt_random_weapon	-1553.778809 685.837708 -0.086893	2.397 2.148 -93.858
ttt_random_weapon	-1721.962891 1036.221558 -1.299371	0.503 2.735 -93.115
ttt_random_weapon	-1729.111084 1077.358765 -1.369544	2.140 3.645 -95.025
ttt_random_weapon	-1723.703735 1106.705078 -1.729033	1.038 3.088 -93.268
ttt_random_weapon	-1718.009277 1133.878540 -1.721663	0.884 8.813 -94.328
ttt_random_weapon	-1716.435425 1157.087646 -1.486616	-2.200 -5.086 83.682
ttt_random_weapon	-1288.713379 2348.619385 0.064185	1.401 4.794 -95.741
ttt_random_weapon	-1311.724609 2312.165039 0.704755	-1.025 6.275 -93.041
ttt_random_weapon	-1297.756104 2295.597168 1.058091	-2.840 -6.817 91.867
ttt_random_weapon	-1267.802856 2322.009277 1.330554	1.900 5.996 -95.785
ttt_random_weapon	-1234.936157 2355.484863 0.152531	0.592 3.091 -92.942
ttt_random_weapon	-1234.474609 2322.530029 0.718729	3.744 6.169 -95.009
ttt_random_weapon	-1256.745605 2278.079102 1.895652	-8.028 -5.220 76.879
ttt_random_weapon	-1266.885986 2274.818848 0.182705	-3.551 -3.320 78.827
ttt_random_weapon	-1451.903442 798.335388 -261.330292	-4.332 0.400 -10.136
ttt_random_weapon	-1383.365967 798.166138 -261.311005	-3.914 1.839 -12.718
ttt_random_weapon	-1308.685181 798.389954 -261.315552	-4.354 0.669 -9.388
ttt_random_weapon	-1249.507324 797.887024 -261.251068	-4.446 1.054 -5.811
ttt_random_weapon	-1190.452881 795.212097 -262.756256	1.189 -2.244 -94.898
ttt_random_weapon	-1083.207153 796.757080 -261.417175	-3.008 1.601 -33.520
ttt_random_weapon	-1008.128479 795.244873 -262.755463	1.215 -2.341 -94.708
ttt_random_weapon	-895.003357 798.413086 -261.323456	-4.298 0.302 -8.843
ttt_random_weapon	-733.955688 797.749390 -261.291870	-3.958 0.881 -18.948
ttt_random_weapon	-574.408508 789.859680 -262.781891	1.671 4.924 -93.065
ttt_random_weapon	-411.540436 798.134094 -261.355835	-4.064 1.575 -13.271
ttt_random_weapon	-312.785095 795.090149 -262.758514	1.100 -1.713 -95.555
ttt_random_weapon	-656.161682 483.764069 -262.792847	1.795 9.476 -92.781
ttt_random_weapon	-647.885376 354.668732 -262.798431	1.857 4.928 -92.638
ttt_random_weapon	-646.950684 232.244598 -262.803619	1.916 4.929 -92.503
ttt_random_weapon	-656.162659 146.816574 -262.778839	1.637 8.326 -93.143
ttt_random_weapon	-656.241516 10.472640 -262.767761	1.050 4.956 -95.100
ttt_random_weapon	-656.107544 -192.281601 -262.787415	1.733 7.365 -92.922
ttt_random_weapon	-656.115479 -378.318451 -262.778015	1.528 7.271 -93.279
ttt_random_weapon	108.162430 2404.840820 -262.786255	1.720 4.926 -92.951
ttt_random_weapon	49.838776 2446.380371 -262.818451	2.018 7.044 -92.195
ttt_random_weapon	57.837116 2471.913330 -262.786255	1.720 4.926 -92.951
ttt_random_weapon	98.086189 2462.720947 -262.795685	1.827 4.929 -92.708
ttt_random_weapon	115.870125 2449.042480 -262.761017	1.435 4.905 -93.606
ttt_random_weapon	62.913574 2421.703369 -262.793121	1.798 4.929 -92.775
ttt_random_weapon	1093.989014 2465.845459 -262.778076	1.628 4.921 -93.163
ttt_random_weapon	1000.437073 2447.339844 -262.788971	1.751 4.927 -92.882
ttt_random_weapon	925.335327 2453.621582 -262.791870	1.784 4.928 -92.806
ttt_random_weapon	880.127075 2465.579834 -262.797028	1.842 4.927 -92.673
ttt_random_weapon	813.471680 2460.682861 -262.776550	1.611 4.920 -93.203
ttt_random_weapon	718.424438 2454.565430 -262.792480	1.791 4.928 -92.791
ttt_random_weapon	659.521667 2480.588867 -262.789520	1.757 4.927 -92.867
ttt_random_weapon	581.344788 2499.897949 -262.778076	1.628 4.921 -93.163
ttt_random_weapon	1167.895386 1468.345825 161.242477	1.395 6.342 -93.696
ttt_random_weapon	1167.933838 1495.063354 161.216888	1.685 6.580 -93.033
ttt_random_weapon	1167.888428 1572.507324 161.224503	1.599 6.087 -93.230
ttt_random_weapon	1167.867432 1607.327148 161.172516	2.003 5.215 -92.096
ttt_random_weapon	1185.681885 1654.301880 161.190384	1.667 2.090 -92.978
ttt_random_weapon	1210.945557 1650.629150 161.247803	1.324 8.139 -93.902
ttt_random_weapon	1213.571899 1596.122803 161.193970	1.943 4.925 -92.441
ttt_random_weapon	1206.688354 1559.488159 161.213211	1.726 4.926 -92.938
ttt_random_weapon	1211.738892 1522.014282 161.201584	1.857 4.928 -92.638
ttt_random_weapon	1221.939209 1488.098877 161.204315	1.827 4.929 -92.708
ttt_random_weapon	1228.055298 1461.968506 161.190582	1.981 4.920 -92.354
ttt_random_weapon	1207.038940 1425.340820 161.162491	2.159 3.029 -91.820
ttt_random_weapon	1183.109863 1421.667725 162.508698	-3.906 -0.391 98.053
ttt_random_weapon	1169.747192 1447.299561 161.194778	1.934 4.924 -92.462
ttt_random_weapon	1268.023438 1452.508179 161.233566	1.496 4.911 -93.465
ttt_random_weapon	1268.618774 1478.327637 161.232437	1.509 4.912 -93.436
ttt_random_weapon	1249.044434 1531.052734 161.217651	1.676 4.924 -93.053
ttt_random_weapon	1247.666870 1574.497192 161.215256	1.703 4.925 -92.991
ttt_random_weapon	1247.831787 1614.376953 161.202972	1.842 4.927 -92.673
weapon_ttt_sg550	1412.835815 -1266.842529 321.439819	0.336 -12.794 -89.148
weapon_ttt_sg550	1415.639160 -1235.860840 321.455231	0.332 -12.796 -89.240
weapon_ttt_sg550	1402.969360 -1202.757690 321.499390	0.321 -12.801 -89.503
weapon_ttt_m16	-1471.000000 111.323997 181.682999	0.000 0.000 0.000
weapon_ttt_m16	294.020996 847.120972 389.683014	0.000 0.000 0.000
weapon_ttt_m16	571.825012 -1378.310059 5.682850	0.000 0.000 0.000
weapon_ttt_m16	-293.235992 217.182999 21.682800	0.000 0.000 0.000
weapon_ttt_m16	-366.365997 634.822998 21.682800	0.000 0.000 0.000
weapon_ttt_m16	-268.000000 94.132698 -219.317001	0.000 165.000 0.000
weapon_ttt_m16	-274.470001 110.519997 -219.317001	0.000 165.000 0.000
weapon_ttt_m16	840.822021 120.069000 341.683014	0.000 0.000 0.000
weapon_ttt_m16	-31.582100 -1424.520020 5.682850	0.000 0.000 0.000
weapon_ttt_m16	-1590.329956 -1194.550049 19.682800	0.000 0.000 0.000
weapon_ttt_m16	367.042999 1816.349976 -122.317001	0.000 0.000 0.000
item_ammo_pistol_ttt	417.510986 -1417.719971 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	430.335999 -1401.770020 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	-83.388199 -1425.630005 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	-63.580502 -1431.630005 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	-891.036011 156.154007 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	-807.312012 155.404999 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	-1438.189941 1181.599976 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	-1446.119995 1478.520020 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	-301.013000 1199.849976 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	771.625000 154.408997 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	1411.849976 502.766998 177.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	-293.809998 97.396400 177.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	-1485.839966 2083.350098 177.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	-288.462006 2071.330078 177.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	1298.300049 -1072.579956 177.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	1273.119995 -1076.510010 177.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	-1574.800049 -1169.930054 15.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	-1599.280029 -1162.890015 15.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	-1266.239990 -1272.170044 -190.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-1205.369995 -1276.000000 -190.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-632.687012 -1263.650024 -190.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-390.070007 128.000000 -259.789001	0.000 0.000 0.000
item_ammo_pistol_ttt	-379.149994 126.750000 -258.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-368.855011 127.808998 -258.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-360.000000 126.196999 -258.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	611.799988 455.170013 -262.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	588.388977 487.859985 -262.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-1361.650024 1313.640015 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	-1312.969971 1315.319946 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	508.888000 2281.590088 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	497.509003 2282.199951 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	965.825012 2282.800049 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	954.914978 2282.199951 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	-1430.630005 99.375397 177.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	1338.290039 2288.639893 161.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	-392.929993 615.085999 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	-276.726990 242.981003 17.280100	0.000 0.000 0.000
item_ammo_pistol_ttt	-1006.109985 2353.969971 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	566.828003 -1362.750000 1.280140	0.000 0.000 0.000
