# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bb_teenroom_b2
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	1078.471436 1775.077759 446.475037	-0.013 -0.000 0.012
ttt_playerspawn	-484.275360 69.269508 64.502060	-0.039 -0.000 0.039
ttt_playerspawn	-486.316071 158.847992 64.562614	-0.015 -0.000 0.015
ttt_playerspawn	-226.455490 -343.962219 72.535767	-0.026 -0.000 0.026
ttt_playerspawn	-226.785141 -284.012665 72.550415	-0.093 1.468 -0.034
ttt_playerspawn	-170.961655 365.086426 72.575455	-0.009 -0.000 0.011
ttt_playerspawn	-89.495453 367.903625 72.547966	-0.021 -0.000 0.021
ttt_playerspawn	-258.561127 -597.656799 72.525330	-0.030 -0.000 0.030
ttt_playerspawn	-256.407104 -546.868774 72.531784	-0.027 -0.000 0.027
ttt_playerspawn	1140.818237 -833.734314 1200.539551	-0.024 -0.000 0.024
ttt_playerspawn	1077.920044 -837.903442 1200.507813	-0.037 -0.000 0.037
ttt_playerspawn	-628.776001 -233.730957 447.867889	-4.077 -0.020 3.270
ttt_playerspawn	-776.413696 -804.828918 452.753845	6.865 -0.394 0.712
ttt_playerspawn	-710.871460 -812.535461 448.281219	0.974 -1.956 -4.369
ttt_playerspawn	-487.038422 -244.183075 448.385040	3.546 0.083 -0.002
ttt_playerspawn	-624.595337 318.869781 446.507660	-3.132 -0.150 1.003
ttt_playerspawn	-505.500305 127.608047 435.381836	-8.425 3.509 2.634
ttt_playerspawn	1278.351929 1083.931763 0.539394	-0.004 -0.000 0.008
ttt_playerspawn	1285.452515 950.289001 0.476898	-0.012 -0.000 0.012
ttt_playerspawn	1285.521729 784.927490 0.473125	-0.012 -0.000 0.013
ttt_playerspawn	-542.850281 1087.344604 0.497286	-0.010 -0.000 0.010
ttt_playerspawn	-544.701477 1215.706055 0.463182	-0.014 -0.000 0.014
ttt_playerspawn	-547.496460 1338.879639 0.501824	-0.010 -0.000 0.009
ttt_playerspawn	339.492218 -432.644196 0.476898	-0.012 -0.000 0.012
ttt_playerspawn	210.737244 -428.820313 0.504743	-0.009 -0.000 0.009
ttt_playerspawn	1290.599365 2019.262573 446.485840	-0.011 -0.000 0.011
ttt_playerspawn	1270.902588 -47.430779 1208.524414	-0.074 -0.000 0.074
ttt_playerspawn	1278.884766 -218.023331 1208.561646	-0.167 -0.091 -0.046
ttt_playerspawn	1185.888306 -221.348694 1208.548462	-0.228 -0.074 -0.065
ttt_playerspawn	1186.652954 -48.130196 1208.555420	-0.043 -0.000 0.043
ttt_playerspawn	1071.381714 -220.063019 1200.503540	-0.039 -0.000 0.039
ttt_playerspawn	1072.236694 -47.472126 1200.531738	-0.027 -0.000 0.028
ttt_playerspawn	1286.732422 41.899944 992.515747	-0.034 -0.000 0.034
ttt_playerspawn	1280.106567 -24.094126 992.541382	-0.024 -0.000 0.023
ttt_playerspawn	1313.650879 146.902420 480.549561	-0.020 -0.000 0.020
ttt_playerspawn	1320.091431 61.582226 480.499054	-0.041 -0.000 0.041
ttt_playerspawn	1208.061890 -570.406982 824.498962	-0.041 -0.000 0.041
ttt_playerspawn	1258.030640 -565.725220 824.511841	-0.035 -0.000 0.036
ttt_playerspawn	888.416748 -558.130493 512.506409	-0.038 -0.000 0.038
ttt_playerspawn	949.245422 -555.783997 512.544800	-0.022 -0.000 0.022
weapon_ttt_ak47	742.908752 929.732300 16.947981	0.033 87.390 -88.229
item_box_buckshot_ttt	921.687988 170.792999 1201.290039	0.000 0.000 0.000
item_box_buckshot_ttt	1573.290039 -1128.219971 1153.290039	0.000 0.000 0.000
item_box_buckshot_ttt	1439.150024 1832.000000 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-859.051025 -1165.790039 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	889.883972 -818.557007 137.294006	0.000 0.000 0.000
item_box_buckshot_ttt	1183.760010 -339.575989 337.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-866.572021 1933.310059 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-840.387024 1934.750000 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	932.281006 -214.050995 481.294006	0.000 0.000 0.000
weapon_ttt_smokegrenade	957.846985 91.162102 1205.729980	0.000 0.000 0.000
weapon_ttt_smokegrenade	964.903015 81.708000 1205.729980	0.000 0.000 0.000
weapon_ttt_smokegrenade	1528.050049 -1119.670044 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-834.283020 -1036.160034 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1579.709961 1871.369995 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-885.469971 1850.109985 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-876.968994 1864.369995 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-866.052002 1873.859985 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-856.276978 1888.530029 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	544.783020 767.312988 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	544.861023 790.026978 21.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	1324.689941 352.154999 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1311.300049 353.178986 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1299.119995 353.348999 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1101.089966 -115.809998 997.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1096.930054 -157.151993 997.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1176.660034 33.010899 485.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1086.660034 -727.195007 829.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1083.770020 -688.304016 829.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	509.920990 -831.476990 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	518.400024 -745.606995 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	507.675995 -659.822998 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	498.714996 -602.987000 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	1055.479980 -395.825012 237.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	1129.290039 -378.046997 341.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1024.810059 -788.471008 133.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	1007.419983 -787.377014 133.735001	0.000 0.000 0.000
item_ammo_357_ttt	900.447021 334.278015 1201.280029	0.000 0.000 0.000
item_ammo_357_ttt	1476.849976 -1154.599976 1.275810	0.000 0.000 0.000
item_ammo_357_ttt	874.732971 -860.466003 137.276001	0.000 0.000 0.000
item_ammo_357_ttt	936.705017 173.244995 993.276001	0.000 0.000 0.000
item_ammo_357_ttt	-887.833008 2009.510010 1.275810	0.000 0.000 0.000
item_ammo_357_ttt	-868.239014 2007.449951 1.275810	0.000 0.000 0.000
item_ammo_357_ttt	1347.478027 -899.180298 1320.360718	0.469 0.045 0.040
