# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bikinibottom_v1b
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	1103.518066 -698.743530 -382.155792	0.197 11.252 -87.022
weapon_ttt_ak47	747.728333 2485.911377 -312.385925	7.397 -2.402 -88.261
ttt_playerspawn	408.542480 -580.658752 -376.266113	-0.064 -0.878 -0.064
ttt_playerspawn	403.760040 -678.111206 -376.765961	-0.080 0.092 -0.080
ttt_playerspawn	406.943787 -820.191406 -374.198303	0.617 -0.444 -0.229
ttt_playerspawn	461.201935 184.523651 -376.070251	0.640 0.600 -0.131
ttt_playerspawn	445.915009 85.513519 -375.683533	-0.084 -2.033 -0.084
ttt_playerspawn	339.360626 184.000702 -377.881714	-0.200 -0.207 1.724
ttt_playerspawn	335.164093 107.782990 -373.892059	0.524 -1.240 -0.117
ttt_playerspawn	195.966827 197.296890 -373.048706	0.007 3.089 5.621
ttt_playerspawn	188.754227 97.101181 -374.628998	0.136 -1.479 -0.134
ttt_playerspawn	713.030457 -25.074303 -382.451263	-0.062 -0.000 0.062
ttt_playerspawn	746.893188 -183.604568 -382.472504	-0.088 -0.000 0.088
ttt_playerspawn	749.036560 -427.166290 -382.457825	-0.070 -0.000 0.070
ttt_playerspawn	732.961121 -581.627075 -382.460724	0.004 -0.094 0.197
ttt_playerspawn	1037.330200 -254.736481 -382.457825	-0.070 -0.000 0.070
ttt_playerspawn	1007.963745 -372.754395 -382.449005	-0.059 -0.000 0.059
ttt_playerspawn	976.533691 -10.952107 -382.433655	-0.041 -0.000 0.041
ttt_playerspawn	-282.883270 -370.232758 -443.156097	-0.057 -0.139 0.057
ttt_playerspawn	-379.279327 -356.246246 -437.774750	-0.095 1.109 0.095
ttt_playerspawn	-856.462769 -423.198059 -366.107697	-1.927 1.444 -4.733
ttt_playerspawn	-962.219299 -418.263702 -377.012299	-8.081 0.583 -0.082
ttt_playerspawn	-1117.732788 -408.033875 -377.510712	0.010 0.118 -4.580
ttt_playerspawn	-1290.340210 -412.650574 -382.132751	-0.840 0.043 0.004
ttt_playerspawn	-861.690674 -249.647369 -380.449677	-1.636 1.009 -4.581
ttt_playerspawn	-988.161011 -219.535599 -382.478943	0.195 0.083 0.017
ttt_playerspawn	-1107.441162 -221.484726 -382.421814	-0.047 -0.033 0.115
ttt_playerspawn	-1222.777344 -204.953888 -382.458405	0.071 0.000 0.071
ttt_playerspawn	-17.689732 2160.342773 -442.127808	-0.223 -1.246 0.044
ttt_playerspawn	68.174232 2176.452637 -442.890137	-0.025 0.001 0.593
ttt_playerspawn	-95.121109 1779.752075 -438.435425	-0.022 0.258 0.119
ttt_playerspawn	70.555626 1880.708008 -439.476654	-0.137 0.761 0.001
ttt_playerspawn	-12.213879 1717.010254 -432.490936	-0.172 -0.458 0.018
ttt_playerspawn	1373.820435 10.966514 -372.134125	-0.082 -1.755 0.082
ttt_playerspawn	1381.885010 -115.365128 -373.248199	-0.068 -0.554 0.068
ttt_playerspawn	1397.192993 -315.790924 -372.698456	-0.039 -0.185 0.039
ttt_playerspawn	1441.153442 -526.950012 -371.764709	-0.056 2.680 0.056
ttt_playerspawn	1406.660034 -770.526611 -375.476440	-0.304 -1.121 -0.056
ttt_playerspawn	1337.030640 -911.543640 -370.278961	-3.148 2.174 -0.049
ttt_playerspawn	1120.868896 -916.566772 -367.074188	0.049 2.213 0.218
item_box_buckshot_ttt	1403.075806 1289.413574 -436.350739	0.017 0.366 7.203
item_box_buckshot_ttt	1413.441650 1337.754639 -432.014984	9.980 -0.134 3.326
item_box_buckshot_ttt	1114.411255 864.556152 -439.599274	-10.331 2.635 0.362
item_box_buckshot_ttt	1130.678589 867.168823 -438.644958	0.228 0.594 10.153
item_box_buckshot_ttt	107.832115 -195.005188 -382.614258	-1.298 -0.017 1.136
item_box_buckshot_ttt	99.019806 -153.172623 -378.128479	0.053 0.376 8.218
item_ammo_357_ttt	530.489380 -105.859085 -309.044312	0.439 0.066 0.050
item_ammo_357_ttt	515.375305 -111.738251 -309.021149	0.446 0.058 0.042
item_ammo_357_ttt	552.469421 -210.466141 -270.649750	0.446 0.060 0.044
item_ammo_357_ttt	538.630615 -206.417618 -270.667236	0.442 0.063 0.050
item_ammo_357_ttt	-866.416870 372.377838 -367.614685	0.461 0.055 0.034
item_ammo_357_ttt	-882.596069 377.387299 -367.659424	0.452 0.064 0.052
item_ammo_357_ttt	-871.663635 579.010193 -367.685211	0.447 0.072 0.062
item_ammo_357_ttt	-887.323853 588.257507 -367.595428	0.465 0.054 0.026
item_ammo_revolver_ttt	-556.557251 2475.666504 -306.901428	13.292 -1.661 -11.242
item_ammo_revolver_ttt	-567.054688 2452.291748 -309.731049	2.149 0.296 2.225
item_ammo_revolver_ttt	-445.396698 634.482300 -438.224365	5.901 0.354 3.799
item_ammo_revolver_ttt	-443.522766 613.680420 -438.800476	5.551 -0.130 0.665
item_ammo_revolver_ttt	-353.202545 665.969604 -435.108826	4.618 0.255 15.431
item_ammo_revolver_ttt	-340.278656 665.673706 -436.193787	4.578 0.261 15.526
item_ammo_smg1_ttt	1110.736816 -666.083862 -382.479187	-0.225 0.015 -0.197
item_ammo_smg1_ttt	1080.390625 -676.371155 -382.482880	-0.268 0.014 -0.230
item_ammo_smg1_ttt	1072.297363 -37.327118 -346.442444	-0.013 0.314 7.475
item_ammo_smg1_ttt	1104.280029 41.345909 -382.495575	0.662 -0.011 -0.502
