# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_blocc
# Exported by: Ahbiga
setting:	replacespawns 1
ttt_random_weapon	919.070007 -41.749401 376.608002	0.000 0.000 0.000
ttt_random_weapon	624.000000 -168.000000 825.372986	0.000 0.000 0.000
ttt_random_weapon	744.000000 -200.000000 825.372986	0.000 0.000 0.000
ttt_random_weapon	752.000000 -152.000000 825.372986	0.000 0.000 0.000
ttt_random_weapon	210.229004 -1181.910034 9.372920	0.000 0.000 0.000
ttt_random_weapon	210.973999 -1233.859985 9.372920	0.000 0.000 0.000
ttt_random_weapon	44.220501 -1180.040039 -37.433498	0.000 0.000 0.000
ttt_random_weapon	-210.686005 -1214.089966 9.372920	0.000 0.000 0.000
ttt_random_weapon	-213.470001 -1248.790039 9.372920	0.000 0.000 0.000
ttt_random_weapon	-206.904007 -1302.250000 9.372920	0.000 0.000 0.000
ttt_random_weapon	927.588013 -272.148010 376.608002	0.000 0.000 0.000
ttt_random_weapon	785.354980 -693.768982 713.372986	0.000 0.000 0.000
ttt_random_weapon	560.994995 -661.275024 713.372986	0.000 0.000 0.000
ttt_random_weapon	370.649994 -638.210022 713.372986	0.000 0.000 0.000
ttt_random_weapon	-69.834503 -1049.979980 265.372986	0.000 0.000 0.000
ttt_random_weapon	-79.333298 -1115.250000 265.372986	0.000 0.000 0.000
ttt_random_weapon	1788.560059 -286.067993 178.326996	0.000 0.000 0.000
ttt_random_weapon	1757.890015 -150.123001 174.401001	0.000 0.000 0.000
ttt_random_weapon	1849.310059 -401.833008 137.373001	0.000 0.000 0.000
ttt_random_weapon	1750.810059 -403.846985 137.373001	0.000 0.000 0.000
ttt_random_weapon	1464.250000 -587.530029 137.373001	0.000 0.000 0.000
ttt_random_weapon	1547.199951 -193.761002 173.373001	0.000 0.000 0.000
ttt_random_weapon	1380.550049 168.598007 137.373001	0.000 0.000 0.000
ttt_random_weapon	1348.349976 497.149994 137.373001	0.000 0.000 0.000
ttt_random_weapon	1234.630005 571.802979 137.373001	0.000 0.000 0.000
ttt_random_weapon	-246.242996 350.566986 65.372902	0.000 0.000 0.000
ttt_random_weapon	-248.733002 294.351013 65.372902	0.000 0.000 0.000
ttt_random_weapon	70.604202 634.268982 169.373001	0.000 0.000 0.000
ttt_random_weapon	69.954300 868.255005 105.373001	0.000 0.000 0.000
ttt_random_weapon	294.802002 917.330017 169.373001	0.000 0.000 0.000
ttt_random_weapon	180.035004 802.228027 204.880005	0.000 0.000 0.000
ttt_random_weapon	152.320999 788.939026 204.880005	0.000 0.000 0.000
ttt_random_weapon	315.760986 792.484985 204.880005	0.000 0.000 0.000
ttt_random_weapon	811.830017 799.603027 204.880005	0.000 0.000 0.000
ttt_random_weapon	810.728027 759.741028 204.880005	0.000 0.000 0.000
ttt_random_weapon	263.441986 631.861023 425.372986	0.000 0.000 0.000
ttt_random_weapon	797.000000 887.229980 455.622986	0.000 0.000 0.000
ttt_random_weapon	636.614990 826.096008 455.622986	0.000 0.000 0.000
ttt_random_weapon	686.635986 835.343018 455.622986	0.000 0.000 0.000
ttt_random_weapon	298.406006 956.568970 425.372986	0.000 0.000 0.000
ttt_random_weapon	309.806000 928.627991 425.372986	0.000 0.000 0.000
ttt_random_weapon	532.859985 688.010010 450.018005	0.000 0.000 0.000
ttt_random_weapon	936.307983 661.656982 681.372986	0.000 0.000 0.000
ttt_random_weapon	881.838013 641.966003 681.372986	0.000 0.000 0.000
ttt_random_weapon	466.009003 687.905029 681.372986	0.000 0.000 0.000
ttt_random_weapon	429.106995 966.846985 681.372986	0.000 0.000 0.000
ttt_random_weapon	236.591003 693.499023 681.372986	0.000 0.000 0.000
ttt_random_weapon	235.231003 916.554993 681.372986	0.000 0.000 0.000
ttt_random_weapon	536.257996 -83.949402 732.880005	0.000 0.000 0.000
