# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_canyon_a4
# Exported by: Donato Dias
setting:	replacespawns 1
weapon_ttt_ak47	1004.628540 459.248627 1152.871216	0.162 11.848 -87.336
ttt_playerspawn	-1796.277222 1107.800903 1152.549194	0.049 0.000 0.049
ttt_playerspawn	-1697.103149 1008.920715 1152.569092	0.030 0.000 0.029
ttt_playerspawn	-1707.125732 1183.902832 1152.541870	0.056 0.000 0.056
ttt_playerspawn	-1607.775146 1082.867065 1152.522583	0.074 0.000 0.074
ttt_playerspawn	-1815.349731 1262.585205 1568.564941	-0.034 -0.000 0.034
ttt_playerspawn	-1528.988037 1559.494507 1568.524414	-0.074 -0.000 0.074
ttt_playerspawn	-1345.727661 1383.029419 1568.517212	-0.081 -0.000 0.081
ttt_playerspawn	-1619.979614 1076.485840 1568.513428	-0.085 -0.000 0.085
ttt_playerspawn	242.264709 -402.814575 1152.519775	-0.078 -0.000 0.078
ttt_playerspawn	235.243835 -153.530151 1152.536011	-0.062 -0.000 0.062
ttt_playerspawn	250.753357 41.663864 1152.559814	-0.039 -0.000 0.039
ttt_playerspawn	240.929428 273.474518 1152.519775	-0.078 -0.000 0.078
ttt_playerspawn	-1075.349243 -2108.904541 448.473114	0.013 0.000 0.013
ttt_playerspawn	-1062.079346 -2341.004883 448.458984	0.014 0.000 0.014
ttt_playerspawn	-1111.251953 -1757.953613 448.445618	-0.015 -0.000 0.015
ttt_playerspawn	-904.113892 -2130.515625 448.519318	0.008 0.000 0.008
ttt_playerspawn	-741.029297 -2340.684814 448.498810	-0.010 -0.000 0.010
ttt_playerspawn	-233.506607 -2351.703369 448.469238	-0.013 -0.000 0.013
ttt_playerspawn	-373.108765 -2357.602783 448.461090	-0.014 -0.000 0.014
ttt_playerspawn	-1361.205200 -2148.948975 576.495728	-0.010 -0.000 0.010
ttt_playerspawn	-1212.215454 -2130.825928 576.496460	-0.159 -0.046 0.010
ttt_playerspawn	-1103.636841 -2393.744141 576.501831	-0.010 -0.000 0.010
ttt_playerspawn	-620.032104 -2372.236084 576.473083	-0.013 -0.000 0.013
ttt_playerspawn	-618.385742 -2083.919189 576.465210	-0.013 -0.000 0.013
ttt_playerspawn	-1134.341797 -2351.109619 704.492493	-0.011 -0.000 0.011
ttt_playerspawn	-727.481567 -2450.437744 704.463135	-0.014 -0.000 0.014
ttt_playerspawn	-853.829590 -2441.488525 704.536560	-0.006 -0.000 0.006
ttt_playerspawn	-639.334412 -2077.043457 704.520508	-0.008 -0.000 0.008
ttt_playerspawn	-1405.091919 -2177.838623 704.498779	-0.010 -0.000 0.010
ttt_playerspawn	-1110.420288 -2138.822998 704.498779	-0.010 -0.000 0.010
ttt_playerspawn	-2702.148926 -178.673889 448.562408	-0.036 -0.000 0.036
ttt_playerspawn	-2798.372803 -177.451965 448.540070	-0.057 -0.000 0.057
ttt_playerspawn	-2696.453369 -341.899567 448.549988	-0.048 -0.000 0.048
ttt_playerspawn	-2808.149658 -344.515747 448.553589	0.044 0.000 0.044
ttt_playerspawn	-2701.381104 -535.087463 448.537292	-0.060 -0.000 0.060
ttt_playerspawn	-2810.667725 -536.157104 448.520172	0.076 0.000 0.076
ttt_playerspawn	-2696.966553 -832.446350 448.534393	-0.063 -0.000 0.063
ttt_playerspawn	-2810.059326 -831.207458 448.572174	0.027 0.000 0.027
ttt_playerspawn	-3788.291260 -436.322968 704.523315	-0.075 -0.000 0.075
ttt_playerspawn	-4086.798828 -734.143677 704.556091	-0.043 -0.000 0.043
ttt_playerspawn	-4363.235352 -496.200684 704.510864	-0.087 -0.000 0.087
ttt_playerspawn	-4349.646484 -185.710022 704.550476	-0.048 -0.000 0.048
ttt_playerspawn	-4025.068359 -180.776291 704.579590	-0.020 -0.000 0.020
ttt_playerspawn	-1708.869263 768.870728 704.524841	-0.072 -0.000 0.072
ttt_playerspawn	-1781.416504 843.035339 704.524841	-0.072 -0.000 0.072
ttt_playerspawn	-1839.137573 910.549377 704.523682	-0.073 -0.000 0.073
ttt_playerspawn	-1501.298584 875.921631 944.527100	-0.070 0.000 -0.070
ttt_playerspawn	-199.030624 75.537567 704.566650	-0.032 -0.000 0.032
ttt_playerspawn	-210.477921 352.941742 704.527100	-0.070 -0.000 0.070
ttt_playerspawn	-52.599045 369.572754 704.561829	-0.036 -0.000 0.036
ttt_playerspawn	-411.547913 -453.461853 704.572571	-0.026 -0.000 0.026
ttt_playerspawn	-414.648712 -328.173309 704.540039	-0.057 -0.000 0.057
ttt_playerspawn	340.745667 -688.436035 448.544403	-0.053 0.000 -0.053
ttt_playerspawn	215.748306 -635.933960 448.536346	-0.061 0.000 -0.061
ttt_playerspawn	-849.173767 -1655.605835 448.482330	-0.012 -0.000 0.012
ttt_playerspawn	-868.052979 -1832.434082 448.473114	-0.013 -0.000 0.013
ttt_playerspawn	-289.805664 -435.749481 1152.470825	0.019 -0.000 -0.019
ttt_playerspawn	-436.109985 -432.754364 1152.534668	-0.006 -0.000 0.006
weapon_ttt_smokegrenade	-157.082001 -606.606995 1156.729980	0.000 0.000 0.000
weapon_ttt_smokegrenade	-129.009003 -267.824005 1156.729980	0.000 0.000 0.000
weapon_ttt_smokegrenade	-16.129801 -117.103996 964.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-21.704300 -180.979004 708.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-979.481995 -1718.599976 580.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-453.466003 -2314.100098 708.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-631.229980 -2124.229980 708.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-789.231018 -2336.929932 580.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1466.030029 -2091.459961 452.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-2674.889893 -926.929016 452.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-3061.780029 -383.362000 708.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1438.319946 740.958984 948.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1364.329956 739.895996 1156.729980	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1242.530029 929.338989 1540.729980	0.000 0.000 0.000
item_box_buckshot_ttt	-3948.360107 -7.569540 704.294006	0.000 180.000 0.000
item_box_buckshot_ttt	-3934.360107 -7.569540 704.294006	0.000 180.000 0.000
item_box_buckshot_ttt	-3920.360107 -7.569540 704.294006	0.000 180.000 0.000
item_box_buckshot_ttt	-3906.360107 -7.569540 704.294006	0.000 180.000 0.000
item_box_buckshot_ttt	-3891.939941 -7.790980 704.294006	0.000 180.000 0.000
item_box_buckshot_ttt	-3877.939941 -7.790980 704.294006	0.000 180.000 0.000
item_box_buckshot_ttt	-1500.790039 792.067017 704.294006	0.000 225.000 0.000
item_box_buckshot_ttt	-1510.689941 782.166992 704.294006	0.000 225.000 0.000
item_box_buckshot_ttt	-1521.050049 772.120972 704.294006	0.000 225.000 0.000
item_box_buckshot_ttt	-1530.949951 762.221008 704.294006	0.000 225.000 0.000
item_box_buckshot_ttt	-1540.839966 752.322021 704.294006	0.000 225.000 0.000
