# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_cape_town_revamped
# Exported by: Kopa
setting:	replacespawns 1
ttt_random_weapon	1842.000000 -2202.000000 -111.000000	0.000 0.000 0.000
ttt_random_weapon	1842.000000 -2194.000000 -111.000000	0.000 0.000 0.000
ttt_random_weapon	1632.000000 -1572.000000 -118.313004	0.000 0.000 0.000
ttt_random_weapon	1632.000000 -1580.000000 -118.313004	0.000 0.000 0.000
ttt_random_weapon	1730.000000 -840.000000 -118.626999	0.000 0.000 0.000
ttt_random_weapon	1730.000000 -828.000000 -118.626999	0.000 0.000 0.000
ttt_random_weapon	1740.000000 -216.000000 -116.761002	0.000 0.000 0.000
ttt_random_weapon	1740.000000 -228.000000 -116.761002	0.000 0.000 0.000
ttt_random_weapon	680.000000 -662.000000 -118.626999	0.000 90.000 0.000
ttt_random_weapon	714.000000 -662.000000 -118.626999	0.000 90.000 0.000
ttt_random_weapon	2038.000000 170.000000 -114.000000	0.000 0.000 0.000
ttt_random_weapon	-488.000000 -2072.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-488.000000 -2088.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-656.000000 -800.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-656.000000 -840.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-656.000000 -880.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-656.000000 -1032.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-656.000000 -1072.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-656.000000 -1112.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-648.000000 368.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-648.000000 408.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-648.000000 328.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-172.000000 -1354.000000 -118.626999	0.000 90.000 0.000
ttt_random_weapon	-134.000000 -1322.000000 -118.626999	0.000 90.000 0.000
ttt_random_weapon	362.000000 -682.000000 -6.627010	0.000 0.000 0.000
ttt_random_weapon	362.000000 -668.000000 -6.627010	0.000 0.000 0.000
ttt_random_weapon	362.000000 -656.000000 -6.627010	0.000 0.000 0.000
ttt_random_weapon	1263.829956 -711.783020 -6.627010	0.000 0.000 0.000
ttt_random_weapon	40.000000 312.000000 -136.000000	0.000 270.000 0.000
ttt_random_weapon	80.000000 312.000000 -136.000000	0.000 270.000 0.000
ttt_random_weapon	569.340027 -1140.000000 -118.626999	0.000 180.000 0.000
ttt_random_weapon	568.000000 -1056.000000 -118.626999	0.000 180.000 0.000
ttt_random_weapon	780.283997 -1099.719971 -118.626999	0.000 45.000 0.000
ttt_random_weapon	752.000000 -1071.430054 -118.626999	0.000 45.000 0.000
ttt_random_weapon	808.567993 -1128.000000 -118.626999	0.000 45.000 0.000
