# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_casino_b2
# Exported by: Donato Dias
setting:	replacespawns 1
ttt_playerspawn	-849.986572 543.092773 -421.096985	0.054 0.000 0.054
ttt_playerspawn	-810.443359 200.176605 -421.083130	0.058 -0.000 -0.058
ttt_playerspawn	-784.424866 15.048436 -421.123383	0.080 0.000 0.080
ttt_playerspawn	-763.650513 -115.236877 -421.120911	-0.104 0.014 0.300
ttt_playerspawn	-949.638428 499.195740 -421.074341	0.046 -0.000 -0.046
ttt_playerspawn	-911.755005 193.185608 -421.086365	0.063 -0.000 -0.063
ttt_playerspawn	-862.967102 -78.822495 -421.113037	0.069 0.000 0.069
ttt_playerspawn	-761.855957 -254.062317 -421.074829	0.046 -0.000 -0.046
ttt_playerspawn	-741.592163 -448.416840 -421.079590	0.053 -0.000 -0.053
ttt_playerspawn	-723.250854 -645.712280 -421.063263	0.030 -0.000 -0.030
ttt_playerspawn	-711.126953 -874.142944 -421.068604	0.038 -0.000 -0.038
ttt_playerspawn	-700.664856 -1091.141479 -421.125854	-0.082 0.000 -0.082
ttt_playerspawn	-696.855225 -1287.842407 -421.117462	0.074 0.000 0.074
ttt_playerspawn	-693.575012 -1499.023682 -421.081482	0.039 0.000 0.038
ttt_playerspawn	-555.257324 -1514.558716 -421.113037	0.069 0.000 0.069
ttt_playerspawn	-582.976074 -1289.694824 -421.095367	0.052 0.000 0.052
ttt_playerspawn	-556.395325 -1063.809937 -421.073395	0.044 -0.000 -0.044
ttt_playerspawn	-565.838196 -886.939026 -421.077942	0.051 -0.000 -0.051
ttt_playerspawn	-225.749893 -840.204224 -421.055176	0.018 -0.000 -0.018
ttt_playerspawn	-228.195419 -995.343262 -421.085052	0.061 -0.000 -0.061
ttt_playerspawn	-67.438393 -859.310059 -421.068604	0.038 -0.000 -0.038
ttt_playerspawn	-59.624073 -979.082642 -421.072449	0.043 -0.000 -0.043
ttt_playerspawn	161.885132 -1127.633057 -421.074005	0.031 0.000 0.031
ttt_playerspawn	-36.279099 -1131.770508 -421.065704	0.023 0.000 0.023
ttt_playerspawn	184.885834 -1263.653931 -421.091492	0.048 0.000 0.048
ttt_playerspawn	-25.993338 -1241.374878 -421.082703	0.040 0.000 0.040
ttt_playerspawn	158.027222 -1390.436890 -421.102203	0.059 0.000 0.059
ttt_playerspawn	-25.167818 -1381.724121 -421.113037	0.069 0.000 0.069
ttt_playerspawn	-170.049438 -1604.845093 -421.115234	0.072 0.000 0.072
ttt_playerspawn	-379.456329 -1597.420776 -421.095367	0.052 0.000 0.052
ttt_playerspawn	-467.841492 -1476.668945 -421.122162	0.078 0.000 0.078
ttt_playerspawn	-772.170654 -1644.340210 -421.097839	-0.055 0.000 -0.055
ttt_playerspawn	-793.920532 -1423.525146 -421.107056	0.069 -0.054 0.241
ttt_playerspawn	-834.635925 798.960815 -421.125854	-0.082 0.000 -0.082
ttt_playerspawn	-959.856873 802.769958 -421.095367	-0.052 0.000 -0.052
weapon_ttt_smokegrenade	1138.839966 1604.920044 -419.907013	0.000 0.000 0.000
weapon_ttt_smokegrenade	1150.540039 1605.310059 -419.907013	0.000 0.000 0.000
weapon_ttt_smokegrenade	2023.390015 427.576996 -552.906982	0.000 0.000 0.000
weapon_ttt_smokegrenade	1979.689941 1083.150024 -471.907013	0.000 0.000 0.000
weapon_ttt_smokegrenade	1968.020020 1223.939941 -471.907013	0.000 0.000 0.000
item_box_buckshot_ttt	1924.380005 682.359985 -268.347992	0.000 0.000 0.000
item_box_buckshot_ttt	1922.869995 728.942017 -268.347992	0.000 0.000 0.000
item_box_buckshot_ttt	24.111401 1714.140015 -244.348007	0.000 0.000 0.000
item_box_buckshot_ttt	9.979540 1714.319946 -244.348007	0.000 0.000 0.000
item_box_buckshot_ttt	2518.879883 1352.609985 -556.348022	0.000 0.000 0.000
item_box_buckshot_ttt	2582.399902 1353.160034 -556.348022	0.000 0.000 0.000
item_box_buckshot_ttt	1250.920044 1423.069946 -424.347992	0.000 0.000 0.000
item_box_buckshot_ttt	1198.079956 1422.630005 -424.347992	0.000 0.000 0.000
item_box_buckshot_ttt	995.669983 1725.979980 -268.347992	0.000 0.000 0.000
item_box_buckshot_ttt	1056.910034 1726.140015 -268.347992	0.000 0.000 0.000
item_box_buckshot_ttt	911.750977 -986.414978 -350.802002	0.000 0.000 0.000
item_box_buckshot_ttt	971.090027 -986.398987 -350.802002	0.000 0.000 0.000
item_box_buckshot_ttt	2519.000000 1372.449951 -556.348022	0.000 0.000 0.000
item_box_buckshot_ttt	2582.520020 1373.000000 -556.348022	0.000 0.000 0.000
item_ammo_357_ttt	2057.260010 414.492004 -556.366028	0.000 0.000 0.000
item_ammo_357_ttt	2043.270020 415.372986 -556.366028	0.000 0.000 0.000
item_ammo_357_ttt	580.934021 883.038025 -244.365997	0.000 0.000 0.000
item_ammo_357_ttt	566.510986 883.208008 -244.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	-278.000000 1087.000000 -231.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	-278.000000 1053.000000 -231.000000	0.000 0.000 0.000
item_ammo_revolver_ttt	2280.020020 453.365997 -364.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	2280.020020 488.878998 -364.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	-62.897900 1182.650024 -350.505005	0.000 0.000 0.000
item_ammo_revolver_ttt	84.310898 950.195984 -350.505005	0.000 0.000 0.000
item_ammo_revolver_ttt	22.337400 -526.804016 -324.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	10.046300 -526.861023 -324.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	1771.750000 1202.400024 -476.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	1773.560059 1245.569946 -476.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	1224.000000 1561.180054 -264.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	1250.119995 1561.339966 -264.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	-438.842987 839.187988 -412.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	-438.592987 871.809998 -412.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	1140.219971 -213.623993 -396.364990	0.000 0.000 0.000
item_ammo_revolver_ttt	1140.729980 -174.350006 -396.364990	0.000 0.000 0.000
item_ammo_revolver_ttt	-287.755005 424.625000 -396.364990	0.000 0.000 0.000
item_ammo_revolver_ttt	-325.722992 424.096985 -396.364990	0.000 0.000 0.000
item_ammo_revolver_ttt	12.042200 686.885986 -396.364990	0.000 0.000 0.000
item_ammo_revolver_ttt	0.276371 686.567017 -396.364990	0.000 0.000 0.000
item_ammo_revolver_ttt	1207.829956 891.304993 -416.365997	0.000 0.000 0.000
item_ammo_revolver_ttt	1208.069946 867.981018 -416.365997	0.000 0.000 0.000
item_ammo_smg1_ttt	1480.959961 -555.291016 -268.296997	0.000 0.000 0.000
item_ammo_smg1_ttt	1481.069946 -503.303986 -268.296997	0.000 0.000 0.000
item_ammo_smg1_ttt	1992.760010 1253.500000 -476.296997	0.000 90.000 0.000
item_ammo_smg1_ttt	1991.930054 1279.150024 -477.296997	0.000 90.000 0.000
item_ammo_smg1_ttt	1652.339966 147.044006 -316.296997	0.000 0.000 0.000
item_ammo_smg1_ttt	1594.540039 147.205002 -316.296997	0.000 0.000 0.000
item_ammo_pistol_ttt	25.020500 103.769997 -396.360992	0.000 0.000 0.000
item_ammo_pistol_ttt	41.069901 103.757004 -396.360992	0.000 0.000 0.000
item_ammo_pistol_ttt	2866.659912 752.392029 -520.228027	0.000 0.000 0.000
item_ammo_pistol_ttt	2839.000000 752.000000 -520.228027	0.000 0.000 0.000
item_ammo_pistol_ttt	1219.839966 1234.599976 -268.362000	0.000 0.000 0.000
item_ammo_pistol_ttt	1279.949951 1234.540039 -268.362000	0.000 0.000 0.000
item_ammo_pistol_ttt	2157.989990 -512.788025 -269.717010	0.000 90.000 0.000
item_ammo_pistol_ttt	2158.739990 -549.052002 -269.717010	0.000 90.000 0.000
ttt_random_weapon	-441.365509 776.559509 -392.970306	1.547 -1.399 -93.211
ttt_random_weapon	-441.431915 724.277832 -393.009766	2.103 -2.182 -93.518
ttt_random_weapon	-445.592010 930.307556 -393.111511	2.329 -1.308 -93.002
ttt_random_weapon	-445.448792 997.031799 -393.001373	1.585 0.911 -93.028
ttt_random_weapon	-430.977173 555.774841 -397.795715	1.643 4.617 -93.086
ttt_random_weapon	-431.010040 595.961121 -397.872559	2.114 4.861 -92.338
ttt_random_weapon	-55.875263 1882.906738 -244.416550	1.588 4.986 -93.254
ttt_random_weapon	108.268204 1882.895874 -244.416901	1.592 4.986 -93.245
ttt_random_weapon	394.037903 250.865921 -221.466583	1.689 4.767 -93.024
ttt_random_weapon	393.789429 210.580048 -221.475830	1.793 4.774 -92.785
ttt_random_weapon	394.594879 166.284729 -221.469574	1.722 4.770 -92.947
ttt_random_weapon	457.892822 1444.353516 -233.183029	0.927 -1.077 -93.800
ttt_random_weapon	659.107056 935.345642 -237.293335	1.784 -50.146 -91.394
ttt_random_weapon	665.726257 933.621399 -209.158981	1.359 53.936 -93.615
ttt_random_weapon	662.461060 996.484009 -181.143967	1.332 -81.122 -93.841
ttt_random_weapon	467.171753 1046.263672 -237.186691	1.771 46.890 -93.013
ttt_random_weapon	460.385132 1448.517822 -261.147766	1.205 104.945 -94.782
ttt_random_weapon	1187.888306 926.012512 -418.331818	1.705 4.768 -92.986
ttt_random_weapon	1174.407227 875.296692 -418.354065	1.956 4.786 -92.412
ttt_random_weapon	1197.948242 825.572327 -418.327179	1.653 4.765 -93.106
ttt_random_weapon	1195.286865 1608.223877 -424.427429	1.711 4.769 -92.974
ttt_random_weapon	1276.614258 1605.450439 -424.405396	1.461 4.750 -93.544
ttt_random_weapon	1233.226807 1592.574341 -424.436615	1.814 4.776 -92.736
ttt_random_weapon	915.648926 377.456055 -425.287994	1.592 4.760 -93.246
ttt_random_weapon	251.945175 -518.623596 -357.412384	0.768 -0.812 -93.785
ttt_random_weapon	251.781326 -567.637268 -357.380798	1.095 -2.482 -93.817
ttt_random_weapon	724.803528 -217.439957 -382.466858	1.434 4.664 -93.608
ttt_random_weapon	1816.154541 1484.169556 -229.386307	1.653 4.765 -93.106
ttt_random_weapon	1118.722046 1301.310059 -252.998230	1.800 4.711 -92.770
ttt_random_weapon	1231.372070 1124.214233 -232.203186	1.798 4.929 -92.775
ttt_random_weapon	1152.371338 1123.266602 -232.216568	1.664 4.163 -92.942
ttt_random_weapon	-76.622795 -649.028625 -393.863098	-0.979 -4.347 88.937
ttt_random_weapon	-29.728586 -651.207336 -393.998291	-1.108 -4.033 82.174
ttt_random_weapon	1696.252197 757.222168 -229.396927	1.773 4.773 -92.832
ttt_random_weapon	1506.359009 1420.655273 -233.694305	1.946 4.720 -92.434
ttt_random_weapon	1527.556152 1442.732300 -233.653458	1.485 4.673 -93.491
ttt_random_weapon	1299.638306 1379.307129 -228.413513	1.648 4.695 -93.118
ttt_random_weapon	1213.469360 1376.925659 -228.409241	1.599 4.689 -93.228
weapon_ttt_m16	2148.050049 -530.702026 -264.313995	0.000 0.000 0.000
weapon_ttt_m16	25.130501 122.388000 -391.958008	0.000 0.000 0.000
weapon_ttt_m16	2825.919922 861.096008 -551.958984	0.000 0.000 0.000
weapon_ttt_m16	1240.560059 1233.989990 -263.959015	0.000 0.000 0.000
weapon_zm_sledge	1789.829956 -1177.920044 -264.783997	0.000 0.000 0.000
weapon_zm_sledge	-488.863007 556.861023 -386.141998	0.000 90.000 0.000
ttt_random_ammo	1194.949951 1567.560059 -264.640991	0.000 0.000 0.000
ttt_random_ammo	1194.599976 1558.319946 -264.640991	0.000 0.000 0.000
ttt_random_ammo	1968.270020 1206.890015 -476.640991	0.000 0.000 0.000
ttt_random_ammo	1968.750000 1214.069946 -476.640991	0.000 0.000 0.000
ttt_random_ammo	2016.680054 334.227997 -268.640991	0.000 0.000 0.000
ttt_random_ammo	597.583008 1221.189941 -396.640015	0.000 0.000 0.000
