# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_chaser_v2
# Exported by: Kopa
setting:	replacespawns 1
ttt_random_weapon	-2312.879883 2083.219971 193.373001	0.000 0.000 0.000
ttt_random_weapon	-2313.110107 2042.479980 193.373001	0.000 0.000 0.000
ttt_random_weapon	-2314.219971 2129.229980 193.373001	0.000 0.000 0.000
ttt_random_weapon	-2311.719971 1937.800049 192.373001	0.000 0.000 0.000
ttt_random_weapon	-2311.139893 1883.619995 192.373001	0.000 0.000 0.000
ttt_random_weapon	-2309.989990 1832.469971 192.373001	0.000 0.000 0.000
ttt_random_weapon	-2312.909912 1730.030029 192.373001	0.000 0.000 0.000
ttt_random_weapon	-2310.389893 1685.479980 192.373001	0.000 0.000 0.000
ttt_random_weapon	-2311.629883 1628.930054 192.373001	0.000 0.000 0.000
ttt_random_weapon	-1994.920044 25.225901 170.373001	0.000 0.000 0.000
ttt_random_weapon	-2069.500000 21.601000 170.373001	0.000 0.000 0.000
ttt_random_weapon	-2080.419922 106.390999 170.373001	0.000 0.000 0.000
ttt_random_weapon	-2072.510010 214.572998 170.373001	0.000 0.000 0.000
ttt_random_weapon	-2072.969971 300.169006 170.373001	0.000 0.000 0.000
ttt_random_weapon	-721.726013 1232.800049 199.309006	0.000 0.000 0.000
ttt_random_weapon	-721.726013 1365.180054 209.582001	0.000 0.000 0.000
ttt_random_weapon	-853.107971 1040.800049 -85.627098	0.000 0.000 0.000
ttt_random_weapon	-759.288025 1042.410034 -85.627098	0.000 0.000 0.000
ttt_random_weapon	-704.276001 1038.800049 -85.627098	0.000 0.000 0.000
ttt_random_weapon	-753.854980 873.726013 -83.656799	0.000 0.000 0.000
ttt_random_weapon	-200.000000 1152.000000 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-241.673004 1150.510010 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-424.000000 1152.000000 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-382.326996 1153.489990 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-592.000000 1152.000000 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-550.327026 1153.489990 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-784.000000 1152.000000 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-742.327026 1153.489990 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-784.000000 1313.489990 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-742.327026 1314.979980 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-200.000000 1313.489990 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-241.673004 1312.000000 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-382.326996 1314.979980 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-424.000000 1313.489990 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-550.327026 1314.979980 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-592.000000 1313.489990 -104.000000	0.000 0.000 0.000
ttt_random_weapon	-1384.109375 1430.302612 -94.790398	1.767 4.875 -92.845
ttt_random_weapon	-1381.472656 1392.832642 -94.782036	1.673 4.698 -93.061
ttt_random_weapon	-1382.409058 1346.853638 -94.784897	1.705 4.702 -92.987
ttt_random_weapon	-1384.577026 1287.903320 -94.845184	2.360 -5.241 -91.573
ttt_random_weapon	-1162.203735 1422.659180 -94.800819	1.884 4.716 -92.576
ttt_random_weapon	-1162.272949 1367.972900 -94.795235	1.822 4.712 -92.720
ttt_random_weapon	-1160.514038 1320.184814 -94.930161	1.650 3.205 -91.176
ttt_random_weapon	-1161.161621 1288.812622 -94.833984	1.873 3.380 -92.160
