# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_christmas_bowling_v1a
# Exported by: Razor
setting:	replacespawns 1
ttt_random_weapon	1472.000000 -1260.000000 160.000000	0.000 0.000 0.000
ttt_random_weapon	1472.000000 -1260.000000 130.000000	0.000 0.000 0.000
ttt_random_weapon	1472.000000 -1260.000000 97.263199	0.000 0.000 0.000
ttt_random_weapon	1472.000000 -1260.000000 72.000000	0.000 0.000 0.000
ttt_random_weapon	1344.000000 -1260.000000 73.196404	0.000 0.000 0.000
ttt_random_weapon	1344.000000 -1260.000000 98.459602	0.000 0.000 0.000
ttt_random_weapon	1344.000000 -1260.000000 131.195999	0.000 0.000 0.000
ttt_random_weapon	1344.000000 -1260.000000 161.195999	0.000 0.000 0.000
ttt_random_weapon	1216.000000 -1260.000000 72.000000	0.000 0.000 0.000
ttt_random_weapon	1216.000000 -1260.000000 97.263199	0.000 0.000 0.000
ttt_random_weapon	1216.000000 -1260.000000 130.000000	0.000 0.000 0.000
ttt_random_weapon	1216.000000 -1260.000000 160.000000	0.000 0.000 0.000
ttt_random_weapon	1088.000000 -1260.000000 71.915901	0.000 0.000 0.000
ttt_random_weapon	1088.000000 -1260.000000 97.179100	0.000 0.000 0.000
ttt_random_weapon	1088.000000 -1260.000000 129.916000	0.000 0.000 0.000
ttt_random_weapon	1088.000000 -1260.000000 159.916000	0.000 0.000 0.000
ttt_random_weapon	920.000000 -832.000000 53.372898	0.000 0.000 0.000
ttt_random_weapon	1539.739990 -743.643982 53.372898	0.000 0.000 0.000
ttt_random_weapon	638.000000 -1132.000000 81.668297	0.000 90.000 0.000
ttt_random_weapon	632.000000 -748.000000 72.727600	0.000 90.000 0.000
ttt_random_weapon	829.000000 -764.414978 75.366898	0.000 90.000 0.000
ttt_random_weapon	1596.000000 -617.000000 78.000000	0.000 0.000 0.000
ttt_random_weapon	1074.000000 -614.000000 86.000000	0.000 0.000 0.000
ttt_random_weapon	496.000000 -612.000000 78.615097	0.000 0.000 0.000
ttt_random_weapon	36.896198 -638.107971 97.372902	0.000 0.000 0.000
ttt_random_weapon	-597.937988 -621.294006 53.372898	0.000 0.000 0.000
ttt_random_weapon	-1492.000000 -612.000000 87.685303	0.000 0.000 0.000
ttt_random_weapon	-1954.239990 -86.298203 112.623001	0.000 0.000 0.000
ttt_random_weapon	-1534.060059 -82.297699 112.623001	0.000 0.000 0.000
ttt_random_weapon	-1091.469971 -86.577301 111.623001	0.000 0.000 0.000
ttt_random_weapon	-642.585022 -84.873596 112.623001	0.000 0.000 0.000
ttt_random_weapon	-195.076004 -86.479698 112.623001	0.000 0.000 0.000
ttt_random_weapon	252.419006 -87.331802 112.623001	0.000 0.000 0.000
ttt_random_weapon	702.541992 -87.924599 112.873001	0.000 0.000 0.000
ttt_random_weapon	1123.160034 -90.332802 112.873001	0.000 0.000 0.000
ttt_random_weapon	1573.959961 -89.559303 112.873001	0.000 0.000 0.000
ttt_random_weapon	-1453.739990 -959.737000 89.122902	0.000 0.000 0.000
ttt_random_weapon	-1456.680054 -720.179016 89.122902	0.000 0.000 0.000
ttt_random_weapon	-723.512024 -957.879028 88.872902	0.000 0.000 0.000
ttt_random_weapon	-733.556030 -698.661987 98.717400	0.000 0.000 0.000
ttt_random_weapon	-876.000000 -976.000000 84.000000	0.000 0.000 0.000
ttt_random_weapon	-1071.439941 -1360.500000 53.372898	0.000 0.000 0.000
ttt_random_weapon	-340.950012 -1348.260010 53.372898	0.000 0.000 0.000
ttt_random_weapon	-342.622009 -1450.250000 53.372898	0.000 0.000 0.000
ttt_random_weapon	-336.619995 -1549.920044 53.372898	0.000 0.000 0.000
ttt_random_weapon	-1873.680054 -1549.010010 53.372898	0.000 0.000 0.000
ttt_random_weapon	-1875.000000 -1447.020020 53.372898	0.000 0.000 0.000
ttt_random_weapon	-1873.099976 -1347.920044 53.372898	0.000 0.000 0.000
ttt_random_weapon	-429.765991 -748.843018 53.372898	0.000 0.000 0.000
ttt_random_weapon	-444.093994 -864.588989 53.372898	0.000 0.000 0.000
ttt_random_weapon	17.834499 -743.195007 53.372898	0.000 0.000 0.000
ttt_random_weapon	-188.750000 1227.880005 77.372902	0.000 0.000 0.000
ttt_random_weapon	-172.768005 599.302979 77.372902	0.000 0.000 0.000
ttt_random_weapon	238.167999 1221.160034 77.372902	0.000 0.000 0.000
ttt_random_weapon	274.360992 648.163025 77.372902	0.000 0.000 0.000
ttt_random_weapon	699.974976 1184.859985 77.372803	0.000 0.000 0.000
ttt_random_weapon	696.187988 661.468994 77.372803	0.000 0.000 0.000
ttt_random_weapon	1144.650024 1164.469971 77.372902	0.000 0.000 0.000
ttt_random_weapon	1145.069946 670.052979 77.372902	0.000 0.000 0.000
ttt_random_weapon	1587.170044 1197.859985 77.372902	0.000 0.000 0.000
ttt_random_weapon	1582.290039 716.632996 77.372902	0.000 0.000 0.000
ttt_random_weapon	-669.744995 1181.699951 77.372902	0.000 0.000 0.000
