# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_christmas_bungalow
# Exported by: Razor
setting:	replacespawns 1
ttt_random_weapon	17.567493 -361.851471 1.243089	1.388 4.748 -93.712
ttt_random_weapon	22.666359 -385.056641 1.243308	1.386 4.748 -93.718
ttt_random_weapon	190.125549 -643.753296 1.241425	1.407 4.753 -93.669
ttt_random_weapon	125.620140 -642.828857 1.242439	1.395 4.751 -93.695
ttt_random_weapon	192.824188 -555.937988 1.243973	1.378 4.745 -93.735
ttt_random_weapon	131.477966 -557.761108 1.243971	1.378 4.744 -93.735
ttt_random_weapon	-87.760643 -639.817383 1.241998	1.400 4.752 -93.684
ttt_random_weapon	-222.975845 -637.920959 1.241425	1.407 4.753 -93.669
ttt_random_weapon	-191.934479 -594.885681 1.243848	1.379 4.745 -93.732
ttt_random_weapon	-178.337021 -563.622375 1.241446	1.407 4.753 -93.670
ttt_random_weapon	-167.511032 -523.623230 1.239782	1.426 4.749 -93.626
ttt_random_weapon	-188.073318 -461.534485 1.241346	1.408 4.753 -93.667
ttt_random_weapon	-160.664703 -491.882813 1.241546	1.406 4.753 -93.672
ttt_random_weapon	-351.652466 -241.724823 2.165121	21.237 32.643 107.689
ttt_random_weapon	-356.514282 -179.969162 -3.806653	6.997 -22.258 73.590
ttt_random_weapon	-384.250732 -287.863037 18.741060	9.218 -8.745 -100.480
ttt_random_weapon	34.929680 270.544891 36.298603	2.776 0.982 -92.250
ttt_random_weapon	62.241634 150.410110 37.632191	7.022 -6.154 -6.087
ttt_random_weapon	406.421875 41.693409 82.579079	-5.609 -8.702 -95.084
ttt_random_weapon	387.036682 -8.137609 81.882751	7.802 3.564 -97.372
ttt_random_weapon	392.616943 -30.475922 82.890732	3.951 2.368 -97.933
ttt_random_weapon	389.216156 -78.733826 82.831093	-1.126 -0.964 -2.910
ttt_random_weapon	178.028107 161.959137 1.235024	1.480 5.891 -93.503
ttt_random_weapon	229.614304 105.378494 1.229867	1.538 5.900 -93.369
ttt_random_weapon	237.941238 82.568985 1.234258	1.488 5.742 -93.483
ttt_random_weapon	356.636902 367.687408 145.215210	1.515 5.344 -93.522
ttt_random_weapon	350.946259 311.463593 145.215668	1.512 5.344 -93.527
ttt_random_weapon	-215.517441 294.940033 145.194397	1.650 5.263 -93.330
ttt_random_weapon	-160.250183 298.925598 145.186935	1.671 5.343 -93.248
ttt_random_weapon	-196.837784 346.989777 145.197891	1.611 5.344 -93.354
ttt_random_weapon	-173.093109 321.331390 145.186996	1.671 5.343 -93.249
ttt_random_weapon	281.458893 94.298714 283.345856	10.039 4.090 -94.802
ttt_random_weapon	282.764526 125.535049 280.298340	-7.456 13.683 -95.264
ttt_random_weapon	350.511536 -47.898766 145.224930	1.594 5.903 -93.241
ttt_random_weapon	417.227661 -475.688873 145.235565	1.473 5.261 -93.517
ttt_random_weapon	352.880981 -465.767303 145.225952	1.582 5.902 -93.267
ttt_random_weapon	276.897095 -466.055084 145.227249	1.568 5.902 -93.301
ttt_random_weapon	-138.456543 -415.230927 145.187943	1.666 5.343 -93.258
ttt_random_weapon	-195.682693 -147.744293 -6.770969	1.547 5.901 -93.347
ttt_random_weapon	-197.722672 -101.953781 -6.767578	1.509 5.896 -93.435
ttt_random_weapon	-137.078506 -149.635117 -6.765186	1.482 5.891 -93.497
ttt_random_weapon	-198.352539 32.114048 -6.770983	1.548 5.901 -93.347
ttt_random_weapon	199.924850 -79.949249 -0.729116	-20.554 2.851 -6.848
ttt_random_weapon	225.287369 -242.279892 43.467918	1.874 24.420 -92.608
ttt_random_weapon	227.772308 -257.706543 44.593838	2.441 16.118 -92.412
ttt_random_weapon	231.897171 -267.049561 3.542146	0.512 61.825 -96.478
ttt_random_weapon	282.895844 -370.099579 1.229663	1.540 5.752 -93.364
ttt_random_weapon	349.484161 -368.957550 1.231210	1.523 5.898 -93.404
ttt_random_weapon	356.241974 -280.221832 1.229333	1.544 5.901 -93.355
ttt_random_weapon	115.499275 876.849609 79.232971	1.503 5.898 -93.450
ttt_random_weapon	163.890442 876.959351 79.224976	1.594 5.903 -93.242
ttt_random_weapon	139.369095 869.188782 3.248031	1.332 4.012 -93.841
ttt_random_weapon	180.940887 855.137390 3.248030	1.332 4.012 -93.841
ttt_random_weapon	87.854889 852.688049 3.248030	1.332 3.998 -93.841
ttt_random_weapon	243.970993 512.476318 9.231198	1.523 5.898 -93.404
ttt_random_weapon	209.413422 478.557770 9.227537	1.564 5.902 -93.309
ttt_random_weapon	185.806702 450.118744 9.236843	1.459 5.886 -93.550
ttt_random_weapon	152.931549 420.937683 9.221901	1.628 5.238 -93.163
ttt_random_weapon	110.004379 411.402557 9.227844	1.561 5.902 -93.317
ttt_random_weapon	103.408249 457.894135 9.228148	1.557 5.902 -93.325
ttt_random_weapon	142.310242 480.354797 9.229038	1.547 5.901 -93.348
ttt_random_weapon	322.807617 782.552734 -14.182710	-1.325 -2.712 85.522
ttt_random_weapon	383.223358 806.248291 -2.795908	-2.521 -13.304 110.144
ttt_random_weapon	315.422455 814.635193 -5.671637	10.569 -10.277 -98.362
ttt_random_weapon	426.999207 802.324402 9.327876	-6.554 3.319 -93.503
ttt_random_weapon	496.711761 778.868591 16.429817	-0.388 -26.764 -77.803
ttt_random_weapon	433.087189 760.345825 6.925537	-1.433 -10.126 99.848
ttt_random_weapon	657.247314 796.274780 20.657188	-2.637 -8.203 86.868
ttt_random_weapon	711.019897 755.397400 19.002892	1.507 -1.174 -92.142
ttt_random_weapon	828.386169 718.278442 281.211639	1.744 7.497 -92.897
ttt_playerspawn	442.563385 181.909363 0.504910	-0.038 -0.000 0.038
ttt_playerspawn	452.655060 -186.541061 0.541299	-0.024 -0.000 0.024
ttt_playerspawn	617.832642 -27.969893 0.500512	-0.040 -0.000 0.040
ttt_playerspawn	611.515442 -304.866089 2.530583	-0.037 0.140 0.045
ttt_playerspawn	462.532837 -344.280609 3.800038	-0.020 -0.305 -0.020
ttt_playerspawn	573.878723 -431.048431 2.962675	-0.045 -0.179 0.044
ttt_playerspawn	-76.596458 -576.541199 6.980469	-0.053 7.232 0.056
ttt_playerspawn	20.062553 -604.155518 7.140657	-0.048 0.422 0.048
ttt_playerspawn	-347.624725 111.848213 -25.754303	0.010 0.023 0.010
ttt_playerspawn	-330.817841 -54.020023 -26.618862	-0.011 1.297 0.011
ttt_playerspawn	-176.965622 287.785034 4.303443	-0.062 0.961 0.062
ttt_playerspawn	19.487782 467.986206 5.235188	-0.036 -0.636 0.035
ttt_playerspawn	114.045822 575.312073 3.568422	0.002 -0.282 0.229
ttt_playerspawn	556.240601 551.737854 17.714539	1.830 0.530 2.806
ttt_playerspawn	117.342369 792.216492 4.433595	-0.028 -0.000 0.028
ttt_playerspawn	-219.481537 -322.748322 151.871735	-0.006 -1.748 0.007
ttt_playerspawn	236.984894 437.541077 154.612747	-0.011 0.525 0.011
ttt_playerspawn	-46.896030 461.085480 149.329758	-0.008 -0.479 0.008
ttt_playerspawn	67.414207 566.090332 148.304367	-0.034 0.843 0.034
ttt_playerspawn	484.900055 242.216873 149.405090	-0.039 1.561 0.039
ttt_playerspawn	479.658020 101.256004 148.371185	-0.029 -0.745 0.029
ttt_playerspawn	421.889313 -243.819519 150.684235	0.026 -0.060 0.126
ttt_playerspawn	303.817352 -390.628754 147.523026	-0.030 -0.945 0.030
ttt_playerspawn	28.319757 158.495132 149.023682	-0.013 -0.518 0.013
ttt_playerspawn	206.100189 564.378540 149.142242	-0.043 -1.063 0.043
ttt_playerspawn	346.268250 390.224121 4.787703	0.600 0.307 1.035
ttt_playerspawn	-155.457962 -201.845215 284.440521	0.052 -0.019 0.240
ttt_playerspawn	-157.810760 141.852646 282.228394	0.030 1.016 0.143
ttt_playerspawn	826.298828 685.242554 283.240173	-0.015 -0.855 0.015
ttt_playerspawn	344.962799 671.272522 151.204788	0.013 -0.126 0.118
ttt_playerspawn	224.490768 386.844299 4.974833	0.008 5.312 0.008
ttt_playerspawn	442.279724 365.077484 4.715061	-0.010 -0.970 0.010
ttt_playerspawn	428.277832 -444.144745 7.807279	-0.035 0.966 -0.035
