# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_christmas_pool_v1d
# Exported by: Razor
setting:	replacespawns 1
ttt_random_weapon	-551.000000 4.000000 1824.000000	0.000 0.000 0.000
ttt_random_weapon	-541.771973 -101.880997 1831.920044	0.000 0.000 0.000
ttt_random_weapon	-597.982971 -124.790001 1838.699951	0.000 0.000 0.000
ttt_random_weapon	-749.229980 -53.539001 1855.030029	0.000 0.000 0.000
ttt_random_weapon	-732.000000 572.000000 1811.000000	0.000 89.500 0.000
ttt_random_weapon	-284.000000 -123.000000 1815.000000	0.000 0.000 0.000
ttt_random_weapon	-361.000000 -49.000000 1813.189941	0.000 0.000 0.000
ttt_random_weapon	941.072998 556.492981 1791.369995	0.000 0.000 0.000
ttt_random_weapon	934.476013 657.682007 1791.369995	0.000 0.000 0.000
ttt_random_weapon	944.377014 753.869995 1791.369995	0.000 0.000 0.000
ttt_random_weapon	946.418030 850.940002 1791.369995	0.000 0.000 0.000
ttt_random_weapon	945.906006 962.710022 1791.369995	0.000 0.000 0.000
ttt_random_weapon	199.501999 2230.000000 1792.000000	0.000 0.000 0.000
ttt_random_weapon	455.824005 2231.879883 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-59.563499 2232.610107 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-318.520996 2234.459961 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-532.931030 2227.070068 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-820.953003 2223.530029 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-868.434021 1935.030029 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-851.825989 1314.910034 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-659.247986 953.599976 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-239.929993 962.390015 1791.369995	0.000 0.000 0.000
ttt_random_weapon	293.421997 973.570007 1791.369995	0.000 0.000 0.000
ttt_random_weapon	687.460999 1148.319946 1791.369995	0.000 0.000 0.000
ttt_random_weapon	651.276978 1914.160034 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-1216.329956 937.700012 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-1228.670044 864.979980 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-1248.689941 755.344971 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-1223.520020 651.823975 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-1233.680054 1078.449951 1791.369995	0.000 0.000 0.000
ttt_random_weapon	366.000000 612.000000 1823.670044	0.000 0.000 0.000
ttt_random_weapon	-278.572998 549.911011 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-175.520004 543.896973 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-400.734009 540.143982 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-209.248001 714.541016 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-344.802002 733.366028 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-0.934601 579.771973 1791.369995	0.000 0.000 0.000
ttt_random_weapon	10.920300 835.750000 1791.369995	0.000 0.000 0.000
ttt_random_weapon	216.000000 1826.000000 1225.420044	0.000 0.000 0.000
ttt_random_weapon	136.000000 1874.000000 1226.000000	0.000 0.000 0.000
ttt_random_weapon	176.000000 1738.000000 1234.000000	0.000 0.000 0.000
ttt_random_weapon	224.000000 1602.000000 1226.000000	0.000 0.000 0.000
ttt_random_weapon	312.000000 1714.000000 1226.000000	0.000 0.000 0.000
ttt_random_weapon	200.000000 1714.000000 1234.000000	0.000 0.000 0.000
ttt_random_weapon	160.000000 1770.000000 1202.000000	0.000 0.000 0.000
ttt_random_weapon	112.000000 1930.000000 1186.000000	0.000 0.000 0.000
ttt_random_weapon	312.000000 1834.000000 1194.000000	0.000 0.000 0.000
ttt_random_weapon	32.895000 1456.180054 1147.369995	0.000 0.000 0.000
ttt_random_weapon	-677.297974 696.838013 1791.369995	0.000 0.000 0.000
ttt_random_weapon	-415.643341 526.759399 1783.243042	1.369 4.733 -93.757
ttt_random_weapon	418.209930 741.320313 1783.242920	1.369 4.733 -93.756
ttt_random_weapon	418.028503 722.187256 1783.242432	1.378 4.739 -93.736
ttt_random_weapon	-83.959229 782.047668 1783.243042	1.366 4.731 -93.764
ttt_random_weapon	-81.640137 872.701416 1783.239014	1.433 4.746 -93.608
ttt_random_weapon	356.253418 779.700500 1139.203125	1.838 4.204 -92.683
ttt_random_weapon	359.200531 824.349243 1139.228760	1.545 4.163 -93.352
ttt_random_weapon	352.480560 881.653564 1139.214233	1.711 4.188 -92.972
ttt_random_weapon	263.388824 1957.216675 1139.220581	1.641 4.177 -93.133
ttt_random_weapon	208.558975 1925.979858 1139.210449	1.757 4.192 -92.868
ttt_random_weapon	-920.767822 1670.860229 1139.210449	1.756 4.192 -92.869
ttt_random_weapon	-922.199463 1261.271973 1139.217407	1.676 4.183 -93.053
ttt_random_weapon	-924.400024 1300.790039 1139.217896	1.670 4.181 -93.066
ttt_random_weapon	-1450.960083 1220.814575 1139.203125	1.837 4.203 -92.683
ttt_random_weapon	-1449.560059 1278.962402 1139.236450	1.461 4.149 -93.546
ttt_random_weapon	-1448.227417 1340.570557 1139.224243	1.602 4.171 -93.223
ttt_random_weapon	-530.682617 964.771423 1783.240601	1.410 4.750 -93.662
ttt_random_weapon	-740.887573 970.003601 1783.242188	1.382 4.741 -93.727
ttt_random_weapon	-802.146912 976.218689 1783.239868	1.419 4.750 -93.641
ttt_random_weapon	-876.037048 1024.522339 1783.237183	1.352 4.885 -93.676
ttt_random_weapon	-873.940857 1099.013794 1783.240723	1.407 4.750 -93.670
ttt_random_weapon	-875.000793 1156.845947 1783.240479	1.409 4.749 -93.664
ttt_random_weapon	-877.054993 1244.474365 1783.241577	1.391 4.744 -93.706
ttt_random_weapon	-873.933289 1395.783447 1783.242920	1.372 4.735 -93.749
ttt_random_weapon	-873.727051 1478.936157 1783.240356	1.415 4.750 -93.651
ttt_random_weapon	-877.426392 1548.054565 1783.240479	1.412 4.750 -93.658
ttt_random_weapon	-873.313293 1855.130737 1783.242310	1.381 4.741 -93.729
ttt_random_weapon	-875.188416 2038.613037 1783.242310	1.380 4.741 -93.730
ttt_random_weapon	-873.824585 2091.944336 1783.241333	1.396 4.748 -93.695
ttt_random_weapon	-845.739746 2267.256592 1806.735107	1.332 4.780 -93.840
ttt_random_weapon	-732.762207 2269.508057 1783.242432	1.378 4.739 -93.735
ttt_random_weapon	-447.592285 2269.060547 1783.241821	1.391 4.754 -93.706
ttt_random_weapon	945.822449 1182.958618 1783.242676	1.371 4.735 -93.751
ttt_random_weapon	949.113953 1100.209961 1783.240356	1.410 4.750 -93.661
ttt_random_weapon	938.830933 1263.867188 1783.240234	1.416 4.749 -93.650
ttt_random_weapon	943.204773 1338.775513 1783.241211	1.399 4.748 -93.688
ttt_random_weapon	937.206482 1454.229736 1783.241333	1.397 4.747 -93.692
ttt_random_weapon	732.280762 731.436096 1783.242432	1.376 4.737 -93.740
ttt_random_weapon	702.318420 696.535950 1783.731934	-1.852 -4.220 84.951
ttt_random_weapon	587.077759 688.879944 1783.218994	1.652 4.179 -93.109
ttt_random_weapon	688.034729 635.652222 1783.242310	1.379 4.739 -93.733
ttt_random_weapon	622.514465 622.429016 1783.241211	1.399 4.747 -93.687
ttt_random_weapon	576.221802 645.972412 1783.240967	1.404 4.749 -93.675
ttt_random_weapon	743.475464 683.825012 1783.243896	1.351 4.721 -93.796
ttt_random_weapon	746.137268 645.734070 1783.241089	1.401 4.749 -93.682
ttt_random_weapon	728.889221 -46.482689 1783.219116	1.546 -0.664 -93.790
ttt_random_weapon	660.786804 -93.877243 1783.234009	1.450 3.248 -93.682
ttt_random_weapon	667.893066 -129.735443 1783.242188	1.387 4.753 -93.714
ttt_random_weapon	751.082458 -17.421255 1783.214966	1.696 3.550 -93.007
ttt_random_weapon	671.174438 -17.291231 1783.243530	1.360 4.734 -93.776
ttt_random_weapon	640.217651 -59.464119 1783.241089	1.404 4.757 -93.675
ttt_random_weapon	616.671875 -105.071381 1783.241943	1.389 4.754 -93.710
ttt_random_weapon	-704.676086 -80.006882 1783.243042	1.372 4.745 -93.750
ttt_random_weapon	-703.067566 -47.561279 1783.240356	1.417 4.756 -93.645
