# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_clue_2018_b7
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	106.243782 -78.202095 0.555640	-0.042 -0.000 0.042
ttt_playerspawn	260.980774 -78.340027 0.556956	-0.041 0.000 0.041
ttt_playerspawn	104.644279 2.127719 0.525973	-0.071 -0.000 0.071
ttt_playerspawn	259.188599 -1.497833 0.567420	0.045 -0.000 -0.045
ttt_playerspawn	105.470818 -283.383698 0.557597	-0.041 -0.000 0.040
ttt_playerspawn	261.223083 -281.818542 0.522545	-0.074 -0.000 0.074
ttt_playerspawn	259.673096 -347.937347 0.524847	-0.072 -0.000 0.072
ttt_playerspawn	104.564522 -348.442291 0.535365	-0.062 -0.000 0.062
ttt_playerspawn	154.355377 -526.058594 200.541351	0.089 -0.000 -0.089
ttt_playerspawn	231.577560 -528.550232 200.594513	0.126 -0.323 -0.143
ttt_playerspawn	-108.773537 456.770660 201.507568	-0.009 -0.000 0.009
ttt_playerspawn	-111.369514 599.197876 201.494156	-0.010 -0.000 0.011
ttt_playerspawn	-113.037926 767.737061 201.533630	-0.007 -0.000 0.007
ttt_playerspawn	481.319611 446.990234 200.537582	0.081 -0.000 -0.081
ttt_playerspawn	472.386200 321.973328 200.521866	0.031 0.000 0.031
ttt_playerspawn	453.049530 -256.127594 200.531769	-0.027 -0.000 0.027
ttt_playerspawn	453.490753 -351.225983 200.475327	-0.050 -0.000 0.050
ttt_playerspawn	437.447021 -27.427446 488.555939	-0.018 -0.000 0.018
ttt_playerspawn	342.878540 -29.599108 488.482605	-0.047 -0.000 0.047
ttt_playerspawn	439.219727 46.370514 488.563232	-0.015 -0.000 0.015
ttt_playerspawn	345.368713 40.028427 488.526520	-0.030 -0.000 0.030
ttt_playerspawn	444.926056 134.286850 488.535828	-0.026 -0.000 0.026
ttt_playerspawn	348.692627 121.593704 488.489471	-0.044 -0.000 0.044
ttt_playerspawn	475.062775 216.710648 200.520676	-0.032 -0.000 0.032
ttt_playerspawn	861.143066 249.012604 0.519487	-0.032 -0.000 0.032
ttt_playerspawn	863.838562 198.586624 0.529702	-0.028 -0.000 0.028
ttt_playerspawn	783.079041 3.766493 -23.478117	-0.031 -0.000 0.031
ttt_playerspawn	790.286011 -42.344070 -23.508852	-0.044 -0.000 0.044
ttt_playerspawn	762.707703 -600.677429 0.571059	-0.008 -0.000 0.015
ttt_playerspawn	763.841675 -648.286804 0.484379	-0.047 -0.000 0.047
ttt_playerspawn	615.358154 -751.825623 0.489490	-0.045 -0.000 0.044
ttt_playerspawn	578.930603 -754.940674 0.536738	-0.026 -0.000 0.025
weapon_ttt_ak47	-126.554382 -321.834961 0.971260	0.043 -175.273 88.197
item_box_buckshot_ttt	450.806610 530.047424 488.380005	-0.012 0.002 0.093
item_box_buckshot_ttt	451.105835 515.938843 488.379211	0.112 0.003 -0.003
item_ammo_357_ttt	439.130035 143.343765 200.350998	0.633 0.005 -0.154
item_ammo_357_ttt	427.135681 144.061859 200.369873	0.626 -0.119 -0.178
item_ammo_357_ttt	784.130005 422.983582 536.230103	0.453 0.047 0.026
item_ammo_357_ttt	775.167725 422.547333 536.198486	0.443 0.038 0.036
item_ammo_357_ttt	781.180603 -25.779221 536.207825	0.446 0.042 0.033
item_ammo_357_ttt	769.889038 -24.718098 536.221619	0.450 0.051 0.028
item_ammo_revolver_ttt	127.846527 662.365662 -199.587006	0.466 0.053 0.023
item_ammo_revolver_ttt	-95.429916 852.774475 42.351856	0.455 0.043 0.047
item_ammo_smg1_ttt	-108.086136 -338.106445 0.455152	-0.120 -0.397 0.054
item_ammo_smg1_ttt	202.687408 -601.068054 24.412912	-0.100 93.804 0.033
item_ammo_smg1_ttt	-356.751801 134.415146 -139.477524	-0.100 -2.119 -0.049
item_ammo_smg1_ttt	-359.809204 327.922516 -139.605759	0.123 -0.005 0.070
item_ammo_smg1_ttt	743.316162 -115.606834 239.132782	-0.554 1.175 -0.245
item_ammo_smg1_ttt	729.035217 -116.090851 239.047592	-0.016 2.072 0.057
item_ammo_smg1_ttt	-631.199341 -303.850098 24.681274	5.971 0.781 -1.600
item_ammo_smg1_ttt	-617.252258 -303.498688 23.361650	6.105 1.052 -1.173
item_ammo_smg1_ttt	-166.227417 384.396576 35.162067	-0.190 -0.445 0.116
item_ammo_smg1_ttt	-150.123306 384.393372 35.304455	-0.325 -0.529 -0.273
item_ammo_smg1_ttt	-182.773804 265.196106 35.875038	-0.258 -0.504 -0.005
item_ammo_smg1_ttt	-168.692444 264.826111 36.130707	0.046 0.165 0.221
item_ammo_smg1_ttt	182.992661 -113.853981 488.417969	-0.377 0.005 0.241
item_ammo_smg1_ttt	697.838501 1130.872314 488.563324	0.000 1.087 0.000
