# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_clueless_rv
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-91.614464 -735.791992 448.858887	0.179 13.137 -87.195
weapon_ttt_ak47	-171.736923 -732.232300 448.857483	0.181 13.137 -87.180
ttt_playerspawn	343.037994 28.607155 75.225769	-0.024 0.150 0.024
ttt_playerspawn	353.603821 -84.405334 72.133293	-0.037 0.150 0.037
ttt_playerspawn	164.290222 -95.095711 68.487503	0.121 0.598 0.011
ttt_playerspawn	346.063324 -213.894165 73.183075	-0.038 -0.524 0.038
ttt_playerspawn	163.464630 28.410608 75.028435	-0.019 1.459 0.019
ttt_playerspawn	194.550400 -246.048767 66.661720	6.626 -13.603 0.045
ttt_playerspawn	5.048495 35.340816 75.264137	-0.032 0.150 0.032
ttt_playerspawn	5.593567 -76.904694 64.579605	0.250 1.076 0.186
ttt_playerspawn	18.743963 -199.765274 73.822563	-0.035 -0.860 0.035
ttt_playerspawn	-133.993698 56.730831 72.149765	0.453 -13.906 -0.001
ttt_playerspawn	-90.605301 -73.576553 64.551537	0.077 1.608 -0.077
ttt_playerspawn	-188.898132 -185.734726 64.491119	-0.044 -0.000 0.044
ttt_playerspawn	-273.999115 62.959526 73.605560	0.870 -27.805 -5.004
ttt_playerspawn	-210.595978 -74.255608 71.000504	0.000 12.984 0.000
ttt_playerspawn	-285.724182 -160.793655 140.263626	-0.000 24.790 180.000
ttt_playerspawn	-360.665924 198.234482 202.249146	0.085 -0.394 -0.272
ttt_playerspawn	-175.689789 201.086166 200.251099	-0.037 1.507 0.037
ttt_playerspawn	-15.324959 201.372452 205.843430	-0.056 0.972 0.056
ttt_playerspawn	97.797272 185.687454 203.275497	-0.067 -2.693 0.067
ttt_playerspawn	-147.624496 -385.894226 199.610443	-0.021 2.174 0.003
ttt_playerspawn	-329.797699 -383.717133 197.672424	-0.065 1.188 0.065
ttt_playerspawn	-491.817200 -404.146637 198.992508	0.078 3.988 0.078
ttt_playerspawn	-498.007629 -258.310944 198.297470	-0.067 9.874 0.067
ttt_playerspawn	-524.479126 355.006836 196.382355	-0.073 -4.881 0.073
ttt_playerspawn	-478.752106 -95.602455 200.489670	-0.057 -0.785 0.057
ttt_playerspawn	-480.978149 72.953308 194.094208	-0.048 0.966 0.048
ttt_playerspawn	893.666321 -41.218620 96.532013	-0.066 -0.000 0.066
ttt_playerspawn	910.599976 -165.171478 96.535988	-0.063 -0.000 0.063
ttt_playerspawn	753.496155 -38.815929 96.530983	-0.067 -0.000 0.067
ttt_playerspawn	693.211060 -152.228104 96.540634	-0.058 -0.000 0.058
ttt_playerspawn	1029.734619 -74.405380 96.531013	-0.297 0.052 -0.077
ttt_playerspawn	983.991577 -156.569077 96.583672	-0.016 -0.000 0.015
ttt_playerspawn	662.081787 359.096039 112.544312	-0.129 -0.259 -0.044
ttt_playerspawn	742.458374 204.803680 96.534027	-0.064 -0.000 0.064
ttt_playerspawn	780.523132 -531.664185 96.558487	-0.017 -0.000 0.017
ttt_playerspawn	712.250000 -404.073975 96.525314	-0.030 -0.000 0.030
item_box_buckshot_ttt	-1062.829102 153.436874 191.437012	-0.595 -0.007 0.528
item_box_buckshot_ttt	-1031.242920 151.959763 191.414871	-0.976 0.003 0.761
item_box_buckshot_ttt	-989.483765 168.137878 191.445007	-0.558 -0.005 0.446
item_box_buckshot_ttt	-985.476196 150.382736 191.410355	-1.021 -0.006 0.796
item_box_buckshot_ttt	-934.816406 153.503540 191.371964	0.764 -0.120 -0.529
item_box_buckshot_ttt	-914.931824 142.111664 191.433838	-0.656 -0.004 0.514
item_ammo_357_ttt	-697.371887 -457.764557 448.353638	0.455 0.062 0.046
item_ammo_357_ttt	-670.551453 -452.425110 448.323975	0.449 0.070 0.057
item_ammo_357_ttt	-640.325867 -400.455475 448.350067	0.454 0.064 0.047
item_ammo_357_ttt	-595.555481 -370.239868 448.399445	0.464 0.056 0.028
item_ammo_357_ttt	-371.370972 -8.746776 192.380157	0.269 0.067 0.154
item_ammo_357_ttt	-375.199280 -23.099310 192.372604	0.719 0.146 0.018
item_ammo_357_ttt	-373.089020 -43.368469 192.376251	0.516 -0.461 0.161
item_ammo_357_ttt	-383.649017 -51.130207 197.651352	-43.320 -163.610 180.000
item_ammo_revolver_ttt	-919.715149 637.000488 192.340546	0.451 0.063 0.052
item_ammo_revolver_ttt	-905.190613 628.448242 192.323868	0.448 0.067 0.059
item_ammo_revolver_ttt	-890.482483 636.125671 192.389069	0.461 0.054 0.033
item_ammo_revolver_ttt	-878.892761 617.774719 192.351791	0.454 0.059 0.048
item_ammo_revolver_ttt	-864.473389 639.009705 192.366852	0.457 0.057 0.042
item_ammo_revolver_ttt	-861.286011 619.903564 192.362061	0.456 0.057 0.044
item_ammo_revolver_ttt	-844.399536 635.431763 192.344406	0.452 0.061 0.051
item_ammo_revolver_ttt	-846.554749 613.625122 192.396103	0.463 0.053 0.030
item_ammo_revolver_ttt	-946.825745 -368.140930 191.394974	0.462 0.053 0.030
item_ammo_revolver_ttt	-970.441040 -370.743256 191.342484	0.452 0.061 0.051
item_ammo_revolver_ttt	-989.416687 -366.021881 191.342484	0.452 0.061 0.051
item_ammo_revolver_ttt	-1009.514526 -360.792877 191.309967	0.445 0.071 0.065
item_ammo_revolver_ttt	-1019.591858 -349.672394 191.380005	0.459 0.055 0.036
item_ammo_revolver_ttt	-1033.628540 -334.911041 191.319366	0.447 0.072 0.061
item_ammo_revolver_ttt	-1052.217163 -325.554718 191.355301	0.454 0.059 0.046
item_ammo_revolver_ttt	-1077.053101 -325.590546 191.386566	0.461 0.054 0.034
item_ammo_revolver_ttt	-1078.951782 -310.368103 191.340530	0.451 0.063 0.052
