# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_college
# Exported by: Donato Dias
setting:	replacespawns 1
ttt_playerspawn	107.717476 -1433.153076 232.536026	-0.062 -0.000 0.062
ttt_playerspawn	106.787025 -1353.198608 232.537933	-0.061 -0.000 0.061
ttt_playerspawn	108.214134 -1277.287842 232.539764	-0.059 -0.000 0.059
ttt_playerspawn	106.776283 -1199.444946 232.524490	-0.074 -0.000 0.074
ttt_playerspawn	107.920776 -1105.505981 232.539764	-0.059 -0.000 0.059
ttt_playerspawn	104.662643 -1017.271545 232.558640	0.040 0.000 0.040
ttt_playerspawn	-2.927600 -1015.315918 232.563889	-0.035 -0.000 0.035
ttt_playerspawn	-4.049694 -1103.619263 232.543289	-0.055 -0.000 0.055
ttt_playerspawn	-4.043165 -1199.771606 232.532059	-0.066 -0.000 0.066
ttt_playerspawn	-3.315977 -1273.329712 232.537933	-0.061 -0.000 0.061
ttt_playerspawn	-2.635247 -1348.989014 232.543289	-0.055 -0.000 0.055
ttt_playerspawn	-5.351017 -1442.532104 232.534073	-0.064 -0.000 0.064
ttt_playerspawn	-102.948601 -1018.921631 232.541550	-0.057 -0.000 0.057
ttt_playerspawn	-106.767662 -1111.199585 232.537933	-0.061 -0.000 0.061
ttt_playerspawn	-107.966263 -1202.004028 232.517349	-0.081 -0.000 0.081
ttt_playerspawn	-108.520859 -1270.897339 232.531021	-0.067 -0.000 0.067
ttt_playerspawn	-109.428169 -1350.059204 232.540390	-0.057 -0.000 0.057
ttt_playerspawn	-112.966209 -1444.262695 232.522186	-0.076 -0.000 0.076
ttt_playerspawn	-202.453033 -1022.052734 232.528915	-0.069 -0.000 0.069
ttt_playerspawn	-205.334641 -1111.272461 232.527832	-0.070 -0.000 0.070
ttt_playerspawn	-207.922623 -1206.363892 232.563339	-0.036 -0.000 0.036
ttt_playerspawn	-207.037781 -1272.769531 232.524490	-0.074 -0.000 0.074
ttt_playerspawn	-206.909424 -1355.361572 232.536362	0.042 -0.133 0.244
ttt_playerspawn	-206.815201 -1446.095947 232.535049	-0.063 -0.000 0.063
ttt_playerspawn	961.984009 -1099.713135 424.548187	-0.051 -0.000 0.051
ttt_playerspawn	842.018188 -1102.586304 424.566010	-0.033 -0.000 0.033
ttt_playerspawn	737.048096 -1105.100220 424.547394	-0.051 -0.000 0.051
ttt_playerspawn	617.082520 -1107.972900 424.514801	-0.083 -0.000 0.083
ttt_playerspawn	504.614380 -1110.666870 424.563904	-0.035 -0.000 0.035
ttt_playerspawn	495.952423 -990.608582 424.558044	-0.041 -0.000 0.041
ttt_playerspawn	608.164490 -994.470154 424.528931	-0.069 -0.000 0.069
ttt_playerspawn	728.223572 -994.262939 424.522186	-0.076 -0.000 0.076
ttt_playerspawn	835.371643 -994.422852 424.541565	-0.057 -0.000 0.057
ttt_playerspawn	962.444397 -995.668152 424.540680	-0.058 -0.000 0.058
weapon_ttt_ak47	-754.401306 629.188782 270.583862	0.066 12.548 -88.068
item_box_buckshot_ttt	-22.933926 -1566.976074 232.457504	-0.433 -0.006 0.385
item_box_buckshot_ttt	-23.346996 -1548.376587 232.374039	0.753 -0.022 -0.521
item_box_buckshot_ttt	-37.224716 -1569.013672 232.375443	0.671 -0.001 -0.457
item_box_buckshot_ttt	-37.753471 -1548.719360 232.383408	-0.629 -0.005 0.596
item_box_buckshot_ttt	81.435493 -1566.074951 232.372192	0.763 -0.121 -0.526
item_box_buckshot_ttt	81.129219 -1547.049683 232.405365	-0.844 -0.007 0.750
item_box_buckshot_ttt	69.751099 -1568.164917 232.396423	-0.935 -0.003 0.831
item_box_buckshot_ttt	69.637527 -1548.844849 232.426407	-0.672 -0.006 0.599
item_box_buckshot_ttt	-138.262329 -1568.740234 232.407211	-0.831 -0.003 0.737
item_box_buckshot_ttt	-138.571869 -1547.719604 232.476395	0.039 0.204 -0.560
item_box_buckshot_ttt	-125.686417 -1568.284424 232.403503	-0.857 -0.010 0.762
item_box_buckshot_ttt	-125.296280 -1548.979126 232.503784	-1.757 -0.824 1.430
item_box_buckshot_ttt	-319.011871 -1565.314331 232.344162	0.618 0.003 -0.491
item_box_buckshot_ttt	-318.726013 -1545.874023 232.397079	-0.938 -0.004 0.830
item_box_buckshot_ttt	-335.156677 -1566.363403 232.403870	-0.857 -0.010 0.761
item_box_buckshot_ttt	-335.055511 -1546.681519 232.398315	-0.922 -0.009 0.818
item_box_buckshot_ttt	557.105469 -855.784607 270.135925	-0.175 0.012 0.146
item_box_buckshot_ttt	557.132507 -842.657349 270.033875	-1.022 0.002 0.852
item_box_buckshot_ttt	480.894348 61.449406 270.090424	-0.654 -0.006 0.540
item_box_buckshot_ttt	481.480377 83.234642 270.018158	0.589 0.018 -0.419
item_box_buckshot_ttt	870.184570 165.157791 270.152222	-0.060 -0.010 0.062
item_box_buckshot_ttt	870.164795 151.915787 270.144012	0.060 0.014 -0.044
item_box_buckshot_ttt	-292.398804 308.719818 263.578735	0.082 -0.021 -0.075
item_box_buckshot_ttt	-308.987885 308.663177 263.568298	-0.024 0.003 0.021
item_box_buckshot_ttt	343.569427 68.886627 461.156342	-0.006 -0.009 0.008
item_box_buckshot_ttt	342.277710 84.158974 461.154541	0.062 -0.001 0.048
item_box_buckshot_ttt	-1576.472168 509.335449 457.289154	-0.241 -0.003 0.206
item_box_buckshot_ttt	-1550.915405 509.812958 457.261414	0.248 0.109 -0.175
item_box_buckshot_ttt	-1550.472412 523.448425 457.231018	0.111 0.002 -0.049
item_box_buckshot_ttt	-1573.714844 522.743286 457.174500	0.761 -0.020 -0.551
item_box_buckshot_ttt	-1249.169434 -247.674515 456.419220	-0.736 -0.006 0.653
item_box_buckshot_ttt	-1260.302612 -247.035980 456.376495	0.492 0.018 -0.314
item_box_buckshot_ttt	-1260.025391 -231.607925 456.376862	0.480 0.018 -0.301
item_box_buckshot_ttt	-1250.506226 -232.547546 456.344177	0.617 0.003 -0.490
item_box_buckshot_ttt	-1642.992065 -486.767487 456.338043	0.454 0.004 -0.357
item_box_buckshot_ttt	-1627.173828 -483.152557 456.421082	0.774 -0.001 0.602
item_box_buckshot_ttt	-2208.874023 -494.441895 456.410370	-0.805 -0.006 0.715
item_box_buckshot_ttt	-2210.256592 -479.964081 456.377991	0.291 0.003 -0.149
item_box_buckshot_ttt	-2192.937744 -478.693787 456.409912	-1.013 0.099 0.799
item_box_buckshot_ttt	-2195.753418 -493.715088 456.414276	-0.914 -0.020 0.722
item_box_buckshot_ttt	-2038.114868 141.517792 456.334961	-0.362 0.001 -0.309
item_box_buckshot_ttt	-2025.367920 142.864197 456.435852	-0.604 -0.007 0.536
item_box_buckshot_ttt	-832.204224 -760.146851 266.311096	-0.046 -0.004 0.039
item_box_buckshot_ttt	-821.250366 -760.873230 266.302643	-0.126 -0.010 0.106
item_box_buckshot_ttt	-856.506531 364.354004 270.157410	0.015 0.010 -0.012
item_box_buckshot_ttt	-870.743164 365.424591 270.157593	0.046 0.010 -0.037
item_box_buckshot_ttt	-869.254028 348.842468 270.152618	-0.046 -0.004 0.030
item_box_buckshot_ttt	-856.810547 349.893616 270.130890	-0.220 0.012 0.182
item_box_buckshot_ttt	-733.015259 444.993713 270.100616	-0.474 0.004 0.394
item_box_buckshot_ttt	-730.940613 460.370575 270.166260	1.652 -0.021 -1.347
item_box_buckshot_ttt	326.726532 -935.125244 424.407837	-0.818 -0.005 0.730
item_box_buckshot_ttt	346.759155 -935.186768 424.433868	-0.652 -0.004 0.516
item_box_buckshot_ttt	330.019745 -807.007263 424.445557	-0.528 -0.007 0.469
item_box_buckshot_ttt	346.871216 -807.485657 424.347260	0.712 0.003 -0.568
item_box_buckshot_ttt	329.992218 -788.949829 424.377960	0.293 0.003 -0.150
item_box_buckshot_ttt	347.418304 -788.111816 424.383331	-0.574 -0.004 0.549
item_box_buckshot_ttt	331.023193 -1167.295898 424.432983	-0.665 -0.004 0.519
item_box_buckshot_ttt	347.589203 -1167.342163 424.388031	-1.011 -0.011 0.895
