# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_community_bowling_v5a
# Exported by: Razor
setting:	replacespawns 1
ttt_playerspawn	833.468567 -966.299194 44.548714	-0.062 -0.000 0.062
ttt_playerspawn	835.685425 -1036.991455 44.543011	-0.069 -0.000 0.069
ttt_playerspawn	834.219360 -798.423218 44.529636	-0.085 -0.000 0.085
ttt_playerspawn	835.224060 -743.790894 44.536674	-0.076 -0.000 0.077
ttt_playerspawn	839.121460 -687.343628 44.557827	-0.050 -0.000 0.051
ttt_playerspawn	634.744019 -1046.571533 44.525261	-0.090 -0.000 0.090
ttt_playerspawn	636.649841 -993.260193 44.570587	-0.033 -0.000 0.038
ttt_playerspawn	635.572571 -898.304504 44.546345	-0.065 -0.000 0.065
ttt_playerspawn	638.713318 -839.675171 44.553844	-0.055 -0.000 0.056
ttt_playerspawn	634.802795 -1207.266113 44.547142	-0.064 -0.000 0.064
ttt_playerspawn	1051.902100 -774.709229 44.530685	-0.084 -0.000 0.084
ttt_playerspawn	1112.049316 -777.869263 44.563164	-0.043 -0.000 0.045
ttt_playerspawn	996.988770 -867.801208 44.527481	-0.088 -0.000 0.088
ttt_playerspawn	997.363342 -1019.751953 44.586079	0.017 -0.000 0.050
ttt_playerspawn	-1029.271606 -946.309021 44.489479	-0.044 -0.000 0.044
ttt_playerspawn	-1028.010254 -849.642273 44.477173	-0.049 -0.000 0.049
ttt_playerspawn	-1031.064819 -765.790283 44.500557	-0.040 -0.000 0.040
ttt_playerspawn	-1107.251831 -850.390625 44.482605	-0.047 -0.000 0.047
ttt_playerspawn	-1107.259766 -943.109558 44.504959	-0.038 -0.000 0.038
ttt_playerspawn	-1101.933228 -763.494751 44.518265	-0.033 -0.000 0.033
ttt_playerspawn	-1188.838135 -946.979553 44.500557	-0.040 -0.000 0.040
ttt_playerspawn	-1183.008179 -850.158020 44.471485	-0.052 -0.000 0.052
ttt_playerspawn	-1178.278442 -764.341980 44.517014	-0.033 -0.000 0.033
ttt_playerspawn	-942.779846 -946.202820 44.531788	-0.027 -0.000 0.027
ttt_playerspawn	-940.973999 -850.183594 44.547207	-0.021 -0.000 0.021
ttt_playerspawn	-939.154541 -764.993164 44.543930	-0.022 -0.000 0.023
ttt_playerspawn	-940.718933 -648.065857 44.524632	-0.002 0.018 0.241
ttt_playerspawn	-1026.073975 -649.179626 44.529411	-0.016 0.024 0.240
ttt_playerspawn	-1097.725830 -652.883179 44.556053	-0.002 -0.039 0.141
ttt_playerspawn	-1189.009033 -643.716492 44.550278	-0.002 0.105 0.096
ttt_playerspawn	1581.191895 -889.434875 44.548714	-0.061 -0.000 0.062
ttt_playerspawn	1579.709961 -1024.337891 44.563709	-0.042 -0.000 0.045
ttt_random_weapon	1472.000000 -1260.000000 160.000000	0.000 0.000 0.000
ttt_random_weapon	1473.037964 -1260.738892 129.296555	0.000 0.803 0.000
ttt_random_weapon	1472.000000 -1260.000000 97.263199	0.000 0.000 0.000
ttt_random_weapon	1472.000000 -1260.000000 72.000000	0.000 0.000 0.000
ttt_random_weapon	1344.000000 -1260.000000 73.196404	0.000 0.000 0.000
ttt_random_weapon	1344.000000 -1260.000000 98.459602	0.000 0.000 0.000
ttt_random_weapon	1344.000000 -1260.000000 131.195999	0.000 0.000 0.000
ttt_random_weapon	1344.000000 -1260.000000 161.195999	0.000 0.000 0.000
ttt_random_weapon	1216.000000 -1260.000000 72.000000	0.000 0.000 0.000
ttt_random_weapon	1216.000000 -1260.000000 97.263199	0.000 0.000 0.000
ttt_random_weapon	1216.000000 -1260.000000 130.000000	0.000 0.000 0.000
ttt_random_weapon	1216.000000 -1260.000000 160.000000	0.000 0.000 0.000
ttt_random_weapon	1088.000000 -1260.000000 71.915901	0.000 0.000 0.000
ttt_random_weapon	1088.000000 -1260.000000 97.179100	0.000 0.000 0.000
ttt_random_weapon	1088.000000 -1260.000000 129.916000	0.000 0.000 0.000
ttt_random_weapon	1088.000000 -1260.000000 159.916000	0.000 0.000 0.000
ttt_random_weapon	920.000000 -832.000000 53.372898	0.000 0.000 0.000
ttt_random_weapon	1539.739990 -743.643982 53.372898	0.000 0.000 0.000
ttt_random_weapon	638.000000 -1132.000000 81.668297	0.000 90.000 0.000
ttt_random_weapon	632.000000 -748.000000 72.727600	0.000 90.000 0.000
ttt_random_weapon	836.000000 -888.000000 75.366898	0.000 90.000 0.000
ttt_random_weapon	1544.000000 -616.000000 78.000000	0.000 0.000 0.000
ttt_random_weapon	1168.000000 -616.000000 86.000000	0.000 0.000 0.000
ttt_random_weapon	496.000000 -612.000000 78.615097	0.000 0.000 0.000
ttt_random_weapon	36.896198 -638.107971 97.372902	0.000 0.000 0.000
ttt_random_weapon	-597.937988 -621.294006 53.372898	0.000 0.000 0.000
ttt_random_weapon	-1492.000000 -612.000000 87.685303	0.000 0.000 0.000
ttt_random_weapon	-1930.790039 -613.875000 53.372898	0.000 0.000 0.000
ttt_random_weapon	-1954.239990 -86.298203 112.623001	0.000 0.000 0.000
ttt_random_weapon	-1534.060059 -82.297699 112.623001	0.000 0.000 0.000
ttt_random_weapon	-1091.469971 -86.577301 111.623001	0.000 0.000 0.000
ttt_random_weapon	-642.585022 -84.873596 112.623001	0.000 0.000 0.000
ttt_random_weapon	-195.076004 -86.479698 112.623001	0.000 0.000 0.000
ttt_random_weapon	252.419006 -87.331802 112.623001	0.000 0.000 0.000
ttt_random_weapon	702.541992 -87.924599 112.873001	0.000 0.000 0.000
ttt_random_weapon	1123.160034 -90.332802 112.873001	0.000 0.000 0.000
ttt_random_weapon	1573.959961 -89.559303 112.873001	0.000 0.000 0.000
ttt_random_weapon	-1453.739990 -959.737000 89.122902	0.000 0.000 0.000
ttt_random_weapon	-1456.680054 -720.179016 89.122902	0.000 0.000 0.000
ttt_random_weapon	-723.512024 -957.879028 88.872902	0.000 0.000 0.000
