# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_community_pool_overhaul_b3
# Exported by: Ahbiga
setting:	replacespawns 1
ttt_random_weapon	-594.280029 35.223999 113.916000	0.000 0.000 0.000
ttt_random_weapon	-687.085022 522.192017 106.404999	0.000 0.000 0.000
ttt_random_weapon	-511.644012 656.469971 106.404999	0.000 0.000 0.000
ttt_random_weapon	327.243988 -81.249802 73.372902	0.000 0.000 0.000
ttt_random_weapon	-177.182007 -70.982803 106.404999	0.000 0.000 0.000
ttt_random_weapon	-1185.359985 753.877014 113.373001	0.000 90.000 0.000
ttt_random_weapon	-1222.010010 957.335999 113.373001	0.000 90.000 0.000
ttt_random_weapon	-1097.479980 967.231995 113.373001	0.000 90.000 0.000
ttt_random_weapon	-1096.099976 1175.430054 113.373001	0.000 90.000 0.000
ttt_random_weapon	-1334.609985 1177.859985 113.373001	0.000 90.000 0.000
ttt_random_weapon	-1855.910034 983.151001 73.372902	0.000 90.000 0.000
ttt_random_weapon	-2142.350098 1000.489990 73.372902	0.000 90.000 0.000
ttt_random_weapon	-2148.739990 1281.239990 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1733.180054 1478.619995 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1799.469971 1478.880005 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1066.290039 2185.350098 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1378.670044 2170.520020 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1326.569946 1793.949951 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1587.829956 2451.040039 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1586.140015 2352.540039 73.372902	0.000 90.000 0.000
ttt_random_weapon	-782.159973 2407.649902 73.372902	0.000 90.000 0.000
ttt_random_weapon	-762.195984 2808.510010 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1626.349976 2599.760010 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1630.250000 2659.469971 73.372902	0.000 90.000 0.000
ttt_random_weapon	-1629.030029 2719.610107 73.372902	0.000 90.000 0.000
ttt_random_weapon	-472.774994 1630.030029 73.372902	0.000 90.000 0.000
ttt_random_weapon	-470.334015 1477.420044 73.372902	0.000 90.000 0.000
ttt_random_weapon	-170.320007 1197.750000 -6.627100	0.000 90.000 0.000
ttt_random_weapon	-247.710999 1246.660034 -54.627102	0.000 90.000 0.000
ttt_random_weapon	-219.628998 872.698975 -54.627102	0.000 90.000 0.000
ttt_random_weapon	-208.737000 986.059998 -54.627102	0.000 90.000 0.000
ttt_random_weapon	824.517029 1434.709961 249.373001	0.000 90.000 0.000
ttt_random_weapon	726.539001 1633.890015 -6.627100	0.000 90.000 0.000
ttt_random_weapon	238.667999 1536.219971 -230.626999	0.000 90.000 0.000
ttt_random_weapon	852.177979 889.395996 121.373001	0.000 90.000 0.000
ttt_random_weapon	852.151978 1328.979980 121.373001	0.000 90.000 0.000
ttt_random_weapon	475.803009 731.924988 73.372902	0.000 90.000 0.000
ttt_random_weapon	329.028992 540.778015 73.372902	0.000 90.000 0.000
ttt_random_weapon	848.835999 515.328003 73.372902	0.000 90.000 0.000
ttt_random_weapon	613.408997 508.052002 73.372902	0.000 90.000 0.000
ttt_random_weapon	1186.189941 750.609985 113.373001	0.000 90.000 0.000
ttt_random_weapon	1305.280029 749.812988 113.373001	0.000 90.000 0.000
ttt_random_weapon	1499.119995 889.919006 113.373001	0.000 90.000 0.000
ttt_random_weapon	1355.619995 967.142029 113.373001	0.000 90.000 0.000
ttt_random_weapon	1224.550049 962.190002 113.373001	0.000 90.000 0.000
ttt_random_weapon	1232.810059 1175.640015 113.373001	0.000 90.000 0.000
ttt_random_weapon	1900.439941 1319.969971 73.372902	0.000 90.000 0.000
ttt_random_weapon	2249.219971 1284.160034 73.372902	0.000 90.000 0.000
ttt_random_weapon	2276.379883 1472.569946 73.372902	0.000 90.000 0.000
ttt_random_weapon	2282.270020 1100.729980 73.372902	0.000 90.000 0.000
ttt_random_weapon	2034.060059 1464.209961 73.372902	0.000 90.000 0.000
ttt_random_weapon	1503.829956 2166.489990 73.372902	0.000 90.000 0.000
ttt_random_weapon	1191.380005 2160.080078 73.372902	0.000 90.000 0.000
ttt_random_weapon	1199.760010 1859.770020 73.372902	0.000 90.000 0.000
ttt_random_weapon	-16.230600 745.039978 -822.627014	0.000 90.000 0.000
ttt_random_weapon	352.829987 808.153992 -822.627014	0.000 90.000 0.000
