# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_community_pool_revamped
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	-246.380753 69.813942 65.545250	-0.052 -0.000 0.052
ttt_playerspawn	-246.132233 231.512360 65.515221	-0.081 -0.000 0.081
ttt_playerspawn	-39.441299 68.963066 65.555649	-0.042 -0.000 0.042
ttt_playerspawn	-44.918800 235.170135 65.534378	-0.063 -0.000 0.063
ttt_playerspawn	236.882416 71.206207 65.577446	-0.021 0.000 0.022
ttt_playerspawn	257.582001 231.247421 65.538223	-0.059 -0.000 0.059
ttt_playerspawn	415.402435 66.836296 65.549210	-0.049 -0.000 0.049
ttt_playerspawn	419.256744 229.655090 65.538223	-0.059 -0.000 0.059
ttt_playerspawn	564.868225 61.215206 65.549210	-0.049 -0.000 0.049
ttt_playerspawn	571.533691 224.828735 65.556976	-0.041 -0.000 0.041
ttt_playerspawn	-392.013458 234.840912 65.564079	-0.034 -0.000 0.034
ttt_playerspawn	-391.918915 69.639954 65.523705	-0.073 -0.000 0.073
ttt_playerspawn	29.093128 -362.195984 69.534058	-0.064 -0.000 0.064
ttt_playerspawn	21.942913 -500.559387 69.570747	-0.029 -0.000 0.028
ttt_playerspawn	16.573483 -612.538208 69.545799	-0.053 -0.000 0.053
ttt_playerspawn	26.177113 -728.990234 69.517342	-0.081 -0.000 0.081
ttt_playerspawn	23.582663 -848.344360 69.529968	-0.068 -0.000 0.068
ttt_playerspawn	14.026538 -973.160767 69.532043	-0.066 -0.000 0.066
ttt_playerspawn	12.932343 -1101.316528 69.525620	-0.073 -0.000 0.073
ttt_playerspawn	14.015279 -1229.419922 69.548187	-0.051 -0.000 0.051
ttt_playerspawn	13.804852 -1360.732056 69.541557	-0.057 -0.000 0.057
ttt_playerspawn	12.709381 -1478.837402 69.536018	-0.062 -0.000 0.062
ttt_playerspawn	157.248260 -361.635925 69.545799	-0.053 -0.000 0.053
ttt_playerspawn	151.061707 -497.514221 69.523338	-0.075 -0.000 0.075
ttt_playerspawn	147.850876 -616.000977 69.554756	-0.044 -0.000 0.044
ttt_playerspawn	148.566666 -724.682617 69.550842	0.070 -0.000 -0.070
ttt_playerspawn	144.574295 -844.239868 69.518578	-0.080 -0.000 0.080
ttt_playerspawn	152.216629 -969.656982 69.541557	-0.057 -0.000 0.057
ttt_playerspawn	140.762115 -1088.722778 69.559288	-0.040 -0.000 0.040
ttt_playerspawn	141.738419 -1221.573242 69.561081	-0.038 -0.000 0.038
ttt_playerspawn	143.279312 -1354.796631 69.529968	-0.068 -0.000 0.068
ttt_playerspawn	140.174591 -1479.999268 69.545799	-0.053 -0.000 0.053
weapon_ttt_ak47	-1218.184570 346.855774 69.290253	-0.459 -89.819 87.469
weapon_ttt_ak47	1700.467651 731.218384 65.957520	0.141 2.601 -87.501
item_box_buckshot_ttt	-1270.665649 2173.128906 64.371246	0.507 0.006 -0.357
item_box_buckshot_ttt	-1057.965698 2213.127441 64.381477	-0.228 0.001 0.271
item_ammo_revolver_ttt	1400.178589 1292.168579 87.888588	0.527 0.144 -0.038
item_ammo_smg1_ttt	-696.506897 744.536011 64.505363	0.595 -0.011 -0.459
item_ammo_smg1_ttt	-634.303833 743.490601 64.507530	0.477 -0.012 -0.378
item_ammo_smg1_ttt	-858.265686 2076.730469 64.430588	0.748 -0.002 0.490
item_ammo_smg1_ttt	-1301.452515 -48.078678 64.539009	-0.128 0.017 -0.112
weapon_ttt_g3sg1	-202.918381 2228.028564 89.844757	-0.584 -175.150 88.855
ttt_random_weapon	-1426.359985 150.311996 73.372902	0.000 0.000 0.000
ttt_random_weapon	-1278.579956 -89.405197 73.372902	0.000 0.000 0.000
ttt_random_weapon	-594.280029 35.223999 113.916000	0.000 0.000 0.000
ttt_random_weapon	-687.085022 522.192017 106.404999	0.000 0.000 0.000
ttt_random_weapon	-511.644012 656.469971 106.404999	0.000 0.000 0.000
ttt_random_weapon	-882.922974 111.135002 106.244003	0.000 0.000 0.000
ttt_random_weapon	817.466980 -33.272598 98.017998	0.000 0.000 0.000
ttt_random_weapon	628.273987 702.093018 73.372902	0.000 0.000 0.000
ttt_random_weapon	850.817017 703.877991 73.372902	0.000 0.000 0.000
ttt_random_weapon	1359.380005 279.011993 73.372902	0.000 0.000 0.000
ttt_random_weapon	1693.750000 1441.300049 73.372902	0.000 0.000 0.000
ttt_random_weapon	1694.849976 480.682007 73.372902	0.000 0.000 0.000
ttt_random_weapon	1667.800049 1709.400024 73.373001	0.000 0.000 0.000
ttt_random_weapon	999.828979 476.864014 73.372902	0.000 0.000 0.000
ttt_random_weapon	1000.539978 1374.239990 73.372902	0.000 0.000 0.000
ttt_random_weapon	1010.080017 2106.010010 73.372902	0.000 0.000 0.000
ttt_random_weapon	1114.930054 2194.929932 73.372902	0.000 0.000 0.000
ttt_random_weapon	837.370972 2171.090088 73.372902	0.000 0.000 0.000
ttt_random_weapon	-709.901978 2191.360107 73.372902	0.000 0.000 0.000
ttt_random_weapon	-684.794983 877.197998 73.372902	0.000 0.000 0.000
ttt_random_weapon	832.408020 877.270996 73.372902	0.000 0.000 0.000
ttt_random_weapon	-363.000000 640.000000 108.000000	0.000 90.000 0.000
ttt_random_weapon	-117.719002 544.119019 73.372902	0.000 0.000 0.000
ttt_random_weapon	-121.113998 742.184021 73.372902	0.000 0.000 0.000
ttt_random_weapon	436.000000 640.000000 73.372902	0.000 0.000 0.000
ttt_random_weapon	768.862976 -282.455994 73.372902	0.000 0.000 0.000
ttt_random_weapon	-615.140015 -237.414993 73.372902	0.000 0.000 0.000
ttt_random_weapon	-449.717010 -1074.479980 73.372902	0.000 0.000 0.000
ttt_random_weapon	791.841980 -807.620972 73.372902	0.000 0.000 0.000
ttt_random_weapon	327.243988 -81.249802 73.372902	0.000 0.000 0.000
ttt_random_weapon	-177.182007 -70.982803 106.404999	0.000 0.000 0.000
ttt_random_weapon	-868.713013 474.979004 73.372902	0.000 0.000 0.000
ttt_random_weapon	-1248.010010 467.036011 73.372902	0.000 0.000 0.000
ttt_random_weapon	-1235.160034 1543.680054 73.372902	0.000 0.000 0.000
ttt_random_weapon	-871.541016 1387.050049 73.372902	0.000 0.000 0.000
ttt_random_weapon	-1528.579956 1704.239990 73.372902	0.000 0.000 0.000
ttt_random_weapon	-1343.500000 2191.070068 73.372902	0.000 0.000 0.000
ttt_random_weapon	-877.413025 1888.530029 73.372902	0.000 0.000 0.000
ttt_random_weapon	-1432.010010 288.710999 73.372902	0.000 0.000 0.000
ttt_random_weapon	-1571.560059 1250.910034 73.372902	0.000 0.000 0.000
ttt_random_weapon	-436.184998 1772.189941 -294.627014	0.000 0.000 0.000
ttt_random_weapon	542.624023 1198.109985 -294.627014	0.000 0.000 0.000
ttt_random_weapon	-96.940300 800.208008 -526.388977	0.000 0.000 0.000
ttt_random_weapon	-488.000000 1092.000000 -491.566986	0.000 0.000 0.000
ttt_random_weapon	-476.000000 912.000000 -490.571014	0.000 0.000 0.000
ttt_random_weapon	-318.282990 973.655029 -461.617004	0.000 0.000 0.000
ttt_random_weapon	-144.000000 1888.000000 -464.216003	0.000 0.000 0.000
ttt_random_weapon	-388.000000 1872.000000 -461.661011	0.000 0.000 0.000
ttt_random_weapon	-26.974701 1272.699951 -566.627014	0.000 0.000 0.000
ttt_random_weapon	-225.524994 1522.760010 -566.627014	0.000 0.000 0.000
ttt_random_weapon	-804.181030 1477.209961 -566.627014	0.000 0.000 0.000
ttt_random_weapon	357.165985 649.624023 -566.627014	0.000 0.000 0.000
ttt_random_weapon	-1272.000000 732.000000 99.704803	0.000 90.000 0.000
ttt_random_weapon	184.000000 2228.000000 91.619102	0.000 0.000 0.000
ttt_random_weapon	620.000000 840.000000 95.706299	0.000 0.000 0.000
ttt_random_weapon	-224.000000 840.000000 100.779999	0.000 0.000 0.000
