# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_crackhouse_v6a
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	705.737915 1148.076538 -10.468958	-0.067 0.000 -0.067
ttt_playerspawn	705.138855 1023.128174 -10.468950	-0.067 -0.000 0.067
ttt_playerspawn	704.652222 895.283203 -10.458426	-0.057 0.000 -0.057
ttt_playerspawn	833.739563 894.666992 -10.452576	-0.051 -0.000 0.051
ttt_playerspawn	834.245544 1021.612610 -10.460204	-0.059 -0.000 0.059
ttt_playerspawn	833.277466 1150.285645 -10.463945	-0.062 -0.000 0.062
ttt_playerspawn	640.147217 1445.145630 -10.470436	-0.232 -0.149 0.009
ttt_playerspawn	639.733154 1568.291626 -10.472144	-0.235 0.112 -0.006
ttt_playerspawn	736.791992 1569.255737 -10.455007	-0.054 0.000 -0.054
ttt_playerspawn	736.913940 1442.750610 -10.465909	-0.064 0.000 -0.064
ttt_playerspawn	-1597.146729 638.727234 -10.449504	-0.048 -0.000 0.048
ttt_playerspawn	-1724.447754 637.627808 -10.477790	-0.076 -0.000 0.076
ttt_playerspawn	-1596.675659 446.951630 -10.475481	-0.074 -0.000 0.074
ttt_playerspawn	-1724.847168 449.205261 -10.424068	-0.022 -0.000 0.025
ttt_playerspawn	-1721.744507 319.092773 -10.477786	-0.076 -0.000 0.076
ttt_playerspawn	-1596.202271 321.235962 -10.415602	-0.012 -0.000 0.019
ttt_playerspawn	-635.425781 -392.745209 237.554535	-0.055 -0.000 0.055
ttt_playerspawn	-504.028564 -391.616821 237.550247	-0.060 -0.000 0.060
ttt_playerspawn	-627.297852 -525.830811 237.560318	-0.047 -0.000 0.049
ttt_playerspawn	-503.320862 -516.982300 237.564285	-0.043 -0.000 0.043
ttt_playerspawn	-505.204254 -634.783875 237.560318	-0.047 -0.000 0.048
ttt_playerspawn	-627.156006 -636.668152 237.565872	-0.040 -0.000 0.042
ttt_playerspawn	1023.562439 -288.949921 -10.461123	-0.060 -0.000 0.060
ttt_playerspawn	1023.407471 -417.615570 -10.471060	-0.069 -0.000 0.069
ttt_playerspawn	923.518188 -289.046661 -10.486452	-0.084 -0.000 0.084
ttt_playerspawn	927.683594 -414.763214 -10.468950	-0.067 -0.000 0.067
ttt_playerspawn	829.600037 -416.584229 -10.443891	-0.043 -0.000 0.043
ttt_playerspawn	830.688660 -288.136444 -10.450254	-0.049 -0.000 0.049
ttt_playerspawn	734.395142 -290.111328 -10.445918	-0.045 -0.000 0.045
ttt_playerspawn	733.796387 -418.270660 -10.473238	-0.072 -0.000 0.072
ttt_playerspawn	-626.050903 -740.663574 237.564285	-0.042 -0.000 0.044
ttt_playerspawn	-505.379578 -741.222961 237.547943	-0.063 -0.000 0.063
weapon_ttt_ak47	1166.729126 744.844788 -10.114552	0.142 11.844 -87.490
item_box_buckshot_ttt	-1969.520020 856.947021 -9.706120	0.000 284.000 0.000
item_box_buckshot_ttt	-1977.410034 839.236023 -9.706120	0.000 2.000 0.000
item_box_buckshot_ttt	-1963.170044 881.481995 -9.706120	0.000 134.000 0.000
weapon_ttt_smokegrenade	-263.167999 780.177002 226.735001	0.000 209.000 0.000
weapon_ttt_smokegrenade	-218.203995 1001.640015 226.735001	0.000 261.000 0.000
weapon_ttt_smokegrenade	-57.000000 1022.000000 262.000000	0.000 134.000 0.000
weapon_ttt_smokegrenade	-41.545200 1015.000000 266.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-47.545200 1021.000000 263.000000	0.000 303.000 0.000
weapon_ttt_smokegrenade	-749.000000 306.911987 -13.265400	0.000 329.000 0.000
weapon_ttt_smokegrenade	-743.635986 311.894989 -13.265400	0.000 312.000 0.000
weapon_ttt_smokegrenade	-733.189026 315.000000 -13.265400	0.000 154.000 0.000
item_ammo_357_ttt	-1199.050049 76.237198 374.276001	0.000 98.000 0.000
item_ammo_357_ttt	-1221.530029 77.302902 374.276001	0.000 287.000 0.000
item_ammo_357_ttt	-1153.250000 955.335999 374.276001	0.000 264.000 0.000
item_ammo_357_ttt	-1181.229980 948.648987 374.276001	0.000 132.000 0.000
item_ammo_357_ttt	-108.013000 65.981499 238.276001	0.000 242.000 0.000
item_ammo_357_ttt	-82.264801 70.778000 238.276001	0.000 159.000 0.000
item_ammo_357_ttt	86.972099 55.531101 238.276001	0.000 205.000 0.000
