# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_crummycradle_a4
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	17.873003 -192.991669 1894.864014	-0.047 -1.294 0.047
ttt_playerspawn	-148.940903 -183.055756 1896.364014	0.065 -3.055 -0.064
ttt_playerspawn	-334.663849 -199.359985 1898.084229	-0.069 0.019 0.069
ttt_playerspawn	-340.986908 -56.719345 1893.943970	-0.080 -5.263 0.080
ttt_playerspawn	-333.531525 65.479454 1898.560303	-0.036 -3.058 0.038
ttt_playerspawn	-196.643997 74.649307 1899.004272	-0.037 -0.858 0.036
ttt_playerspawn	-71.396973 73.685791 1896.844727	0.050 -1.305 -0.051
ttt_playerspawn	9.449488 110.838257 1894.473755	-0.000 -19.818 0.000
ttt_playerspawn	23.629118 21.535404 1897.979858	-0.001 -8.936 0.001
ttt_playerspawn	30.354687 -78.085861 1892.439575	-0.094 -1.063 0.095
ttt_playerspawn	-70.159195 -205.012070 1892.209351	-0.057 -3.979 0.056
ttt_playerspawn	-143.538483 767.384949 1893.305420	-0.045 -3.487 0.044
ttt_playerspawn	-309.233917 756.968811 1896.798706	-0.060 -1.742 0.060
ttt_playerspawn	-445.499146 785.423096 1892.170898	-0.062 1.306 0.062
ttt_playerspawn	-906.108154 -1378.075317 1886.543579	-0.054 -0.000 0.054
ttt_playerspawn	-914.669128 -1449.651489 1886.595093	0.036 0.037 0.040
ttt_playerspawn	-1286.027588 -1347.936035 1886.542725	-0.055 -0.000 0.055
ttt_playerspawn	1432.845459 -1942.767822 1896.013184	-0.051 0.037 0.051
ttt_playerspawn	1443.374390 -1804.785889 1897.118896	0.062 3.490 -0.062
ttt_playerspawn	1591.420410 -1660.170776 1895.646729	-0.034 0.024 0.034
ttt_playerspawn	-180.254059 -61.298916 1896.942993	-0.066 -1.305 0.066
ttt_playerspawn	-246.316696 -195.065247 1897.109985	-0.084 -8.110 0.084
ttt_playerspawn	-259.757782 -85.683929 1896.559448	0.046 7.157 -0.046
ttt_playerspawn	-422.214935 710.026917 1897.432007	-0.079 1.306 0.079
ttt_playerspawn	-130.104065 18.485493 1897.169189	-0.061 -0.033 0.080
ttt_playerspawn	-506.673676 1068.307739 1893.304810	-0.051 -0.855 0.051
ttt_playerspawn	-501.927917 1232.810181 1899.540894	0.331 1.615 -0.048
ttt_playerspawn	-500.482086 1394.475098 1897.475952	-0.089 1.734 0.089
ttt_playerspawn	-661.846985 496.627045 1744.545532	-0.058 -0.408 0.058
ttt_playerspawn	-661.741577 291.129761 1744.871094	0.059 -0.420 -0.053
ttt_playerspawn	-660.397400 82.444649 1742.812622	0.042 -0.035 -0.042
ttt_playerspawn	-663.005737 -155.737106 1739.326660	0.048 0.189 -0.047
ttt_playerspawn	-668.495422 -323.945526 1739.461060	0.063 0.025 -0.062
ttt_playerspawn	-300.117798 400.929260 1883.950317	-0.010 -0.000 0.010
ttt_playerspawn	-651.871765 777.994995 1751.258545	-0.057 -0.037 0.057
ttt_playerspawn	-500.072388 1140.702271 1895.264038	-0.039 -1.745 0.037
ttt_playerspawn	-130.046188 -343.723328 1893.304932	-0.056 -0.849 0.056
ttt_playerspawn	-503.551117 -341.619537 1742.138672	-0.092 4.816 0.092
weapon_ttt_ak47	-944.315186 -1608.856079 1926.135864	0.150 16.486 -88.411
weapon_ttt_ak47	-940.628113 -1578.052124 1924.515503	-0.357 10.614 -90.312
weapon_ttt_ak47	-943.140808 -1544.339478 1929.179199	-0.000 10.531 -90.000
item_box_buckshot_ttt	-1166.667603 -1643.874878 1920.573975	-0.000 0.003 -0.001
item_box_buckshot_ttt	-1149.781250 -1647.361572 1921.370972	0.000 -0.215 -0.003
item_box_buckshot_ttt	-1113.157959 -1649.787598 1920.220581	0.006 0.158 -0.005
item_box_buckshot_ttt	-1094.791260 -1649.205933 1921.110352	0.030 -0.032 -0.021
item_box_buckshot_ttt	1625.587036 -543.121643 48.613827	-0.280 -0.394 -0.122
item_box_buckshot_ttt	1628.763672 -560.423889 47.927284	-0.265 -0.844 -0.120
item_box_buckshot_ttt	1645.542358 -550.235168 48.802677	-0.239 -1.278 -0.110
item_box_buckshot_ttt	1171.444824 -2990.747070 61.592693	-0.124 -1.770 -3.352
item_box_buckshot_ttt	1157.739502 -2990.206299 61.168545	0.210 2.681 -3.583
item_box_buckshot_ttt	1100.139282 -2991.156494 63.170021	-0.163 -0.036 0.177
item_box_buckshot_ttt	1084.498047 -2990.979004 63.245560	0.763 0.092 -2.828
item_ammo_357_ttt	1168.131104 363.221344 1923.144897	0.572 -0.772 -0.073
item_ammo_357_ttt	1168.057861 346.802612 1921.677734	0.627 1.320 0.242
item_ammo_357_ttt	-984.030396 -1672.462524 1922.452393	0.475 -1.053 -0.024
item_ammo_357_ttt	-994.515442 -1668.275391 1923.335327	0.518 -0.893 -0.027
item_ammo_357_ttt	-1033.962402 -1669.847534 1922.567017	0.482 -0.460 0.013
item_ammo_357_ttt	-1051.283813 -1667.063477 1921.918213	0.584 -1.320 0.001
item_ammo_357_ttt	-1234.199585 -1260.132080 1885.414429	1.117 -0.032 -0.773
item_ammo_357_ttt	-1234.534302 -1271.459473 1885.418457	1.070 -0.029 -0.717
item_ammo_357_ttt	-59.625626 -958.143250 144.421249	1.056 -0.032 -0.711
item_ammo_357_ttt	-35.523335 -961.559082 144.451645	0.698 -0.021 -0.270
item_ammo_357_ttt	-56.145641 -1120.142212 144.429993	0.953 -0.027 -0.584
