# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_cryptic_keep_v6
# Exported by: Ahbiga
setting:	replacespawns 1
ttt_random_weapon	-428.000000 192.000000 -143.000000	0.000 90.000 0.000
ttt_random_weapon	-428.000000 260.000000 -143.000000	0.000 90.000 0.000
ttt_random_weapon	-568.000000 44.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-628.000000 44.000000 -134.626999	0.000 0.000 0.000
ttt_random_weapon	-372.000000 260.000000 -134.626999	0.000 270.000 0.000
ttt_random_weapon	-372.000000 200.000000 -134.626999	0.000 270.000 0.000
ttt_random_weapon	-756.000000 -90.000000 -134.626999	0.000 270.000 0.000
ttt_random_weapon	-756.000000 -150.000000 -134.626999	0.000 270.000 0.000
ttt_random_weapon	-314.000000 -406.000000 -134.626999	0.000 180.000 0.000
ttt_random_weapon	-254.000000 -406.000000 -134.626999	0.000 180.000 0.000
ttt_random_weapon	-560.000000 -400.000000 -134.626999	0.000 180.000 0.000
ttt_random_weapon	-500.000000 -400.000000 -134.626999	0.000 180.000 0.000
ttt_random_weapon	-274.000000 160.000000 153.373001	0.000 180.000 0.000
ttt_random_weapon	-334.000000 160.000000 153.373001	0.000 180.000 0.000
ttt_random_weapon	-430.000000 160.000000 153.373001	0.000 180.000 0.000
ttt_random_weapon	-596.000000 34.000000 161.373001	0.000 180.000 0.000
ttt_random_weapon	-656.000000 34.000000 161.373001	0.000 180.000 0.000
ttt_random_weapon	-754.000000 250.000000 161.373001	0.000 270.000 0.000
ttt_random_weapon	-754.000000 190.000000 161.373001	0.000 270.000 0.000
ttt_random_weapon	-242.000000 -142.000000 305.372986	0.000 180.000 0.000
ttt_random_weapon	-302.000000 -142.000000 305.372986	0.000 180.000 0.000
ttt_random_weapon	-140.000000 -164.000000 297.372986	0.000 270.000 0.000
ttt_random_weapon	-140.000000 -214.000000 297.372986	0.000 270.000 0.000
ttt_random_weapon	-754.000000 224.000000 297.372986	0.000 270.000 0.000
ttt_random_weapon	-754.000000 274.000000 297.372986	0.000 270.000 0.000
ttt_random_weapon	-750.000000 -270.000000 297.372986	0.000 270.000 0.000
ttt_random_weapon	-750.000000 -220.000000 297.372986	0.000 270.000 0.000
ttt_random_weapon	-114.000000 282.000000 17.372900	0.000 270.000 0.000
ttt_random_weapon	-112.000000 -332.000000 17.372900	0.000 270.000 0.000
ttt_random_weapon	-112.000000 -282.000000 17.372900	0.000 270.000 0.000
ttt_random_weapon	-294.000000 -270.000000 25.372900	0.000 180.000 0.000
ttt_random_weapon	-244.000000 -270.000000 25.372900	0.000 180.000 0.000
ttt_random_weapon	-462.000000 -268.000000 25.372900	0.000 180.000 0.000
ttt_random_weapon	-412.000000 -268.000000 25.372900	0.000 180.000 0.000
