# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_deco
# Exported by: Julianofloss
setting:	replacespawns 1
ttt_random_weapon	847.000000 -193.656998 97.000000	0.000 0.000 0.000
ttt_random_weapon	1074.479980 32.161999 105.373001	0.000 0.000 0.000
ttt_random_weapon	-381.201996 11.248900 105.373001	0.000 0.000 0.000
ttt_random_weapon	963.164001 154.725998 105.373001	0.000 0.000 0.000
ttt_random_weapon	1314.270020 486.589996 137.373001	0.000 0.000 0.000
ttt_random_weapon	1316.839966 625.875000 265.372986	0.000 0.000 0.000
ttt_random_weapon	757.096985 1087.520020 105.373001	0.000 0.000 0.000
ttt_random_weapon	547.815002 559.335022 105.373001	0.000 0.000 0.000
ttt_random_weapon	127.265999 719.499023 128.912003	0.000 0.000 0.000
ttt_random_weapon	166.089005 1124.390015 345.372986	0.000 0.000 0.000
ttt_random_weapon	-478.278015 1269.310059 409.372986	0.000 0.000 0.000
ttt_random_weapon	-550.596985 698.356995 409.372986	0.000 0.000 0.000
ttt_random_weapon	-176.813004 933.754028 -54.627102	0.000 0.000 0.000
ttt_random_weapon	498.873993 732.015991 -54.627102	0.000 0.000 0.000
ttt_random_weapon	924.734985 456.872009 105.373001	0.000 0.000 0.000
ttt_random_weapon	1016.609985 303.862000 265.372986	0.000 0.000 0.000
ttt_random_weapon	-236.350998 294.951996 265.372986	0.000 0.000 0.000
ttt_random_weapon	-26.860743 117.525246 97.248039	1.332 4.012 -93.841
ttt_random_weapon	-24.472065 157.666504 97.248039	1.332 3.971 -93.841
ttt_random_weapon	-24.785131 198.349030 97.248039	1.332 3.952 -93.841
ttt_random_weapon	-24.075886 256.308746 97.248039	1.332 4.011 -93.841
ttt_random_weapon	-24.257980 303.518768 97.248039	1.332 3.958 -93.841
ttt_random_weapon	-38.639530 -236.929993 97.248039	1.332 4.019 -93.841
ttt_random_weapon	-46.085052 -184.971649 97.248039	1.332 3.927 -93.841
ttt_random_weapon	-42.555580 -144.130508 97.248039	1.332 4.004 -93.841
ttt_random_weapon	9.056859 -239.389175 97.248039	1.332 3.970 -93.841
ttt_random_weapon	56.956654 -236.538254 97.248039	1.332 3.932 -93.841
ttt_random_weapon	114.384254 -226.960480 97.248039	1.332 3.976 -93.841
ttt_random_weapon	175.011185 -229.076859 97.248039	1.332 3.983 -93.841
ttt_random_weapon	277.800629 -220.693832 97.248039	1.332 4.018 -93.841
ttt_random_weapon	234.165497 -227.195709 97.248039	1.332 3.990 -93.841
ttt_random_weapon	553.422668 -232.816666 97.246727	1.339 3.981 -93.817
ttt_random_weapon	604.062988 -230.726013 97.206841	1.574 3.995 -93.609
ttt_random_weapon	672.856079 -219.357086 97.248039	1.332 4.004 -93.841
ttt_random_weapon	732.659302 -217.165482 97.248047	1.332 4.027 -93.841
ttt_random_weapon	779.144287 -216.484787 97.248039	1.332 3.997 -93.841
ttt_random_weapon	868.039429 -69.872932 97.248039	1.332 3.997 -93.841
ttt_random_weapon	864.823364 -113.747246 97.248039	1.332 3.977 -93.841
ttt_random_weapon	865.361328 -153.018280 97.237732	1.316 3.943 -94.389
ttt_random_weapon	870.302246 102.324730 97.248039	1.332 3.990 -93.841
ttt_random_weapon	874.746338 140.848633 97.248055	1.332 4.027 -93.840
ttt_random_weapon	869.817139 181.445938 97.248039	1.332 3.983 -93.841
ttt_random_weapon	871.148682 233.711151 97.248039	1.332 3.958 -93.841
ttt_random_weapon	-446.311951 -109.930717 97.248039	1.332 4.005 -93.841
ttt_random_weapon	-445.546204 -69.149345 97.248039	1.332 4.019 -93.841
