# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_desperados_2_e6
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	1885.785522 -1818.075439 1216.915039	-0.012 -0.160 0.012
ttt_playerspawn	1940.992310 -1927.859985 1214.362793	-0.012 0.234 0.012
ttt_playerspawn	2034.737061 -1775.022339 1215.314697	0.014 -3.938 0.014
ttt_playerspawn	2074.696777 -1926.015747 1212.129639	0.014 0.377 0.013
ttt_playerspawn	2728.793213 -1271.898315 1214.179810	-0.011 0.109 0.011
ttt_playerspawn	2616.917236 -1364.592773 1220.408081	-0.007 6.844 0.006
ttt_playerspawn	2486.559570 -1489.192383 1215.568359	-0.011 -1.674 0.011
ttt_playerspawn	2352.885498 -2370.035645 477.840240	-0.009 -1.695 0.009
ttt_playerspawn	2357.348145 -2507.079834 472.428406	-0.008 -0.370 0.007
ttt_playerspawn	1884.847290 -2423.790527 329.109039	-0.015 -1.892 0.015
ttt_playerspawn	2212.664795 -4555.264160 -37.096287	-0.014 -0.226 0.017
ttt_playerspawn	2197.458740 -4236.346191 -41.464947	-0.012 -0.246 0.184
ttt_playerspawn	2791.964844 -3909.991455 -38.146629	-0.012 -0.812 0.012
ttt_playerspawn	2546.186768 -3845.839111 -41.429794	0.019 0.196 0.155
ttt_playerspawn	2907.098145 -4619.374023 -41.260735	-0.014 -1.305 0.014
ttt_playerspawn	2814.686523 -4421.365234 -36.850872	-0.015 -0.485 0.015
ttt_playerspawn	3107.455811 -4485.423340 -39.874977	-0.009 1.022 0.009
ttt_playerspawn	2974.858887 -4462.034668 -39.365345	-0.014 0.765 0.014
ttt_playerspawn	2311.730225 -4744.429199 -37.490547	-0.014 -2.020 0.014
ttt_playerspawn	2432.644531 -4564.020020 -39.811337	-0.011 -1.174 0.011
ttt_playerspawn	2315.268311 -3860.301270 -38.555897	-0.012 0.025 0.012
ttt_playerspawn	3039.351074 -3719.854248 -38.484165	-0.008 -0.485 0.012
ttt_playerspawn	2826.750977 -3775.986572 -39.086258	-0.009 -0.241 0.009
ttt_playerspawn	3102.280273 -3891.537598 -41.858818	-0.009 -0.155 0.009
ttt_playerspawn	2957.794434 -3884.731445 -37.918781	-0.012 1.719 0.012
ttt_playerspawn	3260.556396 -3377.085693 -38.736473	-0.010 1.822 0.010
ttt_playerspawn	3084.132080 -3539.715088 -32.008129	-0.007 -0.038 0.007
ttt_playerspawn	3380.019775 -3427.716064 -38.143581	-0.008 -1.612 0.009
ttt_playerspawn	3251.283691 -3513.414795 -40.616451	-0.014 -3.391 0.014
ttt_playerspawn	2874.784180 -3607.590820 -33.127686	-0.014 -1.294 0.014
ttt_playerspawn	1598.449829 -3076.110596 330.031097	-0.013 -0.161 0.013
ttt_playerspawn	1732.172485 -3575.139648 332.717285	0.012 -5.718 0.013
ttt_playerspawn	3293.128662 -5005.550293 104.730881	-0.004 2.354 0.004
ttt_playerspawn	3215.304443 -4199.999512 96.501808	0.010 0.000 0.010
ttt_playerspawn	3118.693115 -2467.144775 317.193756	-0.005 0.019 0.006
ttt_playerspawn	2974.493896 -5147.782227 100.228828	-0.020 1.961 0.013
item_ammo_357_ttt	2418.887939 -5087.292480 96.358810	0.456 0.061 0.044
item_ammo_357_ttt	2451.614746 -5084.246582 96.345390	0.379 0.037 0.004
item_ammo_357_ttt	2403.141602 -5181.089355 96.332527	0.451 0.068 0.054
item_ammo_357_ttt	2432.663330 -5179.844238 96.423180	0.469 0.055 0.019
item_ammo_357_ttt	2463.301514 -5183.956543 96.321724	0.449 0.070 0.058
item_ammo_357_ttt	3029.391113 -5055.691406 240.400742	0.471 0.054 0.025
item_ammo_357_ttt	3004.665039 -5059.586914 240.322250	0.463 0.016 0.054
item_ammo_357_ttt	3859.894287 -5305.951172 272.350494	0.466 0.062 0.044
item_ammo_357_ttt	3875.063721 -5282.077148 272.348663	0.465 0.038 0.044
weapon_ttt_g3sg1	2942.211182 -5058.019043 241.239517	-0.342 0.045 -87.655
weapon_ttt_g3sg1	3835.705078 -5294.494141 273.451630	-0.647 12.913 -88.365
ttt_random_weapon	1692.942627 -5166.982910 97.179581	1.731 5.272 -93.187
ttt_random_weapon	1737.545776 -5162.116699 97.176407	1.749 5.269 -93.157
ttt_random_weapon	1796.458984 -5169.974121 97.202751	1.572 5.339 -93.405
ttt_random_weapon	1967.675781 -5079.736816 97.194557	1.616 5.339 -93.326
ttt_random_weapon	1971.709229 -5016.887207 97.172432	1.688 5.344 -93.058
ttt_random_weapon	1730.933716 -5101.991699 -46.812332	1.652 5.339 -93.259
ttt_random_weapon	1747.831421 -4988.222656 -46.817924	1.643 5.346 -93.158
ttt_random_weapon	3474.937012 -4899.596680 97.166504	1.716 5.343 -92.996
ttt_random_weapon	3419.652588 -4900.329590 97.183044	1.638 5.346 -93.168
ttt_random_weapon	3548.221191 -4609.837891 -46.833496	1.716 5.343 -92.996
ttt_random_weapon	3344.291992 -4612.217285 -42.763657	1.465 5.905 -93.537
ttt_random_weapon	3349.916016 -4593.062500 -42.769032	1.525 5.767 -93.398
ttt_random_weapon	3388.548828 -4612.375000 -42.771816	1.557 5.772 -93.326
ttt_random_weapon	3390.253906 -4598.309570 -42.771511	1.554 5.919 -93.333
ttt_random_weapon	3426.819092 -4608.184570 -42.764378	1.473 5.906 -93.519
ttt_random_weapon	3427.792725 -4592.443848 -42.761856	1.444 5.899 -93.584
ttt_random_weapon	3025.105225 -4157.170898 97.197006	1.573 5.346 -93.312
ttt_random_weapon	3027.002441 -4192.637207 97.183044	1.638 5.346 -93.168
ttt_random_weapon	3025.188721 -4233.559082 97.168938	1.705 5.345 -93.021
ttt_random_weapon	3574.556885 -4100.346191 97.201775	1.567 5.279 -93.362
