# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_dimmsdale_v2
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	1238.099731 2251.427490 -461.300568	-0.042 1.348 0.043
ttt_playerspawn	1009.804077 2263.361816 -459.909210	-0.047 -3.054 0.047
ttt_playerspawn	792.618103 2274.663818 -462.647156	-0.040 0.199 0.040
ttt_playerspawn	821.213074 2563.184570 -458.733124	-0.031 -1.773 0.030
ttt_playerspawn	1079.324951 2556.822754 -459.681976	-0.029 -3.062 0.027
ttt_playerspawn	1254.504150 2895.024170 -461.656616	0.005 0.006 0.026
ttt_playerspawn	1035.820068 2893.883789 -462.556030	-0.040 -1.355 0.040
ttt_playerspawn	805.708801 2894.159180 -462.588806	-0.034 -1.962 0.033
ttt_playerspawn	663.939453 2894.593994 -459.628448	-0.034 -3.228 0.033
ttt_playerspawn	1671.725586 1801.707031 -472.291077	-0.067 2.181 0.067
ttt_playerspawn	1679.173706 1642.216919 -474.777740	-0.078 -0.419 0.078
ttt_playerspawn	1673.838989 1443.971313 -469.720612	-0.077 -0.844 0.077
ttt_playerspawn	1103.167725 -221.577286 -476.536560	-0.015 -4.417 0.015
ttt_playerspawn	1463.723877 -229.112167 -479.472565	-0.007 -0.000 0.008
ttt_playerspawn	1485.981201 59.891113 -479.547546	-0.015 -0.000 0.015
ttt_playerspawn	1501.536133 426.594696 -476.424316	-0.009 -0.858 0.009
ttt_playerspawn	1570.376221 -516.487427 -479.515869	-0.011 -0.000 0.012
ttt_playerspawn	728.590942 -443.923920 -475.648163	-0.013 -0.858 0.013
ttt_playerspawn	215.631409 -402.910950 -473.316071	-0.010 -1.284 0.010
ttt_playerspawn	184.969757 80.921127 -474.033600	-0.012 -2.836 0.012
ttt_playerspawn	-185.521835 158.468216 -477.787903	-0.008 1.741 0.008
ttt_playerspawn	-195.464005 -153.102890 -477.207153	-0.010 0.474 0.010
ttt_playerspawn	-1522.583374 -367.071625 -475.451416	0.139 -3.937 -0.063
ttt_playerspawn	-1538.812256 -32.340412 -469.128998	0.078 0.858 -0.078
ttt_playerspawn	-520.828979 1475.720215 -472.020142	-0.007 0.467 0.004
ttt_playerspawn	-1371.401733 1477.638428 -468.998474	0.010 -0.851 0.022
ttt_playerspawn	295.722351 1668.439087 -472.634644	-0.074 1.067 0.074
ttt_playerspawn	298.938324 1439.981567 -470.124298	-0.049 -0.460 0.049
ttt_playerspawn	1587.603271 2752.956299 -464.145081	-0.008 0.415 0.008
ttt_playerspawn	1586.301636 2421.908691 -468.960449	-0.007 -0.000 0.007
ttt_playerspawn	1606.911743 3064.653809 -464.679230	-0.012 2.393 0.012
ttt_playerspawn	1244.508179 3105.600342 -461.770172	-0.009 -1.133 0.008
ttt_playerspawn	784.458618 3113.740479 -470.159180	-0.011 -0.858 0.009
ttt_playerspawn	-797.233215 2900.973145 -467.800446	-0.013 -0.418 0.013
ttt_playerspawn	-1077.282959 2910.416016 -463.727509	-0.014 -1.302 0.014
ttt_playerspawn	1071.951904 2735.469482 195.912918	-0.084 -0.000 0.085
ttt_playerspawn	785.470215 2760.229004 192.550919	-0.058 -3.272 0.059
ttt_playerspawn	1000.508545 1569.176514 -472.039063	-0.068 -0.373 0.068
ttt_playerspawn	1016.896729 1829.850220 -467.491425	-0.075 -1.524 0.075
ttt_playerspawn	636.548279 1911.152100 -470.847198	-0.059 -1.286 0.059
ttt_playerspawn	661.940369 1659.285034 -468.928375	-0.052 -4.376 0.052
ttt_playerspawn	-216.718140 516.786743 -472.584473	-0.009 -2.446 0.010
ttt_playerspawn	-1228.177734 502.193298 -476.113342	-0.122 0.492 0.122
ttt_playerspawn	-6187.168457 -121.500114 -463.822662	0.016 -3.502 -0.016
ttt_playerspawn	-5964.134277 -97.274086 -463.342957	0.013 1.137 -0.014
ttt_playerspawn	-5967.613770 1461.169800 -474.558868	0.015 -0.461 -0.016
ttt_playerspawn	-6249.355469 1391.233765 -470.669342	-2.192 -1.278 -0.391
ttt_playerspawn	-6212.184570 897.433228 -473.865753	0.073 -0.385 0.024
ttt_playerspawn	-5888.645020 774.437866 -463.015228	0.017 0.554 -0.018
ttt_playerspawn	-4863.087402 1615.819580 40.915302	-0.080 -0.417 0.080
ttt_playerspawn	-4852.535645 1352.893188 42.612495	0.033 -2.603 -0.027
ttt_playerspawn	-4864.931641 1128.457520 38.957722	0.052 -5.693 -0.052
ttt_playerspawn	-5914.081543 1681.246826 -467.357086	0.021 -1.781 -0.021
ttt_playerspawn	-5511.132813 1964.614624 -466.670868	0.019 -0.037 -0.018
ttt_playerspawn	-6242.501465 541.489563 -473.078491	0.010 -2.401 -0.012
ttt_playerspawn	-6120.714844 1903.527222 -466.245148	-0.084 1.999 0.085
ttt_playerspawn	-5670.869629 893.249390 -472.641510	0.018 -0.850 -0.015
ttt_playerspawn	-6404.375977 1063.714111 -471.138245	0.019 0.946 -0.019
weapon_ttt_ak47	1241.648926 2658.683105 -463.138275	0.175 33.146 -87.228
item_box_buckshot_ttt	928.030090 2777.535889 -463.624451	0.669 -0.001 -0.455
item_box_buckshot_ttt	928.383301 2763.524658 -463.569855	-0.681 -0.004 0.546
item_box_buckshot_ttt	938.463074 2776.879395 -463.555573	-0.526 -0.006 0.470
item_box_buckshot_ttt	938.100769 2762.609863 -463.628387	0.766 -0.118 -0.532
item_box_buckshot_ttt	950.797485 2777.436768 -463.596191	-0.841 -0.007 0.751
item_box_buckshot_ttt	950.542725 2764.580811 -463.628510	0.767 -0.117 -0.534
item_box_buckshot_ttt	961.423645 2778.931885 -463.554596	-0.519 -0.006 0.464
item_box_buckshot_ttt	959.849731 2765.865723 -463.644714	1.046 0.000 -0.840
weapon_ttt_smokegrenade	1054.849121 2768.857178 -463.820740	-1.852 -1.448 -1.013
weapon_ttt_smokegrenade	1073.612549 2768.666260 -463.804901	-1.272 -1.495 -0.696
weapon_ttt_smokegrenade	1095.342041 2768.894043 -463.837402	-2.465 -1.325 -1.349
weapon_ttt_smokegrenade	1109.883057 2767.477051 -463.810547	-1.478 -1.484 -0.809
weapon_ttt_smokegrenade	1125.912598 2766.319336 -463.833466	-2.321 -1.371 -1.270
weapon_ttt_smokegrenade	1144.020020 2767.645264 -463.820740	-1.852 -1.448 -1.013
item_ammo_357_ttt	1086.043213 -572.663208 -202.591522	0.466 0.054 0.025
item_ammo_357_ttt	1067.428955 -570.272034 -202.642914	0.456 0.060 0.045
item_ammo_357_ttt	1076.134277 -522.652588 -202.613373	0.461 0.056 0.033
item_ammo_357_ttt	1094.932129 -520.586548 -202.676071	0.449 0.068 0.058
item_ammo_357_ttt	875.634827 2775.857666 -463.688507	0.546 0.162 0.004
item_ammo_357_ttt	875.668945 2762.837402 -463.650024	0.455 0.062 0.048
item_ammo_357_ttt	883.913940 2777.922363 -463.656158	0.530 0.166 0.013
item_ammo_357_ttt	883.838623 2762.401611 -463.636322	0.457 0.058 0.043
item_ammo_357_ttt	903.633545 2778.685303 -463.679535	0.536 0.155 0.007
item_ammo_357_ttt	903.524170 2764.271240 -463.625610	0.459 0.057 0.038
item_ammo_357_ttt	912.887329 2776.681152 -463.679047	0.539 0.164 0.013
item_ammo_357_ttt	911.199158 2764.346191 -463.663452	0.452 0.065 0.054
item_ammo_357_ttt	5464.354004 2409.437744 -3.589394	0.488 0.066 0.012
item_ammo_357_ttt	5444.158203 2412.083496 -3.642470	0.466 0.062 0.041
item_ammo_357_ttt	5367.647461 2467.354736 140.326691	0.463 0.070 0.052
item_ammo_357_ttt	5381.942383 2468.277832 140.434509	0.474 0.056 0.013
item_ammo_357_ttt	5413.713867 2536.488037 140.362091	0.510 0.048 -0.005
item_ammo_357_ttt	5437.888672 2535.220215 140.432770	0.867 -0.013 -0.211
item_ammo_357_ttt	-6316.583496 1898.379028 327.400848	0.783 -7.373 0.146
item_ammo_357_ttt	-6299.879883 1898.850342 327.392761	0.604 0.021 0.004
item_ammo_357_ttt	-6032.115234 2033.026611 495.355347	0.455 0.040 0.046
item_ammo_357_ttt	-6009.665527 2038.204956 495.342499	0.452 0.032 0.051
item_ammo_357_ttt	-6155.931641 2051.250488 495.420959	0.468 0.054 0.020
item_ammo_357_ttt	-6138.393555 2054.261719 495.330383	0.450 0.023 0.056
item_ammo_357_ttt	-6153.460449 1865.152588 495.349976	0.454 0.062 0.048
item_ammo_357_ttt	-6174.908691 1863.728638 495.317108	0.447 0.071 0.061
item_ammo_357_ttt	-6028.131836 1860.379395 495.360413	0.456 0.058 0.044
item_ammo_357_ttt	-6053.387695 1859.722412 495.404510	0.465 0.054 0.026
item_ammo_357_ttt	-5664.332031 743.879578 64.368744	0.533 0.013 0.045
item_ammo_357_ttt	-5651.511230 745.579651 64.355072	0.511 0.110 0.000
