# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_dolls_2015_v1c
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-786.401062 -535.987854 -703.146912	0.185 13.129 -87.119
weapon_ttt_ak47	-793.129883 -455.950897 -703.069824	-0.057 18.236 -88.563
weapon_ttt_ak47	-782.757507 -329.059692 -703.064941	0.071 13.137 -88.025
ttt_playerspawn	-462.183563 -784.161560 -699.792358	-0.007 0.175 0.007
ttt_playerspawn	-475.384247 -599.208679 -700.815491	-0.014 1.016 0.014
ttt_playerspawn	-455.272583 -390.128998 -695.278748	-0.010 -1.155 0.010
ttt_playerspawn	-207.199203 -336.388336 -700.124329	-0.009 -0.185 0.009
ttt_playerspawn	-191.948395 -586.843872 -697.041626	-0.010 0.092 0.010
ttt_playerspawn	-171.924133 -774.425171 -699.937317	-0.012 -0.309 0.012
ttt_playerspawn	158.382141 -489.130096 -699.005493	-0.015 0.739 0.015
ttt_playerspawn	310.412720 -302.837402 -699.723633	-0.009 0.092 0.009
ttt_playerspawn	373.725555 -94.121941 -700.816772	-0.014 0.277 0.014
ttt_playerspawn	369.557220 175.800674 -701.070618	-0.015 -0.370 0.015
ttt_playerspawn	132.742142 292.269684 -696.966370	-0.010 -0.739 0.010
ttt_playerspawn	94.058769 59.337872 -698.493713	-0.006 0.740 0.006
ttt_playerspawn	91.687584 -184.373840 -700.419373	-0.009 0.185 0.009
ttt_playerspawn	43.344425 -348.629272 -694.349731	-0.006 -0.277 0.006
ttt_playerspawn	364.465424 614.284729 -693.850891	-0.012 -0.093 0.012
ttt_playerspawn	-995.289490 -264.538879 271.583099	-0.037 0.277 0.037
ttt_playerspawn	-1009.546448 -50.143456 272.487183	-0.010 0.092 0.010
ttt_playerspawn	-977.515320 154.649002 272.686096	-0.031 0.277 0.031
ttt_playerspawn	-984.264709 428.312683 273.481232	-0.044 -0.092 0.044
ttt_playerspawn	-981.182129 689.132141 273.426422	-0.048 -0.277 0.048
ttt_playerspawn	-986.083130 1015.566223 272.563385	-0.033 -0.091 0.033
ttt_playerspawn	-694.262878 1171.350586 273.566010	-0.032 0.462 0.032
ttt_playerspawn	-494.119354 1185.160400 274.004211	-0.032 2.310 0.032
ttt_playerspawn	-638.264160 380.590393 -692.752075	-0.011 -1.063 0.011
ttt_playerspawn	-514.558472 607.154541 -695.892822	-0.007 -0.924 0.007
ttt_playerspawn	-424.233124 515.203979 -697.962219	-0.012 0.646 0.012
ttt_playerspawn	-496.736908 147.714767 -700.153381	-0.007 0.462 0.007
ttt_playerspawn	-326.245483 -506.235077 -695.518921	-0.013 0.277 0.013
ttt_playerspawn	-119.197701 -461.967621 -702.775452	-0.007 0.277 0.007
ttt_playerspawn	-36.923855 -672.795044 -700.432861	-0.013 -0.554 0.013
ttt_playerspawn	-74.549828 -251.951675 -703.523071	-0.012 -0.000 0.012
ttt_playerspawn	233.688629 -12.187979 -698.981750	-0.014 0.647 0.014
ttt_playerspawn	10.957934 170.314301 -698.454712	-0.011 1.294 0.011
ttt_playerspawn	16.838701 385.610535 -697.684998	-0.010 -1.201 0.010
weapon_ttt_smokegrenade	611.448975 -944.744995 -251.266006	0.000 0.000 0.000
weapon_ttt_smokegrenade	608.674988 -673.179016 -531.265991	0.000 0.000 0.000
weapon_ttt_smokegrenade	409.450012 -858.517029 -531.265991	0.000 0.000 0.000
weapon_ttt_smokegrenade	-587.913025 482.309998 -699.265991	0.000 0.000 0.000
weapon_ttt_smokegrenade	-406.234985 661.387024 -699.265991	0.000 0.000 0.000
weapon_ttt_smokegrenade	-378.089996 341.337006 -699.265991	0.000 0.000 0.000
weapon_ttt_smokegrenade	-722.875000 127.558998 -699.265991	0.000 0.000 0.000
item_ammo_357_ttt	-724.450989 746.018005 380.276001	0.000 0.000 0.000
item_ammo_357_ttt	-721.770996 733.684021 380.276001	0.000 0.000 0.000
item_ammo_357_ttt	-767.080994 -878.755981 178.714996	0.000 0.000 0.000
