# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_dolls
# Exported by: Donato Dias
setting:	replacespawns 1
weapon_ttt_ak47	-747.281494 -741.526123 -383.107819	0.132 13.136 -87.559
ttt_playerspawn	-461.723572 243.777588 -702.496704	-0.010 -0.000 0.010
ttt_playerspawn	-466.583069 353.842712 -702.505859	-0.010 -0.000 0.010
ttt_playerspawn	-472.092438 465.533936 -702.517639	-0.012 -0.000 0.012
ttt_playerspawn	-476.521637 572.679199 -702.543152	-0.014 -0.000 0.014
ttt_playerspawn	-481.310760 678.352356 -702.549744	-0.015 -0.000 0.015
ttt_playerspawn	-594.231812 669.926208 -702.534729	-0.013 -0.000 0.013
ttt_playerspawn	-583.691467 561.861145 -702.473694	-0.007 -0.000 0.007
ttt_playerspawn	-570.153137 455.165222 -702.530762	-0.013 -0.000 0.013
ttt_playerspawn	-561.196655 354.341248 -702.549744	-0.015 -0.000 0.015
ttt_playerspawn	-554.107788 244.761475 -702.554321	-0.015 -0.000 0.015
ttt_playerspawn	-485.156616 -844.847229 -702.502686	-0.010 -0.000 0.010
ttt_playerspawn	-214.405228 -849.573608 -702.515869	-0.011 -0.000 0.011
ttt_playerspawn	-210.461411 -600.484436 -702.467346	-0.007 -0.000 0.007
ttt_playerspawn	-493.368195 -604.475220 -702.517639	-0.012 -0.000 0.012
ttt_playerspawn	334.709412 194.069519 -702.528809	-0.013 -0.000 0.013
ttt_playerspawn	334.079498 -19.286289 -702.449036	-0.005 -0.000 0.005
ttt_playerspawn	324.828430 -243.488144 -702.477112	-0.008 -0.000 0.008
ttt_playerspawn	123.496544 -241.409988 -702.472595	-0.007 -0.000 0.007
ttt_playerspawn	120.743492 -12.022795 -702.515869	-0.011 -0.000 0.011
ttt_playerspawn	120.795265 184.619293 -702.473694	-0.007 -0.000 0.007
ttt_playerspawn	578.561646 845.215942 -702.502686	-0.010 -0.000 0.010
ttt_playerspawn	304.575836 843.085815 -702.554321	-0.015 -0.000 0.015
ttt_playerspawn	23.101589 849.898804 -702.510742	-0.011 -0.000 0.011
ttt_playerspawn	263.690399 -864.065002 -534.451294	0.021 0.000 0.021
ttt_playerspawn	384.154968 -864.397156 -534.473572	0.030 0.000 0.030
ttt_playerspawn	504.948456 -662.150208 -534.517395	-0.047 -0.000 0.047
ttt_playerspawn	601.703857 -532.500122 -534.441101	0.223 -0.001 -0.177
ttt_playerspawn	645.081116 -484.308075 -254.444153	0.053 0.000 0.053
ttt_playerspawn	652.926758 -900.223511 -254.415695	0.017 0.000 0.020
ttt_playerspawn	691.125977 -793.110596 -254.474792	0.090 0.000 0.090
ttt_playerspawn	280.824402 -883.657288 -30.493637	-0.038 -0.000 0.038
ttt_playerspawn	462.341583 -689.650513 -30.504065	-0.042 -0.000 0.042
ttt_playerspawn	677.665894 -532.681580 -30.461397	-0.025 -0.000 0.025
ttt_playerspawn	284.022125 -883.386597 129.514465	-0.034 -0.000 0.034
ttt_playerspawn	461.102905 -743.861145 129.475281	-0.050 -0.000 0.050
ttt_playerspawn	433.273773 -855.396423 129.513168	-0.035 -0.000 0.035
ttt_playerspawn	797.721252 -704.761292 129.539520	-0.024 -0.000 0.024
ttt_playerspawn	796.730286 -854.071838 129.510498	-0.036 -0.000 0.036
ttt_playerspawn	784.081970 169.353622 129.529678	-0.028 -0.000 0.028
ttt_playerspawn	783.292053 21.351135 129.494354	-0.043 -0.000 0.043
ttt_playerspawn	339.976288 942.379211 -502.442108	0.041 0.123 0.174
ttt_playerspawn	627.188538 -870.837463 129.546387	-0.022 -0.000 0.022
ttt_playerspawn	569.819092 -508.602844 129.571762	0.001 0.032 0.090
ttt_playerspawn	671.189087 -413.788635 129.511841	-0.035 -0.000 0.035
ttt_playerspawn	658.532288 -154.348297 -638.492249	-0.037 -0.000 0.037
weapon_ttt_smokegrenade	-249.548706 9.904509 -703.887146	-1.255 -1.217 -0.731
weapon_ttt_smokegrenade	-248.198349 -27.227833 -703.864868	-1.017 -1.285 -0.593
weapon_ttt_smokegrenade	-768.685608 729.720215 -703.855408	-0.916 -1.307 -0.534
weapon_ttt_smokegrenade	493.879913 -566.326660 -703.806824	-0.399 -1.365 -0.232
weapon_ttt_smokegrenade	505.688812 -566.235229 -703.896301	-1.353 -1.195 -0.788
item_box_buckshot_ttt	-731.502014 -99.720810 -703.655762	0.616 0.003 -0.491
item_box_buckshot_ttt	-744.608398 -99.173218 -703.546509	-0.457 -0.006 0.407
item_box_buckshot_ttt	-764.865662 439.072754 -703.603943	-0.914 -0.009 0.817
item_box_buckshot_ttt	-745.688293 439.062775 -703.558044	-0.548 -0.006 0.488
item_box_buckshot_ttt	-765.913025 452.421844 -703.623657	0.496 0.018 -0.318
item_box_buckshot_ttt	-745.551575 452.491638 -703.575378	-0.678 -0.006 0.606
item_box_buckshot_ttt	-351.012909 632.930603 -703.600220	-0.886 -0.015 0.787
item_box_buckshot_ttt	-362.829895 633.375183 -703.625854	0.751 -0.022 -0.519
item_box_buckshot_ttt	-373.025635 633.850647 -703.621948	0.283 0.003 -0.142
item_box_buckshot_ttt	-381.605377 634.351257 -703.616699	-0.623 -0.005 0.590
item_box_buckshot_ttt	-352.503174 482.740936 -703.628418	0.765 -0.119 -0.532
item_box_buckshot_ttt	-360.485016 483.183533 -703.535034	-0.392 -0.005 0.316
item_box_buckshot_ttt	-368.116943 483.709686 -703.628357	0.765 -0.120 -0.531
item_box_buckshot_ttt	-376.443909 484.179199 -703.652649	0.712 0.003 -0.569
item_box_buckshot_ttt	-245.278564 458.811432 -703.551758	-0.531 -0.005 0.427
item_box_buckshot_ttt	-259.382965 458.519684 -703.575684	-0.686 -0.006 0.609
item_box_buckshot_ttt	-245.631516 445.123596 -703.603455	-0.935 -0.002 0.828
item_box_buckshot_ttt	-260.559296 444.965240 -703.617798	-0.361 0.001 0.375
item_box_buckshot_ttt	-386.146362 247.811310 -703.618591	-0.239 0.001 0.280
item_box_buckshot_ttt	-398.752045 246.577927 -703.619812	-0.045 0.002 0.122
item_box_buckshot_ttt	-397.986938 265.332336 -703.623047	0.474 0.018 -0.296
item_box_buckshot_ttt	-386.033295 265.378448 -703.590454	-1.023 -0.006 0.800
item_box_buckshot_ttt	-321.823334 878.851563 -703.617615	-0.416 0.000 0.423
item_box_buckshot_ttt	-309.005798 878.683899 -703.598511	-1.003 -0.005 0.853
item_box_buckshot_ttt	-309.291748 861.955872 -703.615112	-1.000 -0.010 0.895
item_box_buckshot_ttt	-323.201996 861.671448 -703.610718	-0.994 0.020 0.880
item_box_buckshot_ttt	-386.591766 877.839783 -703.655762	0.615 0.003 -0.489
item_box_buckshot_ttt	-399.491119 878.169983 -703.617615	-0.429 0.000 0.434
item_box_buckshot_ttt	-400.550507 859.208130 -703.586670	-0.856 -0.014 0.694
item_box_buckshot_ttt	-387.166168 859.366333 -703.619690	-0.064 0.002 0.138
item_box_buckshot_ttt	-230.497971 -73.200996 -703.667969	0.327 0.004 -0.254
item_box_buckshot_ttt	-244.386642 -72.449898 -703.626465	0.754 -0.022 -0.526
item_box_buckshot_ttt	593.147949 84.005905 -703.618652	-0.220 0.001 0.264
item_box_buckshot_ttt	576.429565 84.742981 -703.593262	-0.822 -0.003 0.730
item_box_buckshot_ttt	563.043213 85.397476 -703.602112	-0.886 -0.015 0.794
item_box_buckshot_ttt	595.927002 66.720207 -703.513062	-0.212 -0.005 0.167
item_box_buckshot_ttt	581.500061 67.035538 -703.579773	-0.718 -0.005 0.638
item_box_buckshot_ttt	565.628784 66.644196 -703.571228	-0.694 -0.003 0.549
item_box_buckshot_ttt	578.008118 988.017151 -703.627930	0.762 -0.122 -0.527
item_box_buckshot_ttt	578.814514 970.793701 -703.575684	-0.686 -0.006 0.609
item_box_buckshot_ttt	593.437683 988.524658 -703.644653	1.045 0.000 -0.841
item_box_buckshot_ttt	593.938477 971.498230 -703.619934	-0.027 0.002 0.106
item_box_buckshot_ttt	793.164551 749.661377 -703.649414	0.837 0.002 -0.670
item_box_buckshot_ttt	792.689575 770.939697 -703.617737	-0.380 0.001 0.392
item_box_buckshot_ttt	773.085266 771.115601 -703.617615	-0.414 0.000 0.421
item_box_buckshot_ttt	772.467529 749.880432 -703.592529	-1.008 -0.003 0.813
item_box_buckshot_ttt	794.267029 945.225708 -703.545288	-0.449 -0.006 0.399
item_box_buckshot_ttt	776.216370 944.544312 -703.574402	-0.676 -0.006 0.601
item_box_buckshot_ttt	796.354248 928.583191 -703.549805	-0.484 -0.006 0.430
item_box_buckshot_ttt	778.059814 929.127563 -703.601685	-0.918 -0.010 0.814
item_box_buckshot_ttt	821.433960 -940.984558 -255.585022	0.841 -0.004 0.664
item_box_buckshot_ttt	804.925842 -941.436768 -255.568314	-0.675 -0.004 0.528
item_box_buckshot_ttt	822.663635 -956.164185 -255.619370	0.129 -0.000 0.160
item_box_buckshot_ttt	806.312134 -956.374084 -255.620850	-0.054 0.000 0.010
item_box_buckshot_ttt	821.329834 -746.603943 -255.567764	-0.632 -0.007 0.561
item_box_buckshot_ttt	821.197327 -765.390076 -255.603836	-0.915 -0.009 0.818
item_box_buckshot_ttt	806.179626 -764.440918 -255.614868	-1.002 -0.010 0.896
item_box_buckshot_ttt	806.710388 -746.695740 -255.644745	1.049 0.000 -0.843
item_box_buckshot_ttt	207.205521 -964.353394 128.427338	0.592 -0.072 0.150
item_box_buckshot_ttt	206.482620 -947.096191 128.421616	-0.713 -0.006 0.634
item_box_buckshot_ttt	221.235001 -946.459290 128.420227	-0.724 -0.006 0.643
item_box_buckshot_ttt	221.491089 -961.506348 128.420197	0.291 -0.114 -0.002
item_box_buckshot_ttt	-639.115784 205.980499 -276.072784	-0.755 -0.022 0.771
item_box_buckshot_ttt	-625.160034 205.536377 -276.075500	-0.845 -0.021 0.848
item_ammo_357_ttt	-763.374146 351.764343 -703.634216	0.467 0.060 0.038
item_ammo_357_ttt	-755.554871 351.979279 -703.622314	0.468 0.058 0.034
item_ammo_357_ttt	-749.333618 351.915588 -703.611816	0.469 0.058 0.030
item_ammo_357_ttt	-766.000488 489.281189 -703.622314	0.468 0.058 0.034
item_ammo_357_ttt	-757.241577 489.513763 -703.587708	0.472 0.056 0.021
item_ammo_357_ttt	-748.695435 489.481049 -703.684570	0.462 0.075 0.056
item_ammo_357_ttt	-355.254730 586.625244 -703.689331	0.461 0.075 0.058
item_ammo_357_ttt	-364.591339 585.929260 -703.673279	0.463 0.070 0.052
item_ammo_357_ttt	-372.642548 586.323059 -703.592224	0.471 0.056 0.023
item_ammo_357_ttt	-373.085266 571.516602 -703.645874	0.466 0.062 0.042
item_ammo_357_ttt	-363.222992 571.609375 -703.558167	0.157 -0.803 -0.171
item_ammo_357_ttt	-354.572693 572.526245 -703.682251	0.462 0.075 0.055
item_ammo_357_ttt	-247.501205 429.951782 -703.647644	0.466 0.062 0.043
item_ammo_357_ttt	-258.824768 430.187500 -703.611816	0.469 0.058 0.030
item_ammo_357_ttt	-416.306335 223.905197 -703.639099	0.467 0.060 0.040
item_ammo_357_ttt	-429.440216 224.634995 -703.682251	0.462 0.075 0.055
item_ammo_357_ttt	-271.633545 877.345276 -703.606995	0.470 0.057 0.028
item_ammo_357_ttt	-263.459137 878.531006 -703.673279	0.463 0.070 0.052
item_ammo_357_ttt	-263.492889 865.660400 -703.647644	0.466 0.062 0.043
item_ammo_357_ttt	-270.455444 866.124878 -703.640747	0.466 0.062 0.040
item_ammo_357_ttt	-270.703644 853.752625 -703.658875	0.465 0.067 0.047
item_ammo_357_ttt	-263.701752 854.195801 -703.653137	0.465 0.064 0.045
item_ammo_357_ttt	-409.857117 876.111694 -703.603577	0.470 0.057 0.027
item_ammo_357_ttt	-418.694061 877.088562 -703.644165	0.466 0.062 0.042
item_ammo_357_ttt	-410.445801 865.091858 -703.694214	0.461 0.082 0.060
item_ammo_357_ttt	-419.270966 864.975830 -703.577332	0.473 0.056 0.017
item_ammo_357_ttt	-419.131989 852.389954 -703.613037	0.469 0.058 0.030
item_ammo_357_ttt	-410.987457 853.779419 -703.604675	0.470 0.057 0.027
item_ammo_357_ttt	-231.619888 -53.695335 -703.642456	0.466 0.062 0.041
item_ammo_357_ttt	-241.000610 -54.189621 -703.677673	0.463 0.070 0.054
item_ammo_357_ttt	-762.389160 -771.861572 176.385345	0.461 0.057 0.033
item_ammo_357_ttt	-777.654236 -772.499207 176.323959	0.449 0.070 0.057
item_ammo_357_ttt	-824.519104 464.580811 -175.636246	0.457 0.060 0.042
item_ammo_357_ttt	-814.797302 464.437714 -175.600555	0.464 0.056 0.028
item_ammo_357_ttt	714.880920 684.681702 128.385361	0.461 0.057 0.033
item_ammo_357_ttt	730.552795 683.494934 128.340622	0.453 0.066 0.051
item_ammo_357_ttt	598.577515 37.420330 -703.656921	0.465 0.064 0.046
item_ammo_357_ttt	579.504761 37.710735 -703.655029	0.465 0.064 0.046
item_ammo_357_ttt	566.891907 38.882607 -703.625183	0.468 0.059 0.035
item_ammo_357_ttt	597.025391 51.002472 -703.662842	0.464 0.066 0.048
item_ammo_357_ttt	581.564209 51.486286 -703.656921	0.465 0.064 0.046
item_ammo_357_ttt	569.166809 52.547623 -703.596130	0.471 0.056 0.024
item_ammo_357_ttt	588.423950 -145.183426 -703.660828	0.464 0.067 0.048
item_ammo_357_ttt	576.739014 -145.389206 -703.653137	0.465 0.064 0.045
item_ammo_357_ttt	561.922913 -145.401154 -703.656921	0.465 0.064 0.046
item_ammo_357_ttt	590.421204 -162.932587 -703.673279	0.463 0.070 0.052
item_ammo_357_ttt	577.319641 -163.069489 -703.619568	0.469 0.058 0.033
item_ammo_357_ttt	558.459961 -162.190704 -703.613037	0.469 0.058 0.030
item_ammo_357_ttt	684.309082 993.195068 -703.675476	0.463 0.070 0.053
item_ammo_357_ttt	672.731079 993.053284 -703.669006	0.464 0.070 0.051
item_ammo_357_ttt	660.763794 992.781311 -703.656921	0.465 0.064 0.046
item_ammo_357_ttt	661.161560 974.716553 -703.689331	0.461 0.075 0.058
item_ammo_357_ttt	672.917236 974.107788 -703.647644	0.466 0.062 0.043
item_ammo_357_ttt	684.922302 974.248840 -703.684570	0.462 0.075 0.056
item_ammo_357_ttt	820.294373 -888.461121 -255.657501	0.452 0.061 0.051
item_ammo_357_ttt	808.985718 -888.593811 -255.648193	0.454 0.059 0.047
item_ammo_357_ttt	820.755615 -901.729858 -255.566177	0.470 0.053 0.015
item_ammo_357_ttt	809.914246 -901.381042 -255.653702	0.453 0.061 0.050
