# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_familyguy_v6
# Exported by: Razor  武士
setting:	replacespawns 1
ttt_playerspawn	-1285.618896 -1150.532959 9.060457	-0.086 -2.669 0.086
ttt_playerspawn	-1111.786377 -1185.933472 3.805937	-0.062 1.739 0.064
ttt_playerspawn	-1090.710815 -932.544189 4.411668	-0.066 -0.851 0.065
ttt_playerspawn	-1200.184082 -926.026245 6.617181	-0.082 5.043 0.083
ttt_playerspawn	-2000.051147 -1468.703247 6.561979	-0.050 0.417 0.050
ttt_playerspawn	-2004.678833 -1138.982178 7.635487	-0.090 -3.255 0.090
ttt_playerspawn	-2007.759399 -878.601257 5.542040	-0.050 -6.351 0.051
ttt_playerspawn	-1992.431396 -548.058289 -1.444946	-0.092 -3.099 0.092
ttt_playerspawn	-2003.155518 -310.746155 6.724497	-0.050 0.246 0.051
ttt_playerspawn	-1644.147949 -1394.893188 3.165840	-0.075 -0.000 0.076
ttt_playerspawn	-1632.898560 -890.065796 12.815698	-0.060 1.518 0.060
ttt_playerspawn	-1472.407959 -1608.932983 3.787296	-0.060 -3.275 0.060
ttt_playerspawn	-1288.441040 -1417.594727 1.873843	-0.065 1.161 0.065
ttt_playerspawn	1208.389160 -677.111084 6.389254	-0.073 -0.000 0.073
ttt_playerspawn	948.140564 -670.614624 10.384366	-0.165 -3.610 -0.153
ttt_playerspawn	680.149292 -665.534302 9.712072	-0.058 -3.094 0.058
ttt_playerspawn	420.076355 -666.726318 8.429390	-0.078 -1.734 0.078
ttt_playerspawn	143.939880 -667.042847 4.977148	-0.055 -1.347 0.055
ttt_playerspawn	-133.421936 -664.354248 9.314223	-0.066 -1.731 0.065
ttt_playerspawn	-524.501099 -417.532623 7.915971	-0.068 -2.007 0.068
ttt_playerspawn	-165.139053 -414.788025 4.874430	-0.072 -0.413 0.072
ttt_playerspawn	80.475723 -416.285217 9.896934	-0.051 -0.838 0.051
ttt_playerspawn	710.222839 -427.608521 8.607751	-0.017 1.129 0.000
ttt_playerspawn	1306.280151 -423.916901 11.591209	-0.066 0.191 0.066
ttt_playerspawn	-503.154480 -671.267273 8.074747	-0.064 1.293 0.064
ttt_playerspawn	-804.000488 -668.418701 9.102185	-0.084 0.854 0.084
ttt_playerspawn	-1029.967773 -671.657654 8.532912	-0.082 -9.900 0.083
ttt_playerspawn	-1493.839111 -673.584595 6.361172	-0.066 0.906 0.066
ttt_playerspawn	-695.165283 -176.640701 0.543017	-0.069 -0.000 0.069
ttt_playerspawn	-1113.116943 -14.554088 6.996351	-0.088 2.172 0.088
ttt_playerspawn	-1541.270020 -14.961317 4.450700	-0.043 -4.380 0.043
ttt_playerspawn	-1223.023682 664.817261 8.061141	-0.065 2.610 0.065
ttt_playerspawn	-444.404755 588.819031 12.367300	-0.182 1.961 -0.038
ttt_playerspawn	-142.701767 667.725830 131.741730	0.031 -1.278 0.180
ttt_playerspawn	-502.472778 -1075.960571 7.639828	-0.079 -1.300 0.078
ttt_playerspawn	-458.662750 -1339.363525 4.715739	-0.049 0.186 0.048
weapon_ttt_ak47	-576.080505 1002.557312 -3.115310	0.060 11.866 -87.742
item_box_buckshot_ttt	-15.151800 43.983101 129.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-44.192902 46.562302 129.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-84.673500 50.664799 129.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-158.934006 255.955994 129.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-131.669006 260.171997 129.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-106.690002 264.765991 129.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-19.331264 138.659332 0.379073	0.127 0.003 -0.017
item_box_buckshot_ttt	-66.328262 235.265991 0.444298	0.475 0.055 -0.141
item_box_buckshot_ttt	-1388.307007 -1704.028442 29.394073	-0.714 -0.005 0.627
item_box_buckshot_ttt	-1357.530029 -1704.157349 29.331936	0.333 0.004 -0.258
item_box_buckshot_ttt	-1216.523560 -1704.161499 29.475437	-0.309 -0.005 0.242
item_box_buckshot_ttt	-1165.506714 -1704.154541 29.371750	0.765 -0.119 -0.531
item_box_buckshot_ttt	-1132.402832 -1700.530518 29.395952	-0.242 0.614 0.272
item_box_buckshot_ttt	-1103.423340 -1704.061523 29.459017	-0.183 3.806 -0.305
weapon_ttt_smokegrenade	-1345.859985 -957.731018 50.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1343.410034 -934.651001 50.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1343.189941 -905.111023 50.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1344.819946 -879.932007 50.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1073.606567 -1665.985596 29.180019	-1.824 -1.448 -0.998
weapon_ttt_smokegrenade	-1073.088135 -1653.245239 29.192381	-1.371 -1.490 -0.750
weapon_ttt_smokegrenade	-1073.445068 -1555.187622 29.176134	-1.967 -1.430 -1.076
weapon_ttt_smokegrenade	-1073.753296 -1540.189575 29.177725	-1.908 -1.428 -1.044
item_ammo_357_ttt	-964.541626 28.442408 128.366867	0.457 0.042 0.041
item_ammo_357_ttt	-944.706482 28.558340 128.340546	0.452 0.065 0.052
item_ammo_357_ttt	-560.406128 976.200317 128.338562	0.451 0.025 0.053
item_ammo_357_ttt	-536.994019 984.149109 128.360428	0.456 0.058 0.044
item_ammo_357_ttt	-65.505203 82.749535 412.368378	0.457 0.057 0.041
item_ammo_357_ttt	-83.059174 86.622406 412.328217	0.449 0.067 0.057
item_ammo_357_ttt	190.047867 94.626266 412.441956	-0.079 -7.928 -0.000
item_ammo_357_ttt	176.940765 54.678791 412.375793	0.459 0.056 0.038
item_ammo_357_ttt	-1727.742798 -1696.323975 29.346302	0.453 0.032 0.050
item_ammo_357_ttt	-1754.724365 -1695.334717 29.328241	0.449 0.017 0.057
item_ammo_357_ttt	-1806.442261 -1693.440674 29.353575	0.454 0.059 0.047
item_ammo_357_ttt	-1822.181885 -1692.864380 29.404558	0.465 0.054 0.026
item_ammo_revolver_ttt	-1203.279541 -1536.353271 29.419445	0.468 0.053 0.020
item_ammo_revolver_ttt	-1218.279175 -1536.252197 29.372927	0.458 0.057 0.039
item_ammo_revolver_ttt	-1233.279297 -1536.151978 29.372927	0.458 0.057 0.039
item_ammo_revolver_ttt	-1249.029663 -1536.047485 29.348166	0.453 0.061 0.049
item_ammo_revolver_ttt	-1264.029419 -1535.945679 29.326077	0.449 0.023 0.058
item_ammo_revolver_ttt	-1274.521362 -1537.165649 29.352690	0.118 -0.372 0.071
item_ammo_smg1_ttt	-548.044250 1008.744568 -3.593448	0.213 -0.005 0.131
item_ammo_smg1_ttt	-529.032898 1009.170532 -3.481161	-0.235 0.015 -0.205
item_ammo_smg1_ttt	594.544983 1007.816528 -3.503491	-0.455 0.609 0.158
item_ammo_smg1_ttt	614.793579 1007.007263 -3.436733	-0.767 -0.019 -0.511
item_ammo_smg1_ttt	-424.639557 986.540222 -3.605750	-0.122 0.005 0.069
item_ammo_smg1_ttt	-402.063507 987.457275 -3.517266	0.379 0.001 -0.368
item_ammo_smg1_ttt	-2105.698975 -1795.481689 0.498283	-0.801 0.012 -0.596
item_ammo_smg1_ttt	-2120.725586 -1796.545898 0.501577	-0.815 0.011 -0.605
item_ammo_smg1_ttt	-1543.933228 -1701.996338 29.443235	0.053 -0.180 -0.005
item_ammo_smg1_ttt	-1498.922974 -1702.001343 29.390369	0.157 -0.003 0.061
item_ammo_smg1_ttt	-1465.857056 -1701.822510 29.511972	-0.183 -0.982 -0.364
item_ammo_smg1_ttt	-1423.892212 -1701.956177 29.504101	-0.965 -0.005 -0.618
item_ammo_smg1_ttt	-1335.380615 -1701.997314 29.444778	0.020 -0.197 -0.049
item_ammo_pistol_ttt	-2114.559082 -218.054306 0.374560	-0.108 -0.020 -0.033
item_ammo_pistol_ttt	-2112.114502 -275.751068 0.362777	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	-1204.398071 -1698.610840 29.396696	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-1187.898193 -1698.581543 29.385315	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	-1177.398193 -1698.562500 29.391966	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	-1152.648071 -1698.518799 29.362778	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	-1143.648071 -1698.502075 29.396696	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-1119.519287 -1698.247192 29.470198	0.000 3.874 0.185
item_ammo_pistol_ttt	-1090.865723 -1697.729370 29.369146	0.414 -1.431 -0.076
item_ammo_pistol_ttt	-1513.626709 -1702.586792 29.337704	-0.296 -0.010 -0.160
item_ammo_pistol_ttt	-1522.043335 -1702.424438 29.419802	-0.069 -0.020 -0.021
item_ammo_pistol_ttt	-1558.370361 -1701.856812 29.330746	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	-1574.118774 -1701.521240 29.320280	-0.156 -0.017 -0.047
weapon_ttt_g3sg1	-946.086304 48.795330 129.317352	-0.792 3.291 -87.544
weapon_ttt_g3sg1	-536.649170 994.303467 129.340088	-0.873 2.937 -87.746
ttt_random_weapon	-1860.660034 -1824.619995 10.372900	0.000 0.000 0.000
ttt_random_weapon	-1859.890015 -1787.530029 10.372900	0.000 0.000 0.000
ttt_random_weapon	-1858.560059 -1753.959961 10.372900	0.000 0.000 0.000
ttt_random_weapon	-14.821100 -848.674988 6.372900	0.000 0.000 0.000
ttt_random_weapon	171.386002 -893.062012 6.372910	0.000 0.000 0.000
ttt_random_weapon	204.632996 -801.734009 6.372910	0.000 0.000 0.000
ttt_random_weapon	1568.060059 -123.066002 46.372898	0.000 0.000 0.000
ttt_random_weapon	1188.719971 227.992996 10.372900	0.000 0.000 0.000
ttt_random_weapon	1248.709961 228.919006 10.372900	0.000 0.000 0.000
ttt_random_weapon	1290.640015 230.660995 10.372900	0.000 0.000 0.000
ttt_random_weapon	1717.270020 146.947006 10.372900	0.000 0.000 0.000
ttt_random_weapon	389.835999 166.358002 10.372900	0.000 0.000 0.000
ttt_random_weapon	485.253998 167.276993 10.372900	0.000 0.000 0.000
ttt_random_weapon	434.618011 247.141998 10.372900	0.000 0.000 0.000
ttt_random_weapon	113.944000 1.038070 10.372900	0.000 0.000 0.000
ttt_random_weapon	59.807701 -3.594180 10.372900	0.000 0.000 0.000
ttt_random_weapon	773.237000 -1216.750000 6.372910	0.000 0.000 0.000
ttt_random_weapon	772.166992 -1191.569946 6.372910	0.000 0.000 0.000
ttt_random_weapon	769.215027 -1164.489990 6.372910	0.000 0.000 0.000
ttt_random_weapon	677.952026 -1226.410034 6.372910	0.000 0.000 0.000
ttt_random_weapon	673.606018 -1186.910034 6.372910	0.000 0.000 0.000
ttt_random_weapon	667.911987 -1155.170044 6.372910	0.000 0.000 0.000
ttt_random_weapon	1255.020020 -811.719971 6.372910	0.000 0.000 0.000
ttt_random_weapon	1204.180054 -769.155029 6.372910	0.000 0.000 0.000
ttt_random_weapon	1107.500000 -737.221985 6.372910	0.000 0.000 0.000
