# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_fastfood_a6
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	799.198914 602.730957 8.476912	-0.012 -0.000 0.012
ttt_playerspawn	796.090759 523.565430 8.511677	-0.009 -0.000 0.009
ttt_playerspawn	1361.470093 1407.833130 0.587082	-0.103 0.000 -0.072
ttt_playerspawn	1356.491821 1281.161987 0.529322	-0.085 -0.000 0.085
ttt_playerspawn	1355.352051 1161.033691 0.556534	-0.053 0.000 0.052
ttt_playerspawn	1232.000244 1167.356201 0.543862	-0.068 0.000 0.068
ttt_playerspawn	1231.167603 1284.261230 0.537617	-0.076 0.000 0.075
ttt_playerspawn	1117.305298 1295.570801 0.555874	-0.054 0.000 0.052
ttt_playerspawn	1113.339478 1176.820801 0.566338	-0.042 0.000 0.039
ttt_playerspawn	1122.271240 1396.215576 0.562039	-0.047 0.000 0.044
ttt_playerspawn	409.851532 1392.100342 0.522634	-0.093 -0.000 0.093
ttt_playerspawn	416.272003 1284.462402 0.555208	-0.055 0.000 0.053
ttt_playerspawn	418.339874 1185.969849 0.524117	-0.092 -0.000 0.092
ttt_playerspawn	280.716583 1287.581665 0.543005	-0.069 -0.000 0.069
ttt_playerspawn	275.543427 1197.133179 0.542144	-0.070 0.000 0.070
ttt_playerspawn	162.935715 1384.572632 0.573530	-0.035 0.000 0.028
ttt_playerspawn	162.251358 1286.593750 0.533743	-0.080 -0.000 0.080
ttt_playerspawn	159.439606 1193.148193 0.531716	-0.083 -0.000 0.082
ttt_playerspawn	712.260620 2407.033691 152.489258	-0.011 -0.000 0.011
ttt_playerspawn	705.300781 2249.691406 152.445648	-0.015 -0.000 0.015
ttt_playerspawn	863.471436 1919.673218 152.529526	-0.008 -0.000 0.006
ttt_playerspawn	852.778931 1733.724976 152.526260	-0.008 -0.000 0.006
ttt_playerspawn	-9.835942 1697.896118 152.553070	-0.009 0.000 0.001
ttt_playerspawn	-11.239438 1918.135986 152.485855	-0.011 -0.000 0.011
ttt_playerspawn	322.150818 484.757568 152.459015	-0.014 -0.000 0.014
ttt_playerspawn	183.080048 488.758209 152.443298	-0.015 -0.000 0.015
ttt_playerspawn	741.088135 303.461884 152.519272	-0.008 -0.000 0.008
ttt_playerspawn	603.188904 296.835907 152.516815	-0.008 -0.000 0.008
ttt_playerspawn	1260.079346 2551.303223 0.559669	-0.048 0.000 0.049
ttt_playerspawn	1312.993896 1698.845093 0.538549	-0.075 0.000 0.074
ttt_playerspawn	291.837616 2135.416260 8.556067	-0.043 -0.000 0.043
ttt_playerspawn	293.559998 2000.339111 8.526695	-0.072 -0.000 0.072
weapon_ttt_ak47	1338.857544 2031.393555 11.793853	0.086 176.553 88.202
weapon_ttt_smokegrenade	680.000000 2484.000000 58.048199	0.000 0.000 0.000
weapon_ttt_smokegrenade	680.000000 2484.000000 58.048199	0.000 0.000 0.000
weapon_ttt_g3sg1	1318.292114 463.350098 178.135727	0.068 175.143 89.698
ttt_random_weapon	256.000000 1480.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	1024.000000 1656.000000 9.000000	0.000 180.000 0.000
ttt_random_weapon	920.000000 1900.000000 9.000000	0.000 180.000 0.000
ttt_random_weapon	768.000000 2424.000000 9.000000	0.000 180.000 0.000
ttt_random_weapon	1296.000000 2456.000000 9.000000	0.000 180.000 0.000
ttt_random_weapon	-368.000000 328.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	70.000000 122.000000 174.000000	0.000 0.000 0.000
ttt_random_weapon	324.000000 340.000000 174.000000	0.000 0.000 0.000
ttt_random_weapon	88.000000 2352.000000 174.000000	0.000 180.000 0.000
ttt_random_weapon	908.000000 2406.000000 174.000000	0.000 180.000 0.000
ttt_random_weapon	680.000000 1992.000000 174.000000	0.000 180.000 0.000
ttt_random_weapon	1054.000000 2086.000000 9.000000	0.000 270.000 0.000
ttt_random_weapon	856.000000 2108.000000 -164.000000	0.000 90.000 0.000
ttt_random_weapon	100.000000 1364.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	-324.000000 2274.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	1328.000000 1890.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	1154.000000 894.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	208.000000 614.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	526.000000 1368.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	650.000000 1468.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	1204.000000 1440.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	1030.000000 1324.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	856.000000 1382.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	840.000000 2404.000000 -164.000000	0.000 90.000 0.000
ttt_random_weapon	900.000000 1692.000000 9.000000	0.000 0.000 0.000
ttt_random_weapon	1203.359985 274.783997 177.000000	0.000 0.000 0.000
ttt_random_weapon	1232.000000 468.000000 177.000000	0.000 0.000 0.000
ttt_random_weapon	1658.000000 272.000000 177.000000	0.000 0.000 0.000
ttt_random_weapon	1660.000000 502.000000 177.000000	0.000 0.000 0.000
ttt_random_weapon	1696.000000 124.000000 177.000000	0.000 0.000 0.000
ttt_random_weapon	1256.000000 512.000000 177.000000	0.000 0.000 0.000
ttt_random_weapon	692.000000 600.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	600.000000 522.000000 39.000000	0.000 90.000 0.000
ttt_random_weapon	600.000000 480.000000 39.000000	0.000 90.000 0.000
