# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_favela
# Exported by: Donato Dias
setting:	replacespawns 1
ttt_playerspawn	1915.243042 1441.033691 -1215.440186	-0.039 -0.000 0.039
ttt_playerspawn	2037.052490 1444.373047 -1215.462036	-0.061 -0.000 0.061
ttt_playerspawn	2137.201904 1441.148560 -1215.464966	-0.063 -0.000 0.063
ttt_playerspawn	2250.928467 1441.091797 -1215.448120	-0.047 -0.000 0.047
ttt_playerspawn	2250.474609 1544.665405 -1215.477783	-0.076 -0.000 0.076
ttt_playerspawn	2144.637695 1545.001587 -1215.427612	-0.027 -0.000 0.027
ttt_playerspawn	2039.484009 1544.775757 -1215.443970	-0.043 -0.000 0.043
ttt_playerspawn	1912.382324 1541.969116 -1215.434570	-0.034 -0.000 0.034
ttt_playerspawn	-2379.488525 1477.368408 -30.282152	1.992 0.480 -1.896
ttt_playerspawn	-2272.967773 1483.319458 -34.840141	2.197 0.731 -0.545
ttt_playerspawn	-2151.225098 1491.333862 -39.291695	2.212 0.385 2.094
ttt_playerspawn	-1993.725464 1505.583740 -41.030258	-2.606 -2.365 1.333
ttt_playerspawn	-2004.108032 1644.093628 -44.250683	-1.948 2.127 -5.839
ttt_playerspawn	-2166.307129 1633.128296 -44.700768	0.804 -0.943 -4.305
ttt_playerspawn	-2285.854980 1625.326172 -42.010181	0.993 -0.109 -4.109
ttt_playerspawn	-2393.004395 1622.319702 -39.816761	0.850 -1.466 -4.060
ttt_playerspawn	-2394.168701 1754.176636 -47.102619	0.959 -0.009 -2.149
ttt_playerspawn	-2276.086426 1757.643066 -49.540890	1.401 -0.249 -2.344
ttt_playerspawn	-2156.119629 1752.944458 -52.219753	1.406 0.036 -2.580
ttt_playerspawn	-1996.687988 1755.106934 -55.125721	-0.788 -0.354 -5.307
ttt_playerspawn	-1994.534912 1893.489868 -61.218445	0.279 -0.123 -0.707
ttt_playerspawn	-2153.657471 1892.719116 -55.975151	1.510 0.350 -0.845
ttt_playerspawn	-2288.780029 1898.596436 -52.932098	1.497 -0.057 -0.636
ttt_playerspawn	-2399.756348 1900.678345 -51.273602	0.818 -0.314 -1.307
ttt_playerspawn	-1829.366455 1891.218262 -60.862808	-1.371 0.008 -1.400
ttt_playerspawn	-1831.742554 1753.272705 -50.503555	-1.605 6.555 -8.819
ttt_playerspawn	-2366.090332 1349.136108 -29.747698	3.953 0.327 0.435
ttt_playerspawn	-2270.292236 1358.514648 -36.299530	4.141 -0.286 1.551
ttt_playerspawn	-2119.947266 1372.156982 -44.917274	3.157 0.292 2.830
ttt_playerspawn	-1971.578369 1387.998047 -49.331745	0.469 0.301 4.855
ttt_playerspawn	1906.232056 1651.545532 -1215.468994	-0.067 -0.000 0.067
ttt_playerspawn	2045.005737 1657.907715 -1215.438354	-0.037 -0.000 0.037
ttt_playerspawn	2139.617920 1319.270020 -1215.481445	-0.080 -0.000 0.080
ttt_playerspawn	2253.861084 1321.491333 -1215.457520	-0.056 -0.000 0.056
weapon_ttt_ak47	215.809021 837.274170 -742.698181	-3.305 -16.704 81.717
