# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_forsaken_chambers_v2
# Exported by: Ahbiga
setting:	replacespawns 1
ttt_random_weapon	-156.000000 -96.000000 9.372910	0.000 270.000 0.000
ttt_random_weapon	-168.000000 -96.000000 9.372910	0.000 270.000 0.000
ttt_random_weapon	80.000000 352.000000 61.372898	0.000 0.000 0.000
ttt_random_weapon	72.000000 340.000000 61.372898	0.000 0.000 0.000
ttt_random_weapon	-350.000000 588.000000 201.373001	0.000 210.000 0.000
ttt_random_weapon	-356.000000 598.392029 201.373001	0.000 210.000 0.000
ttt_random_weapon	276.894012 200.000000 201.373001	0.000 15.000 0.000
ttt_random_weapon	280.000000 188.408997 201.373001	0.000 15.000 0.000
ttt_random_weapon	329.608002 270.000000 201.373001	0.000 60.000 0.000
ttt_random_weapon	340.000000 264.000000 201.373001	0.000 60.000 0.000
ttt_random_weapon	488.589996 327.398987 -94.627098	0.000 300.000 0.000
ttt_random_weapon	478.196991 321.398987 -94.627098	0.000 300.000 0.000
ttt_random_weapon	392.000000 -3067.510010 9.372910	0.000 315.000 0.000
ttt_random_weapon	383.515015 -3076.000000 9.372910	0.000 315.000 0.000
ttt_random_weapon	300.000000 -3072.000000 9.372910	0.000 60.000 0.000
ttt_random_weapon	310.391998 -3078.000000 9.372910	0.000 60.000 0.000
ttt_random_weapon	624.000000 -2802.000000 -94.627098	0.000 60.000 0.000
ttt_random_weapon	634.392029 -2808.000000 -94.627098	0.000 60.000 0.000
ttt_random_weapon	152.934998 -165.184998 9.372910	0.000 30.000 0.000
ttt_random_weapon	158.934998 -175.578003 9.372910	0.000 30.000 0.000
ttt_random_weapon	0.000000 -344.000000 -94.627098	0.000 0.000 0.000
ttt_random_weapon	0.000000 -356.000000 -94.627098	0.000 0.000 0.000
ttt_random_weapon	-44.000000 372.000000 -94.627098	0.000 300.000 0.000
ttt_random_weapon	-46.392300 354.000000 -94.627098	0.000 300.000 0.000
ttt_random_weapon	-288.000000 716.484985 -94.627098	0.000 45.000 0.000
ttt_random_weapon	-279.515015 708.000000 -94.627098	0.000 45.000 0.000
ttt_random_weapon	-246.000000 276.000000 201.373001	0.000 330.000 0.000
ttt_random_weapon	-252.000000 265.608002 201.373001	0.000 330.000 0.000
ttt_random_weapon	204.000000 114.000000 -94.627098	0.000 300.000 0.000
ttt_random_weapon	193.608002 108.000000 -94.627098	0.000 300.000 0.000
ttt_random_weapon	203.852005 157.182007 -94.627098	0.000 225.000 0.000
ttt_random_weapon	195.367004 165.667999 -94.627098	0.000 225.000 0.000
ttt_random_weapon	0.000000 -120.000000 9.372910	0.000 345.000 0.000
ttt_random_weapon	-3.246930 -99.045898 9.372910	0.000 345.000 0.000
ttt_random_weapon	176.000000 174.000000 201.373001	0.000 300.000 0.000
ttt_random_weapon	165.608002 168.000000 201.373001	0.000 300.000 0.000
ttt_random_weapon	-688.000000 -2577.610107 -94.627098	0.000 330.000 0.000
