# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_gamerpark_final
# Exported by: Ahbiga
setting:	replacespawns 1
ttt_random_weapon	926.000000 -1009.000000 -42.807201	0.000 30.000 0.000
ttt_random_weapon	233.000000 -295.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	254.000000 -297.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	260.000000 -492.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	239.000000 -490.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	384.000000 -643.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	363.000000 -641.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	389.000000 -780.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	368.000000 -778.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	749.000000 -647.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	728.000000 -645.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	741.000000 -785.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	720.000000 -783.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	865.000000 -497.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	844.000000 -495.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	857.000000 -286.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	836.000000 -284.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	761.000000 -119.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	740.000000 -117.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	375.000000 -122.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	354.000000 -120.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	379.000000 16.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	358.000000 18.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	662.000000 13.000000 -41.000000	0.000 0.000 0.000
ttt_random_weapon	641.000000 15.000000 -41.000000	0.000 0.000 0.000
