# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_grovestreet_los
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	-524.456543 72.456985 72.859093	0.177 11.252 -87.186
weapon_ttt_ak47	568.732544 -115.982185 80.882584	0.144 13.129 -87.445
ttt_playerspawn	-574.933594 891.216980 79.389046	-0.074 0.739 0.074
ttt_playerspawn	-369.508179 908.733032 78.275345	-0.063 -0.462 0.063
ttt_playerspawn	-176.630798 939.450684 75.786736	-0.162 0.887 -0.046
ttt_playerspawn	-554.975952 1078.892700 77.043365	-0.086 -0.093 0.086
ttt_playerspawn	-360.529907 1119.210327 78.403404	-0.068 -0.462 0.068
ttt_playerspawn	-126.948914 1079.519775 75.002655	-0.081 1.201 0.081
ttt_playerspawn	143.310867 1018.989563 77.572922	-0.092 2.047 0.092
ttt_playerspawn	243.331116 1277.694336 78.451721	-0.060 -1.940 0.060
ttt_playerspawn	359.202026 1059.503418 77.820778	-0.076 -0.647 0.076
ttt_playerspawn	133.021545 1385.688354 77.008278	-0.070 -0.370 0.070
ttt_playerspawn	-152.611176 1342.408691 74.571877	-0.065 -0.462 0.065
ttt_playerspawn	-203.056412 1802.206665 80.873444	-0.175 -0.995 -0.040
ttt_playerspawn	-378.202271 2051.171631 80.102455	-0.045 0.836 0.045
ttt_playerspawn	-609.253296 1710.134888 72.557854	-0.051 -0.000 0.051
ttt_playerspawn	129.459747 2038.623901 83.301819	-0.066 0.092 0.066
ttt_playerspawn	287.685608 1857.646729 81.445518	-0.072 0.092 0.072
ttt_playerspawn	-22.052719 1817.218628 75.759872	-0.062 -0.924 0.062
ttt_playerspawn	-296.703552 2396.670166 143.591110	-0.149 22.745 89.996
ttt_playerspawn	-498.807526 2473.206543 85.684486	-2.004 0.817 0.075
ttt_playerspawn	-392.139557 2828.540527 153.978424	-3.672 42.790 1.805
ttt_playerspawn	-1094.320313 3146.364746 124.615784	-11.147 -2.874 2.672
ttt_playerspawn	-1122.372437 3260.607178 123.866707	-7.862 -14.927 9.339
ttt_playerspawn	-975.128540 3301.913086 144.261917	-3.472 -1.302 -6.402
ttt_playerspawn	-569.971741 3339.466797 149.643387	4.266 4.260 0.022
ttt_playerspawn	1169.996826 3236.141113 93.787178	-0.067 -0.370 0.067
ttt_playerspawn	1430.057495 3227.947021 90.214722	-0.077 0.277 0.077
ttt_playerspawn	1557.318726 3104.943359 94.636406	-0.056 0.693 0.056
ttt_playerspawn	1560.352539 2832.703857 95.190628	-0.085 -0.370 0.085
ttt_playerspawn	1496.555298 2686.940918 93.546211	-0.059 0.092 0.059
ttt_playerspawn	1169.913452 2650.787109 87.792061	-0.030 0.132 0.030
ttt_playerspawn	1223.332153 2842.438721 84.671501	0.002 0.599 0.655
ttt_playerspawn	1209.209351 1569.218750 291.634277	-0.008 -0.277 0.008
ttt_playerspawn	892.949280 1963.483276 291.792328	-0.056 1.756 0.056
ttt_playerspawn	863.761292 1537.321533 295.449799	-0.012 1.756 0.012
item_box_buckshot_ttt	1495.401611 986.134644 80.344246	0.614 0.003 -0.489
item_box_buckshot_ttt	1545.087158 945.679810 80.414406	-0.762 -0.005 0.677
item_box_buckshot_ttt	1275.370728 974.465027 80.419411	0.647 -0.626 -0.079
item_box_buckshot_ttt	1287.740967 939.603821 80.438431	0.334 0.226 0.273
item_box_buckshot_ttt	1619.890015 710.397766 80.438522	-0.197 0.217 -0.428
item_box_buckshot_ttt	1646.617432 578.491943 80.451988	-0.240 -0.256 0.297
item_box_buckshot_ttt	1584.594360 550.887085 80.399605	-0.864 -0.011 0.775
item_box_buckshot_ttt	1568.464844 523.361267 80.454674	-0.449 -0.006 0.399
item_ammo_357_ttt	175.225311 2783.108643 304.338593	0.451 0.064 0.053
item_ammo_357_ttt	138.396011 2769.915527 304.307556	0.445 0.079 0.065
item_ammo_357_ttt	233.554230 2969.889160 304.323883	0.448 0.068 0.059
item_ammo_357_ttt	234.727966 2941.919922 304.363678	0.456 0.058 0.043
item_ammo_357_ttt	239.605469 3159.873535 304.307556	0.445 0.079 0.065
item_ammo_357_ttt	237.512283 3147.124512 304.346313	0.453 0.061 0.050
item_ammo_357_ttt	-112.873581 3225.749512 304.319397	0.448 0.072 0.061
item_ammo_357_ttt	-106.890579 3194.964355 304.346313	0.453 0.061 0.050
item_ammo_357_ttt	1370.711914 2826.753174 219.737869	0.445 0.066 0.057
item_ammo_357_ttt	1344.249146 2828.646729 219.774796	0.453 -0.056 -0.043
item_ammo_357_ttt	684.079163 2230.664307 256.360443	0.456 0.058 0.044
item_ammo_357_ttt	681.718445 2191.431152 256.401520	0.464 0.055 0.027
item_ammo_357_ttt	677.559265 2287.617676 256.403564	0.465 0.055 0.027
item_ammo_357_ttt	677.924133 2315.422363 256.328247	0.450 0.068 0.057
item_ammo_357_ttt	1052.361572 2094.943848 323.910736	0.496 -0.073 0.049
item_ammo_357_ttt	1038.649902 2087.857422 323.878235	0.600 -0.074 -0.028
item_ammo_revolver_ttt	61.301144 1627.295044 181.173599	0.447 0.062 0.052
item_ammo_revolver_ttt	54.575676 1644.522461 181.229660	0.460 0.053 0.030
item_ammo_revolver_ttt	18.170225 1626.664063 181.179520	0.448 0.060 0.050
item_ammo_revolver_ttt	5.643636 1656.879883 181.197433	0.452 0.056 0.043
item_ammo_revolver_ttt	118.420418 1681.834229 181.149429	0.441 0.071 0.061
item_ammo_revolver_ttt	132.014923 1674.665649 181.227280	0.459 0.053 0.031
item_ammo_revolver_ttt	117.220940 1634.862305 181.212830	0.456 0.054 0.037
item_ammo_revolver_ttt	140.935181 1637.994629 181.160919	0.444 0.066 0.057
item_ammo_revolver_ttt	873.253662 2145.725342 88.348175	0.454 0.062 0.049
item_ammo_revolver_ttt	878.825989 2113.434570 88.363701	0.457 0.058 0.043
item_ammo_revolver_ttt	814.728210 2107.316406 88.414627	0.467 0.054 0.022
item_ammo_revolver_ttt	798.915344 2141.693359 88.317108	0.447 0.073 0.061
item_ammo_revolver_ttt	740.003662 2106.527100 88.385315	0.461 0.056 0.034
item_ammo_revolver_ttt	735.135071 2139.363037 88.369957	0.458 0.057 0.040
