# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_ham
# Exported by: Kopa
setting:	replacespawns 1
ttt_random_weapon	-3383.179932 381.325989 127.571999	0.000 0.000 0.000
ttt_random_weapon	-3293.520020 389.803986 74.372902	0.000 0.000 0.000
ttt_random_weapon	1182.510010 -550.827026 55.963501	0.000 0.000 0.000
ttt_random_weapon	-3035.010010 467.312012 -33.287601	0.000 0.000 0.000
ttt_random_weapon	1474.900024 401.007996 65.372902	0.000 0.000 0.000
ttt_random_weapon	-262.928986 -94.233002 20.372900	0.000 0.000 0.000
ttt_random_weapon	-192.737000 -93.776703 20.372900	0.000 0.000 0.000
ttt_random_weapon	277.459015 805.718018 20.372900	0.000 0.000 0.000
ttt_random_weapon	291.730011 386.652008 56.372898	0.000 0.000 0.000
ttt_random_weapon	607.585999 811.112976 20.372900	0.000 0.000 0.000
ttt_random_weapon	-3454.580078 1078.310059 -86.627098	0.000 0.000 0.000
ttt_random_weapon	-3611.520020 1081.719971 -86.627098	0.000 0.000 0.000
ttt_random_weapon	-3534.790039 1083.609985 -86.627098	0.000 0.000 0.000
ttt_random_weapon	-3610.787598 1130.672852 -94.778900	1.603 5.704 -93.184
ttt_random_weapon	-3617.333740 1118.421265 -94.761749	1.296 4.334 -93.756
ttt_random_weapon	-3572.186279 1125.537231 -94.757164	1.333 5.858 -93.772
ttt_random_weapon	-3547.389893 1121.212280 -94.799995	1.689 3.998 -93.755
ttt_random_weapon	-3520.514404 1114.324707 -94.760536	1.531 3.340 -93.501
ttt_random_weapon	-3491.942139 1106.704834 -94.842827	1.598 8.827 -92.865
ttt_random_weapon	-3469.505615 1103.103394 -94.788643	1.747 6.105 -92.890
ttt_random_weapon	-3465.170654 1091.825562 -94.786903	1.411 4.745 -93.903
ttt_random_weapon	-3467.313477 1075.748047 -94.777802	1.378 4.687 -93.453
ttt_random_weapon	-3465.945068 1059.288574 -94.759224	1.414 4.746 -93.652
ttt_random_weapon	-3479.713135 1084.175049 -94.766449	1.496 4.982 -93.465
ttt_random_weapon	-3503.681641 1129.743896 -94.799110	1.417 4.909 -93.134
