# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_heaven
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	652.194519 -4324.783203 8592.897461	0.030 6.162 -89.286
weapon_ttt_ak47	647.334351 -4468.747559 8592.872070	0.159 11.244 -87.326
weapon_ttt_ak47	1715.201294 1955.823120 8160.923828	0.087 11.850 -87.908
weapon_ttt_ak47	2611.509766 -617.001526 8096.883301	0.145 11.847 -87.468
ttt_playerspawn	2866.130615 -4223.181152 8938.538086	-0.070 -1.248 0.070
ttt_playerspawn	2987.712646 -4228.613770 8943.498047	-0.071 -0.693 0.071
ttt_playerspawn	3135.631104 -4224.765137 8940.208984	-0.047 3.049 0.049
ttt_playerspawn	3163.506592 -4404.871582 8937.711914	-0.032 6.613 0.032
ttt_playerspawn	3001.173828 -4429.149414 8944.099609	0.047 -0.554 0.047
ttt_playerspawn	3199.396973 -4241.589355 8288.580078	-0.260 0.016 -0.197
ttt_playerspawn	3202.001465 -4100.169434 8288.529297	-0.085 -0.000 0.085
ttt_playerspawn	2704.793457 -4303.239258 8288.541992	-0.070 -0.000 0.070
ttt_playerspawn	2688.378418 -4101.157715 8288.565430	-0.041 -0.000 0.041
ttt_playerspawn	1606.650146 -4129.532715 8448.526367	-0.089 -0.000 0.089
ttt_playerspawn	1607.432129 -4317.740723 8448.564453	-0.042 -0.000 0.043
ttt_playerspawn	1403.790771 -4143.929688 8448.558594	-0.049 -0.000 0.049
ttt_playerspawn	1398.942017 -4319.949707 8448.524414	-0.092 -0.000 0.092
ttt_playerspawn	-241.317261 103.515991 8197.480469	-0.670 -0.767 -0.192
ttt_playerspawn	-273.394836 244.549576 8204.634766	-4.201 -0.909 1.605
ttt_playerspawn	-272.856995 447.043579 8206.663086	-1.249 -1.476 2.853
ttt_playerspawn	-89.585068 142.697769 8198.045898	0.098 -1.044 -0.081
ttt_playerspawn	-109.837364 277.120209 8197.428711	3.085 -2.160 -0.077
ttt_playerspawn	-102.670815 412.002258 8199.832031	-0.014 0.022 0.963
ttt_playerspawn	91.451157 171.239700 8201.001953	-0.000 -178.523 -0.000
ttt_playerspawn	107.084114 282.950500 8203.749023	-1.348 -4.731 9.625
