# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_island_2013
# Exported by: Donato Dias
setting:	replacespawns 0
weapon_ttt_ak47	-1355.317383 -363.228729 -319.099670	0.120 13.136 -87.648
weapon_ttt_smokegrenade	-1093.939941 -457.942993 -322.087006	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1086.250000 -495.954987 -320.505005	0.000 0.000 0.000
weapon_ttt_smokegrenade	-193.136002 -759.466980 -489.433014	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1421.680054 1050.050049 -245.996994	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1444.550049 989.049011 -251.255997	0.000 0.000 0.000
weapon_ttt_smokegrenade	-285.606995 -123.774002 29.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-286.170990 -107.469002 29.734600	0.000 0.000 0.000
weapon_ttt_smokegrenade	-56.916756 166.376175 800.187561	-0.797 -1.307 -1.351
weapon_ttt_smokegrenade	-49.493519 173.790054 800.157104	-2.061 -1.213 -1.889
item_box_buckshot_ttt	-1134.520020 895.723999 193.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-1132.859985 864.866028 193.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-1160.859985 891.835999 193.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-1164.239990 854.093018 193.294006	0.000 0.000 0.000
item_box_buckshot_ttt	361.085052 25.510372 32.429611	-0.651 -0.007 0.579
item_box_buckshot_ttt	376.041290 26.371672 32.408455	-1.017 0.092 0.809
item_box_buckshot_ttt	-1378.829956 911.135315 -26.577003	-0.112 -0.068 0.046
item_box_buckshot_ttt	-1364.520996 911.164490 -26.577772	0.210 0.023 0.211
item_ammo_357_ttt	-2536.709961 -1217.829956 -462.221008	0.000 0.000 0.000
item_ammo_357_ttt	153.622864 40.225452 928.351013	0.526 -0.039 -0.030
item_ammo_357_ttt	164.489075 41.012474 928.317078	0.448 0.073 0.061
item_ammo_357_ttt	-727.808960 -1393.605591 -332.529144	0.447 0.069 0.058
item_ammo_357_ttt	-742.204895 -1383.597290 -332.442474	0.465 0.055 0.024
item_ammo_357_ttt	-2503.849609 1503.498901 -472.974091	-0.110 -0.132 -6.457
item_ammo_357_ttt	-2532.469727 1504.788086 -473.482910	-0.163 -0.118 -6.384
item_ammo_revolver_ttt	-2567.719971 -1230.020020 -464.855011	0.000 0.000 0.000
item_ammo_revolver_ttt	-651.275452 -744.920715 -315.603851	0.463 0.055 0.030
item_ammo_revolver_ttt	-662.063965 -746.364075 -315.560120	0.472 0.054 0.012
item_ammo_revolver_ttt	-1486.858521 686.624512 -79.655518	0.453 0.064 0.049
item_ammo_revolver_ttt	-1478.533569 686.822571 -79.649940	0.455 0.064 0.047
item_ammo_smg1_ttt	-2023.548462 217.488464 -319.558228	-0.055 0.115 0.047
item_ammo_smg1_ttt	-2048.110352 218.675522 -319.581818	0.045 0.042 0.060
item_ammo_smg1_ttt	-1230.665771 -548.859009 -183.522629	0.550 -0.083 0.244
