# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_kakariko_v4a
# Exported by: Ahbiga
setting:	replacespawns 1
ttt_random_weapon	-1214.219971 771.546021 -372.362000	0.000 0.000 0.000
ttt_random_weapon	-1277.079956 704.054016 -372.362000	0.000 0.000 0.000
ttt_random_weapon	-721.452026 690.265991 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-342.308014 287.188995 -246.626999	0.000 0.000 0.000
ttt_random_weapon	561.000000 702.000000 -376.000000	0.000 0.000 0.000
ttt_random_weapon	1201.000000 4274.140137 8.372990	0.000 0.000 0.000
ttt_random_weapon	965.705017 4413.000000 8.372990	0.000 0.000 0.000
ttt_random_weapon	733.046021 4271.189941 8.372990	0.000 0.000 0.000
ttt_random_weapon	1306.089966 3862.000000 -71.626999	0.000 0.000 0.000
ttt_random_weapon	618.450989 3858.070068 -70.626999	0.000 0.000 0.000
ttt_random_weapon	1442.000000 2858.000000 -243.113998	0.000 0.000 0.000
ttt_random_weapon	1345.439941 2685.719971 -236.487000	0.000 0.000 0.000
ttt_random_weapon	-361.278992 1867.359985 203.981003	0.000 0.000 0.000
ttt_random_weapon	246.270996 68.123001 -278.627014	0.000 0.000 0.000
ttt_random_weapon	254.373001 -1436.670044 -470.450989	0.000 0.000 0.000
ttt_random_weapon	254.373001 -1376.670044 -469.450989	0.000 0.000 0.000
ttt_random_weapon	254.373001 -1305.670044 -480.000000	0.000 0.000 0.000
ttt_random_weapon	254.373001 -1234.670044 -470.450989	0.000 0.000 0.000
ttt_random_weapon	254.373001 -1174.670044 -469.450989	0.000 0.000 0.000
ttt_random_weapon	-511.000000 -715.801025 -470.450989	0.000 0.000 0.000
ttt_random_weapon	-504.070007 -783.065002 -470.450989	0.000 0.000 0.000
ttt_random_weapon	-493.627014 -846.239014 -460.901001	0.000 0.000 0.000
ttt_random_weapon	-493.627014 -915.239014 -469.450989	0.000 0.000 0.000
ttt_random_weapon	-493.627014 -975.239014 -470.450989	0.000 0.000 0.000
ttt_random_weapon	-501.167999 -1032.900024 -470.450989	0.000 0.000 0.000
ttt_random_weapon	268.959015 -1073.630005 -367.903015	0.000 0.000 0.000
ttt_random_weapon	773.900024 -1090.319946 -367.903015	0.000 0.000 0.000
ttt_random_weapon	1559.579956 177.000000 -375.627014	0.000 0.000 0.000
ttt_random_weapon	-223.772995 1553.810059 -150.626999	0.000 0.000 0.000
ttt_random_weapon	155.100998 1562.099976 -150.626999	0.000 0.000 0.000
ttt_random_weapon	-611.624573 -299.894226 -478.780914	1.642 5.720 -93.205
ttt_random_weapon	-603.353149 -260.003754 -478.800446	1.850 5.713 -92.777
ttt_random_weapon	-561.778687 -262.554413 -478.801941	1.866 5.710 -92.745
ttt_random_weapon	-567.664429 -297.766785 -478.810150	1.953 5.706 -92.566
ttt_random_weapon	-500.930908 -270.743439 -478.815674	2.012 5.703 -92.444
ttt_random_weapon	-534.285889 -316.623535 -478.825012	2.111 5.694 -92.241
ttt_random_weapon	-594.526978 -334.507263 -478.810150	1.953 5.706 -92.566
ttt_random_weapon	73.129723 -52.775124 -478.811920	1.972 5.707 -92.526
ttt_random_weapon	65.621429 -85.925468 -478.808411	1.934 5.710 -92.604
ttt_random_weapon	-78.971489 -2349.506104 -390.353516	2.624 3.207 -100.044
ttt_random_weapon	-91.915756 -2322.230469 -394.100433	2.586 3.219 -100.226
ttt_random_weapon	-111.636490 -2281.492920 -399.672119	2.575 3.224 -100.281
ttt_random_weapon	-120.886810 -2255.200439 -403.254822	2.600 3.217 -100.162
ttt_random_weapon	-135.376221 -2213.644531 -408.954742	2.569 3.224 -100.307
ttt_random_weapon	-74.400139 -2382.685791 -385.798492	2.641 3.203 -99.965
ttt_random_weapon	63.229309 -2802.318359 -350.814728	2.001 5.703 -92.465
ttt_random_weapon	72.113808 -2837.663574 -350.773376	1.561 5.723 -93.371
ttt_random_weapon	81.436958 -2863.589111 -350.793030	1.770 5.715 -92.940
ttt_random_weapon	521.195435 -2838.605957 -350.770935	1.535 5.723 -93.424
ttt_random_weapon	522.867554 -2863.171631 -350.800476	1.850 5.713 -92.777
ttt_random_weapon	518.565857 -2879.086426 -350.832001	2.184 5.689 -92.089
ttt_random_weapon	512.167725 -2911.325439 -350.799744	1.842 5.713 -92.793
ttt_random_weapon	492.223755 -2929.760742 -350.800476	1.850 5.713 -92.777
ttt_random_weapon	656.727844 -1165.487671 -382.781830	1.651 5.719 -93.185
ttt_random_weapon	712.830200 -1160.636719 -382.799042	1.834 5.712 -92.809
ttt_random_weapon	708.601563 -1198.633179 -382.808411	1.934 5.710 -92.604
ttt_random_weapon	663.219727 -1200.268921 -382.830811	2.172 5.688 -92.115
ttt_random_weapon	839.858521 239.461731 -382.830811	2.172 5.688 -92.115
ttt_random_weapon	840.903564 268.776947 -382.788330	1.720 5.718 -93.043
ttt_random_weapon	837.218140 298.768768 -382.779663	1.628 5.719 -93.233
ttt_random_weapon	1192.208862 337.791321 -382.828461	2.147 5.696 -92.167
ttt_random_weapon	1197.832642 312.885559 -382.811066	1.962 5.706 -92.546
ttt_random_weapon	1192.401367 287.312561 -382.783722	1.671 5.718 -93.144
ttt_random_weapon	1183.413452 -108.880508 -158.771530	1.541 5.723 -93.411
ttt_random_weapon	1188.591309 -76.522774 -158.793655	1.777 5.716 -92.926
ttt_random_weapon	1186.875977 -49.886326 -158.795593	1.798 5.714 -92.884
ttt_random_weapon	1188.291870 -17.541796 -158.776886	1.598 5.722 -93.294
ttt_random_weapon	1184.693604 4.142819 -158.809280	1.943 5.711 -92.585
ttt_random_weapon	1164.749146 -691.989136 -158.814758	2.001 5.703 -92.465
ttt_random_weapon	1164.735229 -664.034119 -158.777649	1.606 5.720 -93.277
ttt_random_weapon	1160.914429 -638.391052 -158.821793	2.076 5.700 -92.312
ttt_random_weapon	1535.122192 -857.615417 -158.856979	2.133 6.156 -91.990
ttt_random_weapon	1544.992676 -831.860718 -158.826157	2.122 5.695 -92.217
ttt_random_weapon	413.644348 964.654480 -382.839661	2.265 5.679 -91.922
ttt_random_weapon	461.072510 964.241455 -382.795593	1.798 5.714 -92.884
ttt_random_weapon	513.255615 967.497803 -382.835754	2.224 5.692 -92.008
ttt_random_weapon	571.980469 967.100098 -382.803528	1.882 5.711 -92.711
ttt_random_weapon	621.757446 967.299255 -382.784180	1.676 5.718 -93.134
ttt_random_weapon	-394.733215 748.296387 -382.808411	1.934 5.710 -92.604
ttt_random_weapon	-348.552673 748.339966 -382.796936	1.812 5.715 -92.855
ttt_random_weapon	-395.092102 784.896362 -382.820740	2.065 5.700 -92.335
ttt_random_weapon	-360.225769 786.602539 -382.809296	1.943 5.711 -92.585
ttt_random_weapon	-937.068176 925.379639 -382.819702	2.054 5.699 -92.357
ttt_random_weapon	-943.606506 971.373901 -382.796265	1.805 5.714 -92.869
ttt_random_weapon	-944.728210 995.582336 -382.785187	1.687 5.718 -93.112
ttt_random_weapon	-1663.002197 478.108246 -382.833252	2.197 5.689 -92.062
ttt_random_weapon	-1655.157349 510.512695 -382.823944	2.099 5.703 -92.265
ttt_random_weapon	-1637.291016 458.851471 -382.776154	1.590 5.721 -93.310
ttt_random_weapon	-1647.921631 -184.908310 -126.766434	1.496 4.911 -93.465
