# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lego_treasureisland
# Exported by: Kopa
setting:	replacespawns 1
ttt_random_weapon	830.771973 -1526.319946 -222.626999	0.000 0.000 0.000
ttt_random_weapon	-129.389999 -1008.260010 -290.627014	0.000 278.000 0.000
ttt_random_weapon	-680.023987 -1057.619995 -314.377014	0.000 278.000 0.000
ttt_random_weapon	-878.750000 -545.270020 -310.627014	0.000 278.000 0.000
ttt_random_weapon	-1156.180054 -240.988998 -318.627014	0.000 278.000 0.000
ttt_random_weapon	-1684.219971 50.620300 -314.377014	0.000 278.000 0.000
ttt_random_weapon	-1485.619995 675.822998 -314.463989	0.000 278.000 0.000
ttt_random_weapon	-639.531982 1133.589966 -246.626999	0.000 278.000 0.000
ttt_random_weapon	950.794983 496.237000 -310.627014	0.000 278.000 0.000
ttt_random_weapon	1647.199951 -154.031998 -314.377014	0.000 278.000 0.000
ttt_random_weapon	950.380981 -1490.349976 -434.377014	0.000 19.000 0.000
ttt_random_weapon	-239.315994 31.961201 -434.890991	0.000 19.000 0.000
ttt_random_weapon	291.156006 132.005997 -486.627014	0.000 19.000 0.000
ttt_random_weapon	-480.885010 1512.949951 -502.377014	0.000 19.000 0.000
ttt_random_weapon	-94.826897 -306.966003 -250.626999	0.000 19.000 0.000
ttt_random_weapon	440.023010 479.634003 -234.626999	0.000 19.000 0.000
ttt_random_weapon	538.276978 287.578003 -250.626999	0.000 19.000 0.000
ttt_random_weapon	14.777400 -997.338013 -494.627014	0.000 19.000 0.000
ttt_random_weapon	936.286987 -468.200989 -474.377014	0.000 19.000 0.000
ttt_random_weapon	583.479980 341.725006 -482.377014	0.000 19.000 0.000
ttt_random_weapon	270.522003 1265.339966 -318.627014	0.000 19.000 0.000
ttt_random_weapon	-1232.709961 1164.979980 -246.626999	0.000 19.000 0.000
ttt_random_weapon	-440.908997 321.597992 -310.627014	0.000 19.000 0.000
ttt_random_weapon	-475.994995 292.493988 -310.627014	0.000 19.000 0.000
ttt_random_weapon	859.625000 -131.041000 -294.627014	0.000 19.000 0.000
ttt_random_weapon	742.348999 -168.063004 -298.377014	0.000 19.000 0.000
ttt_random_weapon	464.410614 -316.102905 -318.544037	3.792 4.778 -93.719
ttt_random_weapon	467.295563 -340.276764 -318.775146	1.501 3.629 -93.815
ttt_random_weapon	487.040924 -367.787231 -318.754425	1.361 3.608 -93.874
ttt_random_weapon	512.484741 -372.133911 -318.761963	1.335 2.896 -93.820
ttt_random_weapon	533.994080 -361.358795 -318.258148	-2.092 14.839 85.362
ttt_random_weapon	525.450989 -328.123871 -318.773590	1.577 4.896 -93.280
