# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lockout
# Exported by: Roj4s 138
setting:	replacespawns 0
ttt_random_weapon	-1476.913696 4.060895 840.237854	1.449 4.169 -93.966
ttt_random_weapon	-1495.001587 -16.935644 840.221313	1.633 4.180 -93.151
ttt_random_weapon	-1496.439575 -44.576889 840.229492	1.480 4.183 -93.736
ttt_random_weapon	-1460.657715 -17.200369 840.269775	1.481 4.687 -94.695
ttt_random_weapon	-1459.626587 19.358753 840.746948	-2.053 15.832 85.498
ttt_random_weapon	-1947.797607 -65.164154 840.209229	1.772 4.198 -92.834
ttt_random_weapon	-1887.787354 -66.214409 840.228149	1.554 4.168 -93.332
ttt_random_weapon	-1880.533936 -38.021603 840.237671	1.446 6.447 -93.585
ttt_random_weapon	-1882.954590 -19.424000 840.232483	1.181 4.390 -93.815
ttt_random_weapon	-1937.478149 -10.808512 840.239502	1.360 5.289 -93.810
ttt_random_weapon	-1941.644897 -41.609516 840.215149	1.696 5.288 -93.034
ttt_random_weapon	-1998.712402 424.123383 840.226746	1.510 -1.734 -93.681
ttt_random_weapon	-1995.865967 445.878937 840.262268	1.978 3.579 -89.093
ttt_random_weapon	-1998.221069 464.515839 840.209839	1.765 4.198 -92.850
ttt_random_weapon	-1474.699219 486.335022 840.243774	1.361 4.379 -93.771
ttt_random_weapon	-1483.455444 479.645874 840.244202	1.343 4.657 -93.790
ttt_random_weapon	-1482.481323 471.377716 840.214966	1.704 4.190 -92.989
ttt_random_weapon	-1487.177490 444.021393 840.240295	1.316 4.142 -93.944
ttt_random_weapon	-1528.565552 478.584839 840.231079	1.157 1.571 -93.823
ttt_random_weapon	-1528.513672 468.693634 840.220093	1.536 5.978 -93.807
ttt_random_weapon	-1525.863770 458.281250 840.219604	1.541 4.357 -93.798
ttt_random_weapon	-1532.034058 447.540314 840.221680	1.628 4.180 -93.162
ttt_random_weapon	-493.397186 167.500931 427.218353	1.668 4.182 -93.072
ttt_random_weapon	-500.474457 222.404236 427.234497	1.485 4.155 -93.491
ttt_random_weapon	-499.404724 274.479218 427.236725	1.461 4.066 -93.546
ttt_random_weapon	-491.369049 295.852570 427.239075	1.432 4.061 -93.613
ttt_random_weapon	-1451.936279 150.487259 237.240967	1.412 4.056 -93.658
ttt_random_weapon	-1548.081177 133.492142 237.246338	1.430 4.095 -94.202
ttt_random_weapon	-1646.936646 128.519669 237.247894	1.333 5.141 -93.838
ttt_random_weapon	-1734.423340 128.244598 237.222351	1.623 4.108 -93.175
ttt_random_weapon	-1780.624268 128.707870 237.218903	1.662 4.548 -93.085
ttt_random_weapon	-1403.707886 305.928162 237.214584	1.711 4.189 -92.973
ttt_random_weapon	-1497.826050 306.371735 237.228165	1.376 3.963 -93.724
ttt_random_weapon	-1593.320068 296.528778 237.228775	1.478 4.149 -93.787
ttt_random_weapon	-1677.837524 293.425049 237.236420	1.336 3.979 -93.796
ttt_random_weapon	-1753.407715 285.570953 237.205383	1.814 4.202 -92.736
ttt_random_weapon	-940.500488 364.266693 460.243195	1.387 4.050 -93.715
ttt_random_weapon	-939.143799 401.976318 460.275787	1.523 4.032 -94.936
ttt_random_weapon	-1699.829102 120.959122 627.228394	1.555 4.167 -93.331
ttt_random_weapon	-1930.618042 395.872803 706.222595	1.621 4.723 -93.178
ttt_random_weapon	-2161.322266 1046.223267 650.220886	1.383 4.808 -93.432
ttt_random_weapon	-2167.371094 1085.157715 650.226624	1.573 4.170 -93.290
ttt_random_weapon	-2162.186523 1102.140625 650.239929	1.412 4.371 -93.690
ttt_random_weapon	-2162.770020 1125.043335 650.202148	1.167 4.107 -93.854
ttt_random_weapon	-2159.990234 1138.909912 650.219482	1.295 4.211 -93.515
ttt_random_weapon	-2037.244507 894.967102 650.244995	1.335 5.805 -93.818
ttt_random_weapon	-2095.761475 897.145081 650.216736	1.456 3.768 -94.014
ttt_random_weapon	-2123.518799 910.105957 650.212891	1.468 1.438 -93.232
ttt_random_weapon	-2060.595459 873.151611 650.445313	3.401 0.690 -94.048
ttt_random_weapon	-2051.570313 879.876282 650.245789	1.341 4.325 -93.847
ttt_random_weapon	-2045.914795 879.259705 652.856323	7.617 -6.227 86.344
ttt_random_weapon	-1949.208496 1107.223511 884.220093	1.042 2.765 -93.812
ttt_random_weapon	-1996.802002 1104.946655 884.244934	1.348 9.290 -93.815
ttt_random_weapon	-2027.226563 1099.986206 884.223206	1.248 -0.896 -93.628
ttt_random_weapon	-2039.042114 1103.227051 887.019714	-3.544 8.765 86.540
ttt_random_weapon	-2630.223877 -221.225128 851.218628	1.555 1.107 -93.759
ttt_random_weapon	-2621.912354 -230.477020 851.170105	2.204 -17.638 -91.843
ttt_random_weapon	-2628.514648 -147.760696 851.228760	1.301 4.401 -93.865
ttt_random_weapon	-2627.477783 -130.858551 851.201416	1.857 4.203 -92.638
ttt_random_weapon	-2625.359863 -193.311310 851.239685	1.403 4.016 -93.880
ttt_random_weapon	-2621.264648 -147.311447 853.786926	0.707 5.596 -92.684
ttt_random_weapon	-2591.580322 -691.162842 851.228821	1.545 4.165 -93.352
ttt_random_weapon	-2593.427002 -680.716431 851.244385	1.333 4.658 -93.919
ttt_random_weapon	-2601.404541 -661.239197 851.243896	1.358 4.696 -93.776
ttt_random_weapon	-2598.545166 -629.500793 851.223328	1.611 4.718 -93.201
ttt_random_weapon	-2612.507813 -677.741028 852.401184	-1.019 3.700 -112.207
ttt_random_weapon	-2612.288574 -701.198364 851.223022	1.462 4.078 -93.826
ttt_random_weapon	-1663.622681 -1031.114990 1130.236084	1.426 4.385 -93.775
ttt_random_weapon	-1668.652466 -1061.286377 1130.238770	1.405 3.464 -93.798
ttt_random_weapon	-1676.400269 -1108.918701 1130.205200	1.814 4.203 -92.736
ttt_random_weapon	-1659.681885 -1052.076660 1130.202881	1.703 4.642 -92.832
ttt_random_weapon	-1648.979980 -982.616699 1131.686768	-3.778 1.159 -22.800
ttt_random_weapon	-1666.463379 -1071.049561 1130.240479	1.394 4.311 -93.770
ttt_random_weapon	-1642.510986 -860.711853 1130.243530	1.367 9.710 -93.760
ttt_random_weapon	-1642.028931 -878.490845 1130.235474	1.430 4.257 -93.777
ttt_random_weapon	-1638.673950 -893.587280 1130.227661	1.421 3.905 -93.778
ttt_random_weapon	-1636.885986 -908.476746 1130.232666	1.381 4.481 -93.693
ttt_random_weapon	-1627.035889 -843.881836 1130.234375	1.300 3.568 -93.735
ttt_random_weapon	-767.326294 62.021694 884.200562	1.867 4.208 -92.615
ttt_random_weapon	-821.118469 52.345898 884.205383	1.813 4.203 -92.738
ttt_random_weapon	-765.343262 39.841095 884.222107	1.624 4.177 -93.172
ttt_random_weapon	-799.497620 30.635077 884.203369	1.835 4.206 -92.688
