# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lost_temple_v2
# Exported by: dduudu
setting:	replacespawns 1
ttt_playerspawn	-531.613220 25.463570 9.591178	-0.084 -0.857 0.038
ttt_playerspawn	-449.923615 27.701241 6.124398	0.055 -3.676 0.116
ttt_playerspawn	-177.573425 159.171524 -4.481929	-0.008 -0.000 0.008
ttt_playerspawn	-180.691940 26.805042 -4.514165	0.011 0.000 0.011
ttt_playerspawn	-178.501495 -71.804207 -4.482588	-0.082 0.025 0.074
ttt_playerspawn	-177.596649 -184.866806 -4.544596	0.006 -0.087 -0.007
ttt_playerspawn	148.595444 149.179520 -4.517666	-0.012 -0.000 0.012
ttt_playerspawn	146.718414 30.648500 -4.493838	-0.009 -0.000 0.009
ttt_playerspawn	151.262939 -72.217918 -4.506355	-0.100 0.031 0.104
ttt_playerspawn	149.846786 -166.751144 -4.487021	-0.009 -0.000 0.009
ttt_playerspawn	-444.035034 238.194733 8.320940	0.114 -0.552 -0.039
ttt_playerspawn	-438.455872 154.289093 12.351960	0.006 0.320 0.222
ttt_playerspawn	-300.241150 26.743570 -0.445200	2.392 -0.009 0.053
ttt_playerspawn	-295.505249 160.795822 1.014037	1.879 0.531 0.952
ttt_playerspawn	-303.416168 -75.221291 1.192276	2.058 -2.226 -0.028
ttt_playerspawn	-306.311127 -192.351563 4.282746	0.674 -1.134 -0.414
ttt_playerspawn	-453.126312 -90.016998 14.411793	-0.115 9.934 -0.051
ttt_playerspawn	286.345886 37.901363 -1.507890	-3.972 -1.007 -0.700
ttt_playerspawn	284.640289 161.203217 -1.586056	-3.194 -0.278 1.921
ttt_playerspawn	279.228149 -67.060951 -2.112792	-4.268 1.016 0.893
ttt_playerspawn	269.803070 -178.197220 -1.475196	-3.271 -1.918 -0.832
ttt_playerspawn	-240.657852 -381.878204 17.882706	-0.205 0.489 -2.570
ttt_playerspawn	-98.416725 -361.983826 18.289003	1.781 0.301 0.302
ttt_playerspawn	-92.467720 -489.255493 10.413121	1.498 -3.245 -3.090
ttt_playerspawn	-232.116272 -510.923798 23.953131	0.935 0.520 -4.172
ttt_playerspawn	156.133057 -374.633362 26.142254	-1.493 1.336 -5.531
ttt_playerspawn	168.820313 -513.023193 36.365368	-1.682 1.211 -3.516
ttt_playerspawn	260.497620 -373.961823 21.049686	1.767 -2.288 -6.038
ttt_playerspawn	272.793365 -515.950378 41.925476	5.299 2.143 -3.884
ttt_playerspawn	-531.004761 -77.362526 7.544481	-0.100 2.389 0.102
ttt_playerspawn	272.631622 297.476990 10.778665	-0.123 1.374 -0.016
ttt_playerspawn	137.579788 283.373352 1.179729	-0.124 0.710 3.815
item_box_buckshot_ttt	320.000000 -1774.000000 -1360.709961	0.000 341.500 0.000
item_box_buckshot_ttt	300.000000 -1773.000000 -1360.709961	0.000 20.500 0.000
item_box_buckshot_ttt	296.000000 -1793.000000 -1360.709961	0.000 301.500 0.000
item_box_buckshot_ttt	314.000000 -1789.000000 -1360.709961	0.000 22.000 0.000
item_box_buckshot_ttt	323.000000 -1806.000000 -1360.709961	0.000 16.000 0.000
item_box_buckshot_ttt	299.332001 -1807.410034 -1360.709961	0.000 40.000 0.000
item_box_buckshot_ttt	-712.000000 -3092.000000 -1428.000000	0.000 37.000 0.000
item_box_buckshot_ttt	-715.578979 -3073.000000 -1423.000000	0.000 0.000 0.000
item_box_buckshot_ttt	-703.000000 -3061.000000 -1420.000000	5.736 333.059 11.125
item_box_buckshot_ttt	1203.000000 2050.570068 -1419.709961	0.000 327.500 0.000
item_box_buckshot_ttt	1196.000000 2033.569946 -1419.709961	0.000 0.000 0.000
item_box_buckshot_ttt	1218.000000 2052.570068 -1419.709961	0.000 250.000 0.000
item_box_buckshot_ttt	1256.199951 2049.570068 -1419.709961	0.000 265.000 0.000
item_box_buckshot_ttt	1272.530029 2041.119995 -1419.709961	0.000 232.500 0.000
item_box_buckshot_ttt	1273.209961 2026.000000 -1419.709961	0.000 155.000 0.000
item_box_buckshot_ttt	609.778992 1763.000000 -1363.709961	0.000 329.500 0.000
item_box_buckshot_ttt	620.692017 1770.810059 -1363.709961	0.000 13.000 0.000
item_box_buckshot_ttt	-371.835999 -2282.000000 -1358.719971	0.000 333.000 0.000
item_box_buckshot_ttt	-372.835999 -2265.000000 -1358.719971	0.000 294.500 0.000
item_box_buckshot_ttt	-352.835999 -2276.000000 -1358.719971	0.000 242.000 0.000
item_box_buckshot_ttt	320.000000 -1774.000000 -1360.709961	0.000 341.500 0.000
item_box_buckshot_ttt	300.000000 -1773.000000 -1360.709961	0.000 20.500 0.000
item_box_buckshot_ttt	296.000000 -1793.000000 -1360.709961	0.000 301.500 0.000
item_box_buckshot_ttt	314.000000 -1789.000000 -1360.709961	0.000 22.000 0.000
item_box_buckshot_ttt	323.000000 -1806.000000 -1360.709961	0.000 16.000 0.000
item_box_buckshot_ttt	299.332001 -1807.410034 -1360.709961	0.000 40.000 0.000
item_box_buckshot_ttt	-712.000000 -3092.000000 -1428.000000	0.000 37.000 0.000
item_box_buckshot_ttt	-715.578979 -3073.000000 -1423.000000	0.000 0.000 0.000
item_box_buckshot_ttt	-703.000000 -3061.000000 -1420.000000	5.736 333.059 11.125
item_box_buckshot_ttt	1203.000000 2050.570068 -1419.709961	0.000 327.500 0.000
item_box_buckshot_ttt	1196.000000 2033.569946 -1419.709961	0.000 0.000 0.000
item_box_buckshot_ttt	1218.000000 2052.570068 -1419.709961	0.000 250.000 0.000
item_box_buckshot_ttt	1256.199951 2049.570068 -1419.709961	0.000 265.000 0.000
item_box_buckshot_ttt	1272.530029 2041.119995 -1419.709961	0.000 232.500 0.000
item_box_buckshot_ttt	1273.209961 2026.000000 -1419.709961	0.000 155.000 0.000
item_box_buckshot_ttt	609.778992 1763.000000 -1363.709961	0.000 329.500 0.000
item_box_buckshot_ttt	620.692017 1770.810059 -1363.709961	0.000 13.000 0.000
item_box_buckshot_ttt	-371.835999 -2282.000000 -1358.719971	0.000 333.000 0.000
item_box_buckshot_ttt	-372.835999 -2265.000000 -1358.719971	0.000 294.500 0.000
item_box_buckshot_ttt	-352.835999 -2276.000000 -1358.719971	0.000 242.000 0.000
weapon_ttt_smokegrenade	242.813004 468.811005 -1371.270020	0.000 316.500 0.000
weapon_ttt_smokegrenade	233.679001 466.450012 -1371.270020	0.000 17.500 112.000
weapon_ttt_smokegrenade	227.669006 452.852997 -1369.270020	0.000 263.000 -79.500
weapon_ttt_smokegrenade	2536.739990 -279.931000 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	2532.800049 -295.188995 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	2530.229980 -284.473999 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1490.739990 2264.800049 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1469.000000 2272.070068 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1483.239990 2270.389893 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	3019.080078 -438.812012 -1396.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	383.203003 254.298004 -1406.469971	0.000 0.000 0.000
weapon_ttt_smokegrenade	3997.100098 41.000000 -1380.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-420.056000 -2718.979980 -1384.719971	0.000 270.000 0.000
weapon_ttt_smokegrenade	-359.000000 -2706.100098 -1380.000000	0.000 270.000 0.000
weapon_ttt_smokegrenade	242.813004 468.811005 -1371.270020	0.000 316.500 0.000
weapon_ttt_smokegrenade	233.679001 466.450012 -1371.270020	0.000 17.500 112.000
weapon_ttt_smokegrenade	227.669006 452.852997 -1369.270020	0.000 263.000 -79.500
weapon_ttt_smokegrenade	2536.739990 -279.931000 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	2532.800049 -295.188995 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	2530.229980 -284.473999 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1490.739990 2264.800049 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1469.000000 2272.070068 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1483.239990 2270.389893 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	3019.080078 -438.812012 -1396.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	383.203003 254.298004 -1406.469971	0.000 0.000 0.000
weapon_ttt_smokegrenade	3997.100098 41.000000 -1380.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-420.056000 -2718.979980 -1384.719971	0.000 270.000 0.000
weapon_ttt_smokegrenade	-359.000000 -2706.100098 -1380.000000	0.000 270.000 0.000
item_ammo_357_ttt	-959.000000 -3244.000000 -1455.000000	0.000 94.000 0.000
item_ammo_357_ttt	-953.000000 -3229.000000 -1455.000000	0.000 69.000 0.000
item_ammo_357_ttt	-943.000000 -3215.169922 -1456.719971	0.000 167.500 0.000
item_ammo_357_ttt	1340.000000 1660.300049 -1355.719971	0.000 231.500 0.000
item_ammo_357_ttt	1350.640015 1646.180054 -1355.719971	0.000 285.500 0.000
item_ammo_357_ttt	1359.890015 1634.160034 -1355.719971	0.000 256.500 0.000
item_ammo_357_ttt	572.000000 728.000000 -1370.719971	0.000 48.500 0.000
item_ammo_357_ttt	557.000000 729.000000 -1370.719971	0.000 144.000 0.000
item_ammo_357_ttt	543.000000 731.000000 -1370.719971	0.000 68.000 0.000
item_ammo_357_ttt	507.977997 700.059021 -1370.410034	0.000 132.500 0.000
item_ammo_357_ttt	515.809998 711.833984 -1370.410034	0.000 208.500 0.000
item_ammo_357_ttt	3573.000000 28.164200 -1358.719971	0.000 63.000 0.000
item_ammo_357_ttt	3556.000000 27.164200 -1358.719971	0.000 24.500 0.000
item_ammo_357_ttt	3567.000000 47.164200 -1358.719971	0.000 332.000 0.000
item_ammo_357_ttt	-1311.189941 1459.099976 -1358.719971	0.000 0.000 0.000
item_ammo_357_ttt	-1308.030029 1442.469971 -1358.719971	0.000 0.000 0.000
item_ammo_357_ttt	-1309.530029 1421.160034 -1358.719971	0.000 0.000 0.000
item_ammo_357_ttt	-959.000000 -3244.000000 -1455.000000	0.000 94.000 0.000
item_ammo_357_ttt	-953.000000 -3229.000000 -1455.000000	0.000 69.000 0.000
item_ammo_357_ttt	-943.000000 -3215.169922 -1456.719971	0.000 167.500 0.000
item_ammo_357_ttt	1340.000000 1660.300049 -1355.719971	0.000 231.500 0.000
item_ammo_357_ttt	1350.640015 1646.180054 -1355.719971	0.000 285.500 0.000
item_ammo_357_ttt	1359.890015 1634.160034 -1355.719971	0.000 256.500 0.000
item_ammo_357_ttt	572.000000 728.000000 -1370.719971	0.000 48.500 0.000
item_ammo_357_ttt	557.000000 729.000000 -1370.719971	0.000 144.000 0.000
item_ammo_357_ttt	543.000000 731.000000 -1370.719971	0.000 68.000 0.000
item_ammo_357_ttt	507.977997 700.059021 -1370.410034	0.000 132.500 0.000
item_ammo_357_ttt	515.809998 711.833984 -1370.410034	0.000 208.500 0.000
item_ammo_357_ttt	3573.000000 28.164200 -1358.719971	0.000 63.000 0.000
item_ammo_357_ttt	3556.000000 27.164200 -1358.719971	0.000 24.500 0.000
item_ammo_357_ttt	3567.000000 47.164200 -1358.719971	0.000 332.000 0.000
item_ammo_357_ttt	-1311.189941 1459.099976 -1358.719971	0.000 0.000 0.000
item_ammo_357_ttt	-1308.030029 1442.469971 -1358.719971	0.000 0.000 0.000
item_ammo_357_ttt	-1309.530029 1421.160034 -1358.719971	0.000 0.000 0.000
item_ammo_revolver_ttt	87.195602 -947.835999 -1401.410034	0.000 122.000 0.000
item_ammo_revolver_ttt	73.195602 -957.835999 -1401.410034	0.000 160.500 0.000
item_ammo_revolver_ttt	88.195602 -958.835999 -1401.410034	0.000 89.500 0.000
item_ammo_revolver_ttt	59.000000 -967.000000 -1402.000000	0.000 151.500 0.000
item_ammo_revolver_ttt	427.908997 259.834015 -1369.719971	0.000 306.000 0.000
item_ammo_revolver_ttt	433.809998 251.544998 -1369.439941	0.000 306.000 0.000
item_ammo_revolver_ttt	668.070007 -3096.909912 -1410.719971	0.000 235.500 0.000
item_ammo_revolver_ttt	677.000000 -3086.000000 -1411.000000	0.000 343.500 0.000
item_ammo_revolver_ttt	329.809998 221.834000 -1415.410034	0.000 282.000 0.000
item_ammo_revolver_ttt	349.809998 223.834000 -1416.010010	0.000 308.000 0.000
item_ammo_revolver_ttt	361.000000 236.000000 -1414.000000	0.000 327.000 0.000
item_ammo_revolver_ttt	715.195984 -1952.390015 -1353.719971	0.000 22.000 0.000
item_ammo_revolver_ttt	730.994995 -1944.030029 -1353.719971	0.000 226.500 0.000
item_ammo_revolver_ttt	729.468018 -1959.839966 -1353.719971	0.000 305.500 0.000
item_ammo_revolver_ttt	748.195984 -1948.390015 -1353.719971	0.000 353.000 0.000
item_ammo_revolver_ttt	2502.000000 -303.000000 -1359.719971	0.000 136.000 0.000
item_ammo_revolver_ttt	2499.000000 -318.000000 -1359.719971	0.000 169.500 0.000
item_ammo_revolver_ttt	2512.000000 -315.000000 -1359.719971	0.000 164.500 0.000
item_ammo_revolver_ttt	2512.199951 -238.835999 -1359.719971	0.000 197.000 0.000
item_ammo_revolver_ttt	2524.199951 -232.835999 -1359.719971	0.000 150.500 0.000
item_ammo_revolver_ttt	2536.199951 -240.835999 -1359.719971	0.000 188.500 0.000
item_ammo_revolver_ttt	960.361023 1627.599976 -1371.719971	0.000 0.000 0.000
item_ammo_revolver_ttt	960.992981 1653.829956 -1371.719971	0.000 322.000 0.000
item_ammo_revolver_ttt	1013.000000 2282.909912 -1371.719971	0.000 36.000 0.000
item_ammo_revolver_ttt	980.000000 2277.909912 -1371.719971	0.000 255.500 0.000
item_ammo_revolver_ttt	979.140015 2305.550049 -1371.719971	0.000 0.000 0.000
item_ammo_revolver_ttt	990.000000 2309.909912 -1371.719971	0.000 345.000 0.000
item_ammo_revolver_ttt	1445.300049 2293.159912 -1387.719971	0.000 24.500 0.000
item_ammo_revolver_ttt	1447.000000 2310.909912 -1387.719971	0.000 162.500 0.000
item_ammo_revolver_ttt	439.000000 738.000000 -1370.719971	0.000 0.000 0.000
item_ammo_revolver_ttt	452.209015 726.606018 -1370.719971	0.000 36.500 0.000
item_ammo_revolver_ttt	471.000000 727.000000 -1370.719971	0.000 45.500 0.000
item_ammo_revolver_ttt	-1110.000000 1448.489990 -1358.410034	0.000 97.500 0.000
item_ammo_revolver_ttt	-1102.000000 1437.489990 -1358.410034	0.000 330.000 0.000
item_ammo_revolver_ttt	-1101.310059 1420.160034 -1358.410034	0.000 55.000 0.000
item_ammo_revolver_ttt	87.195602 -947.835999 -1401.410034	0.000 122.000 0.000
item_ammo_revolver_ttt	73.195602 -957.835999 -1401.410034	0.000 160.500 0.000
item_ammo_revolver_ttt	88.195602 -958.835999 -1401.410034	0.000 89.500 0.000
item_ammo_revolver_ttt	59.000000 -967.000000 -1402.000000	0.000 151.500 0.000
item_ammo_revolver_ttt	427.908997 259.834015 -1369.719971	0.000 306.000 0.000
item_ammo_revolver_ttt	433.809998 251.544998 -1369.439941	0.000 306.000 0.000
item_ammo_revolver_ttt	668.070007 -3096.909912 -1410.719971	0.000 235.500 0.000
item_ammo_revolver_ttt	677.000000 -3086.000000 -1411.000000	0.000 343.500 0.000
item_ammo_revolver_ttt	329.809998 221.834000 -1415.410034	0.000 282.000 0.000
item_ammo_revolver_ttt	349.809998 223.834000 -1416.010010	0.000 308.000 0.000
item_ammo_revolver_ttt	361.000000 236.000000 -1414.000000	0.000 327.000 0.000
item_ammo_revolver_ttt	715.195984 -1952.390015 -1353.719971	0.000 22.000 0.000
item_ammo_revolver_ttt	730.994995 -1944.030029 -1353.719971	0.000 226.500 0.000
item_ammo_revolver_ttt	729.468018 -1959.839966 -1353.719971	0.000 305.500 0.000
item_ammo_revolver_ttt	748.195984 -1948.390015 -1353.719971	0.000 353.000 0.000
item_ammo_revolver_ttt	2502.000000 -303.000000 -1359.719971	0.000 136.000 0.000
item_ammo_revolver_ttt	2499.000000 -318.000000 -1359.719971	0.000 169.500 0.000
item_ammo_revolver_ttt	2512.000000 -315.000000 -1359.719971	0.000 164.500 0.000
item_ammo_revolver_ttt	2512.199951 -238.835999 -1359.719971	0.000 197.000 0.000
item_ammo_revolver_ttt	2524.199951 -232.835999 -1359.719971	0.000 150.500 0.000
item_ammo_revolver_ttt	2536.199951 -240.835999 -1359.719971	0.000 188.500 0.000
item_ammo_revolver_ttt	960.361023 1627.599976 -1371.719971	0.000 0.000 0.000
item_ammo_revolver_ttt	960.992981 1653.829956 -1371.719971	0.000 322.000 0.000
item_ammo_revolver_ttt	1013.000000 2282.909912 -1371.719971	0.000 36.000 0.000
item_ammo_revolver_ttt	980.000000 2277.909912 -1371.719971	0.000 255.500 0.000
item_ammo_revolver_ttt	979.140015 2305.550049 -1371.719971	0.000 0.000 0.000
item_ammo_revolver_ttt	990.000000 2309.909912 -1371.719971	0.000 345.000 0.000
item_ammo_revolver_ttt	1445.300049 2293.159912 -1387.719971	0.000 24.500 0.000
item_ammo_revolver_ttt	1447.000000 2310.909912 -1387.719971	0.000 162.500 0.000
