# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mc_community_pool_b3
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	671.980164 1006.067200 64.854012	0.225 -5.145 -87.457
weapon_ttt_ak47	598.852600 1004.819397 64.961594	0.047 19.433 -88.420
weapon_ttt_ak47	-679.931274 994.388977 64.871590	0.160 13.129 -87.324
weapon_ttt_ak47	-610.979675 969.851746 64.923729	-0.077 37.525 -88.300
weapon_ttt_ak47	728.948792 4510.374023 80.907700	0.110 11.849 -87.731
weapon_ttt_ak47	736.830444 4659.273438 80.861366	0.304 8.836 -88.259
ttt_playerspawn	-2.367562 28.638166 0.579882	-0.019 -0.000 0.020
ttt_playerspawn	5.115077 -155.912231 0.543275	0.055 0.000 0.055
ttt_playerspawn	-4.520547 -353.599915 0.537924	-0.061 -0.000 0.061
ttt_playerspawn	-5.133675 -554.061829 0.532050	-0.066 -0.000 0.066
ttt_playerspawn	-6.685864 -743.553528 0.563429	0.047 0.065 0.163
ttt_playerspawn	-82.541580 482.140747 80.553162	0.006 -0.000 -0.006
ttt_playerspawn	71.642387 467.818237 80.510475	0.011 -0.000 -0.011
ttt_playerspawn	-88.035255 619.128784 80.519440	0.010 -0.000 -0.010
ttt_playerspawn	105.653328 591.072815 80.548737	0.006 -0.000 -0.006
ttt_playerspawn	-86.811852 784.677979 80.541512	0.097 0.710 0.110
ttt_playerspawn	125.146759 770.672607 80.503464	0.012 -0.000 -0.012
ttt_playerspawn	-116.253189 990.033752 80.469460	0.016 -0.000 -0.016
ttt_playerspawn	187.076340 974.299316 80.492706	0.013 -0.000 -0.013
ttt_playerspawn	-472.949097 1008.152527 80.477104	0.015 -0.000 -0.015
ttt_playerspawn	-292.495789 894.015320 80.467476	0.016 -0.000 -0.016
ttt_playerspawn	-290.117371 1092.018066 80.459229	0.017 -0.000 -0.017
ttt_playerspawn	372.557892 1124.275757 80.523003	0.009 -0.000 -0.009
ttt_playerspawn	377.957336 891.365356 80.511810	0.011 -0.000 -0.011
ttt_playerspawn	726.182251 826.295898 80.536919	-0.197 -0.682 -0.075
ttt_playerspawn	540.018066 843.237488 80.526260	0.020 0.150 0.132
ttt_playerspawn	545.492554 1162.442749 80.521790	-0.203 -0.276 -0.007
ttt_playerspawn	704.881897 1175.509521 80.463409	0.016 -0.000 -0.016
ttt_playerspawn	-728.013184 1157.806519 80.552536	-0.111 -0.115 -0.005
ttt_playerspawn	-526.142395 1158.320190 80.573318	-0.071 0.696 0.039
ttt_playerspawn	-539.530518 825.932739 80.541328	-0.017 -0.154 0.102
ttt_playerspawn	-743.759094 836.007202 80.516197	0.029 0.081 0.156
ttt_playerspawn	-107.618980 1240.666016 80.504906	0.011 -0.000 -0.011
ttt_playerspawn	78.159126 1240.348511 80.492706	0.013 -0.000 -0.013
