# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mc_community_pool_b5
# Exported by: Ahbiga
setting:	replacespawns 1
ttt_random_weapon	0.000000 3984.000000 122.000000	0.000 0.000 0.000
ttt_random_weapon	239.000000 4816.000000 122.373001	0.000 270.000 0.000
ttt_random_weapon	239.000000 4592.000000 122.373001	0.000 270.000 0.000
ttt_random_weapon	-240.000000 4592.000000 122.373001	0.000 270.000 0.000
ttt_random_weapon	-240.000000 4816.000000 122.373001	0.000 270.000 0.000
ttt_random_weapon	-496.000000 2960.000000 122.373001	0.000 0.000 0.000
ttt_random_weapon	-688.000000 2960.000000 122.373001	0.000 0.000 0.000
ttt_random_weapon	496.000000 2960.000000 122.373001	0.000 0.000 0.000
ttt_random_weapon	687.000000 2960.000000 122.373001	0.000 0.000 0.000
ttt_random_weapon	-816.000000 3280.000000 122.373001	0.000 270.000 0.000
ttt_random_weapon	-816.000000 3472.000000 122.373001	0.000 270.000 0.000
ttt_random_weapon	-816.000000 4288.000000 122.000000	0.000 270.000 0.000
ttt_random_weapon	-816.000000 4192.000000 122.000000	0.000 270.000 0.000
ttt_random_weapon	-816.000000 3904.000000 122.000000	0.000 270.000 0.000
ttt_random_weapon	-816.000000 3808.000000 122.000000	0.000 270.000 0.000
ttt_random_weapon	815.000000 4240.000000 122.000000	0.000 270.000 0.000
ttt_random_weapon	815.000000 4096.000000 122.000000	0.000 270.000 0.000
ttt_random_weapon	815.000000 3808.000000 122.000000	0.000 270.000 0.000
ttt_random_weapon	815.000000 3280.000000 122.373001	0.000 270.000 0.000
ttt_random_weapon	815.000000 3472.000000 122.373001	0.000 270.000 0.000
ttt_random_weapon	-688.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	-560.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	-304.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	-368.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	-496.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	560.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	496.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	368.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	304.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	240.000000 4352.000000 106.000000	0.000 270.000 0.000
ttt_random_weapon	112.000000 4944.000000 122.373001	0.000 180.000 0.000
ttt_random_weapon	-112.000000 4944.000000 122.373001	0.000 180.000 0.000
ttt_random_weapon	-625.000000 3312.000000 -549.627014	0.000 90.000 0.000
ttt_random_weapon	-832.000000 3581.000000 -549.627014	0.000 0.000 0.000
ttt_random_weapon	-807.000000 2849.000000 -517.627014	0.000 0.000 0.000
ttt_random_weapon	-80.000000 2560.000000 -485.627014	0.000 0.000 0.000
ttt_random_weapon	320.000000 2385.000000 -549.627014	0.000 0.000 0.000
ttt_random_weapon	447.000000 2384.000000 -549.627014	0.000 0.000 0.000
ttt_random_weapon	-912.000000 2384.000000 -549.627014	0.000 90.000 0.000
ttt_random_weapon	935.000000 2560.000000 -517.627014	0.000 0.000 0.000
ttt_random_weapon	360.000000 2880.000000 -533.627014	0.000 90.000 0.000
ttt_random_weapon	359.000000 2784.000000 -485.627014	0.000 90.000 0.000
ttt_random_weapon	-384.000000 3072.000000 -549.627014	0.000 0.000 0.000
ttt_random_weapon	-544.000000 1968.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	544.000000 1968.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	-688.000000 1680.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	-320.000000 1568.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	400.000000 1696.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	736.000000 1584.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	-640.000000 2064.000000 154.373001	0.000 0.000 0.000
ttt_random_weapon	-672.000000 2064.000000 154.373001	0.000 0.000 0.000
ttt_random_weapon	-729.000000 2621.000000 139.373001	0.000 0.000 0.000
ttt_random_weapon	-741.000000 2787.000000 139.373001	0.000 0.000 0.000
ttt_random_weapon	-545.000000 2725.000000 139.373001	0.000 0.000 0.000
ttt_random_weapon	-1022.940002 2239.770020 130.373001	0.000 0.000 0.000
ttt_random_weapon	-1183.979980 2080.320068 90.372902	0.000 0.000 0.000
ttt_random_weapon	-1312.739990 2080.110107 90.372902	0.000 0.000 0.000
ttt_random_weapon	-1602.619995 2079.620117 90.372902	0.000 0.000 0.000
ttt_random_weapon	752.000000 2768.000000 90.372902	0.000 0.000 0.000
ttt_random_weapon	528.000000 2768.000000 90.372902	0.000 0.000 0.000
ttt_random_weapon	448.000000 2064.000000 122.373001	0.000 0.000 0.000
ttt_random_weapon	750.916992 2081.330078 90.372902	0.000 0.000 0.000
ttt_random_weapon	-560.000000 3952.000000 -277.627014	0.000 0.000 0.000
ttt_random_weapon	560.000000 3216.000000 -277.627014	0.000 0.000 0.000
ttt_random_weapon	1392.000000 2704.000000 122.373001	0.000 90.000 0.000
ttt_random_weapon	1392.000000 3296.000000 122.373001	0.000 90.000 0.000
ttt_random_weapon	1392.000000 3488.000000 122.373001	0.000 90.000 0.000
ttt_random_weapon	943.000000 3088.000000 90.000000	0.000 90.000 0.000
ttt_random_weapon	1792.910034 3312.919922 90.372902	0.000 0.000 0.000
ttt_random_weapon	1792.000000 2800.000000 90.372902	0.000 0.000 0.000
