# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mc_desert_v2
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	834.614319 1050.337158 376.897644	0.123 13.134 -87.612
weapon_ttt_ak47	837.176208 913.230957 376.900726	0.119 13.134 -87.646
ttt_playerspawn	690.320374 402.705963 536.489502	-0.044 -0.000 0.044
ttt_playerspawn	683.937683 518.190674 536.598450	-0.016 0.004 -0.018
ttt_playerspawn	546.347351 380.824646 536.539551	-0.024 -0.000 0.024
ttt_playerspawn	555.120239 508.340149 536.541321	-0.024 -0.000 0.024
ttt_playerspawn	-35.866997 -298.779083 344.210449	-0.001 -2.057 0.155
ttt_playerspawn	-151.004211 -306.673859 348.214264	0.040 0.127 0.152
ttt_playerspawn	-178.280670 -422.560486 345.525055	0.007 0.360 0.272
ttt_playerspawn	-332.657623 -435.483368 342.316467	0.080 0.590 0.080
ttt_playerspawn	-409.181976 -543.455383 345.891022	0.006 0.336 0.051
ttt_playerspawn	-541.216919 -470.012146 343.590820	0.034 -3.189 -0.121
ttt_playerspawn	-428.718170 -336.365173 343.688324	-0.018 0.857 -0.199
ttt_playerspawn	-588.859558 -204.942459 347.230377	-0.163 0.288 0.010
ttt_playerspawn	138.679642 -182.454941 340.690125	-0.032 -0.628 -0.115
ttt_playerspawn	129.332458 53.023659 349.871094	-0.045 -1.271 0.043
ttt_playerspawn	148.790237 271.786530 343.947205	0.023 -0.677 -0.097
ttt_playerspawn	190.243820 437.423126 343.882416	-0.026 0.534 0.098
ttt_playerspawn	-37.451828 475.192017 343.313721	-0.017 0.073 0.096
ttt_playerspawn	-124.900795 846.452026 343.433594	-3.648 -22.492 -1.661
ttt_playerspawn	-576.135315 554.965149 346.893921	-0.029 0.292 0.161
ttt_playerspawn	-652.152649 329.713409 342.626587	0.069 1.397 0.225
ttt_playerspawn	-737.361145 469.178558 423.442871	3.093 -43.429 176.526
ttt_playerspawn	-495.440460 846.189331 342.822083	-0.084 0.979 -0.013
ttt_playerspawn	-306.829926 882.527649 344.867126	0.037 7.463 0.167
ttt_playerspawn	70.115425 886.063965 425.658508	-6.385 102.300 164.608
ttt_playerspawn	285.652100 727.149658 347.093170	-0.047 -0.138 0.250
ttt_playerspawn	539.471680 787.566711 336.570648	0.047 -2.937 0.046
ttt_playerspawn	321.911621 1110.192383 346.120850	0.156 -0.524 0.001
ttt_playerspawn	356.569702 888.951843 352.780670	-0.082 -2.467 0.006
ttt_playerspawn	293.615387 522.512146 347.447662	-0.144 0.478 -0.019
ttt_playerspawn	-368.262817 51.734745 336.554565	-0.055 0.000 0.054
ttt_playerspawn	-194.147171 281.622101 336.547943	0.063 0.000 0.063
ttt_playerspawn	-629.059021 -884.367798 261.460754	0.053 2.660 0.140
item_box_buckshot_ttt	-563.229797 1150.198120 336.454590	-0.484 -0.005 0.377
item_box_buckshot_ttt	-517.862976 1151.376587 336.386780	1.284 0.007 1.097
item_box_buckshot_ttt	-256.272675 1152.806274 336.419281	-0.737 -0.006 0.654
item_box_buckshot_ttt	-228.688858 1155.330200 336.341095	0.530 0.003 -0.419
item_box_buckshot_ttt	692.291687 922.059692 336.344208	0.611 0.003 -0.486
