# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mc_rivendell
# Exported by: Kopa King
setting:	replacespawns 1
weapon_ttt_ak47	856.740723 -2448.805664 1080.876953	0.154 11.848 -87.398
weapon_ttt_ak47	849.950623 -2379.575195 1080.861084	0.176 11.848 -87.226
weapon_ttt_ak47	2774.182861 -1512.607544 1400.871338	0.162 11.848 -87.336
weapon_ttt_ak47	2768.696777 -1562.015259 1400.872803	0.160 11.804 -87.355
ttt_playerspawn	1676.994995 -3338.782471 1329.417603	0.041 0.602 0.153
ttt_playerspawn	1744.312500 -3399.937012 1328.005249	-0.242 0.221 -0.024
ttt_playerspawn	1846.629028 -3440.705566 1288.118530	0.184 0.185 -0.059
ttt_playerspawn	1857.213989 -3297.168945 1284.201172	0.005 0.233 0.122
ttt_playerspawn	1792.179077 -3209.244629 1287.570557	0.047 0.916 0.130
ttt_playerspawn	1694.663940 -3074.394775 1286.156738	-0.022 0.493 0.200
ttt_playerspawn	2124.810303 -2151.913574 1362.878296	-0.063 -0.832 0.063
ttt_playerspawn	2121.788330 -2249.627930 1363.394897	-0.078 -0.416 0.078
ttt_playerspawn	2134.499023 -2353.923828 1362.734985	-0.018 0.279 0.086
ttt_playerspawn	2327.847168 -2370.541748 1364.519043	-0.095 -0.728 0.176
ttt_playerspawn	2437.946289 -2311.578369 1363.941650	-0.249 -0.599 -0.061
ttt_playerspawn	2535.675049 -2184.192871 1364.444824	-0.025 -0.648 -0.120
ttt_playerspawn	2590.492188 -2064.124756 1364.239014	-0.275 -1.541 -0.084
ttt_playerspawn	2617.545166 -1969.663574 1367.370239	-0.078 -0.528 0.295
ttt_playerspawn	2641.139893 -1831.108643 1405.135376	-0.244 -1.071 -0.033
ttt_playerspawn	2676.593018 -1712.792114 1445.357422	0.189 -1.054 0.041
ttt_playerspawn	2561.808594 -1682.111694 1447.396362	-0.059 0.404 0.204
ttt_playerspawn	2476.242920 -1710.199829 1452.793945	-0.055 1.109 0.055
ttt_playerspawn	2280.751465 -1725.047241 1487.704224	-0.213 -1.002 -0.048
ttt_playerspawn	2124.965088 -1621.976196 1488.730225	-0.036 0.387 0.201
ttt_playerspawn	1955.062988 -1433.455811 1486.300659	0.028 1.060 0.174
ttt_playerspawn	1449.714233 -1301.370361 1487.185669	-0.043 -1.872 0.168
ttt_playerspawn	1610.553589 -1305.069458 1490.316162	0.058 -0.660 0.058
ttt_playerspawn	1195.976440 -978.750366 1684.938599	-0.096 -1.848 0.097
ttt_playerspawn	1222.130859 -835.075256 1683.367065	-0.043 -1.320 0.043
ttt_playerspawn	1085.868042 -1127.704712 1686.345947	-0.028 -2.389 0.028
ttt_playerspawn	1637.954834 -677.522888 1687.773193	-0.052 0.528 0.052
ttt_playerspawn	1932.488525 -1161.287109 1740.541504	0.057 0.000 0.057
ttt_playerspawn	1926.127441 -1274.507202 1740.562744	-0.049 0.054 -0.167
ttt_playerspawn	2138.291016 -1895.900879 1840.556641	0.014 0.033 0.152
ttt_playerspawn	2008.614014 -2413.603271 1540.528564	-0.188 0.114 -0.088
ttt_playerspawn	1347.788818 -2376.640625 1129.757446	0.081 -73.585 0.001
ttt_playerspawn	1601.162354 -2361.255127 1127.984619	0.079 2.969 0.208
ttt_playerspawn	1760.159790 -2328.661865 1203.270020	-0.162 0.304 -0.031
ttt_playerspawn	2122.673096 -2202.708252 1200.553833	-0.139 -0.021 0.048
weapon_ttt_smokegrenade	1939.680054 -2538.360107 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1952.750000 -2545.520020 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1946.630005 -2534.020020 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1931.130005 -2526.489990 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	2025.920044 -2547.959961 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	2016.189941 -2535.760010 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	2005.560059 -2542.340088 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1982.800049 -2535.590088 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1965.390015 -2533.479980 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1902.599976 -2509.250000 1241.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	989.093018 -2051.709961 1161.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	972.695984 -2060.840088 1161.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1033.099976 -2092.080078 1121.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	2029.729980 -1266.790039 1601.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	2019.859985 -1255.609985 1601.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	2010.719971 -1265.750000 1601.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1976.250000 -1301.630005 1561.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1989.239990 -1283.390015 1561.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1963.010010 -1297.569946 1561.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1852.239990 -1178.640015 1561.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1864.839966 -1189.699951 1561.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1853.959961 -1216.449951 1561.939941	0.000 0.000 0.000
weapon_ttt_smokegrenade	1904.989990 -1299.219971 1561.939941	0.000 0.000 0.000
